公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券減少,　　 償還長期借款,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 股利收入,　　　　　 其他營業資產（增加）減少,　　　　　 其他營業負債增加（減少）,　　 採用權益法之被投資公司減資退回股款,　　 其他非流動資產增加,　　 預付設備款增加,　　 短期借款增加,　　 應付短期票券增加,　　 收取之股利,　　 發放現金股利,　　 支付之利息-營業活動,　　 舉借長期借款,　　 存入保證金增加,　　　　 利息收入,　　 收取之利息,　　　　 處分其他資產損失（利益）,　　　　 處分投資損失（利益）,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 處分備供出售金融資產,　　　　 其他項目,　　 取得採用權益法之投資,　　　　　 應收帳款（增加）減少,　　 存入保證金減少,　　　 收益費損項目,　　　　 收益費損項目合計,　　 處分不動產、廠房及設備
2548,2016年01月01日至2016年09月30日,,1351977,1351977,,,9520,1431,0,32834,359,-19,,,,81077,-3075,591,-82966,68037.0,78914,1483295,1625873,,106921,-67135,-36563,453617,18060,,469856,2095729,2127379,3479356,-242453,-169490,3083088,,-821,-113005,1049.0,-112682,,,-249651.0,-1355600,11814,-2447924,-57579,464903,389761,854664,854664,,,-5044.0,0.0,,0.0,-836000.0,,3200.0,-1540063.0,,1520000.0,,-12475.0,12475.0,,0.0,0.0,0.0,,0.0,,1576.0,,31650.0,95.0
2548,2016年01月01日至2016年06月30日,,64668,64668,,,6694,954,0,22682,185,-20,,,,165202,6440,-5964,-2016710,49500.0,-45293,1049587,-797238,,159584,-282261,-79390,742021,-9481,,524904,-272334,-252224,-187556,-246539,-90638,-511148,,-255,-134239,851.0,-133545,,,100034.0,-371400,-27153,831733,-24707,162333,389761,552094,552094,,,-5569.0,0.0,,0.0,1130000.0,,3200.0,,,0.0,,-10385.0,10385.0,,0.0,0.0,0.0,,0.0,,252.0,,20110.0,98.0
2548,2016年01月01日至2016年03月31日,,-11662,-11662,,,2354,477,0,11289,488,-20,,,,40844,-21180,-2286,-954351,10581.0,-152,581262,-345282,,129595,-343460,-136634,364132,-6869,,6764,-338518,-329292,-340954,-80700,-68601,-484893,,-57,-25928,425.0,-25462,,,149892.0,-228300,-8328,393915,3883,-112557,389761,277204,277204,,,0.0,0.0,,0.0,480000.0,,0.0,0.0,,0.0,651.0,-5362.0,5362.0,,0.0,0.0,0.0,,0.0,,,,9226.0,98.0
2548,2015年度,,2780789,2780789,,,6979,1832,0,54393,-497,40,,,,255931,25298,-10646,-4013497,82998.0,-27381,1031568,-2655729,,11514,173380,-7604,-80406,-21934,,78068,-2577661,-2557489,223300,-329245,-312298,-373268,,-10460,190535,1673.0,181859,,,569619.0,-1300400,-28330,-315880,-28950,-536239,926000,389761,389761,,,3118.0,111.0,,0.0,444355.0,,2400.0,-1384064.0,,1380000.0,,-42575.0,42575.0,,0.0,0.0,0.0,,0.0,,2940.0,,20172.0,
2548,2015年01月01日至2015年09月30日,,2318861,2318861,,,5064,1355,0,39855,-2102,40,,,,117037,-31521,1059,-3250620,-6376.0,225558,719012,-2225851,,150424,-230487,13285,-207398,227617,,-44693,-2270544,-2257942,60919,-248258,-219846,-373175,,-10436,-162190,1249.0,-171266,,,339433.0,-1148200,6191,-179911,-1034,-725386,926000,200614,200614,,,1866.0,111.0,,0.0,623390.0,,2400.0,-1384065.0,,1380000.0,,-31610.0,31610.0,,0.0,0.0,0.0,,0.0,,3340.0,,12602.0,
2548,2015年01月01日至2015年06月30日,,1944631,1944631,,,3236,878,0,28282,-1129,12,,,,122419,-17723,-8920,-2268611,-12942.0,25175,324073,-1836529,,179657,-297263,-55322,55299,-15516,,-131897,-1968426,-1962282,-17651,-164389,-219846,-374351,,-2357,-11027,1290.0,-11983,,,19904.0,-373500,-8472,4977,-28087,-409444,926000,516556,516556,,,1248.0,111.0,,0.0,363355.0,,2400.0,0.0,,0.0,,-25135.0,25135.0,,0.0,0.0,0.0,,0.0,,3690.0,,6144.0,
2548,2015年01月01日至2015年03月31日,,1204173,1204173,,,1585,440,0,12487,-382,0,,,,298191,9126,3146,-1180049,0.0,54711,121894,-692981,,162731,-397336,-100732,251782,41451,,-41472,-734453,-725130,479043,-65932,-9185,408733,,-2078,-9494,463.0,-10998,,,-200116.0,-186750,0,-82354,-14722,300659,926000,1226659,1226659,0.0,,632.0,111.0,,0.0,302712.0,,,0.0,,0.0,,-4807.0,4807.0,,0.0,,0.0,,0.0,,1800.0,,9323.0,
2548,2014年度,,1714486,1714486,,,7029,2351,-45196,73273,-1913,1346,13217.0,,,-106001,-21909,2256,73990,-182910.0,-247593,-1112254,-1594421,,13290,116316,34753,1674343,-3052,,1839380,244959,258176,1972662,-311595,-26177,1662697,,-3364,-158361,1000.0,-155766,,,-269083.0,-1449000,-101172,-882322,40752,665361,260639,926000,926000,,,3730.0,0.0,,0.0,1011362.0,,4243.0,-1522469.0,,1522000.0,,-23564.0,23564.0,,-109.0,,9959.0,,-5000.0,0.0,-73960.0,,,
2548,2014年01月01日至2014年09月30日,,42008,42008,,,5214,1876,-30651,54406,-617,21,56015.0,,,11407,47696,-13902,-1525235,-256312.0,-300057,-1467683,-3504086,,181727,-348608,-25856,2518728,155264,,2408480,-1095606,-1039591,-997583,-234399,-26629,-1240655,,-1153,-83558,18934.0,-43186,,3342529.0,1099280.0,197500,-112228,3004612,4162,1724933,260639,1985572,1985572,,,-72775.0,0.0,,0.0,,,4243.0,-1522469.0,,,,-13713.0,13713.0,,39588.0,17632.0,9959.0,-109.0,-5000.0,,,,,
2548,2014年01月01日至2014年06月30日,,-127464,-127464,,,3509,1311,-5831,41549,300,4,38255.0,,,-219492,40594,-5964,-1058257,-210006.0,-198748,-2209746,-3861619,,90728,-385268,-100575,1654234,-10956,,1261131,-2600488,-2562233,-2689697,-152168,-26457,-2859912,,-923,-26476,19379.0,-4880,,,,-450000,-10555,3149220,-35043,249385,260639,510024,510024,,0.0,12968.0,0.0,,0.0,2900315.0,709460.0,3200.0,,,,,-5210.0,5210.0,-1.0,2624.0,2339.0,801.0,,,,,,,
