公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 停業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 取得無形資產,　　 存入保證金增加,　　　　 股利收入,　　 收取之股利,　　 備供出售金融資產減資退回股款,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 預付設備款增加,　　 預付設備款減少,　　 應付短期票券增加,　　 發放現金股利,　　 取得備供出售金融資產,　　 其他金融資產增加,　　　　　 其他營業資產（增加）減少,　　 其他金融資產減少,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 其他預付款項增加,　　　　 金融資產減損損失,　　　　 處分投資損失（利益）,　　 處分備供出售金融資產,　　 短期借款增加
1307,2014年01月01日至2014年03月31日,,305902,0.0,305902,,,137944,851,1633,404.0,10000,-3009,-1424,2638.0,8768,157805.0,,,106.0,10931,-12650,-260657,-118398,-1462,-25581,-11342,-32244,-451297,,1876.0,41635,-17545,31280,-32654.0,24592,-426705,-268900,37002,3009,-10621,-397,28993,,-225038,3840,-20.0,0.0,-251759,,-40000,0.0,100000.0,-28000,-244,31756,63569,-127441,2865988,2738547,2738547,,0.0,,,,,,-30541.0,,,,,,,,,157805.0,-32654.0,0.0,,,,
1307,2013年度,,1027659,6145.0,1033804,,,550722,6979,91,2350.0,36092,-14464,-2228,,36150,613891.0,,,-2350.0,1616,37977,-106262,50608,7123,-292630,-9866,-9559,-323343,,,67465,58060,18394,-14114.0,129805,-193538,420353,1454157,14464,-37523,-56150,1376749,,-943526,4457,-5230.0,598.0,-986274,,-200000,,778500.0,-395300,-13616,-315776,71509,146208,2719780,2865988,2865988,-2372.0,9479.0,-1801.0,1801.0,11491.0,-560.0,1272.0,-52404.0,,,-494839.0,0.0,,,0.0,,,,,,,,
1307,2013年01月01日至2013年12月31日,,1027659,6145.0,1033804,,,550722,6979,91,2350.0,36092,-14464,-2228,,36150,613891.0,,,-2350.0,1616,37977,-106262,50608,7123,-292630,-9866,-9559,-323343,,,67465,58060,18394,-14114.0,129805,-193538,420353,1454157,14464,-37523,-56150,1376749,,-943526,4457,-5230.0,598.0,-986274,,-200000,0.0,778500.0,-395300,-13616,-315776,71509,146208,2719780,2865988,2865988,-2372.0,9479.0,-1801.0,1801.0,11491.0,-560.0,1272.0,-52404.0,0.0,,-494839.0,,,,,,,,,,,,
1307,2013年01月01日至2013年09月30日,,731221,6145.0,737366,,,417731,6197,1782,2350.0,26002,-11452,43,,23438,464290.0,,,-2350.0,27278,42063,-210093,-42704,4046,-280165,-4847,-30167,-496939,,564.0,118194,-30855,45654,-781.0,132776,-364163,100127,837493,11452,-27173,-55448,768125,,-676998,293,-5122.0,597.0,-709259,,-90000,,360000.0,-167300,-13861,-306592,46279,-201447,2719780,2518333,2518333,-2372.0,9477.0,-1801.0,1801.0,11491.0,-549.0,1271.0,-37870.0,0.0,89931.0,-494839.0,,,,,,,,,,,,
1307,2013年01月01日至2013年06月30日,,512427,6509.0,518936,,,283228,2681,-7,3036.0,17220,-8670,40,13241.0,1570,312339.0,,,-2487.0,6055,-11422,-75316,21193,-4665,-288851,-24310,-28534,-408337,,9508.0,3758,-25626,70876,-871.0,57645,-350692,-38353,480583,8670,-18031,-56461,414761,,-449693,195,-4309.0,597.0,-453210,,-230000,0.0,0.0,-114300,-4620,-348920,93049,-294320,2719780,2425460,2425460,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
1307,2013年01月01日至2013年03月31日,,305507,3586.0,309093,,,141211,1259,840,2724.0,8922,-4459,-3976,11584.0,1028,159133.0,,,-2724.0,17887,10221,-170481,-64510,-37172,-277634,-12482,-1906,-538801,,1692.0,118210,-30896,48844,-298.0,137552,-401249,-242116,66977,4459,-9411,-7155,54870,,-217592,4031,-3480.0,15.0,-217026,,-150875,29963.0,0.0,-3000,183,-123729,74595,-211290,2719780,2508490,2508490,,,,,,,,,,,,,,,,,,,,,,,
1307,2012年01月01日至2012年12月31日,,920409,967.0,921376,,,552300,5760,472,1933.0,35878,-7477,8087,,29018,620779.0,,,-1792.0,540,-26511,83988,98189,-7421,-46150,40140,1067,142050,,,24235,45384,9580,-9170.0,70029,212079,832858,1754234,7477,-37073,-62910,1666920,,-374167,700,-16300.0,23940.0,-360480,,50000,-120000.0,700000.0,-782725,4620,-559899,-98825,647716,2072064,2719780,2719780,-640.0,0.0,-5192.0,5192.0,1508.0,0.0,3609.0,0.0,870.0,,-411794.0,,,,,,,,,,,,
1307,2012年01月01日至2012年09月30日,,668143,595.0,668738,,,413249,4357,7810,3939.0,27114,-5045,7794,,30916,484942.0,,,-4874.0,11025,-19717,-193521,60165,-76394,-135492,8121,-22265,-372952,,0.0,188018,14161,38257,3872.0,244308,-128644,356298,1025036,5045,-28059,-63608,943606,,-266472,676,-3327.0,23929.0,-241307,,-230000,,700000.0,-671425,0,-608518,-84324,9457,2072064,2081521,2081521,-640.0,4620.0,-5192.0,5192.0,0.0,0.0,2502.0,0.0,2025.0,81.0,-411794.0,,,,,,,,,,,,
1307,2012年01月01日至2012年06月30日,,446732,699.0,447431,,,273393,2909,10747,3395.0,17834,-2684,7627,23850.0,1849,338920.0,,,-1926.0,14993,-35706,28714,48319,-7281,-150615,10651,-31819,-124670,,0.0,-26908,-5000,18012,2155.0,-11741,-136411,202509,649940,2684,-18767,-56983,576874,,-171301,484,-170.0,19009.0,-152618,,-320000,-89942.0,550000.0,-668425,0,-523643,-27918,-127305,2072064,1944759,1944759,-640.0,4724.0,,,,,,,,,,,,,,,,,,,,,
1307,2012年01月01日至2012年03月31日,,217593,861.0,218454,,,138488,1259,3036,-121.0,9788,-773,-719,3311.0,1226,155495.0,,,645.0,-1169,-34684,-365917,100647,-8883,-139226,-50934,-67406,-566927,,0.0,230482,-19242,21951,289.0,233480,-333447,-177952,40502,773,-10101,-1960,29214,,-92180,970,-38.0,14420.0,-76828,,-240000,-119919.0,400000.0,-482125,0,-442044,-58465,-548123,2072064,1523941,1523941,,,,,,,,,,,,,,,,,,,,,,,
