公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分待出售非流動資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得採用權益法之投資,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得投資性不動產,　　 其他金融資產增加,　　 其他金融資產減少,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 償還長期借款,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 除列按攤銷後成本衡量金融資產淨損失（利益）,　　　　　 預付費用（增加）減少,　　 其他非流動資產增加,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應付票據－關係人增加（減少）,　　　　　 應計退休金負債增加（減少）,　　 預付投資款增加
2033,2015年01月01日至2015年09月30日,,-10474,-10474,,,13810,141,0,3569,-79,-218,-1365.0,0.0,5806.0,-8370.0,13294.0,,,23977,-15772,-477,-9663,38331.0,259,-3012.0,33643,,-1078,4732.0,-28,-2323,188,0.0,1491,35134,48428,37954,79,-4105,1660,35588,,0.0,0.0,-10000.0,12577.0,-34463,610.0,-55,1711,-5806.0,98.0,0.0,-4545,-39873,,629936,-654911,150000,-150000,-5430,0.0,-30405,-139.0,-34829,90156,55327,55327,,,,,,,,,,
2033,2015年01月01日至2015年06月30日,,-6646,-6646,,,9314,177,0,2405,-52,-236,,0.0,,-7098.0,4510.0,,,27697,-26507,590,28151,,189,-2047.0,40437,,-1667,4044.0,-3570,0,-66,0.0,-1259,39178,43688,37042,52,-2925,1662,35831,,0.0,0.0,,,-33152,581.0,-55,1700,,,0.0,-4081,-35007,,392843,-431045,100000,-100000,-3620,,-41822,-185.0,-41183,90156,48973,48973,0.0,12364.0,0.0,,,,,,,
2033,2015年01月01日至2015年03月31日,,-1807,-1807,,,4703,-127,0,1223,-10,-46,,0.0,,-7077.0,-1334.0,,,17129,-9848,-93,-26317,12746.0,-1002,,-8421,,-2120,7226.0,-8519,0,312,0.0,-3101,-11522,-12856,-14663,10,-1715,1666,-14702,,,0.0,,,-2231,381.0,-5,1700,,,0.0,-4081,-4236,,253896,-260336,50000,-50000,-1810,,-8250,-209.0,-27397,90156,62759,62759,,-1036.0,,,,,,,,
2033,2014年度,,-16173,-16173,,,21902,-17,61,4657,-242,0,,13128.0,,7120.0,,,,-17815,5437,-786,-31679,-35629.0,-140,,-80612,,3061,,-6119,2891,-549,,-4133,-84745,-43742,-59915,242,-4188,3581,-60280,,-2749.0,7032.0,,,-3954,0.0,-76,3874,0.0,-7016.0,5902.0,-8035,-5022,,924778,-846402,110000,-100000,-7240,0.0,81136,163.0,15997,74159,90156,90156,,,,,0.0,-5606.0,41003.0,329.0,-3746.0,
2033,2014年01月01日至2014年09月30日,,-14377,-14377,,,16438,210,-124,3341,-168,0,0.0,13128.0,0.0,2634.0,35459.0,,,-21877,-11730,-52,-20508,-48537.0,-1213,0.0,-103917,,2648,882.0,-72,3628,-296,-2846.0,3944,-99973,-64514,-78891,168,-2861,3587,-77997,,-2308.0,7032.0,0.0,0.0,-3198,0.0,-76,3874,0.0,5902.0,-7016.0,-8140,-3930,,724390,-596106,60000,-90000,-5430,0.0,92854,1.0,10928,74159,85087,85087,,,,,,,,,,
2033,2014年01月01日至2014年06月30日,,-3371,-3371,,,10840,48,116,2101,-115,0,,5351.0,,-755.0,17586.0,,,-4759,-8953,-1379,-17196,,-311,0.0,-75254,,2071,418.0,-5857,-65,-522,-1926.0,-5881,-81135,-63549,-66920,115,-1784,3590,-64999,,-1549.0,2828.0,,,-3064,0.0,-76,3874,,,6000.0,-6851,-7054,,446287,-364000,50000,-80000,-3620,,48667,-35.0,-23421,74159,50738,50738,0.0,-42656.0,-8216.0,,,,,,,
2033,2014年01月01日至2014年03月31日,,-1793,-1793,,,5348,-159,-630,1044,-31,0,,1714.0,,47.0,7333.0,,,-3966,7950,-817,40111,-32720.0,-92,,10466,,1397,1524.0,-10543,-65,-120,-1012.0,-8819,1647,8980,7187,31,-1004,3640,9854,,,885.0,,,-1092,0.0,-76,1650,,,6000.0,-3531,3836,,215040,-212000,40000,-40000,-1810,,1230,4.0,14924,74159,89083,89083,,0.0,,,,,,,,
2033,2013年度,,-22053,-22053,,,21725,-1152,8513,4255,-223,-31,,0.0,,-24.0,,,,-14710,92850,1860,-23601,-269.0,-57,,56073,,-5209,,-4422,2669,409,,-13646,42427,81208,59155,223,-4498,-1670,53210,,0.0,0.0,,,-8956,154.0,-11110,12442,-888.0,-5430.0,0.0,-12216,-26004,,799585,-760841,190000,-190000,-9050,-56486.0,-26792,24.0,438,73721,74159,74159,,,,,8007.0,-2289.0,38781.0,-1962.0,-5131.0,
2033,2013年01月01日至2013年12月31日,,-22053,-22053,,,21725,-1152,8513,4255,-223,-31,,0.0,,-24.0,,,,-14710,92850,1860,-23601,-269.0,-57,,56073,,-5209,,-4422,2669,409,,-13646,42427,81208,59155,223,-4498,-1670,53210,,0.0,0.0,,,-8956,154.0,-11110,12442,-888.0,-5430.0,,-12216,-26004,,799585,-760841,190000,-190000,-9050,-56486.0,-26792,24.0,438,73721,74159,74159,,,,,8007.0,-2289.0,38781.0,-1962.0,-5131.0,
2033,2013年01月01日至2013年09月30日,,-10655,-10655,,,16600,-819,7193,3245,-135,-31,,0.0,880.0,-85.0,,,,-20395,84502,456,-81952,-1410.0,-158,,-18957,,-4462,3478.0,-9048,3391,479,,-9783,-28740,-1892,-12547,135,-3395,-1666,-17473,,0.0,0.0,,,-8091,154.0,0,1582,-880.0,0.0,0.0,-11890,-19125,,587585,-518682,150000,-140000,-7240,-56486.0,15177,-29.0,-21450,73721,52271,52271,,,,,,,26848.0,,-3621.0,
