公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 員工執行認股權,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 股利收入,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 存出保證金減少,　　 收取之股利,　　 應付短期票券減少,　　 償還長期借款,　　 取得以成本衡量之金融資產,　　 發放現金股利,　　　　 金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　 舉借長期借款,　　 短期借款減少,　　 處分備供出售金融資產,　　 非控制權益變動,　　 其他投資活動
3028,2014年度,,414550,414550,,,28576,7992,76095,-4255,81083,-5999,-280,-27329,-1890,127584,,,-206168,190966,542654,1106,-617784,29028,-60198,,-1018,-341997,59973,-34698,-7793,-325533,-385731,-258147,156403,5999,-80030,-34556,47816,,-11912,4887,-9600,1413,-3357.0,,38167,,411598,99964.0,2160,169607,89148,344738,1074214,1418952,1418952,-26350.0,-12496.0,870.0,,26350.0,,-128860.0,0.0,-213600.0,,-59.0,,,47843.0,-1655.0,-5831.0
3028,2014年01月01日至2014年09月30日,,300374,300374,,,21566,6044,39958,-4244,60172,-4953,36,-26864,-1890,64351,,,-160825,154646,-72548,-17143,-521482,-1251,-618603,,5139,236819,20203,-18202,-6761,237198,-381405,-317054,-16680,4953,-59424,-33908,-105059,,-11912,4887,-5061,969,-772.0,-5633.0,43166,,495903,-99918.0,1747,184115,34867,157089,1074214,1231303,1231303,-25415.0,-12500.0,870.0,,25415.0,,,0.0,-213600.0,,-59.0,,,46903.0,-17.0,
3028,2014年01月01日至2014年06月30日,,196855,196855,,,14500,4065,2535,-13420,39341,-4169,-172,-22009,-1890,14461,,,-169717,155281,58700,-7523,-220835,-5869,-189963,,18233,121194,49149,-45151,-7482,135943,-54020,-39559,157296,4169,-47084,-7410,106971,,-7234,4887,-2582,697,-1430.0,-5154.0,21935,,0,,1585,-201904,-5708,-78706,1074214,995508,995508,-4261.0,-10500.0,870.0,,4261.0,-99918.0,,,,,-59.0,,-103554.0,38120.0,-17.0,
3028,2014年01月01日至2014年03月31日,,114490,114490,,,7460,1997,-6741,-1396,21868,-1272,-192,-1780,0,19944,,,-6048,109836,422125,-313,156947,-11498,671049,,1124,-324365,-27339,-56261,355,-406486,264563,284507,398997,1272,-20272,-57,379940,,-7235,4887,-134,709,-1085.0,0.0,-2858,,0,0.0,1285,-344118,33652,66616,1074214,1140830,1140830,,,,,,-99918.0,,,,,,,-245485.0,,,
3028,2013年度,,271863,271863,,,33234,8485,-14117,-11837,59690,-4923,-101,-48246,-15259,-10429,,,7091,-208057,-1497696,-9752,210266,38106,-1460042,,-3007,48752,6803,43936,3733,100217,-1359825,-1370254,-1098391,4923,-58846,-46144,-1198458,,-18909,0,-6188,581,1055.0,,24285,,1102700,99918.0,1682,926300,56415,-191458,1265672,1074214,1074214,-17355.0,0.0,2194.0,,17355.0,,0.0,-29629.0,-278000.0,,0.0,,,63729.0,0.0,-5903.0
3028,2013年01月01日至2013年12月31日,,271863,271863,,,33234,8485,-14117,-11837,59690,-4923,-101,-48246,-15259,-10429,,,7091,-208057,-1497696,-9752,210266,38106,-1460042,,-3007,48752,6803,43936,3733,100217,-1359825,-1370254,-1098391,4923,-58846,-46144,-1198458,,-18909,63729,-6188,581,,-5903.0,24285,,1102700,99918.0,1682,926300,56415,-191458,1265672,1074214,1074214,-17355.0,,2194.0,1055.0,17355.0,,,-29629.0,-278000.0,0.0,0.0,0.0,,,,
3028,2013年01月01日至2013年09月30日,,374645,374645,,,24876,6429,-16812,-11462,42559,-4014,116,-48246,-14990,-38899,,,1377,-129870,-725684,-6970,-3938,38863,-826222,,-1690,-473272,7800,-12537,-5788,-485487,-1311709,-1350608,-975963,4014,-42376,-44350,-1058675,,-18909,63729,-3594,12,-79.0,-5685.0,-75225,,989774,,1327,713101,36796,-384003,1265672,881669,881669,-17355.0,-100000.0,2194.0,,17355.0,0.0,0.0,-30248.0,-278000.0,,,,,,,
3028,2013年01月01日至2013年06月30日,,278591,278591,,,16703,4431,-7055,-5365,27880,-1762,72,-52289,-14996,-34754,,,-10954,-38184,-698784,1196,-140876,-11235,-898837,,-2737,-449990,-7858,-12108,-6380,-479073,-1377910,-1412664,-1134073,1762,-26718,-18826,-1177855,,-18909,63729,-810,12,0.0,-3290.0,-54650,,884334,,669,885003,65005,-282497,1265672,983175,983175,-2373.0,-100000.0,2194.0,51.0,2373.0,0.0,0.0,,,,,,,,,
3028,2013年01月01日至2013年03月31日,,148016,148016,,,8440,2312,-11272,-1242,14635,-563,30,-22403,-11568,-21631,,,-22564,-22511,-300180,1105,520644,5667,182161,,1677,-860333,-3643,-16913,-7310,-886522,-704361,-725992,-577976,563,-14074,-923,-592410,,0,25633,-499,7,-420.0,-13.0,24708,,330947,49955.0,669,381571,44791,-141340,1265672,1124332,1124332,,,,,,,,,,,,,,,,
3028,2012年01月01日至2012年12月31日,,395705,395705,,,34449,9277,-23845,-2676,58730,-4411,427,-2855,0,76836,,,-10356,34965,1066021,23081,-601424,-12734,499553,,-3682,566573,-42994,-2461,-3292,514144,1013697,1090533,1486238,4411,-60765,-118828,1311056,,-82820,3435,-14107,547,,-5078.0,-84147,,-433215,-49983.0,2830,-1504588,-38975,-316654,1582326,1265672,1265672,-12812.0,,4875.0,-3811.0,12812.0,,,0.0,-448000.0,72813.0,-52261.0,-576220.0,,,,
