公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他金融負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他金融資產增加,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 金融資產減損損失,　　　　 其他項目,　　 退還（支付）之所得稅,　　 存入保證金增加,　　 非控制權益變動,　　　　 股利收入,　　 收取之股利,　　 取得備供出售金融資產,　　 其他籌資活動,　　 處分以成本衡量之金融資產,　　 存出保證金增加,　 營業活動之現金流量－直接法,　　 營業活動之付現類別,　　　 營業活動之付現類別合計,　　　　 處分投資損失（利益）,　　　　　 預付款項（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應付票據增加（減少）,　　 存出保證金減少,　　 發放現金股利,　　 停業單位稅前淨利（淨損）,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　 營業活動之收現類別,　　　 營業活動之收現類別合計,　　 以成本衡量之金融資產減資退回股款,　　 其他投資活動,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　　　　 遞延貸項增加（減少）,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 短期借款減少
1463,2016年01月01日至2016年09月30日,,104262,104262,,,27820,-344,,,-4504,-224.0,,,,-6133.0,-149805,-100078,-271746,,-7359.0,432532,12541,,407122,135376,103017,207279,4504.0,,221336,,-4000,-13964,224,,,52725,,0,-254875,,19186,540037,559223,559223,,-1498.0,1668.0,,,-7885.0,7885.0,,,0.0,163101.0,,,,,-23157.0,7427.0,,,,-113275.0,,-45724.0,,,0.0,-92636.0,,-32359.0,-30592.0,,0.0,-141600.0
1463,2016年01月01日至2016年06月30日,,64645,64645,,,18610,-172,,,-3623,,,,,-9642.0,-111024,-116344,-301963,,-2052.0,251030,1761,,221011,-80952,-95921,-31276,3623.0,,-25985,,-4000,-12597,0,,,-12159,,0,457,,-37687,540037,502350,502350,,-532.0,1668.0,457.0,,,,,,,4438.0,,,,,-23158.0,-41795.0,,,,,,-29252.0,,,0.0,,,-14969.0,-29728.0,,,
1463,2016年01月01日至2016年03月31日,,31772,31772,,,9320,-178,,,-1264,,,,,-15958.0,-70069,-93342,-194029,,-3353.0,179808,-5821,,141770,-52259,-59688,-27916,1264.0,,-26572,,-4000,-5482,0,,,-9571,,0,457,,-35686,540037,504351,504351,,-453.0,80.0,457.0,,,,,,,-89.0,,,,,-6215.0,-8445.0,,,,,,-14854.0,,,,,,-7429.0,-28864.0,,,
1463,2015年度,,80090,80090,,,37799,-1392,,0.0,-6896,-190.0,,,,9608.0,-228629,18492,-275104,,-22067.0,115946,-26656,,63763,-211341,-208497,-128407,6896.0,0.0,-118476,,-21600,-8018,190,,,-20508,,209600,123606,0.0,-15378,555415,540037,540037,0.0,0.0,-3584.0,0.0,0.0,-6619.0,6619.0,,,6000.0,-1756.0,,,,191.0,-28045.0,-46530.0,,,,-85994.0,0.0,-20049.0,,,4373.0,303.0,,2844.0,-3027.0,-433.0,0.0,
1463,2015年01月01日至2015年09月30日,,55816,55816,,,28555,-1797,,0.0,-4881,,,,,-2698.0,-194363,53035,-96822,,-17009.0,69697,-45268,,5198,-91624,-89948,-34132,4881.0,0.0,-25802,,-21600,-7250,190,,,-22545,,137600,51606,0.0,3259,555415,558674,558674,,-377.0,-3473.0,0.0,0.0,-6922.0,6922.0,,,3000.0,-1258.0,,,,,-20696.0,67900.0,,,,-85994.0,0.0,-12902.0,,,4373.0,,,1676.0,-2222.0,,,
1463,2015年01月01日至2015年06月30日,,31088,31088,,,19362,-669,,0.0,-3434,,,,,1459.0,-149872,48799,-120266,,2942.0,42335,-38406,,5404,-114862,-107061,-75973,3434.0,0.0,-75943,,0,-5474,190,,,-6458,,101800,101800,0.0,19399,555415,574814,574814,,-809.0,-3404.0,0.0,0.0,,,,,0.0,-2219.0,,,,,-8237.0,-12415.0,,,,,0.0,-6649.0,,,1045.0,,,7801.0,-1467.0,,,
1463,2015年01月01日至2015年03月31日,,24278,24278,,,9837,66,,0.0,-1662,,,,,-14597.0,-75557,58479,-57925,,-7302.0,29223,-33867,,-12659,-70584,-70642,-46364,1662.0,0.0,-46742,,0,-1500,190,,,-2490,,30000,30000,0.0,-19232,555415,536183,536183,,-365.0,-2040.0,,0.0,,,,,,-1180.0,,,,,-8237.0,-18013.0,,,,,0.0,-7934.0,,,,,,-58.0,-713.0,,,
1463,2014年度,,63083,103425,,,75617,-5731,,2281.0,-8512,-351.0,-852.0,,,-60943.0,-264968,21467,-426393,,90444.0,231716,-70422,-3927.0,247811,-178582,-179434,-76009,8512.0,-2281.0,-69894,,-13084,-135525,351,,0.0,-148846,,97274,123021,-4.0,-95723,651138,555415,555415,15000.0,-67235.0,-5704.0,1029.0,73264.0,-5588.0,5588.0,,,6511.0,1186.0,,,,-3207.0,-49708.0,-72241.0,,,,-48546.0,40342.0,-3126.0,,-69894.0,3817.0,-12102.0,,,,,,
1463,2014年01月01日至2014年09月30日,,31737,31737,,,58528,-4562,,1780.0,-5715,18.0,43611.0,,,,-159778,36013,-253104,,,152037,-85768,-3244.0,47015,-206089,-162478,-130741,5715.0,-1780.0,-127050,,-13084,-98467,785,,,-100557,,41662,126378,1138.0,-100091,651138,551047,551047,0.0,,-5166.0,1029.0,132233.0,-4922.0,4922.0,,,6511.0,,,,,-1516.0,-38554.0,-73427.0,-17358.0,-16010.0,3698.0,-48546.0,,,,,,,,,,,,
1463,2014年01月01日至2014年06月30日,,20569,20569,,,38718,-6580,,1047.0,-3870,-335.0,27583.0,,,-3617.0,-97043,16494,-100521,,5087.0,105003,-78252,-2568.0,29270,-71251,-43668,-23099,,-1047.0,-25402,,-13084,-37764,337,,3844.0,-40156,,37143,153653,-711.0,87384,651138,738522,738522,0.0,,-5126.0,548.0,115962.0,,3870.0,,,6511.0,,,,,-1397.0,-19277.0,2922.0,,,,,,,,,,,,,,,,
