公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他金融資產減少,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券減少,　　 其他非流動負債增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 處分無形資產,　　 其他金融資產增加,　　 其他非流動資產減少,　　 應付短期票券增加,　　 發放現金股利,　　　　　 其他應收款（增加）減少,　　　　　 其他金融資產（增加）減少,　　 預付設備款增加,　　 預付設備款減少,　　 存入保證金增加,　　 短期借款減少,　　　　　 其他應付款－關係人增加（減少）,　　 其他非流動負債減少,　　　　　 預收款項增加（減少）,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　 收益費損項目,　　　　 其他項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 處分備供出售金融資產,　　 存入保證金減少,　　　　 金融資產減損損失
3315,2016年01月01日至2016年09月30日,,36324,36324,,,4015,1797,6039,26009,-1036,,,,,-7703,-1050620,-93056,-63628,-2725,-1271439,,620,953259,,-13669,,972804,-298635,-260811,-224487,1100,-26068,-31425,-280880,,,-2113,808,-1504,-37481.0,4050.0,-35725,,,,,338237,-30294,-8662,498200,489538,489538,,,,,-70281.0,-48643.0,-5064.0,,515.0,2526.0,405992.0,31946.0,,,,,0.0,37824.0,648.0,0.0,,1000.0
3315,2016年01月01日至2016年06月30日,,28646,28646,,,2728,1234,-5183,16917,-810,,,,,-5459,-75312,-111306,-13211,-1374,-214497,,2116,10816,,2447,,32051,-182446,-166560,-137914,893,-17027,-31344,-185392,,,-1268,0,-1351,2430.0,2845.0,3197,,,,,141748,-11385,-51832,498200,446368,446368,,,,,,-16459.0,8624.0,,541.0,476.0,141272.0,16236.0,,,,,0.0,15886.0,436.0,0.0,,1000.0
3315,2016年01月01日至2016年03月31日,,23632,23632,,,1408,650,-4157,8276,-255,,,,,-3298,55124,-29769,-43514,9,-34809,,16857,-72949,-6889.0,-9055,,-71897,-106706,-99784,-76152,456,-8523,-92,-84311,,,-1062,0,-863,5458.0,3689.0,7539,,147567.0,,,147539,-13518,57249,498200,555449,555449,,,,,,-14604.0,1243.0,,317.0,0.0,0.0,,,,,,0.0,6922.0,139.0,0.0,-28.0,1000.0
3315,2015年度,,96429,96429,,,6523,3298,4376,25780,-1191,,,,,15957,9508,-264220,-11556,837,-295592,,1836,43153,-2685.0,-1161,,42026,-253566,-209776,-113347,1221,-25956,-11283,-149365,,,-4636,267,-1997,,-667.0,-50047,,255432.0,,,129172,25147,-45093,543293,498200,498200,,-44023.0,,,-126506.0,-13354.0,-32764.0,-59.0,,246.0,,,,,,,-996.0,43790.0,883.0,1068.0,,6000.0
3315,2015年01月01日至2015年09月30日,,34000,34000,,,4946,2513,6327,18222,-712,,,,,13138,-182486,-232884,-67299,-3690,-525210,,11147,123065,,-1161,,152937,-372273,-338973,-304973,860,-19763,-7627,-331503,,,-3218,266,-1419,-109813.0,-1494.0,-114339,,384933.0,,,258675,33749,-153418,543293,389875,389875,,,,,-126506.0,-17894.0,-34095.0,,271.0,,0.0,19223.0,,,,,-996.0,33300.0,663.0,1068.0,248.0,3000.0
3315,2015年01月01日至2015年06月30日,,-25182,-25182,,,3332,1688,-1415,11632,-560,,,,,14359,580694,-349545,-24484,-8300,220636,,2505,-88010,,-3779,,-94558,126078,139759,114577,738,-13031,-12558,89726,,,-2242,10,-1218,2208.0,-368.0,-60,,,,,-91804,-17655,-19793,543293,523500,523500,,,,,,7880.0,32.0,,482.0,,-91967.0,-5715.0,,,,,-996.0,13681.0,441.0,1068.0,163.0,
3315,2015年01月01日至2015年03月31日,,12680,12680,,,1709,838,2589,6247,-137,,,,,-881,492447,-189199,-39885,-7028,249343,,-554,-94556,,-1254,,-96265,153078,163328,176008,431,-7883,-1000,167556,,,-1219,10,-794,,-1261.0,-15948,,,,,-65752,-7435,78421,543293,621714,621714,,-13937.0,,,,-6143.0,32.0,,185.0,,-65995.0,-122.0,,,,,-996.0,10250.0,221.0,1068.0,243.0,
3315,2014年度,,175002,175002,,,7769,3646,-1203,26804,-1254,,35762.0,,,77,-85279,-199058,10190,-348,-258801,,-472,121988,14304.0,19978,818.0,156616,-102185,-66423,108579,1154,-27083,-5459,77191,,,-3601,12,-1586,,-3678.0,-32852,,26438.0,0.0,,-42514,41684,43509,499784,543293,543293,0.0,-24167.0,,,-70281.0,5903.0,9714.0,168.0,,1329.0,,,,,0.0,,,,,,,
3315,2014年01月01日至2014年09月30日,,90578,90578,,,5848,2757,-3730,20612,-778,1.0,24710.0,,,2701,83024,-341662,-35882,-2509,-301667,,4828,247396,9464.0,2295,617.0,277836,-23831,879,91457,884,-19724,-357,72260,,,-2488,11,-1487,390432.0,-4551.0,11738,,5029032.0,0.0,,-63196,21101,41903,499784,541687,541687,0.0,-374658.0,4027.0,,-70281.0,-17160.0,9821.0,-2420.0,2872.0,,-5021947.0,,0.0,13236.0,,,,,,,,
3315,2014年01月01日至2014年06月30日,,60598,60598,,,3913,1855,-5688,14010,-641,0.0,13449.0,,,860,265155,-204018,-31248,-12650,976,,-447,109251,,9450,416.0,111557,112533,125982,186580,757,-14093,-260,172984,,,-2488,11,-1211,248380.0,-3943.0,17589,,3514267.0,0.0,,-207545,3349,-13623,499784,486161,486161,0.0,-226479.0,2808.0,,,-27028.0,9905.0,-2168.0,2679.0,,-3721812.0,-7113.0,0.0,,,,,,,,,
