公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產增加,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券增加,　　 償還長期借款,　　 發放現金股利,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 非金融資產減損損失,　　 存出保證金增加,　　 短期借款增加,　　 應付短期票券減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 取得以成本衡量之金融資產
1725,2015年01月01日至2015年09月30日,,193851,193851,,,11990,518,10215,-6088,-49075.0,-314.0,-22813,0.0,-1158.0,7683,-49042.0,,,94664,135681,1027,-10540,-7991,2156.0,214997,,-60728,-684,31803,1730,6392,-2342,1096.0,-22733,192264,143222,337073,6116,49075.0,-10303,-38369,343592,,-84033,95477,-437.0,-515,314.0,282.0,-669.0,44886,-4265.0,51040,,-239489.0,24151.0,-6691,-113644.0,-5970.0,-341643,-176,52813,700934,753747,753747,,,,,,,,,
1725,2015年01月01日至2015年06月30日,,79150,79150,,,7988,328,7082,-4034,344.0,-314.0,-21105,,,11185,272.0,,,44571,203916,-689,-47713,-2774,,197311,,-41071,739,-53023,397,-3273,-2571,726.0,-98076,99235,99507,178657,4063,,-7061,-27624,148035,,-52495,86619,-427.0,-269,314.0,,-373.0,40318,-1668.0,75057,,,,-4461,,,-159895,-5746,57451,700934,758385,758385,-1202.0,3038.0,-149785.0,-5649.0,,,,,
1725,2015年01月01日至2015年03月31日,,39874,39874,,,4006,158,3560,-1925,,,-6899,,,11216,9154.0,,,59378,40875,-7167,-119496,1420,,-24990,,-46149,-1081,188127,1356,-10217,2840,362.0,135238,110248,119402,159276,1933,,-3503,-781,156925,,-42760,36748,,-270,,,,17187,,10886,,,,-2230,,,-125093,-3507,39211,700934,740145,740145,-962.0,-19.0,-133548.0,10685.0,,,,,
1725,2014年度,,204683,204683,,,16323,630,16683,-8362,-53868.0,-11.0,9032,3068.0,,-10455,,,,61702,12428,2634,101811,2203,,180778,,5530,-835,-164635,-1018,1483,1351,,-156543,24235,-1375,203308,8365,53868.0,-16897,-4129,244515,,-75205,93249,,-12805,135.0,899.0,0.0,-2701,0.0,2626,,,,-8921,-63640.0,,-169886,14013,91268,609666,700934,700934,1350.0,,-202766.0,105441.0,,-25610.0,1581.0,-946.0,0.0
1725,2014年01月01日至2014年09月30日,,160492,160492,,,12175,472,13504,-6565,-53868.0,-11.0,1930,3068.0,-2214.0,-1426,-32935.0,,,74609,-140594,-2473,37925,-1897,0.0,-32430,,-20766,1678,18716,-1054,-1928,19633,1182.0,17461,-14969,-47904,112588,6574,51658.0,-13601,-2229,154990,,-58283,65335,-445.0,-1911,134.0,352.0,0.0,7523,-9819.0,2886,,-279662.0,126700.0,-6691,-63640.0,0.0,-223293,2757,-62660,609666,547006,547006,,,,,,,,,
1725,2014年01月01日至2014年06月30日,,65482,65482,,,8039,314,8679,-3881,0.0,0.0,-7248,,,223,5035.0,,,61747,28713,627,46672,2995,,140754,,-28563,545,-45097,853,-7991,28644,799.0,-50810,89944,94979,160461,3881,,-8774,-2596,152972,,-47266,27786,0.0,-11748,0.0,,0.0,11649,0.0,-18718,,,,-4461,,,-36148,-2109,95997,609666,705663,705663,-1091.0,861.0,-130320.0,98633.0,,,,,
1725,2014年01月01日至2014年03月31日,,37753,37753,,,3928,157,4260,-1632,,,-2650,,,251,3686.0,,,109806,49242,2716,65313,8300,,235377,,-15848,60,-16019,-1054,-11300,-1791,409.0,-45543,189834,193520,231273,1630,,-4365,-2354,226184,,-25901,13786,,-8163,,,,5081,,-15211,,,,-2230,,,-140700,3275,73548,609666,683214,683214,-628.0,-14.0,-214295.0,75825.0,,,,,
1725,2013年度,,146582,146582,,,14712,621,16840,-7078,-38841.0,0.0,-14910,27614.0,,1638,,,,-52242,193465,-3644,127755,-12161,,253173,,14577,-656,-51689,-501,-114,2175,,-34861,218312,220556,367138,7092,38841.0,-17088,-8909,387074,,-144111,233091,,-71891,0.0,6443.0,-63.0,9310,-71038.0,-39633,,,,-8921,0.0,,38742,6563,392746,216920,609666,609666,1648.0,,275426.0,-227763.0,,2244.0,1347.0,-867.0,-507.0
1725,2013年01月01日至2013年09月30日,,110411,110411,,,10929,464,12595,-4835,-38841.0,0.0,-6686,23539.0,,4207,,,,56460,130815,-5293,137257,-5769,,313470,,-31464,-1052,-88191,-1101,-754,8120,,-113445,200025,201670,312081,4850,37118.0,-12850,-7978,333221,,-101400,120844,,-141095,0.0,5842.0,-62.0,5920,,-110878,,,,-6691,0.0,,34797,4810,261950,216920,478870,478870,273.0,,203680.0,-162192.0,,1645.0,997.0,-420.0,-507.0
1725,2013年01月01日至2013年06月30日,,53507,53507,,,7255,308,8072,-3182,,,-4878,3764.0,,2087,,,,-7927,98715,-5757,39792,-4216,,120607,,100336,259,-86627,-1555,-3286,62,,9843,130450,144008,197515,3197,,-8306,-2163,190243,,-89205,100324,,-47406,,,,22330,-70946.0,-79600,,,,-4461,,,105281,4611,220535,216920,437455,437455,132.0,5810.0,284426.0,-174684.0,,13558.0,654.0,,-507.0
