公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 停業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他非流動資產增加,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 其他非流動負債減少,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 股利收入,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　　 應計退休金負債增加（減少）,　　 收取之股利,　　 其他投資活動,　　 現金增資,　　　　　 其他流動資產（增加）減少,　　 處分備供出售金融資產,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　　　 股份基礎給付酬勞成本,　　 發放現金股利,　　 處分採用權益法之投資,　　 應付短期票券增加,　　 其他金融資產增加,　　 其他非流動資產減少,　　 短期借款增加
3413,2016年01月01日至2016年09月30日,,521202,0.0,521202,,,64613,7981,,3520,-2219,0,-1111,,,,,-350916,-184684,5371,47274.0,-319163,-37439,-837004,,289767,-48119,,62572,303725,-533279,-452403,68799,-74984,-6185,,,-117767,8825,-10184.0,2219,-271172,,,-11,-3520,313090,-34079,1654,1492451,1494105,1494105,-11508.0,,9305.0,,11508.0,-2114.0,420000.0,2553.0,0.0,,80876.0,-495.0,10295.0,-272000.0,,,-163659.0,,168621.0
3413,2016年01月01日至2016年06月30日,,279236,,279236,,,41749,5377,,1875,-1621,0,-1896,,,,,-266904,-152956,-23475,,-248987,-35254,-736824,,43733,-57923,,-35038,-49558,-786382,-740607,-461371,-43628,-504999,,,-93708,6610,,1621,-188319,,,-11,-1875,145940,-7171,-554549,1492451,937902,937902,,,-10004.0,,,-3820.0,9148.0,-9248.0,0.0,,45775.0,-330.0,10295.0,,,,-99592.0,570.0,138678.0
3413,2016年01月01日至2016年03月31日,,88424,0.0,88424,,,20283,2702,0.0,766,-910,0,-2109,0.0,,,,-103205,-217481,13385,120404.0,-120149,16625,-290381,,-187284,-73173,0.0,-7219,-267828,-558209,-550840,-462416,0,-462416,,,-25844,6593,-32434.0,910,-65641,,-85807.0,0,-766,-66595,-7175,-601827,1492451,890624,890624,,0.0,-13363.0,,,-14866.0,0.0,40.0,0.0,,7369.0,-152.0,0.0,0.0,0.0,19978.0,,,
3413,2015年度,,558914,0.0,558914,,,71601,13874,2415.0,6663,-1710,173,545,1951.0,,,,12952,3658,-142681,,-56743,-7514,-192881,,289690,52656,0.0,-15043,326583,133702,214267,773181,-11638,761543,,,-113585,489,-59467.0,1710,-50889,,-195073.0,-357,-6663,217907,156,928717,563734,1492451,1492451,-11914.0,0.0,-23026.0,,11914.0,103985.0,480000.0,-2553.0,0.0,,80565.0,-720.0,19993.0,-60000.0,4065.0,,,,
3413,2015年01月01日至2015年09月30日,,378559,0.0,378559,,,49335,10299,0.0,5255,-1040,173,404,0.0,,,,-55511,-107685,-18561,,-233964,18593,-403358,,86558,2357,-1688.0,-13237,73495,-329863,-278683,99876,-11568,88308,,0.0,-49179,113,138.0,1040,58046,,-98094.0,-12,-5255,316639,3711,466704,563734,1030438,1030438,-11914.0,0.0,-21325.0,,11914.0,94020.0,480000.0,-6230.0,0.0,,51180.0,-495.0,19993.0,-60000.0,,,,,
3413,2015年01月01日至2015年06月30日,,203253,0.0,203253,,,32355,6566,0.0,3706,-856,173,201,0.0,,,,-28250,129734,7165,,-84964,23384,41594,,-129643,-22047,2060.0,-6566,-156447,-114853,-91367,111886,-7555,104331,,0.0,-38353,0,-5357.0,856,-75852,,-112250.0,-12,-3706,-115968,-4952,-92441,563734,471293,471293,0.0,0.0,-18659.0,,0.0,-32998.0,0.0,-5475.0,0.0,,23486.0,-251.0,,,,,,,
3413,2015年01月01日至2015年03月31日,,74387,0.0,74387,,,16335,3505,0.0,2027,-589,176,114,0.0,,,,45317,227763,4647,,1820,40376,316389,,-323058,-55824,1685.0,-6264,-383632,-67243,-49394,24993,0,24993,,0.0,-16092,0,-4903.0,589,-16146,,-108.0,0,-2027,-2135,-2674,4038,563734,567772,567772,0.0,0.0,-3719.0,,0.0,4260.0,0.0,-3534.0,0.0,,17849.0,-171.0,,,,,,,
3413,2014年度,,212968,117020.0,329988,,,61233,13752,-31830.0,5584,-3266,390,3225,-8735.0,3028.0,,,84114,-176160,35285,,-166574,-42644,-265979,,-140747,179039,-138595.0,-34684,-135082,-401061,-398033,-68045,775,-67270,,0.0,-71064,750,-24712.0,3266,-84267,,246830.0,777,-5584,242023,12663,103149,460585,563734,563734,-19508.0,0.0,-17817.0,-95.0,19624.0,-21535.0,0.0,0.0,9404.0,,,,,,,,,,
3413,2014年01月01日至2014年09月30日,,193039,109898.0,302937,,,46222,10266,-37572.0,3716,-2375,134,1679,-8735.0,,,,169790,-257182,29682,,-28050,-24520,-110280,,-87564,114181,-30805.0,-29308,-33591,-143871,-149061,153876,775,154651,,0.0,-59821,535,-18090.0,2375,-234379,,92814.0,776,-3716,89874,7719,17865,460585,478450,478450,-19508.0,0.0,983.0,,19508.0,-188290.0,0.0,0.0,9404.0,,-5190.0,-95.0,0.0,0.0,,,,,
3413,2014年01月01日至2014年06月30日,,145059,21479.0,166538,,,31390,6653,0.0,2424,-2036,411,126,0.0,30879.0,,,62618,-31560,4686,-90634.0,30720,-17529,-42903,,-26602,-741,-23775.0,-20098,-71216,-114119,-83240,83298,-775,82523,,0.0,-60454,524,-9389.0,2036,-188585,,81951.0,9,-2424,79536,-3050,-29576,460585,431009,431009,0.0,0.0,-8089.0,0.0,116.0,-121418.0,0.0,-1204.0,,,,,,,,,,,
