公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 未實現銷貨利益（損失）,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 收取之利息,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 償還長期借款,　　 存入保證金減少,　　 發放現金股利,　　 員工執行認股權,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 應付帳款－關係人增加（減少）,　　 短期借款增加,　　 存入保證金增加,　　　 不影響現金流量之收益費損項目,　　　　 處分無形資產損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 已實現銷貨損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 其他應付款－關係人增加（減少）,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 處分採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）,　　 存出保證金增加,　　 非控制權益變動,　　　　 非金融資產減損迴轉利益,　　 處分子公司,　　 舉借長期借款
2345,2015年01月01日至2015年09月30日,,911258,911258,,,228624,38672,0,6918,826,-34363,-3828.0,28245,0,324,-429,67782,59454.0,0.0,-113359,278866.0,,,380442,0,94781,-425676,-52740,-986,16996,12817,,1016839,-52550,-81410,102004,-4280.0,980603,993420,1272286,2183544,-855,-40703,2141986,,-102198.0,0,-114020.0,-62020,429.0,14299.0,0.0,-76226,1917,4912.0,-10402,30275,3828.0,-309206,,-91095.0,0,0.0,-572760.0,9838,-654017,172546,1351309,4485059,5836368,5836368,,,,,,,,,,,,,,,,,,,,,,
2345,2015年01月01日至2015年06月30日,,386644,386644,,,154485,25629,0,10997,1057,-24708,-623.0,17918,0,323,0,0,68478.0,0.0,53661,307217.0,,,420186,0,61973,261299,-30951,-9238,16996,720265,,15704,-69183,-71094,57923,-3207.0,-69857,650408,957625,1344269,-1086,-34602,1308581,,-102198.0,0,-22938.0,-31025,,10293.0,0.0,-76212,1873,5097.0,-8249,22663,623.0,-200073,,-91095.0,0,0.0,,10711,-80384,-150282,877842,4485059,5362901,5362901,,,,,,,,,,,,,,,,,,,,,,
2345,2015年01月01日至2015年03月31日,,118846,118846,,,78466,12871,0,-3477,691,-11184,,9350,0,94,0,0,25701.0,0.0,46125,158637.0,,,745920,0,97677,93937,-19263,-26261,9997,902007,,-763779,-118080,24592,38119,-978.0,-820126,81881,240518,359364,-720,-46415,312229,,-102198.0,0,-1186.0,0,,,0.0,-50522,745,1239.0,-2553,10719,,-143756,,-533635.0,0,,,2283,-88812,-74402,5259,4485059,4490318,4490318,0.0,442540.0,0.0,,,,,,,,,,,,,,,,,,,
2345,2014年度,,704021,704021,,,316269,52420,-5306,1997,2482,-48850,-4187.0,5526,-5643,7565,-6782,42343,106956.0,,-164166,,,,-831657,16008,30336,-358068,23412,-3252,-11,-1123207,,91332,-55330,228064,11234,,270335,-852872,-541820,162201,-2835,-74149,85217,,-115334.0,80041,,-12430,,5619.0,668000.0,-170192,37706,,-18849,46433,4187.0,422093,,,-259028,,-483389.0,45643,-621773,328359,213896,4271163,4485059,4485059,-1793.0,91095.0,-16094.0,,1132.0,877.0,-283.0,8702.0,311052.0,0.0,25.0,-14.0,-3158.0,-57912.0,5684.0,24672.0,-77591.0,2059.0,0.0,,,
2345,2014年01月01日至2014年09月30日,,417025,417025,,,238093,40222,-14387,1919,1748,-37457,-2800.0,598,-5298,316,-8254,22455,5276.0,907.0,-89524,153814.0,,,-234747,1900,61488,-208870,4269,-24292,-5,-400257,,66759,-46875,14816,22746,-1125.0,56321,-343936,-190122,226903,-2770,-58855,165278,,-64695.0,80041,-59033.0,-12430,0.0,5619.0,668000.0,-129462,31347,1923.0,-15652,34879,0.0,540537,,0.0,-163824,-14362.0,-483389.0,37586,-623989,77453,159279,4271163,4430442,4430442,,,,,,,,,,,,,,,,,,,,,,
2345,2014年01月01日至2014年06月30日,,348176,348176,,,156838,28100,-13267,1997,1373,-25992,0.0,2218,-3882,18851,-8254,22455,11774.0,716.0,-29431,163496.0,,,-800280,-596,201787,262340,12398,-43361,-4,-367716,,-79815,-210477,11234,-2962,-903.0,-282923,-650639,-487143,-138967,-1607,-40707,-181281,,-64695.0,80041,-37463.0,-9132,,0.0,668000.0,-92967,12060,-603.0,-13518,24312,0.0,566035,,0.0,-19516,-16042.0,,20640,-14918,-29105,340731,4271163,4611894,4611894,,,,,,,,,,,,,,,,,,,,,,
2345,2014年01月01日至2014年03月31日,,199317,199317,,,71541,14997,-261,2334,639,-11064,,1580,-2182,15183,-6522,22455,-11100.0,830.0,-16488,81942.0,,,-220219,-6850,131494,128350,2366,-32023,-4,3114,,-272499,-231832,34,21381,-418.0,-482872,-479758,-397816,-198499,-646,-13932,-213077,,-24695.0,15278,-36647.0,-9132,,,668000.0,-38332,4925,1315.0,-4573,10236,,586375,,0.0,-19517,,,11010,-24125,82536,431709,4271163,4702872,4702872,462.0,0.0,-15618.0,,,,,,,,,,,,,,,,,,,
2345,2013年度,,694768,694768,,,339439,72817,20272,-1997,3253,-23824,-7830.0,16340,-9405,660,-197485,20036,-126298.0,,-54659,,,,916505,9509,-12833,-218262,-44383,223,-3986,659340,,126188,59103,14245,-72827,,-3318,656022,721128,1415896,-3414,-116612,1295870,,0.0,395316,,-72284,,0.0,0.0,-181505,5106,,-65078,22543,7830.0,104374,,,-110080,,-782758.0,69558,-819236,130062,711070,3560093,4271163,4271163,-127791.0,0.0,-654.0,,0.0,0.0,-364.0,14151.0,65106.0,12384.0,183.0,-71.0,-2165.0,-2481.0,0.0,0.0,0.0,-5073.0,4698.0,,,
2345,2013年01月01日至2013年12月31日,,694768,694768,,,339439,72817,20272,0,3253,-23824,-7830.0,16340,-9405,660,-197485,20036,0.0,,-54659,,,,916505,9509,-12833,-218262,-44383,223,-3986,657343,,126188,59103,14245,-72827,,-3318,654025,721128,1415896,-3414,-116612,1295870,,,395316,,-72284,0.0,0.0,,-181505,5106,,-65078,22543,7830.0,104374,,,-110080,,-782758.0,69558,-819236,130062,711070,3560093,4271163,4271163,-127791.0,0.0,-654.0,,,,-364.0,14151.0,67103.0,10387.0,183.0,-71.0,-2165.0,-2481.0,,,,-5073.0,4698.0,-126298.0,0.0,0.0
2345,2013年01月01日至2013年09月30日,,496066,496066,,,257806,55239,-657,-3744,2337,-17460,-7830.0,12515,-8328,330,-179038,8180,,0.0,-32886,,,,386881,-86,156279,-86794,-85254,-14434,719,369700,,-251220,-217127,15945,-48514,,-617576,-247876,-286690,209376,-2400,-73567,133409,,0.0,354152,,-14850,,0.0,0.0,-154431,4681,0.0,-52217,17692,,150689,,,-116932,-412.0,-782757.0,59583,-840518,74787,-481633,3560093,3078460,3078460,-127816.0,,,,,,,,-38814.0,12316.0,73.0,12336.0,-1180.0,-2369.0,,,,-1969.0,,-125278.0,,
