公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分無形資產損失（利益）,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債務工具投資,　　 取得以成本衡量之金融資產,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 發行公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金減少,　　 發放現金股利,　　 處分子公司股權（未喪失控制力）,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 非金融資產減損迴轉利益,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　 取得無活絡市場之債券投資,　　 預付投資款增加,　　 按攤銷後成本衡量之金融資產到期還本,　　 處分子公司,　　 處分無活絡市場之債券投資
8114,2015年01月01日至2015年09月30日,,546932,546932,,,39009,2334,1001,-85.0,10897,-6817,598,26.0,6626,0.0,53589.0,,,-75,-85443,-13515,-122923,-12389,3546,-230799,,1558,31609,-22321,34196,1976,-1735.0,45283,-185516,-131927,415005,7571,-2034,-94777,325765,,177678.0,-50000.0,0.0,-168806,1182.0,-796,461,-1432,-13644,-55357,,481978,-95750.0,0.0,2099.0,-259,-9457.0,-490089.0,337.0,575.0,-110566,-1012,158830,491040,649870,649870,,,,,,,,,
8114,2015年01月01日至2015年06月30日,,302616,302616,,,25043,1529,744,,7112,-4823,360,,3421,,33386.0,,,63,-51230,-2803,-42683,-3861,2364,-98150,,721,-9263,19371,4563,18106,-1169.0,32329,-65821,-32435,270181,5472,-1278,-43647,230728,,170453.0,,0.0,-141286,1171.0,-665,459,-1282,-12225,16625,,4620,-2638.0,,2156.0,-158,-9457.0,,,,-5477,-5475,236401,491040,727441,727441,,,,,,,,,
8114,2015年01月01日至2015年03月31日,,127657,127657,,,12794,724,352,-85.0,3764,-2542,357,,2935,-603.0,17696.0,,,-80,-58669,-5596,-17971,-5018,-1914,-89248,,822,19528,-20785,-104,7235,,6696,-82552,-64856,62801,2471,-521,-1690,63061,,206731.0,,0.0,-93905,1171.0,-436,312,-1282,-9151,103440,,0,-2697.0,,,-88,-9457.0,,,,-12242,-1059,153200,491040,644240,644240,0.0,,,,,,,,
8114,2014年度,,701425,701425,,,48177,2788,-648,595.0,10141,-10610,-1587,,6510,-2226.0,,,,-59,-18969,-4492,-36109,-4481,-1503,-65613,,-1265,-19059,-40142,-51286,959,,-110793,-176406,-114320,587105,10020,-4063,-129200,463862,,,-4500.0,3185.0,-191818,14761.0,-2802,2464,-3286,-31583,-656883,,679812,-831273.0,844708.0,,-561,0.0,-442136.0,,2200.0,252750,7876,67605,423435,491040,491040,-4.0,,8950.0,62086.0,-443304.0,,,,
8114,2014年01月01日至2014年09月30日,,543043,543043,,,34801,2111,1012,340.0,5542,-7519,-1607,0.0,-2745,0.0,31935.0,,,-124,-33862,-5953,-58209,-4237,4472,-97913,,-1487,-33928,-65753,-23890,5630,-1706.0,-121134,-219047,-187112,355931,7347,-2724,-126977,233577,,-442070.0,-4500.0,3185.0,-106659,14761.0,-2515,2495,-3154,-19559,-558016,,665633,-522355.0,844708.0,0.0,-422,0.0,-442136.0,0.0,2200.0,547628,2081,225270,423435,648705,648705,,,,,,,,,
8114,2014年01月01日至2014年06月30日,,377944,377944,,,22828,1435,949,,1784,-4768,-1600,,1662,,22290.0,,,-52,-23016,-8582,-44402,-2133,5130,-73055,,-182,-18934,-11416,-11491,7084,-1189.0,-36128,-109183,-86893,291051,5205,-1915,-68702,225639,,4586.0,,3185.0,-42860,14757.0,-485,473,-2885,-9659,-32888,,315000,-503726.0,,0.0,-280,0.0,,,,-189006,139,3884,423435,427319,427319,,,,,,,,,
8114,2014年01月01日至2014年03月31日,,190627,190627,,,11179,751,842,0.0,1048,-2665,-1141,,1221,-647.0,10009.0,,,7,-73252,-17466,-55220,-4306,5270,-144967,,293,30698,-26251,3876,14216,,22832,-122135,-112126,78501,2910,-1156,-1893,78362,,3410.0,,3185.0,-25252,13962.0,-34,413,-1905,-4094,-10315,,308931,-421271.0,,,-139,0.0,,,,-112479,2221,-42211,423435,381224,381224,-579.0,,,,,,,,
8114,2013年度,,612763,612763,,,39185,1794,445,0.0,4428,-10834,1227,,35483,-2473.0,,,,500,-90713,-4124,-175480,-5878,5505,-270190,,103,58908,91538,16387,-1898,,165038,-105152,-18343,594420,10997,-4337,-93537,507543,,,-26341.0,0.0,-43670,604.0,-391,964,-2532,-418198,-447995,,715240,-567782.0,0.0,,-31959,39.0,-314107.0,,0.0,-198569,-1454,-140475,563910,423435,423435,4.0,,17550.0,86809.0,41569.0,,,,
8114,2013年01月01日至2013年12月31日,,612763,612763,,,39185,1794,445,,4428,-10834,1227,,35483,-2473.0,,,,500,-90713,-4124,-175480,-5878,5505,-270190,,103,58908,91538,16387,-1898,,165038,-105152,-18343,594420,10997,-4337,-93537,507543,,,-26341.0,0.0,-43670,604.0,-391,964,-2532,-418198,-447995,,715240,-567782.0,,0.0,-31959,39.0,-314107.0,0.0,,-198569,-1454,-140475,563910,423435,423435,4.0,,17550.0,86809.0,,,41569.0,,
8114,2013年01月01日至2013年09月30日,,421626,421626,,,28547,1089,750,0.0,3190,-8262,1244,,8953,-1863.0,,,,349,-108997,-8745,-172735,-14456,10147,-294437,,510,65100,35104,42910,-15301,,128323,-166114,-132466,289160,8926,-2957,-93807,201322,,,-22981.0,0.0,-19095,2.0,-251,1314,-1383,-400463,-406296,,653775,-332000.0,0.0,,-5455,-743.0,-314107.0,,0.0,1470,-1576,-205080,563910,358830,358830,,,,33648.0,36561.0,,,,
8114,2013年01月01日至2013年06月30日,,261816,261816,,,18437,526,506,,2003,-5566,183,,4811,-1234.0,,,,491,-84965,-9220,-106685,-11536,8093,-203822,,329,128550,58742,15123,-3537,,199207,-4615,15051,276867,5488,-1880,-50445,230030,,,,0.0,-398330,0.0,-118,1237,-1383,-992,-364528,,282000,-178231.0,,,-3640,,,,,100129,3100,-31269,563910,532641,532641,,,,19666.0,38039.0,-2981.0,,,
8114,2013年01月01日至2013年03月31日,,109245,109245,,,8755,105,-73,,842,-2693,185,,3916,-632.0,,,,417,-2956,-8713,-80625,-10808,9790,-92895,,666,61431,32558,3765,10166,,108586,15691,26096,135341,2505,-633,-801,136412,,,,0.0,-380014,0.0,-87,1152,-683,-1488,-380553,,173696,0.0,,,-1822,,,,,171874,4020,-68247,563910,495663,495663,0.0,,,10405.0,567.0,,,,
8114,2012年01月01日至2012年12月31日,,454903,454903,,,35041,968,1515,,3759,-9774,82,,20668,-6505.0,,,,-332,-6972,89,-6979,-2155,50,-16299,,-384,11238,-10051,10406,-1117,,10092,-6207,39527,494430,9149,-3737,-64443,435399,,,-9000.0,5000.0,-11997,101.0,-587,1705,-413,-92354,-156290,,67671,-91425.0,,37023.0,-4388,-509.0,-262264.0,770.0,,-253122,-6624,19363,544547,563910,563910,-20.0,,0.0,45734.0,,,-48745.0,,
8114,2012年01月01日至2012年09月30日,,328380,328380,,,26545,816,29,,3092,-7138,-50,,5361,-4804.0,,,,-25,-78660,-4430,-44350,2674,645,-124146,,-214,109192,-1113,11483,-7023,,112325,-11821,12010,340390,6987,-3069,-59128,285180,,,-9000.0,,-9021,95.0,-187,1684,-303,-88868,-149964,,67674,-85218.0,,37155.0,-2586,0.0,-262264.0,,,-245239,-3830,-113853,544547,430694,430694,-20.0,,,23831.0,-49364.0,,,5000.0,
8114,2012年01月01日至2012年06月30日,,199256,199256,,,17373,585,-153,,2217,-4852,-70,,1239,-3134.0,,,,195,-79470,-1494,-26050,799,383,-105637,,-359,79125,16619,4386,-1948,,97823,-7814,5103,204359,4615,-2096,-23268,183610,,,-9000.0,,-99805,95.0,-491,1169,-66,9763,-143674,,67760,-35777.0,,37018.0,-752,,,,,68249,-4302,103883,544547,648430,648430,-288.0,,,12917.0,-50339.0,0.0,,5000.0,
8114,2012年01月01日至2012年03月31日,,81309,81309,,,8683,381,-1088,,1092,-2236,0,,857,-1531.0,,,,184,24323,-2354,-45128,-2949,342,-25582,,273,66379,-14421,-7042,-6773,,38416,12834,14197,95506,2000,-1034,-786,95686,,,,,-8959,,-1923,730,0,-36535,-62319,,45992,,,,0,,,,,45992,-1632,77727,544547,622274,622274,-4795.0,,,1363.0,-15632.0,,,,0.0
