公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 停業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資性不動產損失（利益）,　　　　 處分其他資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 應付建造合約款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 取得投資性不動產,　　 處分投資性不動產,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 現金增資,　　 取得子公司股權,　　 處分子公司股權（未喪失控制力）,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 處分以成本衡量之金融資產,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 採用權益法之被投資公司減資退回股款,　　 處分無形資產,　　　　 非金融資產減損損失,　　　　　 應付建造合約款（增加）減少,　　 支付之股利,　　 短期借款減少,　　 償還公司債
9945,2015年01月01日至2015年09月30日,,7153179,0.0,7153179,,,296035,9389,-22,-1,249764,-28677,-239709.0,-5837791,89167,-177176.0,-39455.0,0,0.0,39818.0,0.0,-5638658.0,,,134180,-56825.0,-1986480,-41578.0,236434,73777,246348.0,-374817,-24412,4555,-4748.0,-1793566,,-473879,14932.0,-771653,-2156.0,520695.0,-30039,-220697,14365.0,-948432,-2741998,-8380656,-1227477,28677,1308775.0,-458340,-249052,-597417,,-432000.0,0,0.0,0,0.0,0.0,-80467,185569,90809.0,-30668,-2124576,641422.0,21236,-1728675,,-2518000.0,-1034253,15307088,-12380880.0,67125,-4767597.0,7762757.0,0.0,2112.0,-48560.0,2389792,39994,103694,2108863,2212557,2212557,,,,,,,,,,
9945,2015年01月01日至2015年06月30日,,3412975,,3412975,,,176318,6364,811,-1,147952,-20339,-713.0,-3242413,89200,-177176.0,-39455.0,0,0.0,39818.0,0.0,-3019634.0,,,105756,,-503037,1447.0,123933,25168,243950.0,-814788,-61239,-11589,-6970.0,-897369,,-276450,-2127.0,-635919,-2761.0,66237.0,-39617,253765,47194.0,-589678,-1487047,-4506681,-1093706,20339,713.0,-281513,-188806,-1542973,,-432000.0,0,0.0,0,0.0,0.0,-49934,185215,112280.0,-15555,-1742100,641422.0,15058,-1285614,,407000.0,-334806,6561880,-2755625.0,65245,,,,,-128667.0,3815027,65635,1052075,2108863,3160938,3160938,0.0,,,,,,,,,
9945,2015年01月01日至2015年03月31日,,1736212,,1736212,,,66164,2707,-560,0,60974,-7679,,-1595299,89935,-177176.0,-40310.0,0,0.0,39818.0,0.0,-1561426.0,,,170412,,-489090,-19838.0,179740,47100,242427.0,-565642,-128862,31399,-9409.0,-541763,,-289424,396.0,-474677,-1759.0,237341.0,-99062,93549,39509.0,-494127,-1035890,-2597316,-861104,7679,,-128500,-14857,-996782,,-432000.0,0,,0,0.0,,-38533,36523,50965.0,-1859,-1230639,192648.0,7430,-1415465,,17000.0,-184321,2726208,-590244.0,26142,,,,,,1994785,140925,-276537,2108863,1832326,1832326,,,,,,,,,,
9945,2014年度,,7423808,0.0,7423808,,,262556,18579,541,73,422767,-53030,-201257.0,-6206320,-5575,0.0,,-553297,-20015.0,,-1115.0,,,,313707,,192257,-46602.0,-20552,6799,-230930.0,-1522196,-51194,37390,-44946.0,-1366267,,-547089,-8263.0,294043,-6140.0,-401149.0,175000,302104,-4481.0,-195975,-1562242,-7898335,-474527,53030,1384097.0,-575210,-316446,70944,,-210833.0,1067422,-71291.0,-742295,30708.0,18453.0,-866066,41373,159501.0,-14973,-3881444,0.0,-1579515,-5583665,,-1039000.0,984375,23627293,-15346991.0,118782,-5244845.0,0.0,-141369.0,967122.0,132313.0,4057680,-252762,-1707803,3816666,2108863,2108863,48930.0,,-6336093.0,416036.0,329.0,,,,,
9945,2014年01月01日至2014年09月30日,,5641652,0.0,5641652,,,195048,12507,-64,73,311354,-41034,-201257.0,-4523709,798,0.0,0.0,-553297,-20015.0,0.0,-1115.0,-4820711.0,,,345107,0.0,-196183,-68088.0,189935,79925,-10362.0,-1337604,-136489,20767,6725.0,-1106267,,-475930,17355.0,165758,7284.0,-315089.0,179157,218479,-85561.0,-288547,-1394814,-6215525,-573873,41034,1384097.0,-345723,-303051,202484,,-210833.0,1067424,-70818.0,-742295,30708.0,18453.0,-146531,12183,199306.0,-13368,-3106401,0.0,-1643328,-4605500,,265000.0,775076,19349541,-12218194.0,43936,-5244845.0,0.0,-95548.0,39912.0,132313.0,3047191,58393,-1297432,3816666,2519234,2519234,,,,,,,,,,
9945,2014年01月01日至2014年06月30日,,2587157,,2587157,,,128902,7765,-89,68,216608,-29441,-4464.0,-1974708,-81,0.0,0.0,-265104,-21076.0,0.0,-956.0,-1942576.0,,,323302,,-59913,-37389.0,207392,-2766,-12714.0,-653029,-110378,-78344,-25798.0,-449637,,-462635,-2632.0,71426,-1399.0,-276325.0,-23343,178713,30808.0,-485387,-935024,-2877600,-290443,29441,4464.0,-225291,-209958,-691787,,-210833.0,756193,-70818.0,-742295,28132.0,18453.0,-81576,10715,199562.0,-9099,-1922300,0.0,-1707125,-3682061,,-825000.0,1024820,10571129,-7211426.0,-36499,,,,,635863.0,4158887,-43605,-258566,3816666,3558100,3558100,48930.0,,,,,,,,,
9945,2014年01月01日至2014年03月31日,,1053004,,1053004,,,63540,4963,181,35,109832,-15260,,-981623,-86,0.0,0.0,-14190,-21076.0,0.0,-478.0,-854162.0,,,256263,,47183,-3238.0,261991,52376,-3987.0,-198874,-166623,112361,-73571.0,283881,,-563879,-4167.0,-41765,-5571.0,-228389.0,-195041,226728,14079.0,-798005,-514124,-1368286,-315282,15260,,-115731,-611,-416364,,-210833.0,168384,,-725176,46585.0,,-36804,10605,136306.0,-2451,-907348,0.0,-1710797,-3231529,,530000.0,679358,5633206,-3854658.0,-40952,,,,,,2946954,-153625,-854564,3816666,2962102,2962102,,,,,,,,,,
9945,2013年度,,31584709,15479.0,31600188,,,276430,19208,-1182,-1517,391628,-30096,-175694.0,-30896535,39,-14728.0,,-46171,23954.0,,-1911.0,,,,-363018,,-30499,-4580.0,-51838,-92675,52619.0,-3174821,6671,-86697,-1907.0,-3746745,,509399,-7980.0,983514,6427.0,6944.0,584375,538946,-18152.0,2603473,-1143272,-31599847,341,30096,725050.0,-421081,-172693,161713,,-311295.0,69323,-532.0,-3130908,119411.0,0.0,-629224,50955,-23297.0,-4309,-3404535,33018.0,-58100,-7183805,,1032000.0,774387,9769457,-7427907.0,87519,-2982194.0,6592501.0,-91503.0,897300.0,-136443.0,8515117,-123243,1369782,2446884,3816666,3816666,3487.0,,-30456575.0,102201.0,0.0,,,,,
9945,2013年01月01日至2013年12月31日,,31584709,15479.0,31600188,,,277877,17761,-1182,-1517,391628,-30096,,-30896535,39,-14728.0,,-46171,-23954.0,,-4325.0,,,,-363018,,-35079,,-51838,-92675,52619.0,-3172407,6671,-156588,,-3812315,,509399,-7980.0,983514,6427.0,,395891,538946,-18152.0,2414989,-1397326,-31728529,-128341,30096,697007.0,-421081,-172693,4988,,-311295.0,69323,-532.0,-3130908,1016711.0,,-512160,50955,,-4309,-3477767,33018.0,-60007,-6221283,,1032000.0,774387,9769457,-7427907.0,87519,-2982194.0,6592501.0,0.0,,-136443.0,7709320,-123243,1369782,2446884,3816666,3816666,3487.0,,-30331203.0,102201.0,,,6944.0,0.0,,
9945,2013年01月01日至2013年09月30日,,4267091,15479.0,4282570,,,192661,13523,-1017,-1698,284161,-14303,-147651.0,-3893611,41,-14728.0,,-4755,-13022.0,,-1434.0,,,,-312489,,-81828,,150450,50122,,-1834075,-47073,180235,,-1894658,,200619,,955671,,-84017.0,24949,69253,,1166475,-728183,-4330016,-47446,14303,697007.0,-255468,-109815,298581,,0.0,20209,0.0,-2500000,36515.0,36545.0,-474316,24926,,-5488,-2310589,33018.0,45083,-4983573,,1660000.0,39982,7323567,-7205432.0,78859,-2982194.0,6592501.0,0.0,0.0,-136443.0,5370840,-95595,590253,2446884,3037137,3037137,8323.0,,-3601833.0,102201.0,,,,,,
