公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 停業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分其他資產損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款－關係人增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 取得不動產、廠房及設備,　　 其他非流動資產減少,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 舉借長期借款,　　 償還長期借款,　　 其他應付款－關係人減少,　　 發放現金股利,　　 支付之利息,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 股份基礎給付酬勞成本,　　　　 處分投資損失（利益）,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 其他營業負債增加（減少）,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分備供出售金融資產,　　 處分不動產、廠房及設備,　　 其他金融資產增加,　　 其他非流動資產增加,　　 現金增資,　　 取得無形資產,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　 取得採用權益法之投資,　　　 收益費損項目,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 其他金融資產減少,　　　　 不動產、廠房及設備轉列費用數,　　　　 其他項目,　　 發行公司債
4137,2016年01月01日至2016年09月30日,,825723,,825723,,,68030,12926,-19155,575,,,,,,651287,-8883,9556,643215,,-5699,2289,-87515,,-242692,400523,475114,1300837,-188084,1112753,,,,-43147,-144781.0,19293,-179842,,,,,-794924.0,,,-794924.0,-178457,-40470,3396435,3355965,3355965,,,-25.0,5277.0,477.0,-14474.0,-101640.0,-22364.0,-3360.0,-20423.0,-11431304.0,11448649.0,,,111702.0,,,-18170.0,12667.0,-5277.0,-122084.0,,4825.0,74591.0,-3980.0,,,,
4137,2016年01月01日至2016年06月30日,,638952,,638952,,,45361,8578,-12482,285,,,,,,631625,-28986,9082,607999,,-14306,-25767,-59822,,-267945,340054,391766,1030718,-145116,885602,,,,-20751,,12621,-176799,,,,,,,,,-87793,621010,3396435,4017445,4017445,,,-573.0,10607.0,950.0,-14706.0,-114621.0,-28921.0,-4984.0,-17425.0,-7786982.0,7798560.0,,,106148.0,-146141.0,,-18170.0,6982.0,1024.0,-122084.0,,1964.0,51712.0,-2099.0,,,,
4137,2016年01月01日至2016年03月31日,,429312,,429312,,,22719,4279,-7287,182,,,,,,380842,-35289,-17001,340439,,-2594,-53335,-54844,,-179860,160579,183358,612670,-69948,542722,,,,-6976,,6752,-45168,,,,,,,,,-33495,464059,3396435,3860494,3860494,,,-144.0,13454.0,434.0,-1857.0,-64130.0,-1590.0,-2473.0,1206.0,-3633926.0,3639429.0,,,107165.0,-139442.0,,-18170.0,4042.0,-2246.0,0.0,,1090.0,22779.0,-2100.0,,,,
4137,2015年度,,1441649,,1441649,,,98505,1421,-35906,121,,,,,,-638046,-201908,-41434,-865842,,14351,-13746,40355,,180576,-685266,-616057,825592,-275834,549758,,,,-36648,2278.0,36113,121223,,,0.0,,-556446.0,0.0,,333482.0,-18280,986183,2410252,3396435,3396435,,,-1002.0,-13437.0,27148.0,2837.0,112328.0,20584.0,-5529.0,12073.0,-10313791.0,10335559.0,,0.0,99131.0,,,-954.0,13133.0,-24463.0,-465.0,,3981.0,69209.0,160.0,,1633.0,10784.0,889928.0
4137,2015年01月01日至2015年09月30日,,923867,,923867,,,66092,0,-30173,100,,,,,,-361836,-198396,-47888,-589256,,14286,24110,-83090,,64355,-524901,-490701,433166,-216321,216845,,,,-23706,2360.0,31036,243845,,,0.0,,-556446.0,0.0,,-556446.0,55915,-39841,2410252,2370411,2370411,,,-587.0,-7676.0,28157.0,-1030.0,109027.0,-19514.0,-7857.0,27272.0,-6497899.0,6513115.0,,0.0,220404.0,,,-989.0,9832.0,-14768.0,-476.0,,3117.0,34200.0,121.0,,,,
4137,2015年01月01日至2015年06月30日,,510707,,510707,,,44082,0,-24431,73,,,,,,-161986,-61879,-47517,-244453,,4013,92388,-13512,,145293,-99160,-79150,431557,-130009,301548,,,,-11602,0.0,25434,18183,,,0.0,,,0.0,,0.0,-54081,265650,2410252,2675902,2675902,,,-736.0,229.0,25939.0,1497.0,56946.0,-17962.0,-2825.0,26163.0,-2601048.0,2609437.0,,0.0,-3262.0,,,0.0,6420.0,-8418.0,-776.0,,2284.0,20010.0,82.0,,,,
4137,2015年01月01日至2015年03月31日,,217890,,217890,,,22224,0,-15244,49,,,,,,-53396,-31777,-28393,-91151,,5281,26925,43646,,101974,10823,22346,240236,-16363,223873,,-780130.0,690559.0,-4500,,15270,127630,,,0.0,,,0.0,,0.0,-19514,331989,2410252,2742241,2742241,,,-575.0,-3990.0,27162.0,-182.0,37754.0,-12196.0,-1549.0,2073.0,,,,0.0,0.0,0.0,,0.0,3237.0,-1313.0,-787.0,,2570.0,11523.0,40.0,207218.0,,,
4137,2014年度,,997281,,997281,,,85975,16025,-47687,192,,,49329.0,,,-21743,3671,26351,-18138,,-13295,-46785,-2801,143.0,45421,27283,76612,1073893,-249982,823911,,,,-94187,,50009,-215944,,0.0,-437815.0,,-492096.0,-16025.0,,-945936.0,101858,-236111,2646363,2410252,2410252,0.0,,438.0,937.0,-29019.0,1227.0,19599.0,27476.0,6065.0,55019.0,-3390355.0,3468273.0,0.0,374.0,-107350.0,988.0,0.0,-65371.0,2096.0,-7272.0,-78325.0,,,,,,,,
4137,2014年01月01日至2014年09月30日,,718886,,718886,,,62771,15869,-35339,249,,,39044.0,,,-7322,-62050,-23131,-90949,,32476,-54999,-85955,104.0,-34009,-124958,-85914,632972,-197597,435375,,,,-59558,,35339,-110198,,0.0,-424230.0,,-492096.0,-15869.0,,-932195.0,20600,-586418,2646363,2059945,2059945,,,64.0,957.0,-306.0,839.0,20841.0,4554.0,2793.0,46177.0,-2433094.0,2506793.0,,199.0,-101241.0,957.0,,-59593.0,914.0,-5420.0,,,,,,,,,
4137,2014年01月01日至2014年06月30日,,487211,,487211,,,41035,12194,-28949,230,,,20914.0,,,-4003,-4643,-9367,-16045,,11715,-54927,-92694,69.0,-79567,-95612,-74698,412513,-134164,278349,,,,-70698,,27749,-113323,,0.0,-77048.0,,,-12194.0,,-89242.0,-42675,33109,2646363,2679472,2679472,,-3596.0,-5.0,1198.0,-293.0,1068.0,21063.0,3161.0,1337.0,30709.0,-1525568.0,1595616.0,,184.0,-134732.0,3127.0,,-9001.0,,,,,,,,,,,
