公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 其他金融資產增加,　　 其他金融資產減少,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金減少,　　 應付租賃款減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 非金融資產減損損失,　　 取得備供出售金融資產,　　 存出保證金增加,　　 應付短期票券減少,　　 存入保證金增加,　　 非控制權益變動,　　 處分備供出售金融資產,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 發放現金股利,　　　　 未實現外幣兌換損失（利益）,　　　　　 其他營業負債增加（減少）,　　 取得無形資產,　　 其他預付款項增加,　　　　 處分待出售非流動資產損失（利益）,　　 處分待出售非流動資產,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 處分子公司股權（未喪失控制力）,　　　　 處分其他資產損失（利益）,　　 處分子公司,　　　　 非金融資產減損迴轉利益
1512,2016年01月01日至2016年09月30日,,-101323,-101323,,,213589,17961,0.0,49042,-1049,549,22141,,,,17103,313052,-6074,-64024,-27324,-11909,,220824,,-40524,-148288,-25591,-6993.0,97086,-224,,-151251,69573,374495,273172,509,-46277,-25233,202171,,-49857,7929,1559,-54865,176408,,68365,,917611,-1076053,,1014450,-1142861,-40,0,-286863,-52999,-69326,434826,365500,365500,2689.0,-3520.0,-3001.0,0.0,30.0,,2516.0,-4327.0,,,,,-4477.0,,,,,304922.0,-26717.0,0.0,0.0,0.0,
1512,2016年01月01日至2016年06月30日,,-45411,-45411,,,143309,11678,0.0,34383,-644,424,21245,,,,-4090,302063,-594,-32430,-53373,609,,212185,,-35277,-154945,-24123,,80237,-297,,-151346,60839,265195,219784,361,-31905,-23510,164730,,-46730,6733,1175,-32030,93653,,15836,,671095,-752219,,1014450,-1136241,-24,0,-202939,-28407,-50780,434826,384046,384046,-6039.0,-2006.0,-2161.0,0.0,0.0,,1010.0,-858.0,,,,,-2950.0,,,,,204356.0,-16941.0,0.0,,,
1512,2016年01月01日至2016年03月31日,,3819,3819,,,71933,6395,,18559,-272,256,605,,,,10869,52027,-5417,-25323,-6408,-4511,,21237,,-34896,-5178,-26611,,46303,645,,-30804,-9567,85414,89233,161,-15558,-10538,63298,,-31777,237,244,-26592,14184,,-50048,,423221,-395983,,1014450,-1129621,-25,0,-87958,-12589,-87297,434826,347529,347529,4458.0,-2006.0,-1090.0,0.0,,,0.0,-335.0,,,,,-2913.0,,,,,94981.0,-11067.0,,,,-6953.0
1512,2015年度,,-106412,-106412,,,305483,57418,7155.0,76994,-4029,7821,-264,,,,19337,10231,-13165,130014,114224,4639,,265280,,4551,3370,7019,,-52169,161,,-55300,209980,619299,512887,3267,-80466,-39957,395731,,-241638,177539,3260,-192082,147682,,-56874,,2296346,-2555458,,57400,-127610,-13144,-1382,-247973,-12856,78028,356798,434826,434826,16265.0,-7529.0,-6556.0,-50000.0,13382.0,,4059.0,-9907.0,,,,,-10998.0,0.0,0.0,0.0,,409319.0,-18232.0,132493.0,-57524.0,79296.0,
1512,2015年01月01日至2015年09月30日,,-142287,-142287,,,230322,46309,5525.0,60615,-3386,7472,-260,,,,21271,303007,-16421,21352,21171,1144,,351524,,-9643,-167827,-3163,,42712,503,,-153797,197727,494674,352387,3377,-64490,-37294,253980,,-209715,173645,1015,-169399,108762,,-36177,,2039541,-2247749,,57400,-117991,-13144,-1126,-187194,930,31539,356798,388337,388337,7874.0,-7529.0,-6116.0,-50000.0,13382.0,,4059.0,-6946.0,,,,,-9756.0,0.0,,,,296947.0,-16379.0,132493.0,-57524.0,85803.0,
1512,2015年01月01日至2015年06月30日,,-146596,-146596,,,154091,32140,1180.0,41846,-957,6927,543,,,,20549,305942,-9142,12199,-31050,6636,,305134,,-13041,-145409,-26436,,32554,-11,,-164080,141054,382107,235511,755,-45573,-29374,161319,,-163558,166541,975,-85873,59913,,-39694,,1364873,-1539941,,57400,-68370,-13125,-745,-104033,-27975,-10383,356798,346415,346415,5283.0,-7529.0,-3654.0,-50000.0,13382.0,,2548.0,-6680.0,,,,,-2377.0,0.0,,,,241053.0,-11737.0,132493.0,,,
1512,2015年01月01日至2015年03月31日,,-42308,-42308,,,80603,27189,0.0,22032,-434,6874,-49,,,,14095,120967,-5492,-22855,-7149,-10284,,89282,,-11395,-87184,-26787,,18594,-78,,-108964,-19682,119115,76807,310,-22768,-19518,34831,,-122043,162153,657,-11237,38592,,59837,,648219,-640765,,57400,-52750,13356,-370,-24910,-17809,51949,356798,408747,408747,2582.0,-5022.0,-322.0,-50000.0,,,1535.0,-3288.0,,,,,-1188.0,0.0,,,,138797.0,-2114.0,,,,0.0
1512,2014年度,,-175195,-175195,,,321397,58869,17296.0,88497,-4262,-7885,1521,526177.0,,,-17009,148697,1966,-91968,-76446,2380,,-32380,,6561,-30918,-19997,,58538,-366,-32893.0,-19075,-51455,474722,299527,2291,-86432,-67971,147415,,-260097,61244,12430,-362743,316720,,-326335,,3295441,-3184026,,30000,-40419,-45,-2280,98687,62620,-17613,374411,356798,356798,69832.0,-4514.0,-3851.0,,16.0,,7577.0,-38726.0,,,-3359.0,,-6144.0,-57930.0,-15729.0,9699.0,,,,,,,
1512,2014年01月01日至2014年09月30日,,-158421,-158421,,,239702,35646,8574.0,64410,-3476,-9704,1659,340930.0,,,-13450,253371,-15801,-78367,-96268,12623,,62108,,-14271,-135493,11004,,90080,350,-28459.0,-76789,-14681,326249,167828,3476,-64493,-56490,50321,,-170271,55346,9068,-219071,216462,-62971.0,-270359,,2400712,-2219794,,0,-30563,-45,-1757,148555,16498,-54985,374411,319426,319426,4119.0,-4514.0,-1342.0,0.0,2.0,,3042.0,-33223.0,,,,,-4955.0,-57930.0,,,,,,,,,
1512,2014年01月01日至2014年06月30日,,-125071,-125071,,,156965,14276,8574.0,40718,-724,74,1185,224756.0,,,-9087,126533,-12661,-134253,-77240,1678,,-105030,,11681,-71328,-20366,,115442,-329,-18955.0,16145,-88885,135871,10800,724,-40960,-49115,-78551,,-110033,33709,8593,-178431,145506,-27966.0,-216998,,1626870,-1402890,0.0,0,-20348,-45,-1163,202426,3229,-89894,374411,284517,284517,3688.0,0.0,-966.0,,2.0,,,-27103.0,,,,,-2377.0,-57930.0,,,,,,,,,
1512,2014年01月01日至2014年03月31日,,-62116,-62116,,,77606,4297,1596.0,20559,-314,269,-94,105036.0,,,-2718,104589,-3113,-70656,-45160,-1318,,-18376,,5752,-62122,1124,,73979,-301,-9354.0,9078,-9298,95738,33622,314,-21007,-29252,-16323,,-68810,18446,64,-85335,73170,-14161.0,-139459,,91476,0,0.0,0,-10164,0,-577,80735,5796,-69251,374411,305160,305160,1117.0,,-246.0,,,,,-4630.0,,,,0.0,-1188.0,-56769.0,,,,,,,,,
1512,2013年度,,-47915,-47915,,,299723,23300,277.0,79882,-4117,-11072,3267,393590.0,,,16374,-134207,897,-219584,51530,-1464,,-286454,,-8799,58622,-6645,,-112028,7068,-40228.0,-102010,-388464,5126,-42789,4117,-75681,-14982,-129335,,-268714,25177,3854,-102719,172892,,-190501,,2234886,-2555699,,1272771,-674082,-96,-2518,281376,86891,48431,325980,374411,374411,6387.0,-3014.0,-9663.0,,6114.0,,5013.0,-9372.0,,,-4057.0,,-736.0,-3219.0,0.0,0.0,,,,,,,
1512,2013年01月01日至2013年12月31日,,-47915,-47915,,,299723,23300,277.0,79882,-4117,-11072,3267,393590.0,,,16374,-133507,897,-219584,51530,-1464,-700.0,-286454,,-8799,58622,-6645,,-112028,7068,-40228.0,-102010,-388464,5126,-42789,4117,-75681,-14982,-129335,,-149727,25177,3854,-102719,172892,-118987.0,-190501,,2234886,-2555699,0.0,1272771,-674082,-96,-2518,281376,86891,48431,325980,374411,374411,6387.0,-3014.0,-9663.0,,6114.0,0.0,5013.0,-9372.0,,0.0,-4057.0,0.0,-736.0,-3219.0,,,,,,,,,
1512,2013年01月01日至2013年09月30日,,-134893,-134893,,,228207,2803,0.0,59757,-2461,-1262,2422,293800.0,,,-44826,345972,-13118,-404459,-115793,16371,,-215853,,-6044,-103988,-2718,,73631,-511,-30899.0,-70529,-286382,7418,-127475,2461,-54919,-14824,-194757,,-111602,14523,1162,-87033,145338,-67182.0,-113868,,1684256,-1959566,0.0,1271250,-658779,0,-1895,311380,38276,41031,325980,367011,367011,4334.0,-3014.0,-8923.0,-30000.0,6114.0,0.0,5013.0,-6219.0,4069.0,0.0,,,,,,,,,,,,,
1512,2013年01月01日至2013年06月30日,,-70210,-70210,,,151546,1617,0.0,39549,-1824,-2000,1115,193907.0,,,-18052,104300,-13171,-208306,-77933,10686,-4762.0,-207238,,-6780,-35473,-25709,,27417,-551,-21575.0,-62671,-269909,-76002,-146212,1824,-36788,-9048,-190224,,-69530,8053,202,-62122,89482,-79156.0,-117712,,1130305,-1399388,0.0,1241550,-650243,0,-1255,297083,48119,37266,325980,363246,363246,3904.0,-3013.0,-1628.0,-30000.0,6114.0,0.0,,,,,,,,,,,,,,,,,
