公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 股利收入,　　　　　 其他應付款－關係人增加（減少）,　　　　　 預收款項增加（減少）,　　 其他金融資產增加,　　 收取之股利,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 短期借款減少,　　 存入保證金增加,　　 發放現金股利,　　 取得以成本衡量之金融資產,　　 存出保證金增加,　　　　 股份基礎給付酬勞成本,　　 以成本衡量之金融資產減資退回股款,　　　 收益費損項目,　　　　 處分投資性不動產損失（利益）,　　　　 收益費損項目合計,　　 處分備供出售金融資產,　　 其他非流動負債減少,　　　　 處分投資損失（利益）,　　 預付設備款增加
3062,2015年01月01日至2015年06月30日,,282798,282798,,,40383,0,-1193.0,199880,0,-18731,18833,,,,-43065,-23910,1140345,-6287,-21950,-3937,1041196,,-447902,-337776,59192,30802,10116,,-622718,418478,597693,880491,27316,0,-67031,813460,,-123042,0.0,179203,,0.0,-50902,-51411,-28178,913074,1984076,2897150,2897150,-54040.0,62850.0,,248129.0,54040.0,,1994.0,,,11.0,,,,,,17631.0,49000.0,,,179215.0,26754.0,-509.0,-25542.0,-103005.0
3062,2015年01月01日至2015年03月31日,,166219,166219,,,18222,0,-4456.0,62720,0,-9086,-813,,,,-28595,-11959,110861,-8289,-12180,-1218,48620,,-104965,-199978,20729,20429,19520,,-131230,-82610,-65311,100908,17992,0,-1066,99842,,-114369,0.0,498677,,0.0,11612,11103,-19174,590448,1984076,2574524,2574524,-54040.0,113035.0,,488275.0,54040.0,,195.0,,,6.0,0.0,,,,,8091.0,49000.0,,-3534.0,17299.0,3733.0,-509.0,,
3062,2014年度,,442514,442514,,,107389,80,2090.0,8750,5,-29296,81705,177247.0,,,-182207,5180,-246010,-3192,59225,-8260,-375264,,318828,7984,134203,37254,-15564,,532731,157467,334714,777228,34973,-5,-57673,719555,,-58543,,-459319,,,-1907,-115356,10224,155104,1828972,1984076,1984076,0.0,50026.0,,-466010.0,0.0,,729.0,0.0,0.0,261.0,0.0,509.0,-113953.0,,,5795.0,30000.0,,,,,,,
3062,2014年01月01日至2014年09月30日,,311513,311513,,,83245,80,-1771.0,3267,5,-16394,56077,125238.0,,,143105,12802,332263,-7826,53640,-5089,528895,,413882,-54418,19578,33527,-8276,-1.0,418718,947613,1072851,1384364,31799,-5,-64039,1320325,,-25750,0.0,36326,,0.0,0,-113958,-15970,1226723,1828972,3055695,3055695,0.0,14426.0,,0.0,0.0,0.0,729.0,,,0.0,,,-113953.0,30000.0,277.0,,,,,,,,,
3062,2014年01月01日至2014年06月30日,,175056,175056,,,52296,80,-14.0,-4377,0,-8265,45397,85117.0,,,108195,-4646,314908,-6025,-39422,-3276,369734,,414661,-138735,39054,32286,-1244,0.0,364593,734327,819444,994500,20009,0,-32744,961756,,-17925,49554.0,51638,,0.0,-25259,-25259,8586,996721,1828972,2825693,2825693,0.0,18571.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
3062,2014年01月01日至2014年03月31日,,25846,25846,,,29895,48,,-3969,0,-1102,24595,49467.0,,,391385,9955,-177741,10943,33958,-4037,264463,,361552,-189849,-40752,21233,-2990,0.0,149194,413657,463124,488970,17057,0,-37551,451419,,-7125,7570.0,16637,,0.0,-2791,-2791,-4338,460927,1828972,2289899,2289899,,,,-1530.0,,,,,,665.0,0.0,,,,,,,,,,,,,
3062,2013年度,,222020,222020,,,87916,274,-1860.0,705,2033,-20826,64189,90866.0,,,162210,52381,-958209,12738,-32677,-9607,-773164,,894561,40064,11741,7619,-7625,,941386,168222,259088,481108,7969,-2033,-39325,441783,,-137311,,-579562,,,-5402,-56932,21734,-172977,2001949,1828972,1828972,-41565.0,-4974.0,,-491900.0,41565.0,,0.0,0.0,0.0,115.0,0.0,-659.0,-48838.0,,,0.0,0.0,,,,,,,
3062,2013年01月01日至2013年12月31日,,222020,222020,,,87916,274,-1860.0,705,2033,-20826,64189,90866.0,,,162210,52381,-958209,12738,13063,-9607,-727424,,894561,40064,11741,7619,-7625,,941386,213962,304828,526848,7969,-2033,-39325,487523,,-137311,-45740.0,-625302,,,-5402,-56932,21734,-172977,2001949,1828972,1828972,-41565.0,-4974.0,,-491900.0,41565.0,,0.0,0.0,0.0,115.0,0.0,-659.0,-48838.0,,,,,,,,,,,
3062,2013年01月01日至2013年09月30日,,228496,228496,,,61367,166,745.0,2031,3331,-12627,12076,46275.0,,,-581505,54369,-519040,13336,85956,-5834,-952718,,245401,-122276,82199,-8346,-9772,-659.0,243513,-709205,-662930,-434434,8075,-3331,-65369,-499803,,-124316,-93676.0,-672403,,269164.0,-5402,260431,17066,-894709,2001949,1107240,1107240,-20814.0,56966.0,,-483300.0,20814.0,0.0,,,,,,,,,,,,,,,,,,
3062,2013年01月01日至2013年06月30日,,157362,157362,,,36297,111,3883.0,957,2199,-8249,4944,19375.0,,,-818751,-16008,-1031076,1340,616,-3573,-1867452,,574960,-54567,4290,-9827,-4887,-659.0,587200,-1280252,-1260877,-1103515,11179,-2199,-7926,-1111441,,-88765,-29120.0,-574739,,510731.0,-16449,492083,21042,-1173055,2001949,828894,828894,-20767.0,60801.0,17089.0,-488800.0,20767.0,,,,,,,,,,,,,,,,,,,
