公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 停業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分無形資產損失（利益）,　　　　 處分其他資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 已實現銷貨損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 其他應收款增加,　　 取得無形資產,　　 處分無形資產,　　 其他非流動資產增加,　　 預付設備款增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 現金增資,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 無活絡市場之債務工具投資到期還本,　　 存出保證金增加,　　 其他非流動資產減少,　　 其他預付款項增加,　　　 不影響現金流量之收益費損項目,　　　　 呆帳費用提列（轉列收入）數,　　　　 金融資產減損迴轉利益,　　　　 未實現銷貨利益（損失）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 處分子公司,　　 取得投資性不動產,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 透過其他綜合損益按公允價值衡量之金融資產減資退回股款,　　 取得按攤銷後成本衡量之金融資產
2401,2015年01月01日至2015年09月30日,,614273,-27845.0,586428,,,205906,75369,791,26249,-27721,-18357.0,-11027,-6584,-279900,-906358,-54853,817392,94123.0,0,-15557,2309,-98218.0,,,-10793,-146599,90099,30152,-20524,-57665,,41356,-5659,-1370.0,-170637,-12823.0,-149133,-206798,-305016,281412,25680,43045.0,-25060,-44927,280150,,-1041875.0,1237486.0,-15389.0,16256.0,-387400.0,1200,-257157,23742,0,2284.0,-129599,299971.0,-2616.0,-44928.0,2445.0,-295580,,542817,700000,-327960,13293,-33802,-499195.0,568,395721,3028,383319,3576732,3960051,3960051,0.0,,,,,,,,,,,,,,,,,,,,
2401,2015年01月01日至2015年06月30日,,801491,-27845.0,773646,,,146500,48916,-57,16190,-18519,-2997.0,6325,-6407,-279900,-906358,-53519,233997,94123.0,0,-790,1544,-720952.0,,,-7642,-23084,46019,-79198,8326,-55579,,274294,-6382,-911.0,-35822,-12439.0,218740,163161,-557791,215855,15349,2997.0,-15221,-21532,197448,,-664567.0,736137.0,-15313.0,,-92400.0,0,-216176,163,2299,,-111874,,-579.0,0.0,1200.0,-344854,,436885,0,-231432,10707,-26609,,1577,191128,-7406,36316,3576732,3613048,3613048,,16256.0,0.0,,,,,,,,,,,,,,,,,,
2401,2015年01月01日至2015年03月31日,,614450,-27845.0,586605,,,76841,20812,-67,7892,-8291,,289,-7267,-279900,-906358,-3636,188249,94123.0,0,5298,778,-811237.0,,,88,201356,8381,55016,-15539,249302,,153347,-4061,-460.0,-43259,-12092.0,93475,342777,-468460,118145,8688,,-7617,-495,118721,,-229601.0,392073.0,0.0,,-20400.0,0,-46281,134,2397,,-76721,,,0.0,,22386,,253059,0,-152682,1416,-17415,,833,85211,-8408,217910,3576732,3794642,3794642,0.0,,,785.0,0.0,,,,,,,,,,,,,,,,
2401,2014年度,,610564,,610564,,,287246,153509,165,34825,-41855,-31119.0,-16659,234,0,0,-325034,112914,17013.0,-2619,-30166,3033,,,,-6248,-163482,-14007,-425525,7079,-602183,,-88820,-2066,-1792.0,154407,,60178,-542005,-378953,231611,40440,139281.0,-38957,-71580,300795,,-194290.0,582753.0,,,-107096.0,92052,-1184097,334,105,,-121104,0.0,-34582.0,0.0,9659.0,-972021,,138934,720728,-820134,79047,-84803,-130475.0,-6433,-103136,19699,-754663,4331395,3576732,3576732,0.0,,,,,,1565.0,0.0,0.0,163052.0,-1551.0,-14903.0,0.0,0.0,0.0,0.0,-852.0,,,,
2401,2014年01月01日至2014年09月30日,,741107,-241508.0,499599,,,199010,119116,142,26152,-29224,-30791.0,-36908,40,0,0,-315858,98717,17013.0,-573,6583,2261,55680.0,,,-9693,-463369,-20629,-356483,-58252,-908426,,183385,2346,-1336.0,104189,-804.0,287780,-620646,-564966,-65367,29237,138953.0,-27142,-71292,4389,,-565652.0,866419.0,-14903.0,0.0,-106481.0,88812,-299771,14,-2205,0.0,-116917,0.0,-31923.0,-770195.0,2811.0,-949991,,332173,720728,-745315,34262,-45477,-130475.0,-15842,150054,5982,-789566,4331395,3541829,3541829,0.0,,,,,,,,,,,,,,,,,,,,
2401,2014年01月01日至2014年06月30日,,427442,-153483.0,273959,,,129194,83619,142,17333,-19051,-700.0,-52700,12,0,0,-244171,92631,0.0,-384,3685,1511,11121.0,,,-4813,-398917,-32156,-308795,-31173,-775854,,149292,-2328,0.0,5821,-516.0,152269,-623585,-612464,-338505,16226,700.0,-17645,-49467,-388691,,-521101.0,391181.0,-14903.0,,-60083.0,11854,-216096,14,0,,-90046,,47106.0,-742876.0,1000.0,-1195225,,579574,460836,-413055,26122,-42946,,-3551,606980,-27569,-1004505,4331395,3326890,3326890,,0.0,-1275.0,,,,,,,,,,,,,,,,,,
2401,2014年01月01日至2014年03月31日,,92837,-87037.0,5800,,,69743,44395,-33,7500,-8934,,-37998,5,0,0,-52341,0,0.0,-191,-3109,767,19804.0,,,60,176159,-45362,-318814,-9973,-197930,,195344,1384,0.0,-135560,-235.0,60933,-136997,-117193,-111393,8509,,-10556,-452,-113892,,-117447.0,215153.0,-14903.0,,0.0,4357,-35434,4,8,,-68974,,,-803289.0,,-836471,,-638,266331,-213675,43669,-57072,,-5196,33419,-11995,-928939,4331395,3402456,3402456,0.0,,,48725.0,-64671.0,,,,,,,,,,,,,,,,
2401,2013年度,,165744,,165744,,,266547,204872,10,37516,-35402,-30247.0,-19901,-6464,532,-22752,-60003,30723,11498.0,-599,6510,2975,,,,-7046,-146063,-50618,799831,13337,609441,,66199,887,78832.0,21892,,167409,776850,1160128,1325872,36168,63850.0,-33830,-24279,1367781,,-1040620.0,1001300.0,,,-124332.0,1414,-540164,9835,1298,,-114561,291.0,-51559.0,-345204.0,82771.0,-959467,,-465057,267648,-346853,75035,-51521,-58043.0,-17078,-595869,26054,-161501,4492896,4331395,4331395,0.0,,,,,,0.0,-3888.0,1351.0,383278.0,-401.0,0.0,16176.0,-195899.0,319447.0,20340.0,0.0,,,,
2401,2013年01月01日至2013年06月30日,,108915,,108915,,,118817,105089,48,19834,-17313,0.0,-28517,-6696,-21,-22752,-61569,4867,,-300,11944,363,,,,-14018,-328501,-50905,431146,-59409,-21687,,167667,-6260,19872.0,29818,,210556,188869,310209,419124,17752,0.0,-21744,-46268,368864,,-761483.0,573332.0,,,-49350.0,1398,-325509,8982,97,,-58732,291.0,-2336.0,0.0,1099.0,-475010,,-252407,212254,-139028,20027,0,,-24804,-183958,-242,-290346,4492896,4202550,4202550,0.0,,0.0,,,,,-3888.0,1434.0,121340.0,-541.0,0.0,,-195899.0,319447.0,13653.0,,,,,
2401,2013年01月01日至2013年03月31日,,-39837,,-39837,,,52400,53522,-354,9857,-9114,,26954,-6499,-21,-22752,-5371,1633,,-150,-1950,179,,,,-14049,233878,8626,179131,2047,409633,,60346,-6621,,-175181,,-121754,287879,383952,344115,9808,,-11422,-665,341836,,-239175.0,280010.0,,,,1398,-191629,7577,625,,-20596,291.0,-40.0,-101.0,,-343886,,-158060,150641,-107778,3080,0,,-23948,-136065,8360,-129755,4492896,4363141,4363141,0.0,,,0.0,0.0,,,-3737.0,1476.0,96073.0,-298.0,0.0,,-195899.0,,13653.0,,0.0,0.0,,
