公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得無活絡市場之債券投資,　　 以成本衡量之金融資產減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 其他非流動負債增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 股利收入,　　 處分採用權益法之投資,　　 取得無形資產,　　 應付短期票券減少,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 收取之股利,　　 其他非流動資產增加,　　 其他非流動負債減少,　　 發放現金股利,　　　　 金融資產減損損失,　　 短期借款減少,　　 處分無活絡市場之債券投資,　　 存出保證金增加,　　　　　 應收帳款－關係人（增加）減少,　　 取得備供出售金融資產,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 採用權益法之被投資公司減資退回股款,　　 存出保證金減少
1309,2016年01月01日至2016年09月30日,,59631,59631,,,141399,6372,756,1002,36310,-14806,-20307,538,-5069.0,-46162.0,,5185,6349.0,,,,337217,250842,200319,-14776,-496,-201004,-93616,210,471104,,0,88283,-1151,-21546,-1223,,15104,,84707,555811,660116,719747,15070,-38551,-42328,653938,,191.0,,7914.0,-144880,200.0,,96031,,,,2700000,-2700000.0,607,-706228,-24817,18924,586040,604964,604964,-7262.0,,-241.0,0.0,0.0,16543.0,,,,,-706835.0,,-5751.0,-7592.0,-172.0,,104305.0,5240.0,,221893.0,0.0,334.0
1309,2016年01月01日至2016年06月30日,,102093,102093,,,94918,4247,-70,3117,25355,-13467,-14011,148,24.0,,-40966.0,12822,4100.0,,,,270994,200069,-59657,17779,-256,-279640,-13763,-624,131912,,0,209138,-89,-43494,-1057,,5616,,173617,305529,374484,476577,13786,-27504,-32624,430235,,191.0,,,-82807,200.0,0.0,130490,,,100000.0,2000000,-2000000.0,0,-462195,-13660,84870,586040,670910,670910,-7262.0,,-215.0,,,,,-107.0,,,-562088.0,,-5000.0,-2990.0,-172.0,,68955.0,3503.0,0.0,218293.0,,
1309,2016年01月01日至2016年03月31日,,69537,69537,,,46981,2127,-1311,1078,13680,-4346,-6585,78,24.0,,-47687.0,22509,,,,,196575,130646,116413,9732,552,-102475,-113591,-290,233655,,0,-33887,-1191,-55122,-614,1832.0,5338,,-81908,151747,178295,247832,4364,-15280,-8240,228676,,191.0,,,-33031,200.0,0.0,-189882,,,150000.0,1000000,-1000000.0,507,5364,-5629,38529,586040,624569,624569,,,-215.0,,,,,,,,-145143.0,,,-3907.0,-172.0,,26548.0,1736.0,-156855.0,,,
1309,2015年度,,94465,94465,,,215710,6262,4716,-5005,70206,-37183,1483,202,0.0,0.0,,67745,1390.0,,,,-391589,676992,213543,746,-764,492134,3361,-1888,1022212,,-46617,78282,416,24551,894,10454.0,-16942,,50104,1072316,1392033,1486498,37623,-70604,-35181,1418336,,0.0,,0.0,-135862,90.0,,40319,,,0.0,4540000,-4840000.0,0,-1779554,-3781,-324680,910720,586040,586040,-5809.0,,-6991.0,-300000.0,,7666.0,0.0,-112.0,,,-1179442.0,,-90.0,29677.0,0.0,,319717.0,-934.0,0.0,172325.0,1278.0,1903.0
1309,2015年01月01日至2015年09月30日,,112222,112222,,,165943,5542,2336,-1939,55565,-30399,1856,-40,,56065.0,0.0,51623,8233.0,,,,-375623,598083,182469,-24855,-844,278955,-22752,-1736,667229,,-46617,-146566,-775,-4107,2691,,-18262,,-214422,452807,761783,874005,29757,-56323,-34982,812457,,,,0.0,-100483,80.0,0.0,164286,,0.0,0.0,3540000,-3600000.0,677,-1300781,3792,-320246,910720,590474,590474,-5809.0,,-6609.0,-400000.0,,7666.0,,0.0,,,-841458.0,,-86.0,33532.0,,,308976.0,-786.0,0.0,262416.0,1278.0,24.0
1309,2015年01月01日至2015年06月30日,,304051,304051,,,110617,3449,1201,-16904,37290,-25990,-2593,-239,,0.0,,-4371,5525.0,,,,-334868,554180,-147877,1384,-329,63326,-11957,-1491,138860,,-34299,240847,-774,-12867,2166,,-11134,,183407,322267,424443,728494,24425,-36362,-11,716546,,,,,-72887,256.0,944.0,-158353,,0.0,0.0,2540000,-2600000.0,114,-362009,-2915,193269,910720,1103989,1103989,-5809.0,,-6029.0,,,,,,,,-302123.0,,0.0,16492.0,,,102176.0,-532.0,-80637.0,,,
1309,2015年01月01日至2015年03月31日,,73714,73714,,,55528,1561,-910,-19016,20254,-12224,754,5,,0.0,,1147,,,,,-153347,237261,428290,40054,-380,213252,-37256,-1019,748470,,-18935,223914,-322,26452,693,3171.0,31043,,265768,1014238,1061337,1135051,9719,-19690,-13,1125067,,,,,-46381,,944.0,-126524,,-995700.0,0.0,1300000,-1300000.0,180,-995520,-5373,-2350,910720,908370,908370,,,,,,,,,,,,,,21615.0,,,47099.0,-248.0,-81087.0,0.0,,
1309,2014年度,,-638210,-638210,,,215412,3361,348,5241,103036,-44562,-3738,-106,31.0,76824.0,,7114,1345.0,355592.0,,,-109348,504402,-195352,-15587,189,973483,67574,679,1189551,,-14371,-1196406,-720,23291,935,13193.0,13570,-2315.0,-1162823,26728,382320,-255890,44994,-101495,-888,-313279,,351.0,-2427843.0,2250.0,-201099,449.0,,-396780,,0.0,200000.0,4794000,-4494000.0,517,371300,13377,-325382,1236102,910720,910720,-8714.0,0.0,0.0,,,15854.0,-553.0,,,,-129217.0,2215907.0,-1812.0,-36489.0,-284.0,,,,,,,
1309,2014年01月01日至2014年09月30日,,-419526,-419526,,,158217,3153,689,15375,77927,-31339,-6143,19,0.0,-8534.0,,6900,8778.0,216328.0,,,-405972,349050,-150220,-23150,619,205120,-120685,-1681,-215656,,-15414,-1167698,-550,26256,-1883,,13137,-1979.0,-1148131,-1363787,-1147459,-1566985,30365,-75215,-669,-1596650,,,-2345599.0,2250.0,-149182,292.0,262.0,-392254,,1008743.0,200000.0,3794000,-3200000.0,0,1801913,2520,-184471,1236102,1051631,1051631,-8714.0,0.0,0.0,,,15854.0,0.0,-830.0,,,,2101545.0,-1822.0,-68737.0,,,,,,,,
1309,2014年01月01日至2014年06月30日,,-299233,-299233,,,101155,1610,131,28749,49489,-20532,-3403,-78,0.0,-10334.0,,7426,6019.0,151518.0,,,-467791,320481,-293814,-25409,-6598,-266924,-122578,-55,-862688,,5679,-1199699,-1184,5240,-685,,12118,-1576.0,-1180107,-2042795,-1891277,-2190510,19337,-46803,-645,-2218621,,0.0,-539289.0,,-126616,292.0,232.0,-547864,,1517738.0,200000.0,2500000,-2200000.0,205,2017943,-1001,-749543,1236102,486559,486559,-8714.0,0.0,0.0,0.0,,,,,,,,127213.0,-9696.0,,,,,,,,,
