公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 其他金融負債增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 處分無活絡市場之債券投資,　　 對子公司之收購（扣除所取得之現金）,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他非流動資產增加,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 其他非流動負債增加,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　 退還（支付）之所得稅,　　 取得按攤銷後成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 其他應付款－關係人增加,　　 庫藏股票買回成本,　　　　 股利收入,　　 取得無活絡市場之債券投資,　　 取得採用權益法之投資,　　 收取之股利,　　 處分採用權益法之投資,　　 發放現金股利,　　 現金減資,　　 存出保證金減少,　　 存入保證金減少,　　　　 處分投資性不動產損失（利益）,　　 處分投資性不動產,　　 其他金融負債減少,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 持有至到期日金融資產到期還本,　　 取得以成本衡量之金融資產,　　 其他非流動負債減少,　　 預付設備款增加,　　 非控制權益變動,　　　　 處分無形資產損失（利益）
2611,2016年01月01日至2016年09月30日,,-19101,-19101,,,33248,18165,68530,23770,-3139,-3034,,-2308,645.0,,,,3356,2732,-1843,48,-5875,1749,-7943,-322356,0,-330132,,-461,-6734,-42052,,,-4496,,-57526,-387658,-264714,-283815,-23832,-312484,,-313716,453605,,,,-43421,9857,-123291,-1292,-5269,4773,253511,,175500,-44917,,-84589.0,-670.0,-297.0,45027,-13946,122374,108428,108428,1609.0,,7093.0,366.0,-5314.0,-4837.0,0.0,0.0,4400.0,,0.0,-21635.0,,,21635.0,,,,,,,,,,122944.0,1165.0,,246230.0,,,,0.0,,0.0
2611,2016年01月01日至2016年06月30日,,30266,30266,,,21543,12676,304,16545,-2339,-2490,380.0,695,645.0,,,,1340,2732,45039,5222,-1265,1258,-17918,592,0,37000,,2178,-3502,-43237,0.0,0.0,-8992,,-57662,-20662,22965,53231,-16632,34156,,-243228,301739,,,,-41979,8685,-100133,-915,373,3355,-64730,,133500,8,,-54972.0,-150.0,-198.0,78188,47614,122374,169988,169988,1132.0,,2304.0,-1956.0,-2952.0,-2443.0,0.0,0.0,4400.0,,0.0,-7768.0,,,960.0,,,0.0,,,,,,,43627.0,799.0,0.0,2013.0,,,,0.0,,0.0
2611,2016年01月01日至2016年03月31日,,8372,8372,,,14080,3375,182,8242,-1147,-653,574.0,2662,,,,,1225,989,-4817,4049,563,528,-17995,2558,0,-12900,,-5811,-4380,-8992,,,-249,,-21330,-34230,-6374,1998,-8329,-7274,,-72277,138775,,,,-977,692,-100023,0,-86,1813,-30487,,71000,-4956,,-32175.0,,,33770,-3991,122374,118383,118383,541.0,,,-1940.0,-664.0,-943.0,,0.0,,,,,,,,,,,,,,,,,27856.0,706.0,,1596.0,,,-99.0,,,
2611,2015年度,,40326,40326,,,57283,13580,17395,35324,-7992,-13702,1766.0,3754,,,,,38805,8069,-57781,3506,-1931,20288,4973,-8950,3869,10848,,1910,-7263,-23189,,,-3392,,-31622,-20774,92928,133254,-35246,90458,,-1050517,988862,,,,-64545,15772,-1230,-931,3679,5551,-58902,,-176000,44930,-31202.0,,-330.0,-622.0,-225853,-194297,316671,122374,122374,-7822.0,44405.0,2678.0,2714.0,-1328.0,-7550.0,-9985.0,22714.0,6600.0,,-18904.0,-32967.0,,,32967.0,,-8898.0,,,,0.0,0.0,-34827.0,,113702.0,-1074.0,,-7605.0,,,,-234.0,0.0,
2611,2015年01月01日至2015年09月30日,,70747,70747,,,43845,10909,11012,26761,-4620,-11877,1320.0,1644,,,,,37047,4708,-44325,3866,2037,22179,-8636,354,0,17230,,7060,-6786,-31600,81.0,,-2828,,-33411,-16181,22579,93326,-26719,62781,,-648106,613273,,0.0,0.0,-61562,12807,-1080,-1541,-452,2844,-40111,,-180000,49043,0.0,-9550.0,0.0,0.0,-159887,-137217,316671,179454,179454,-7936.0,0.0,668.0,2060.0,-1235.0,-3826.0,-9985.0,40727.0,0.0,,-18904.0,-32966.0,,0.0,32966.0,,0.0,0.0,,,,,,,38760.0,-163.0,,-20002.0,,,-476.0,,,
2611,2015年01月01日至2015年06月30日,,34708,34708,,,29591,7245,2337,17747,-2944,-2097,935.0,-4533,,,,,35615,6025,-3494,2031,-4756,22668,-81,-5716,3869,56161,,-3811,-5459,-62452,6.0,0.0,-4632,,-77148,-20987,20923,55631,-17651,37027,,-580769,543259,,,,-11988,2362,-1115,-1210,2101,1872,-29732,,-30000,-39939,,-12200.0,0.0,-317.0,-95344,-88049,316671,228622,228622,0.0,,491.0,895.0,-1427.0,-953.0,-9985.0,30742.0,0.0,,-12888.0,-6862.0,,,,,,0.0,,,,,,,41910.0,-268.0,0.0,-5001.0,,,,,,
2611,2015年01月01日至2015年03月31日,,31627,31627,,,17196,3665,1599,8793,-1422,-878,427.0,-14148,0.0,,,,25639,3687,-1859,1436,1647,21579,-3825,-3370,3869,48803,,1147,-9126,-44820,-54.0,0.0,-2760,,-54632,-5829,9403,41030,-8741,31869,,-286097,288630,,0.0,0.0,-19552,10106,0,-1011,-870,719,3845,,-170000,-39887,,-21369.0,0.0,,-231414,-195700,316671,120971,120971,0.0,,0.0,3260.0,-2372.0,-420.0,,24143.0,,,0.0,,,,,,,,-1573.0,0.0,,,,,15232.0,93.0,-10650.0,0.0,0.0,0.0,-158.0,,,
2611,2014年度,,70357,70357,,,60367,13499,-3113,33826,-13866,11639,2189.0,-42904,12.0,66102.0,,,170469,20885,39409,18666,6018,-24309,-3466,-450,0,227222,,-7459,1407,-38777,-620.0,,-7823,-3097.0,-52094,175128,241230,311587,-33769,223417,,-1157802,990893,135648.0,0.0,0.0,-99046,9681,-150266,-1044,-5446,13385,-229358,,195000,69848,23900.0,,-7.0,-620.0,156670,150729,165942,316671,316671,6153.0,18593.0,617.0,1309.0,2966.0,-54401.0,-26997.0,33295.0,7400.0,,-56608.0,-20841.0,0.0,0.0,20841.0,0.0,-3156.0,0.0,,,-69.0,100.0,-71687.0,,,,,,,,,,,
2611,2014年01月01日至2014年09月30日,,63404,63404,,,41467,10232,-3957,24720,-11116,-3938,1235.0,-36985,,26961.0,,,202848,12931,10824,8197,-28492,-5252,-6724,21451,0,215783,,6268,1155,-83728,-656.0,,-7379,3701.0,-79290,136493,163454,226858,-24747,145857,,-622366,544442,135648.0,0.0,0.0,-99351,13424,-150363,-1131,-2019,9875,-148498,,409220,74883,0.0,-274220.0,1559.0,0.0,80708,78067,165942,244009,244009,6153.0,0.0,19210.0,165.0,1184.0,-56254.0,-26997.0,22880.0,7400.0,,-55891.0,-20060.0,,0.0,20060.0,,-71687.0,-3156.0,,,,,,,,,,,,,,,,
2611,2014年01月01日至2014年06月30日,,-12167,-12167,,,29192,6868,-5456,16207,-9445,-3819,998.0,-15462,,42476.0,,,207581,12833,30525,4882,-8911,-5517,-5759,13721,0,249355,,5575,6682,3847,-448.0,0.0,-12047,2467.0,6340,255695,298171,286004,-16171,216014,,-384363,299857,13751.0,0.0,0.0,-16507,4778,-209,-1043,-5251,8377,-100207,,125000,44964,0.0,-88000.0,15.0,-308.0,22624,138431,165942,304373,304373,6153.0,0.0,19222.0,-477.0,741.0,-53819.0,-26997.0,0.0,7400.0,0.0,-55891.0,-1982.0,0.0,,,,,-3156.0,,,,,,,,,,,,,,,,
