公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息-營業活動,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 其他非流動資產增加,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 償還長期借款,　　 存入保證金減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金增加,　　 其他金融資產增加,　　 其他金融資產減少,　　 取得避險之衍生金融資產,　　 其他籌資活動,　　 舉借長期借款,　　 發放現金股利,　　 非控制權益變動,　　　　 股利收入,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 對子公司之收購（扣除所取得之現金）,　　 取得子公司股權
1323,2016年01月01日至2016年09月30日,,352150,352150,,,160074,13337,2900,14254,-5222,4010,-973,2276.0,1575,507.0,,,,,30799,-144889,9051,-43304,-9427,-157770,,-2028,-22993,2743,8901,,-101002,-258772,-67288,284862,,-12433,-92865,184786,,-97517,75785,-110554,7333,,-17088,5222,-125281,,133439,-133439,,,-660000.0,,-43604,-22213,-6312,686552,680240,680240,-712.0,-243357.0,260829.0,,,790000.0,-139615.0,-33989.0,-1254.0,,191484.0,-87625.0,,0.0
1323,2016年01月01日至2016年06月30日,,225476,225476,,,111964,8420,1402,10688,-3528,2128,-877,1025.0,-2333,,,,,,33698,-119369,7833,14915,-9185,-72108,,-3600,-18942,-36885,10463,,-136943,-209051,-80162,145314,,-8718,-58628,81496,,-78005,28689,-70856,6334,-474.0,-5528,3528,-135550,,133439,-133439,,,,,46011,-20918,-28961,686552,657591,657591,,-205161.0,189451.0,,-33989.0,80000.0,,,,,128889.0,-87979.0,0.0,
1323,2016年01月01日至2016年03月31日,,103401,103401,,,54203,4420,983,4240,-1832,1470,-877,516.0,4403,,,,,,38964,-92291,-125,-8150,-8865,-70467,,-2781,-52711,-40024,5339,,-178497,-248964,-181438,-78037,,-4145,-18237,-98587,,-28005,28689,-9474,6304,-204.0,-26586,1832,-3056,,130472,-50472,,,,,80000,-4440,-26083,686552,660469,660469,,-86284.0,112504.0,,,0.0,,,,,67526.0,-88320.0,0.0,
1323,2015年度,,402452,402452,,,229341,16878,-47,21444,-10704,1075,-1428,,-697,699.0,,,,,-36154,163635,3718,66114,11841,209154,,2917,27426,9054,-7033,,15066,224220,479325,881777,10704.0,-21331,-107916,763234,,-47000,114524,-295238,5573,,-12973,0,-237051,,194387,-355283,,,0.0,,-368752,-19884,137547,549005,686552,686552,-551.0,-1386.0,,,,11000.0,-162134.0,-56647.0,-1456.0,,255105.0,-17298.0,,-75.0
1323,2015年01月01日至2015年09月30日,,271255,271255,,,170472,12960,-998,16205,-8640,710,-1395,1393.0,-2538,,,,,,4515,91527,8127,70591,2736,177496,,300,-8817,-27418,-5562,,-39479,138017,324730,595985,,-16218,-108140,480267,,-47000,104492,-206968,2767,,-13198,8640,-130956,,194387,-352283,,,0.0,,-365752,-1634,-18075,549005,530930,530930,-551.0,0.0,29502.0,,,11000.0,-162134.0,-56647.0,-1456.0,,186713.0,2018.0,,-75.0
1323,2015年01月01日至2015年06月30日,,159155,159155,,,119319,8468,-1510,11333,-6058,454,-746,1009.0,1722,,,,,,-2756,107897,2959,93936,1390,203426,,-93,-17250,-62530,-5997,,-84556,118870,252861,412016,,-11067,-72848,334159,,-47000,35746,-135536,1494,-625.0,-7508,6058,-234570,,116536,-125984,,,0.0,,-55095,-16804,27690,549005,576695,576695,,-81066.0,,,-56647.0,11000.0,,,,,133991.0,1314.0,-75.0,
1323,2015年01月01日至2015年03月31日,,85869,85869,,,55781,3751,-954,5961,-2741,89,-499,,2674,,,,,,9457,131888,8416,86995,-2742,234014,,6454,-23522,-57696,-1611,,-75707,158307,222369,308238,,-5751,-40122,265106,,-37000,27499,-83839,761,-1000.0,-3168,2741,-191597,,43339,-51297,,,0.0,0.0,-2958,-10386,60165,549005,609170,609170,,-94775.0,,,,5000.0,,,,,64062.0,668.0,-75.0,
1323,2014年度,,480636,480636,,,224056,21995,2043,25876,-6731,-459,-1189,,-3690,676.0,261807.0,,,,-26118,-45878,708,27832,-4050,-47506,,-2985,-56577,29533,7370,3657.0,-19002,-66508,195299,675935,6725.0,-24806,-137095,520759,,-128596,128142,-222982,22476,0.0,-24278,6,-430569,,568647,-668484,0.0,0.0,-650000.0,,-185019,34214,-60615,609620,549005,549005,-1000.0,-204337.0,,,,707250.0,-85785.0,-56647.0,-770.0,,,,,
1323,2014年01月01日至2014年09月30日,,343262,343262,,,171956,17062,1499,19488,-4423,327,-982,219.0,-1634,504.0,203246.0,,,,-26166,-43059,1622,37671,-2008,-31940,,-3049,-35875,-2944,9642,2452.0,-29774,-61714,141532,484794,4423.0,-21611,-137112,330494,,-119596,108855,-160003,20134,0.0,-20892,0,-275868,,549093,-576709,0.0,,-650000.0,,-110048,8302,-47120,609620,562500,562500,-1000.0,-103366.0,,,-56647.0,710000.0,-85785.0,,-770.0,,,,,
1323,2014年01月01日至2014年06月30日,,210961,210961,,,114351,10617,1306,13482,-2840,149,-410,,-1131,337.0,135861.0,,,,1849,3851,8850,56713,-8645,62618,,-3453,-61426,-33643,15728,1795.0,-80999,-18381,117480,328441,2840.0,-13117,-108098,210066,,-39596,17363,-120749,19109,-1000.0,-16026,0,-169776,,244506,-310653,,,-58333.0,,-131127,-2275,-93112,609620,516508,516508,0.0,-28877.0,,,-56647.0,50000.0,,,,,,,,
