公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 取得投資性不動產,　　 其他非流動資產增加,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金減少,　　 發放現金股利,　　 現金增資,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 應付票據－關係人增加（減少）,　　 存出保證金減少,　　 短期借款增加,　　 應付短期票券減少,　　 存入保證金增加,　　 停業單位稅前淨利（淨損）,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　　　　 其他金融負債增加（減少）,　　　　 處分其他資產損失（利益）
1455,2016年01月01日至2016年09月30日,,119394,119394,,,529403,24143,72916,14170,-190,-47046.0,61,-18700,,,,,22884,0,-257385,33539,544,,122600,5665,1333,-70820,,-39957,28545,14,-37892,1777,11340,-186.0,,-110304,-181124,392815,512209,190,47046.0,-14802,-8161,536482,,52153,0.0,5463.0,-89403,60,-422.0,-359,-503.0,-21768,-54339,-260043,,,1400000.0,0.0,-1761000,0.0,-122353.0,,-302252,-571,-26384,228323,201939,201939,0.0,,180000.0,0.0,1101.0,,,573939.0,-73945.0,-150925.0,,-818.0
1455,2016年01月01日至2016年06月30日,,87209,87209,,,356753,16104,75750,11366,-102,-25870.0,33,-11129,-818.0,,,,87737,0,-304476,33023,3378,,160924,5257,1362,-12795,,-45439,62054,96,-70759,586,-3356,1271.0,,-128849,-141644,280443,367652,102,25428.0,-12286,-8163,372733,,27481,0.0,5463.0,-63875,0,0.0,-26,-244.0,-14985,-54191,-219453,,0.0,1850000.0,0.0,-1761000,0.0,,,190132,-268,343144,228323,571467,571467,515.0,30.0,100000.0,0.0,1132.0,,,422087.0,-73817.0,-119106.0,,
1455,2016年01月01日至2016年03月31日,,19780,19780,,,183262,8056,14437,6838,-19,-3738.0,33,-3848,-818.0,,,,72833,0,-236415,23312,1066,,77898,-15766,413,-76659,,-1082,-20221,188,-72485,-1235,11073,-221.0,,-157241,-233900,-29697,-9917,19,3738.0,-7221,-24,-13405,,5786,0.0,5463.0,-39782,0,0.0,0,-244.0,-7015,-22921,-174892,,,550000.0,0.0,-623000,0.0,,,288130,-116,99717,228323,328040,328040,420.0,98.0,360000.0,0.0,1130.0,0.0,,204203.0,-73678.0,-116277.0,,
1455,2015年度,,141915,141915,,,703662,32597,-15881,39688,-260,-32942.0,-6365,-64689,,,,,13275,4424,146795,6976,-3179,,682496,-2965,-1019,846803,,4583,-693616,-2360,4266,4520,-7707,49.0,,-690551,156252,812062,953977,260,32942.0,-38895,-24307,923977,,0,-10000.0,0.0,-105817,10535,,-1399,,-33028,-311535,-465664,,-10000.0,,900000.0,-792000,-421.0,-122353.0,,-424774,64,33603,194720,228323,228323,-171.0,722.0,,-400000.0,0.0,0.0,,655810.0,-115.0,-15142.0,,
1455,2015年01月01日至2015年09月30日,,108381,108381,,,525202,24470,-56597,29966,-224,-32942.0,-6589,-60803,,,,,-97115,4424,20381,25159,-32161,,-67218,-16717,-702,-163949,,6977,-810953,-2081,-21973,3769,25537,-222.0,,-799008,-962957,-540474,-432093,224,32942.0,-28838,-24302,-452067,,0,-10000.0,,-73192,10535,-717.0,-497,,-25589,-121961,-269768,,0.0,,900000.0,-579000,-221.0,-122353.0,,605426,325,-116084,194720,78636,78636,-171.0,0.0,707000.0,-300000.0,0.0,,,422483.0,109.0,-48347.0,,
1455,2015年01月01日至2015年06月30日,,214931,214931,,,350497,16293,-103433,19467,-167,-20566.0,-5148,-10863,,,,,-4191,4424,-62999,34416,-2632,,-344033,-22962,-1319,-399296,,-27067,-187316,-1069,-50315,2727,23468,,,-238254,-637550,-391470,-176539,167,19821.0,-18504,-24302,-199357,,0,-10000.0,,-52184,8015,-313.0,-166,,-18904,-13002,-149445,,-90000.0,0.0,900000.0,-246000,-221.0,,,263779,-171,-85194,194720,109526,109526,-171.0,0.0,0.0,-300000.0,0.0,0.0,,246080.0,-43.0,-62891.0,1532.0,
1455,2015年01月01日至2015年03月31日,,-77462,-77462,,,177489,8129,-39925,9507,-46,,-2031,-5644,,,,,-70746,4424,97154,43339,-23325,,-235814,-184,146,-185006,,-17766,-221906,-1137,-54691,1345,59058,100.0,,-234777,-419783,-272304,-349766,46,,-9250,16,-358954,,33192,-10000.0,,-15892,4220,-409.0,0,,-8761,-1789,-66154,,,,1015000.0,-738000,-321.0,,,291679,-62,-133491,194720,61229,61229,207.0,0.0,15000.0,0.0,0.0,0.0,,147479.0,13.0,-66715.0,,
1455,2014年度,,85510,85510,,,692275,32646,82056,50008,-293,-31430.0,-843,-74663,88013.0,837769.0,,,31744,-3147,-284851,26625,26769,0.0,1035457,19,-262,832354,,31090,607326,2195,-272,472,1623,251.0,-299.0,642557,1474911,2312680,2398190,293,31430.0,-49511,-9760,2370642,,89004,,588.0,-145852,2052,0.0,-4243,0.0,-26317,-246277,-330313,,,0.0,300000.0,-1147000,0.0,-122353.0,,-1986144,254,54439,140281,194720,194720,171.0,732.0,-167141.0,-850000.0,350.0,0.0,,,,,,
1455,2014年01月01日至2014年09月30日,,56400,56400,,,515492,24625,99568,40579,-181,-31431.0,-867,-70704,64884.0,641965.0,,,-32411,-917,-92557,49482,17402,0.0,928152,-4035,124,865240,,13730,231434,1650,-33088,2961,73252,6.0,-272.0,289847,1155087,1797052,1853452,181,31186.0,-39835,-9753,1835231,,93131,,0.0,-123986,2052,,-343,,-19934,-218106,-266222,,,,0.0,-1024000,,-122353.0,,-1653144,26,-84109,140281,56172,56172,174.0,964.0,-157141.0,-350000.0,350.0,,,,,,,
1455,2014年01月01日至2014年06月30日,,24364,24364,,,340318,16818,68639,29490,-93,-26548.0,118,-70700,42179.0,400221.0,,,64638,-1072,-555677,49806,3961,0.0,473817,-17553,125,18045,,42018,190975,1001,-61414,2366,40087,416.0,-249.0,215200,233245,633466,657830,93,23149.0,-29623,-9740,641709,,92731,,,-94166,1012,,-220,,-14244,-170029,-184502,,,,,-900000,,,,-463791,-161,-6745,140281,133536,133536,0.0,414.0,185859.0,250000.0,350.0,,,,,,,
1455,2014年01月01日至2014年03月31日,,99799,99799,,,169196,8669,49909,15350,-26,,-12,-56126,22344.0,209304.0,,,78887,-2272,-199134,41862,33072,0.0,-429365,-1084,-156,-478190,,19439,250446,1832,-56685,1369,43968,379.0,-45.0,260703,-217487,-8183,91616,26,,-14912,-1424,75306,,63997,,,-64872,12,,-220,,-8323,-24404,-33399,,,,,-450000,,,,32354,-28,74233,140281,214514,214514,0.0,411.0,782004.0,-300000.0,350.0,,,,,,,
1455,2013年度,,406207,406207,,,639287,33675,-124390,69911,-106,-24585.0,10607,-69883,105115.0,639631.0,,,37011,-1261,248568,17349,16708,5.0,158602,3200,-125,480057,,-141764,-693670,38,30495,1005,-32378,-148.0,-520.0,-836942,-356885,282746,688953,106,24585.0,-71341,-15,642288,,36125,,600.0,-279535,119141,-541.0,-1164,-650.0,-30988,-730755,-887767,,,500000.0,1100000.0,-1300000,-300.0,0.0,,257518,182,12221,128060,140281,140281,0.0,0.0,-42182.0,0.0,0.0,0.0,,,,,,
1455,2013年01月01日至2013年12月31日,,406207,406207,,,639287,33675,-124390,69911,-106,-24585.0,10607,-69883,105115.0,639631.0,,,37011,-1261,248568,17349,16708,5.0,158602,3200,-125,480057,,-141764,-693670,38,30495,1005,-32378,-148.0,-520.0,-836942,-356885,282746,688953,106,24585.0,-71341,-15,642288,,36125,0.0,600.0,-279535,119141,-541.0,-1164,-650.0,-30988,-730755,-887767,,-42182.0,500000.0,1100000.0,-1300000,-300.0,0.0,0.0,257518,182,12221,128060,140281,140281,,,,,,,,,,,,
1455,2013年01月01日至2013年09月30日,,299804,299804,,,472754,24244,-75765,51398,-45,-24585.0,11807,-57369,79294.0,481733.0,,,85181,-7964,-79479,56640,7860,5.0,184599,-18760,0,228082,,-115247,-603699,53,9180,3637,-15750,38.0,-463.0,-722251,-494169,-12436,287368,45,21281.0,-51683,-11,257000,,52759,,600.0,-217716,115542,,-926,,-23612,-698243,-772332,,,,700000.0,0,,0.0,,476253,0,-39079,128060,88981,88981,0.0,-736.0,-73447.0,-150000.0,-300.0,,,,,,,
1455,2013年01月01日至2013年06月30日,,237611,237611,,,308138,16081,-78231,33391,-38,-15679.0,11807,-28796,54321.0,300994.0,,,7618,-5106,-13807,32161,16161,5.0,-409855,-28760,0,-401583,,-14743,-732595,365,-15999,2699,-47850,1203.0,-257.0,-806505,-1208088,-907094,-669483,38,15679.0,-33468,-3,-687237,,29326,,,-137358,115542,,-926,,-16190,-692010,-702349,,,,,-400000,,,,1280157,0,-109429,128060,18631,18631,672.0,-733.0,1430457.0,250000.0,-300.0,,,,,,,
