公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分其他資產損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 因合併產生之現金流入,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 其他非流動負債增加,　　 其他非流動負債減少,　　 發放現金股利,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　　 其他金融資產（增加）減少,　　 其他非流動資產增加,　　 其他預付款項減少,　　 短期借款增加,　　 其他金融資產減少,　　　 不影響現金流量之收益費損項目,　　　　 股利收入,　　　　 不影響現金流量之收益費損項目合計,　　 其他應收款－關係人增加,　　　　 攤銷費用,　　　　 金融資產減損損失,　　　　 金融資產減損迴轉利益,　　　　 非金融資產減損迴轉利益,　　　　　 預付款項（增加）減少,　　　　　 應付票據增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他營業負債增加（減少）,　　 對子公司之收購（扣除所取得之現金）,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 存入保證金增加,　　 存入保證金減少,　　 員工執行認股權,　　　　　 其他營業資產（增加）減少,　　 償還公司債,　　 收取之股利
6120,2015年度,,-184010,-184010,,,2134370,932.0,4634.0,49493,-105414,0.0,209632,-8587,28609.0,0.0,178037.0,8048.0,2499754.0,,,18607.0,54933,4903054,196122,1160813,127348,44673.0,6505550,,26544.0,-2242074,-1209256,-123333.0,-3153024.0,-184814.0,-504153.0,-7390110,-884560,1615194,1431184,99179.0,-50212,-284842,1195309,,-51700.0,-1206530,35878,0.0,12726.0,-1209626,,0,980000.0,-690547.0,19257.0,0.0,-599974.0,-227676.0,-518940,-38657,-571914,7014431,6442517,6442517,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6120,2015年01月01日至2015年09月30日,,30130,30130,,,1604325,638.0,-21990.0,36414,-76120,,103780,-3224,28133.0,,,,1671956.0,,,18607.0,37173,3920156,-57814,877370,-1727806,-24441.0,3042530,,42499.0,-396854,-334150,-924990.0,-3000468.0,-172965.0,215512.0,-4571416,-1528886,143070,173200,65591.0,-37601,-208223,-7033,,,-1055260,23857,,,-1026617,,0,980000.0,-188645.0,,-58.0,-599974.0,-218588.0,1291229,150978,408557,7014431,7422988,7422988,0,-715.0,-106.0,4892.0,1318494.0,,,,,,,,,,,,,,,,,,,,,,,
6120,2015年01月01日至2015年06月30日,,112230,112230,,,1068481,-9921.0,-65172.0,23833,-45042,,74089,2127,28133.0,,,,1076528.0,,,51979.0,936497,4412504,-11072,711134,-115176,66649.0,6052515,,0.0,-2127791,-775551,-924465.0,-2903960.0,-208226.0,289220.0,-6650773,-598258,478270,590500,44335.0,-23646,-149679,461510,,,-557568,15068,,998.0,-532767,,0,350000.0,-142736.0,58.0,0.0,,-69111.0,138211,-196576,-129622,7014431,6884809,6884809,0,,0.0,8735.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
6120,2015年01月01日至2015年03月31日,,231607,231607,,,547902,-6092.0,,12039,-19527,,28573,5012,28133.0,,,,596040.0,,,-21353.0,595686,2654506,164358,505642,-277530,48057.0,3669366,,0.0,-732740,403090,-811436.0,-2612507.0,-196689.0,406919.0,-3543363,126003,722043,953650,11718.0,-11979,-56864,896525,,,-340567,13933,,1210.0,-321004,,0,100000.0,-105067.0,,-39.0,,-69111.0,-74217,-53659,447645,7014431,7462076,7462076,0,,,4420.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
6120,2014年度,,2246813,2246813,,,1959128,12185.0,0.0,102191,-106635,956.0,219954,18007,0.0,445215.0,0.0,-2883913.0,-232912.0,,,-2891.0,-580124,-1467001,371593,-409097,-659260,-49596.0,-2796376,,0.0,-817901,-17496,1114914.0,3128645.0,205214.0,-50784.0,3562592,766216,533304,2780117,115915.0,-95633,-389435,2410964,,0.0,-264335,137182,2763252.0,2283.0,2638382,,-840840,347319.0,-1584654.0,0.0,-1825.0,-546066.0,-353242.0,-2979308,245596,2315634,4698797,7014431,7014431,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6120,2014年01月01日至2014年09月30日,,200761,200761,,,1302287,1621.0,20592.0,85252,-85593,,192251,-18188,0.0,,,,1498222.0,,,-17383.0,478618,-1176884,-22340,-698716,-73549,1331.0,-1505924,,0.0,195349,1000698,-177508.0,1559536.0,53309.0,434473.0,3065857,1559933,3058155,3258916,80002.0,-80142,-331018,2927758,,,-550960,68669,,,-481601,,-536480,47002.0,-610239.0,,-1967.0,-546066.0,0.0,-1647750,13666,812073,4698797,5510870,5510870,0,2999.0,-1244.0,1934.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
6120,2014年01月01日至2014年06月30日,,71113,71113,,,904469,2320.0,0.0,63648,-60095,,102400,-14288,0.0,,,,998454.0,,,10612.0,416308,-1208981,-1148495,891738,318656,12262.0,-707900,,7083.0,-324187,244276,207615.0,1231616.0,21077.0,89446.0,1476926,769026,1767480,1838593,48200.0,-68602,-286992,1531199,,,-373314,45767,,0.0,-326610,,-33135,39060.0,-595529.0,0.0,-9646.0,,0.0,-599250,-137758,467581,4698797,5166378,5166378,0,,-474.0,1351.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
6120,2014年01月01日至2014年03月31日,,-96111,-96111,,,472609,-2946.0,,36834,-28780,,59785,-8077,0.0,,,,529425.0,,,12309.0,281053,325212,408985,597711,252799,6748.0,1884817,,38547.0,-529891,-280181,2768.0,107089.0,12840.0,8217.0,-640611,1244206,1773631,1677520,28633.0,-39590,-48503,1618060,,,-287854,23918,,32.0,-263189,,-230640,30920.0,-78528.0,,-7820.0,,0.0,-286068,-59328,1009475,4698797,5708272,5708272,0,,,685.0,,30.0,,,,,,,,,,,,,,,,,,,,,,
6120,2013年度,,682828,682828,,,1931551,6095.0,,149871,-54050,0.0,370217,-17734,,0.0,,0.0,,,,-6145.0,-1106190,-1886434,-481107,-440355,-847465,119303.0,-4438393,,,1515351,1105390,65193.0,993455.0,-72892.0,176179.0,3782676,-655717,1752057,2434885,53339.0,-152265,-133854,2202105,,,-1139422,95666,0.0,6849.0,-1917383,,-236822,400539.0,-694042.0,,-30113.0,-546067.0,0.0,-1106505,211410,-610373,5309170,4698797,4698797,0,210000.0,,,,11262.0,,21824.0,2407774.0,-891738.0,,,,,,,,,,,,,,,,,,
6120,2013年01月01日至2013年12月31日,,-905489,-905489,,,1115467,,-744.0,7369,-24894,10315.0,5634,-30041,,,287840.0,,,,,,-132476,320594,-23003,-2025,224736,80883.0,445120,,,-531871,35473,,,,,-863676,-418556,1038107,132618,19540.0,-7703,-13886,130569,,,-436411,116722,,,-316706,,-177144,150000.0,-200000.0,,,-95210.0,0.0,-322182,221316,-287003,2676833,2389830,2389830,0,-581.0,,,,,,,1456663.0,,83369.0,2348.0,0.0,,-23008.0,-42312.0,371.0,-325337.0,,,6702.0,-3719.0,0.0,-144.0,316.0,,,
