公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 其他金融資產增加,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 應付租賃款增加,　　 應付租賃款減少,　　 現金增資,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 其他投資活動,　　　　　 預付費用（增加）減少,　　 其他非流動資產增加
3686,2015年度,,-524851,-524851,,,533797,3958,184,4135,-6075,2040,0,0.0,0,0,538039.0,,,-13314.0,53782,4020,20659,5934,289,2983,74353,,-1574,3263,282,1971,76324,614363,89512,6056,-3905,-604,91059,,0,0.0,-61555,0.0,-31.0,0,-360,0.0,-61946,,0,0,0.0,200000,-280417,30.0,0.0,0.0,0.0,0,0.0,-80387,-51274,954300,903026,903026,,,,,
3686,2015年01月01日至2015年09月30日,,-404127,-404127,,,396506,3190,286,3393,-4449,2040,0,0.0,0,0,400966.0,,,-28265.0,61894,-964,27136,6634,-145,-548,65742,,-36840,6036,545,-30259,35483,436449,32322,4542,-3600,-454,32810,,0,,-56589,0.0,,0,0,-4100.0,-60689,,0,0,0.0,150000,-247083,30.0,0.0,0.0,0.0,0,0.0,-97053,-124932,954300,829368,829368,,,,,
3686,2015年01月01日至2015年06月30日,,-296698,-296698,,,264865,2297,207,2472,-3079,2598,0,0.0,0,0,269360.0,,,-998.0,24505,365,26501,3213,230,-447,53369,,-37797,-1353,33,-39117,14252,283612,-13086,3092,-2502,-667,-13163,,0,,-16376,0.0,,0,0,-4100.0,-20476,,0,0,0.0,50000,-45000,0.0,0.0,0.0,0.0,0,0.0,5000,-28639,954300,925661,925661,,,,,
3686,2015年01月01日至2015年03月31日,,-142488,-142488,,,132789,1189,-14,1281,-1441,1622,0,0.0,0,0,135426.0,,,-17044.0,78861,3590,-16449,-5550,-1413,-195,41800,,19478,-2226,98,17350,59150,194576,52088,1452,-1305,-145,52090,,0,,0,0.0,,0,0,-1849.0,-1849,,0,0,0.0,0,-22500,0.0,0.0,0.0,0.0,0,0.0,-22500,27741,954300,982041,982041,,,,,
3686,2014年度,,-479564,-479564,,,537007,5295,99,19208,-4823,4729,9386,-127.0,-63302,45618,553090.0,,,0.0,-63555,250,-76260,22319,1237,-8872,-124881,,80946,6664,50,87660,-37221,515869,36305,4430,-20967,-442,19326,,0,276171.0,-29319,195.0,0.0,130,0,-20995.0,226182,,0,-219992,0.0,370000,-1250525,0.0,-155.0,0.0,-69117.0,1314100,0.0,144311,389819,564481,954300,954300,,553090.0,0.0,,
3686,2014年01月01日至2014年09月30日,,-386065,-386065,,,403613,3967,130,17853,-3914,4599,1652,-127.0,-574,3894,431093.0,,,-7004.0,-71216,2311,-43236,13333,1172,-4472,-109112,,56969,6193,352,63514,-45598,385495,-570,3650,-19794,-365,-17079,,0,,-23182,0.0,,130,0,-20995.0,-44047,,0,-219992,0.0,200000,-1094275,0.0,-155.0,0.0,-69117.0,1314100,0.0,130561,69435,564481,633916,633916,,,,,
3686,2014年01月01日至2014年06月30日,,-240959,-240959,,,268238,2614,70,14296,-3376,4228,15385,-127.0,-574,853,301607.0,,,0.0,-84629,1256,-74605,11082,668,-3805,-150033,,36153,9761,300,46214,-103819,197788,-43171,2301,-15183,-230,-56283,,0,,-19011,0.0,,50,-200000,-16363.0,-235324,,0,-219992,0.0,0,-333295,0.0,0.0,0.0,-13273.0,1314100,0.0,747540,455933,564481,1020414,1020414,,,,,
3686,2014年01月01日至2014年03月31日,,-103571,-103571,,,132155,1253,391,7832,-894,2270,7053,0.0,0,427,150487.0,,,0.0,-81221,-1355,-124184,-3612,-352,-2297,-213021,,107130,2444,767,110341,-102680,47807,-55764,112,-8447,-11,-64110,,0,,-2232,0.0,,0,-200000,-55.0,-202287,,0,-196870,0.0,0,-252585,0.0,0.0,0.0,-6607.0,1314100,0.0,858038,591641,564481,1156122,1156122,,,,,
3686,2013年度,,-740204,-740204,,,505576,5939,290,39062,-4773,4608,-9883,0.0,-101,5708,,,,0.0,-107157,3858,-29817,17507,-1278,-536,-117423,,89170,42263,1,131434,14011,560437,-179767,4768,-48543,-486,-224028,,-49500,0.0,-169931,82865.0,,2450,27503,-101145.0,-215923,,738973,-830397,0.0,1522400,-2512776,0.0,-2380.0,82864.0,-13748.0,845400,-4720.0,-174384,-614335,1178816,564481,564481,,546426.0,-8165.0,,
3686,2013年01月01日至2013年12月31日,,-740204,-740204,,,505576,5939,290,39062,-4773,4608,-9883,,-101,5708,,,,,-107157,3858,-29817,17507,-1278,-536,-117423,,89170,42263,1,131434,14011,560437,-179767,4768,-48543,-486,-224028,,-49500,,-169931,82865.0,,2450,27503,-101145.0,-215923,,738973,-830397,0.0,1522400,-2512776,0.0,-2380.0,82864.0,-13748.0,845400,-4720.0,-174384,-614335,1178816,564481,564481,,546426.0,-8165.0,,
3686,2013年01月01日至2013年09月30日,,-549260,-549260,,,364162,4794,616,29644,-4147,2596,2621,0.0,-230,3168,,,,0.0,-127609,3059,-31332,4527,-590,-374,-152319,,100447,10138,31,110616,-41703,361521,-187739,4147,-38395,-424,-222411,,-49500,,-161724,82865.0,,2550,-95244,-68171.0,-289224,,541768,-600682,0.0,599600,-1411026,155.0,-2535.0,82865.0,-7199.0,845400,0.0,48346,-463289,1178816,715527,715527,,403224.0,,,
3686,2013年01月01日至2013年06月30日,,-383138,-383138,,,240767,3356,552,19843,-3828,508,2440,0.0,-230,2112,,,,,-111193,2285,-22692,2717,-443,-174,-129500,,99248,9097,84,108429,-21071,244449,-138689,3828,-26397,-392,-161650,,-49500,,-65615,,,15,-192684,0.0,-307784,,357237,-378146,0.0,599600,-1246713,0.0,0.0,0.0,0.0,845400,0.0,177378,-292056,1178816,886760,886760,,265520.0,,,
3686,2013年01月01日至2013年03月31日,,-205000,-205000,,,116983,1691,210,10812,-1946,276,5178,,-230,1056,,,,,-73901,3474,2273,-2629,-90,0,-70873,,48194,9772,123,58089,-12784,121246,-83754,1946,-14626,-193,-96627,,-49500,,-26541,0.0,,15,-111477,0.0,-187503,,0,-190863,0.0,600000,-1082400,0.0,0.0,0.0,0.0,845400,0.0,172137,-111993,1178816,1066823,1066823,,134030.0,,,
3686,2012年01月01日至2012年12月31日,,-882526,-882526,,,453996,7783,-373,64786,-15727,0,14519,,0,4225,,,,,123594,12581,17402,39456,8527,-573,200987,,-79100,-42089,-1078,-122267,78720,607929,-274597,15727,-67169,-1571,-327610,,-197788,,-536006,0.0,,0,-27503,2903.0,-761687,,1229061,-1052361,-49871.0,1125000,-1529064,0.0,0.0,0.0,0.0,0,-400.0,-277635,-1366932,2545748,1178816,1178816,,529209.0,-3293.0,,
3686,2012年01月01日至2012年09月30日,,-619067,-619067,,,340590,6050,-140,48858,-12793,0,-4459,,0,3168,,,,,78353,9975,-75101,33703,7371,-584,53717,,6524,-31138,-892,-25506,28211,409485,-209582,12793,-49874,-1278,-247941,,-197788,,-519286,0.0,,0,-53045,0.0,-770119,,1041308,-721234,-49870.0,1124600,-1307688,0.0,0.0,0.0,0.0,0,,87116,-930944,2545748,1614804,1614804,,381274.0,,,
3686,2012年01月01日至2012年06月30日,,-389714,-389714,,,227133,4138,351,31950,-9192,0,-295,,0,2112,,,,,-22227,11927,3116,32751,6828,-277,32118,,6140,-16753,-784,-11397,20721,276918,-112796,9192,-31739,-918,-136261,,-197788,,-447442,,,0,-7919,,-653149,,633781,-508758,-49870.0,1124600,-1008979,,,,,0,,190774,-598636,2545748,1947112,1947112,,256197.0,,,
3686,2012年01月01日至2012年03月31日,,-161846,-161846,,,113580,2086,86,14857,-4751,0,-842,,0,1056,,,,,31984,9817,-102109,0,2233,-150,-78976,,121095,-13258,691,108528,29552,155624,-6222,4751,-14949,-471,-16891,,-99000,,-379946,,,0,-70637,,-549583,,45643,0,,207000,-165271,,,,,0,,87372,-479102,2545748,2066646,2066646,,126072.0,,-20751.0,0.0
