公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之現金流量－直接法,　　 營業活動之收現類別,　　　 營業活動之收現類別合計,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 其他項目,　　　　　 其他金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　 停業單位稅前淨利（淨損）,　　　 不影響現金流量之收益費損項目,　　　　 股利收入,　　　　 處分採用權益法之投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　　　　 遞延貸項增加（減少）,　　 收取之股利,　　 處分子公司,　　 應付短期票券減少,　　 存入保證金減少,　　 現金增資,　　 庫藏股票買回成本,　　 庫藏股票處分,　　 非控制權益變動,　　　　 不動產、廠房及設備轉列費用數,　　 取得以成本衡量之金融資產,　　 處分採用權益法之投資,　　 其他應收款－關係人增加,　　 取得無形資產,　　 處分投資性不動產,　　 應付短期票券增加,　　　　 非金融資產減損損失,　　 其他符合國際會計準則第七號現金及約當現金定義之項目
2109,2015年01月01日至2015年09月30日,,430320,430320,,,245603,7252,1248,24044,33743,-9710,19388.0,-403,-3.0,45000.0,366162.0,,,12916,100190,94242,30223,178286,6243,422100,,-54259,-196866,-38997,-16317,-17139.0,-323578,98522,464684,895004,9710,-28962,-178208,,,697544.0,697544,,-1864.0,116.0,-12264.0,-191044,1345,-399699,0.0,-1455.0,0.0,0.0,-604865,,1642520.0,-1586174.0,80000.0,-143587,50.0,-436894.0,-444085,-13213,-364619,1667308,1302689,1302689,,,,,,,,,,,,,,,,,,,,,,,,,,,
2109,2015年01月01日至2015年06月30日,,302780,302780,,,164456,4454,548,27214,21879,-7190,16010.0,-145,-5.0,,227221.0,,,13994,92692,-3362,10574,170592,9677,294167,,-59271,-141201,-98106,1533,-12882.0,-309927,-15760,211461,514241,7190,-22449,-92187,,,406795.0,406795,,-1829.0,114.0,-10189.0,-134957,496,-94755,0.0,-47551.0,0.0,0.0,-288671,,977128.0,-1000733.0,0.0,-143291,50.0,-45896.0,-212742,-37373,-131991,1667308,1535317,1535317,,,,,,,,,,,,,,,,,,,,,,,,,,,
2109,2015年01月01日至2015年03月31日,,129734,129734,,,81730,793,671,16639,11038,-2862,5192.0,59,,,113858.0,,,1002,84588,-46883,-19119,95014,-692,111770,,-18763,-43990,-123662,2437,-4655.0,-188633,-76863,36995,166729,2862,-10339,-22,,,159230.0,159230,,-1930.0,,-2046.0,-52639,159,-55704,0.0,-1166.0,,,-113326,,515563.0,-523938.0,,-100000,,,-108375,-4727,-67198,1667308,1600110,1600110,598.0,0.0,-2140.0,,,,,,,,,,,,,,,,,,,,,,,,
2109,2014年度,,1115352,1115352,,,345168,7368,-4731,4447,51781,-13472,1804.0,-7210,6411.0,0.0,,,,-213942,-88079,-37792,-71472,-145218,1732,-236834,,-107527,19458,73412,-2349,,-33626,-270460,-471855,643497,13472,-49346,-139839,,,469302.0,469302,,-114539.0,56616.0,-22822.0,-447477,219499,0,98531.0,0.0,28066.0,269974.0,87848,,2833943.0,-3150622.0,1559533.0,-1360295,,-142115.0,-503111,50672,104711,1562597,1667308,1667308,-591443.0,304570.0,13367.0,0.0,,-1518.0,0.0,-201395.0,-16620.0,0.0,1518.0,0.0,0.0,0.0,0.0,-243555.0,0.0,,,,,,,,,,
2109,2014年01月01日至2014年09月30日,,440038,440038,,,255628,5672,2351,6168,38847,-11143,0.0,-12407,10819.0,0.0,295935.0,,,-162772,-25441,-7144,-69611,-32244,-8635,-305847,,-152601,18306,-4004,3482,-12174.0,-146991,-452838,-156903,283135,11143,-39199,-113117,,,141962.0,141962,,-34994.0,49541.0,-76582.0,-322110,171194,0,416951.0,0.0,15980.0,82200.0,302180,,2348583.0,-2614718.0,1110781.0,-1105220,0.0,-142115.0,-402689,21620,63073,1562597,1625670,1625670,,,,,,,,,,,,,,,,,,,,,,,,,,,
2109,2014年01月01日至2014年06月30日,,272302,272302,,,186765,4079,2098,7942,26550,-6608,0.0,-8434,766.0,,213158.0,,,73759,-65657,-72122,-79055,49266,29687,-64122,,-110419,-38332,-10839,13150,-7800.0,-154240,-218362,-5204,267098,6608,-28531,-81655,,,163520.0,163520,,-86192.0,46774.0,-12261.0,-218425,167026,0,354967.0,-12367.0,16335.0,118915.0,374772,,1633537.0,-1795972.0,854809.0,-1105220,0.0,-47811.0,-460657,-933,76702,1562597,1639299,1639299,,,,,,,,,,,,,,,,,,,,,,,,,,,
2109,2014年01月01日至2014年03月31日,,134052,134052,,,105425,1708,1982,-3270,15422,-3364,0.0,-8206,,,110347.0,,,3956,13765,-42557,-61205,25782,24485,-31673,,-28568,-106603,-57762,3611,-3704.0,-193026,-224699,-114352,19700,3364,-11072,-1355,,,10637.0,10637,,-38767.0,,0.0,-109079,16868,0,45334.0,-10277.0,,,-95921,,823104.0,-916890.0,,-245083,,,-338869,18400,-405753,1562597,1156844,1156844,650.0,9720.0,-5619.0,,,,,,,,,,,,,,,,,,,,,,,,
2109,2013年度,,622979,622979,,,315190,6150,38283,-21981,90309,-11693,0.0,-3607,0.0,17400.0,,,,-87692,-2422,-160367,12605,142652,-31215,-175718,,-162819,-16096,57742,-62818,,352641,176923,605820,1228799,11693,-121282,-65149,,,1054061.0,1054061,,-11211.0,0.0,0.0,-255317,99868,0,12987.0,-38959.0,0.0,0.0,-174303,,3630139.0,-4008961.0,168295.0,-405828,,-25025.0,20212,-9097,890873,671724,1562597,1562597,2366.0,-53988.0,4709.0,0.0,,0.0,-3520.0,428897.0,-12952.0,549584.0,0.0,18329.0,-50000.0,-23755.0,690500.0,0.0,44847.0,,,,,,,,,,
2109,2013年01月01日至2013年12月31日,,622979,622979,,,315190,6150,38283,-21981,90309,-11693,,-3607,,17400.0,,,,-87692,-2422,-160367,12605,125944,-31215,-180241,,-162819,-16096,57742,-62818,,-196943,-377184,68421,691400,11693,-121282,-65149,,,,516662,,-11211.0,,,-255317,99868,-38157,0.0,,,549584.0,363096,,,-378822.0,,-237533,,-25025.0,20192,-9077,890873,671724,1562597,1562597,17171.0,-41001.0,3907.0,,,,-3520.0,445605.0,-12952.0,,,,-50000.0,-23755.0,690500.0,,44827.0,,1903.0,0.0,18329.0,0.0,0.0,0.0,0.0,,
2109,2013年01月01日至2013年09月30日,,425157,425157,,,252969,5835,693,2039,71643,-9197,,69,0.0,,,,,-43948,-22874,-71349,11313,178067,-50594,615,,-144407,7703,-29964,-64261,,-240033,-239418,83336,508493,9197,-76096,-50602,,,,390992,,-41635.0,0.0,0.0,-183546,88539,-331,-2005.0,,2435.0,0.0,-118214,,2587666.0,-2747052.0,0.0,-215432,,-25025.0,-168745,-1038,102995,671724,774719,774719,2223.0,,,0.0,,,-3520.0,322754.0,-9104.0,0.0,,18329.0,-50000.0,-23749.0,260000.0,,44847.0,,,,,,,,,,
