公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產增加,　　 其他非流動資產增加,　　 預付設備款增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 發行公司債,　　 舉借長期借款,　　 償還長期借款,　　 發放現金股利,　　 現金增資,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金增加,　　 短期借款減少,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　 不影響現金流量之收益費損項目,　　　　 非金融資產減損迴轉利益,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 其他非流動資產減少,　　 其他非流動負債減少,　　 其他金融資產減少,　　 處分無形資產
2115,2015年01月01日至2015年09月30日,,242139,242139,,,56170,1826,3798,442,7389,-11668,4358.0,500,0.0,62815.0,,,-205.0,-35806,75357,-242,89201,2124,-78,130351,,0,-76785,-20824,-617,483,7.0,-97736,32615,95430,337569,11587,-4594,-53623,290939,,-90638.0,-85237,4690,579.0,-3188.0,8514,-231,-34275,0.0,-199786,,-197847,398556.0,0,-138155,-156188.0,173000.0,79366,10375,180894,500206,681100,681100,,,,,,,,,,,
2115,2015年01月01日至2015年06月30日,,159394,159394,,,36155,1188,-1199,300,4977,-7661,4358.0,200,0.0,38318.0,,,-85.0,-29640,27450,362,51776,-4183,-115,45565,,0,-33962,-16158,1036,21,5.0,-49058,-3493,34825,194219,9439,-4068,-33838,165752,,-24883.0,-62369,4320,575.0,0.0,-25763,-515,-38888,,-147523,,0,398556.0,0,-191480,,173000.0,87507,-3252,102484,500206,602690,602690,0.0,-292569.0,,,,,,,,,
2115,2015年01月01日至2015年03月31日,,74003,74003,,,18156,608,-673,0,2570,-3901,4358.0,184,,21302.0,,,,-15244,48165,-575,38745,-2218,6,68879,,0,-21015,-14673,-275,264,3.0,-35696,33183,54485,128488,3990,-2779,-16396,113303,,,-30335,3896,579.0,,-107667,-761,-32868,,-167156,,-28810,,0,0,,157500.0,128690,-2792,72045,500206,572251,572251,,,0.0,,,,,,,,
2115,2014年度,,297709,297709,,,68138,2601,9516,201,9065,-12745,,-308,,,,,-122.0,-7089,-48160,4420,-98178,-8300,139,-157290,,-5674,-5140,-3842,1359,-8,,-13170,-170460,-93992,203717,10666,-9247,-72367,132769,,,-68927,1220,,-2369.0,-157552,-2817,-73862,-2512.0,-307223,,138437,,318885,-273330,-33807.0,0.0,150185,18380,-5889,506095,500206,500206,-404.0,,,,0.0,76468.0,135.0,0.0,0.0,,
2115,2014年01月01日至2014年09月30日,,223383,223383,,,50082,1953,7091,200,6578,-8923,0.0,15,0.0,56996.0,,,-121.0,-16340,-9240,2948,-92045,-6376,168,-121006,,-5674,8604,-25286,801,33,97.0,-21425,-142431,-85435,137948,7091,-6733,-55799,82507,,0.0,-31253,747,950.0,-2152.0,-137625,-354,-57523,-2518.0,-229728,,62085,0.0,316649,-271413,-33807.0,0.0,73514,3992,-69715,506095,436380,436380,,,,,,,,,,,
2115,2014年01月01日至2014年06月30日,,147884,147884,,,32356,1274,9076,200,4367,-5313,0.0,-108,0.0,41852.0,,,-121.0,-13815,-66193,6183,-56022,-4803,58,-134713,,-5596,67225,-25185,98,27,66.0,36635,-98078,-56226,91658,4883,-4406,-34233,57902,,0.0,-18666,411,0.0,0.0,-109942,0,-41520,,-172240,,33655,0.0,226388,-196203,,0.0,63840,-6808,-57306,506095,448789,448789,-2523.0,0.0,,,,,,,,,
2115,2014年01月01日至2014年03月31日,,60922,60922,,,16188,644,9242,330,2172,-2535,0.0,-146,,25895.0,,,,24374,-33105,3930,-47292,-7517,-5721,-65331,,-983,20220,-27596,884,34,30.0,-7411,-72742,-46847,14075,1746,-2427,-17219,-3825,,,-8145,313,0.0,,-108142,0,-19169,,-135143,,-11652,,151765,-121412,,0.0,18701,810,-119457,506095,386638,386638,,,0.0,,,,,,,,
2115,2013年度,,161804,161804,,,63086,2436,-4610,-77,8553,-5704,,877,,,,,0.0,40407,-73839,3520,11524,4669,2727,-10992,,-314,-29983,53909,59,0,,23753,12761,78508,240312,4574,-8076,-79226,157584,,,-26141,560,,-2387.0,-149267,0,-34632,-159.0,-208633,,-64635,,237840,-104055,-136023.0,171833.0,104960,24705,78616,427479,506095,506095,0.0,,,,1186.0,65747.0,82.0,3393.0,0.0,,
2115,2013年01月01日至2013年12月31日,,161804,161804,,,63086,2436,-4610,-77,8553,-5704,0.0,877,0.0,,,,0.0,40407,-73839,3520,11524,4669,2727,-10992,,-314,-29983,53909,59,0,,23753,12761,78508,240312,4574,-8076,-79226,157584,,,-26141,560,,-2387.0,-149267,3393,-34632,-159.0,-208633,,-64635,,237840,-104055,-136023.0,171833.0,104960,24705,78616,427479,506095,506095,0.0,,,,1186.0,65747.0,82.0,0.0,0.0,0.0,
2115,2013年01月01日至2013年09月30日,,108944,108944,,,47416,1800,-4980,0,5958,-3331,,259,662.0,,,,0.0,42451,-55182,7537,5849,2116,870,3641,,795,-45839,19998,128,204,,-24644,-21003,26781,135725,2202,-5211,-38580,94136,,,-19541,388,0.0,-2382.0,-67702,2296,-24538,-165.0,-111644,,63932,,223275,-44655,-136023.0,,106529,6826,95847,427479,523326,523326,,,,,,47784.0,70.0,,,,
