公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 呆帳費用提列（轉列收入）數,　　 退還（支付）之所得稅,　　　　　 存貨（增加）減少,　　　　　 遞延借項（增加）減少,　　 處分不動產、廠房及設備,　　 償還長期借款,　　 處分子公司股權（未喪失控制力）,　　　　 股利收入,　　 收取之股利,　　 庫藏股票處分,　　 預付設備款增加,　　 其他投資活動,　　 發放現金股利,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 其他非流動資產減少,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　 短期借款減少,　　 發行公司債,　　　　 未實現外幣兌換損失（利益）,　　 舉借長期借款,　　 非控制權益變動
2613,2016年01月01日至2016年09月30日,,30414,30414,,,106467,9389.0,26849,-3040,41166,0.0,,,,9089,-50540,2784,-6989,-7590,0.0,-66232,,7211,-84.0,-8240,1670,,-530035,-596267,-427739,-397325,3175,-17729,-416233,,-107460,,-243155,,727000,609110,-50278,349447,299169,299169,0.0,-4354.0,-12986.0,,-168.0,-4166.0,0.0,0.0,0.0,34663.0,-135978.0,,0.0,,168528.0,-530592.0,451.0,-285.0,-400000.0,0.0,-12018.0,251586.0,27.0
2613,2016年01月01日至2016年06月30日,,37576,37576,,,69621,6259.0,16817,-2155,150,0.0,,,,-627,-13574,1086,-75,-13154,0.0,-31397,,4113,2.0,-5282,3447,,-520068,-551465,-465566,-427990,2034,-13017,-441393,,-71444,,-135461,,416586,497817,-79037,349447,270410,270410,0.0,-2420.0,-5053.0,,0.0,0.0,0.0,0.0,0.0,21236.0,-64468.0,,0.0,,85899.0,-522348.0,451.0,-240.0,0.0,0.0,-4553.0,60000.0,-5.0
2613,2016年01月01日至2016年03月31日,,3971,3971,,,34517,3130.0,7672,-1041,26,0.0,,,,3745,32320,-208,47,-11215,0.0,20588,,-2786,-18.0,-29762,3022,,-543641,-523053,-483757,-479786,922,-5834,-484723,,-34047,,-54825,,475000,475000,-64548,349447,284899,284899,0.0,-25.0,-4101.0,,0.0,0.0,0.0,0.0,0.0,0.0,-21218.0,,0.0,,39296.0,-514097.0,440.0,-105.0,0.0,0.0,-4903.0,,
2613,2015年度,,37930,37930,,,112834,12549.0,25974,-4728,30288,,,,,1992,-23665,1619,-4501,-19914,-5.0,-45772,,9360,-37.0,-17487,-206,,-56735,-102507,73855,111785,4622,-18176,70098,,-181296,,-695196,,721620,595658,-29440,378887,349447,349447,,-28838.0,-1298.0,,279.0,,0.0,-705.0,705.0,3355.0,-514179.0,,-14202.0,,176362.0,-48365.0,,150.0,-415115.0,300000.0,,,
2613,2015年01月01日至2015年09月30日,,6093,6093,,,81641,9389.0,18570,-3444,20856,0.0,,,,2914,-17913,3756,-7970,-27779,0.0,-49169,,16045,,-24373,2463,,-49604,-98773,27534,33627,3425,-18720,-1653,,-132871,-1079.0,-466164,,368818,357971,-109846,378887,269041,269041,0.0,-20690.0,-2177.0,,279.0,0.0,0.0,-705.0,705.0,3355.0,-332493.0,,-14202.0,,126307.0,-43739.0,,,,,,,
2613,2015年01月01日至2015年06月30日,,20149,20149,,,52772,6259.0,11772,-2341,756,0.0,,,,2514,-6949,1296,-260,-12163,0.0,-15177,,13045,,-17018,2343,,-36798,-51975,17243,37392,2308,-11722,11181,,-78564,-1282.0,-241808,,145000,148355,-82272,378887,296615,296615,,-16797.0,385.0,,279.0,0.0,0.0,,0.0,3355.0,-162241.0,,,,69218.0,-35168.0,0.0,,,,,,
2613,2015年01月01日至2015年03月31日,,-6870,-6870,,,26820,3130.0,5866,-1066,0,,,,,3315,38645,2807,-20,-21703,,20281,,-6601,,-43542,2536,,-52036,-31755,2995,-3875,979,-5837,-8746,,-37345,,-128454,,30000,31822,-105378,378887,273509,273509,,-13.0,-2763.0,,0.0,,,,,1822.0,-91368.0,,,,34750.0,-4429.0,259.0,,,,,,
2613,2014年度,,136990,136990,,,117385,12550.0,24171,-4637,20261,,,,,2093,-3050,3320,178,472,4108.0,-13479,,-15902,-392.0,5279,687,,-29249,-42728,126456,263446,4674,-24270,233364,,-202544,,-228057,,20000,42715,48022,330865,378887,378887,,-11032.0,-20600.0,,1254.0,,0.0,-546.0,546.0,33875.0,-26767.0,,-11160.0,,169184.0,-18921.0,,0.0,0.0,0.0,,,
2613,2014年01月01日至2014年09月30日,,103705,103705,,,87174,9389.0,18123,-3306,5,,110838.0,,,2556,-43214,3461,-728,-6053,,-53603,,-1310,-350.0,-19487,2026,-14943.0,-34064,-87667,23171,126876,3402,-18170,101749,,-109807,-31673.0,-141480,,40000,53099,13368,330865,344233,344233,0.0,-10906.0,-9625.0,,0.0,0.0,0.0,-547.0,547.0,24259.0,0.0,,-11160.0,,,,,,,,,,
2613,2014年01月01日至2014年06月30日,,59586,59586,,,56829,,12045,-2208,5,,66671.0,,,967,-23123,2990,-3525,-9694,,-37513,,-13081,-418.0,-18245,2573,-10970.0,-40141,-77654,-10983,48603,1829,-12018,33823,,-69254,,-87764,,100000,122326,68385,330865,399250,399250,0.0,-4591.0,-5128.0,,,,,,,22326.0,-27667.0,9157.0,,,,,,,,,,,
