公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 各項保險負債淨變動,　　　　 保證責任準備淨變動,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產及設備損失（利益）,　　　　 處分投資性不動產損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 存放央行及拆借金融同業（增加）減少,　　　　　 透過損益按公允價值衡量之金融資產（增加）減少,　　　　　 備供出售金融資產（增加）減少,　　　　　 應收款項（增加）減少,　　　　　 貼現及放款（增加）減少,　　　　　 再保險合約資產（增加）減少,　　　　　 持有至到期日金融資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 央行及銀行同業存款增加（減少）,　　　　　 透過損益按公允價值衡量之金融負債增加（減少）,　　　　　 附買回票券及債券負債增加（減少）,　　　　　 應付款項增加（減少）,　　　　　 存款及匯款增加（減少）,　　　　　 員工福利負債準備增加（減少）,　　　　　 其他金融負債增加（減少）,　　　　　 其他負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 預付投資款增加,　　 取得不動產及設備,　　 處分不動產及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 處分承受擔保品,　　 購買承受擔保品,　　 取得投資性不動產,　　 處分投資性不動產,　　 其他資產增加,　　 其他資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 應付商業本票增加,　　 應付商業本票減少,　　 發行金融債券,　　 償還金融債券,　　 其他借款增加,　　 其他借款減少,　　 存入保證金增加,　　 存入保證金減少,　　 其他負債增加,　　 發放現金股利,　　 現金增資,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 符合國際會計準則第七號現金及約當現金定義之存放央行及拆借銀行同業,　　 符合國際會計準則第七號現金及約當現金定義之附賣回票券及債券投資,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　 不影響現金流量之收益費損項目,　　　　 處分承受擔保品損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 其他負債減少,　　 庫藏股票處分,　　 其他籌資活動,　　 取得子公司股權
5880,2015年01月01日至2015年09月30日,,11781326,11781326,,,766509,217631,2144836,56444,16171809,-39986918,-461812,-3439879,-52910,330750.0,-12955,3854,-15422.0,-796523,4634.0,-2127,-602619,-25674698.0,,,70834061,18912865,-17377856,1023064,-86269717,4983,-20220067,15802748,2734591,-14555328,,52297639,-15648569,2274203,7259620,45132030,-80738,-600286,448630,91082529,76527201,50852503,62633829,40253878,479137,-15948343,-291502,87126999,,-1000000.0,-662993,0,-901537.0,379141.0,-135297,2127,-77536.0,0.0,28209.0,-25180,7416,-2385650,,105318000,-102770000,12516000,-22500000.0,8321207,-7370724,450775,-4276,54604,-5272490.0,21870000.0,0.0,10613096,962097,96316542,341517226,437833768,58568763,377158959,2106046,,,,,,,,,,,,
5880,2015年01月01日至2015年06月30日,,7275581,7275581,,,512583,143255,1269399,932127,10853156,-26448779,-256424,-1325738,-91803,330750.0,-7345,3199,-15422.0,-604211,1871.0,-2127,486052,-14219457.0,,,71179408,2810984,-11426238,4653727,-35224265,7905,-13681242,19833494,2957763,41111536,,32977884,-8850778,-3058222,-16665842,19465822,-137979,-2605795,457719,21582809,62694345,48474888,55750469,26773289,247612,-11622710,19388,71168048,,,-380839,0,-849430.0,378921.0,-66419,2127,-36896.0,0.0,28209.0,-15909,2416,-937820,,69530000,-71418000,12516000,-22500000.0,5502732,-5375000,76408,-2063,70329,,21870000.0,0.0,10270406,1234268,81734902,341517226,423252128,41964221,378551938,2457734,278235.0,,,,,,,,,,,
5880,2015年01月01日至2015年03月31日,,3327167,3327167,,,256072,71358,799544,1007050,5477784,-13250986,-4200,-732776,-75351,330750.0,-3013,1543,,-327893,1892.0,0,218674,-6229552.0,,,-17876156,-4934657,-5891681,-1823451,3719157,10096,-5750944,9254177,2372514,-20920945,,43110576,-5242676,-4427202,-9293872,-3192012,-23984,1478106,54952,22463888,1542943,-4686609,-1359442,13596199,4904,-5020569,-254232,6966860,,,-269925,0,-381378.0,142855.0,-12436,0,-36750.0,,,-5754,2417,-560971,,38640000,-38720000,12516000,-4000000.0,3479669,-2945000,38894,-1405,12476,,21870000.0,,30890634,934010,38230533,341517226,379747759,44878583,331564914,3022652,281610.0,,,,,,,,,,,
5880,2014年01月01日至2014年09月30日,,9592949,9592949,,,772399,209961,5121195,-784006,17515140,-39600089,-444823,-5380338,290246,0.0,-9844,-2675025,-5830.0,-715793,23840.0,-144,-352202,-26035313.0,,,-43267154,10907128,-7649875,349562,-22583378,-2135,-9826884,-24496029,-615303,-97184068,,-15733725,-9016740,-10099820,847966,26596862,-73092,-5667852,-102837,-13249238,-110433306,-136468619,-126875670,38848616,453962,-16851700,-1213696,-105638488,,0.0,-2186201,3346096,-99918.0,93562.0,-148604,144,-6451.0,-2285.0,27733.0,-45372,54,978758,,65126000,-65297000,10000000,-11670000.0,5012618,-4710000,10927,-274914,7980,0.0,0.0,-151704.0,-1946093,-204320,-106810143,414607686,307797543,40386797,266305188,1105558,,,,,,,,,,,,
5880,2014年01月01日至2014年06月30日,,6300835,6300835,,,512940,138975,2781946,-1223275,11688207,-26083827,-263515,-3183948,-21085,0.0,-4843,-655934,-5830.0,-659264,23885.0,-144,-7962,-16963674.0,,,-81028983,1121330,-5130693,-512268,5035782,-4995,-7430081,-20530393,-161913,-108642214,,-15686618,-7530690,-8243113,-3339432,57655746,-55275,-6454596,48058,16394080,-92248134,-109211808,-102910973,25534166,259654,-11812712,-712896,-89642761,,,-1252704,863972,-81280.0,65585.0,-83079,144,0.0,-2285.0,27733.0,-6354,54,-468214,,46565000,-46606000,10000000,-4500000.0,2960000,-2860000,3275,-280685,2567,,0.0,-151704.0,5132453,-553747,-85532269,414607686,329075417,42325545,284671329,2078543,0.0,,,,,,,,,,,
5880,2014年01月01日至2014年03月31日,,2880263,2880263,,,257099,70566,2010580,-646943,5776714,-12817010,-243,-1416402,-9351,0.0,-1574,-657970,,-327264,23835.0,-144,-366681,-8104788.0,,,-53921603,5219213,407518,1344355,-20159415,-508,-3522469,-9613275,-337903,-80584087,,5143695,-6865918,-7650497,-2984431,43006789,-50522,-4812030,59905,25846991,-54737096,-62841884,-59961621,12448418,684,-5018171,-106191,-52636881,,,-683041,863972,-57903.0,14483.0,-74133,144,0.0,,,-5400,54,58176,,24147000,-23501000,0,0.0,1440000,-1310000,1793,-36906,30774,,0.0,,771661,-846140,-52653184,414607686,361954502,39443208,320909926,1601368,0.0,,,,,,,,,,,
5880,2013年01月01日至2013年12月31日,,10014830,10014830,,,980178,301385,3429279,427438,21725000,-49143883,-519546,2007613,46778,0.0,-11402,-233524,-740.0,-609227,6719.0,-55553,-339869,,,,469806,23414128,-5929573,2441596,-41594766,8465,3943238,-35604149,-62930,-52914185,,9092260,-13897524,-939451,-9183747,65032091,66411,10475022,-334739,60310323,7396138,-14646821,-4631991,49928816,545086,-22390763,-2009839,21441309,,,-1876543,394899,-196931.0,163059.0,-232671,131554,-18341.0,-12636.0,2487.0,-10008,7886,-6930955,,54144000,-48841000,13000000,-25200000.0,7381000,-11014000,126895,-13969,0,-3192459.0,0.0,0.0,-9923266,751008,5338096,409269590,414607686,40655599,373534799,417288,,,-53605.0,-22042959.0,-13615461.0,13231322.0,-6611809.0,1712238.0,-9044.0,3695311.0,0.0,
5880,2013年01月01日至2013年09月30日,,8154640,8154640,,,726708,227092,2064239,927463,16154103,-36558792,-420603,3619460,-4115,0.0,-6728,-236538,-740.0,-610929,0.0,-55553,-215134,,,,-13953833,10850858,-7036443,1912158,14392382,-2264,-280105,-25701446,-494859,-20313552,,10810114,-12276119,-1219164,-8086940,8764834,20940,7195231,-385771,4823125,-15490427,-29925549,-21770909,36883349,439245,-16440070,-1741129,-2629514,,,-1299876,394886,-163277.0,88526.0,-201460,123005,,-30298.0,2487.0,-6984,7886,-5286637,,40293000,-38576000,7500000,-18200000.0,4504000,-7854000,8567,-49057,0,0.0,0.0,0.0,-9915487,545129,-17286509,409269590,391983081,43384804,347957231,641046,,,-45055.0,-14435122.0,-13014613.0,11829918.0,-3416837.0,400000.0,-6190.0,2464193.0,,0.0
5880,2013年01月01日至2013年06月30日,,5522510,5522510,,,483675,151288,1588685,1513305,10740627,-24286836,-248058,2429557,6830,,-3992,-217841,-740.0,-632475,0.0,-45779,-418369,,,,-6850670,12698446,-5551318,3838343,52742385,-5679,-675508,-9920179,27483,46303303,,148748,-9950398,3160762,-2860111,-12833120,8228,7927028,-86360,-14485223,31818080,22844939,28367449,24175152,247880,-11552469,-1216894,40021118,,,-650235,360479,-93484.0,1988.0,-122555,80919,,-11957.0,2487.0,-3310,7533,-3647854,,25218000,-23294000,7500000,-18200000.0,1400000,-4532000,22798,-6297,9272,,,,-11517041,258564,25114787,409269590,434384377,62880124,368598949,2905304,,,-33018.0,-8973141.0,-12556638.0,11076919.0,-1740000.0,,0.0,365186.0,,0.0
5880,2013年01月01日至2013年03月31日,,2856537,2856537,,,241676,70355,967425,965473,5349170,-12195980,-1361,1443952,-2613,,-1786,-219071,-740.0,-383025,0.0,-20831,-366125,,,,-21786567,6949551,-5150181,4248576,42188385,2995,-176784,-4242639,-406820,21626516,,-27499968,-6244336,5799631,-4438112,10937858,-5099,3208901,-205088,-18446213,3180303,-1002133,1854404,12415997,1361,-4757631,-252143,9261988,,,-438856,360647,-65907.0,220.0,-34689,72183,,,2487.0,-1087,6381,543887,,9123975,-8574617,7500000,,2000000,-3783000,58044,-4507,894,,,,6310977,-651618,15465234,409269590,424734824,58599382,361531855,4603587,,,-28955.0,-4182436.0,-5262751.0,6305259.0,-400000.0,0.0,-9812.0,,,
