公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 採用權益法之被投資公司減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他非流動資產減少,　　 預付設備款減少,　　 收取之利息,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 原始認列時指定為透過損益按公允價值衡量之金融負債減少,　　 發放現金股利,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 短期借款增加,　　 其他應收款－關係人減少,　　　 不影響現金流量之收益費損項目,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 預付費用（增加）減少,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 取得採用權益法之投資,　　 處分子公司,　　 存出保證金增加,　　 其他應付款－關係人增加,　　 現金增資,　　 非控制權益變動,　　 預付設備款增加
5538,2015年01月01日至2015年09月30日,,280144,280144,,,99990,1136,-1281,292,15284,-5376,0.0,-479,1032,-3283,2163.0,1037,110515.0,,,1011,18596,1549,160920,-24384,-72,5548,163168,,-2454,-12024,-22981,4831,64,-32564,130604,241119,521263,-50946,470317,,-1614203,12,-98778.0,1206739.0,613.0,-25610,1385,0,-2512.0,107,0.0,5376,0.0,-526871,,-27685.0,-3.0,-369600.0,-15521,-412809,28283,-441080,1038610,597530,597530,,,,,,,,,,,,,,,
5538,2015年01月01日至2015年06月30日,,215144,215144,,,67478,714,1263,57,12871,-5735,,-169,357,-805,-36033.0,691,40689.0,,,13483,14897,-132,250905,-121319,-31,6394,164197,,4675,-8471,-48930,-1227,-3,-53956,110241,150930,366074,-33732,332342,,-861655,677116,0.0,-91209.0,613.0,-17234,597,0,,86,0.0,5735,,-285951,,,-4.0,,-12972,-81952,-62157,-97718,1038610,940892,940892,-68976.0,,,,,,,,,,,,,,
5538,2015年01月01日至2015年03月31日,,104666,104666,,,32395,360,8600,-4,7922,-2064,,267,-202,0,-33689.0,345,13930.0,,,35592,-27810,-1924,239337,-71301,-37,8797,182654,,-3633,37228,-36662,-4011,100,-6978,175676,189606,294272,-21167,273105,,0,12,-286768.0,0.0,,-6547,551,1,,-58,-1465.0,2064,,-292244,,,-4.0,,-7805,-208006,-24758,-251903,1038610,786707,786707,-200197.0,-34.0,,,,,,,,,,,,,
5538,2014年度,,652640,652640,,,133201,1400,4993,-5506,53160,-15671,-652.0,-1309,3801,-1117,,1350,,,,6914,-24252,-480,-315150,99721,-16,74804,-145427,,6795,33754,29098,-17043,98,52702,-92725,106797,759437,-153568,605869,,-34463,60455,,,,-56278,1631,5173,,92,1709.0,15671,652.0,195628,,,-25.0,-210000.0,-57719,-834628,88427,55296,983314,1038610,1038610,-567291.0,69.0,,25872.0,199522.0,13032.0,0.0,200937.0,0.0,0.0,-20.0,407.0,0.0,0.0,
5538,2014年01月01日至2014年09月30日,,579971,579971,,,99778,1046,6693,-323,37635,-12517,-641.0,-1008,1290,-12,-29660.0,1007,103288.0,,,16077,-86297,-4607,-403029,44656,-40,52284,-380956,,10577,16080,-31417,-5155,31,-9884,-390840,-287552,292419,-145315,147104,,-8443,8284,0.0,200937.0,0.0,-30643,785,5041,0.0,103,-3686.0,12517,641.0,185536,,-283200.0,0.0,-210000.0,-36732,-529932,7685,-189607,983314,793707,793707,,,,,,,,,,,,,,,
5538,2014年01月01日至2014年06月30日,,308419,308419,,,68766,699,3911,138,23772,-11025,,-805,268,-12,-33739.0,672,52645.0,,,17086,4989,3931,-329119,20192,-90,44178,-238833,,7240,24002,-56886,8025,-21,-17640,-256473,-203828,104591,-83393,21198,,-7813,6837,-1185.0,0.0,0.0,-16032,713,379,,52,-6188.0,11025,,-12212,,,0.0,,-24360,-114409,-49458,-154881,983314,828433,828433,-90049.0,,,,,,,,,,,,,,
5538,2014年01月01日至2014年03月31日,,90449,90449,,,34001,377,3645,-2465,9637,-4935,,-318,119,-6,-17982.0,343,22416.0,,,7608,26824,837,-121432,8692,-8,6951,-70528,,4139,-3039,-44238,-7611,19,-50730,-121258,-98842,-8393,-59170,-67563,,-4985,3986,0.0,776.0,,-9260,581,246,,-397,-1900.0,4935,,-6018,,,0.0,,-12436,-181912,-14445,-269938,983314,713376,713376,-169476.0,0.0,,,,,,,,,,,,,
5538,2013年度,,292131,292131,,,132961,1395,-17537,1280,52663,-7986,-2914.0,-829,4140,-1115,,1325,,,,-44732,-22523,-7761,161300,-78766,-56,-29011,-37500,,-7008,51082,25393,13074,88,82629,45129,208512,500643,-25330,475313,,-2935,8975,,,,-73462,2007,8243,,13,4571.0,7986,2914.0,-247319,,,-14.0,-450000.0,-47315,296510,103708,628212,355102,983314,983314,406519.0,0.0,,0.0,163383.0,-15951.0,-200937.0,0.0,-1968.0,-2391.0,-335.0,-4361.0,392915.0,-1234.0,
5538,2013年01月01日至2013年09月30日,,182798,182798,,,95570,1038,-14111,964,44210,-4884,-2500.0,-477,2740,-2749,0.0,989,,,,-1663,-11359,-554,207848,-119214,-72,609,67738,,-2254,81400,104,5648,73,84971,152709,288593,471391,-27010,444381,,-1535737,1526987,,,,-51447,1833,7914,,18,,4884,2500.0,-44948,,,,0.0,-41423,38682,71121,509236,323414,832650,832650,84451.0,33.0,,15094.0,135884.0,-7857.0,,0.0,-1933.0,,,-4346.0,,,0.0
5538,2013年01月01日至2013年06月30日,,167440,167440,,,62274,690,-15349,3033,34878,-3214,-692.0,-114,2135,-1132,0.0,659,,,,43225,-34211,885,-9066,15575,-134,1294,16777,,-499,-3110,16415,2585,74,15465,32242,140039,307479,-12206,295273,,0,39124,,,,-36458,1629,8215,,-65,,2833,692.0,15756,,,,,-28135,155178,53997,520204,355102,875306,875306,187694.0,,,24629.0,107797.0,-791.0,0.0,,,,,-4381.0,,,-214.0
