公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他金融資產減少,　　 其他非流動資產增加,　　 其他預付款項增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 庫藏股票買回成本,　　 支付之利息,　　 非控制權益變動,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 取得以成本衡量之金融資產,　　 存出保證金減少,　　 其他非流動資產減少,　　　　 股利收入,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 收取之股利,　　 發放現金股利,　　 其他金融資產增加,　　 其他預付款項減少,　　　　　 應付帳款－關係人增加（減少）
2449,2014年度,,3119360,3119360,,,4420138,8753,0,,138847,-88723,19355,-112548,-2482,1099,-4245,87490,145463,4612715,,,2940,-654560,-58606,-18524,1482643,-36798,-201092,-65794,450209,,-2594,89906,-1186044,6145,32145,-5133,-1065575,-615366,3997349,7116709,93938,-309164,6901483,,-114159,116066,-8427758,173367,381.0,-238.0,0,13916.0,,-8281890,,,5003763,-3361888,90,-1311,-125441,,0,-34962,125100,-1290269,8708432,7418163,7418163,,-30301.0,,,-432.0,8600.0,0.0,6757.0,-1550175.0,-31794.0,3273.0,
2449,2014年01月01日至2014年09月30日,,2406903,2406903,,,3226534,6310,0,,98300,-60396,16707,-92503,-708,1099,-4079,47000,35414,3273246,,,-157,-718969,-84149,-36603,1466893,-35131,-241366,-84861,265657,,4103,143071,-1171319,-1813,-64972,0,-1090776,-825119,2448127,4855030,67486,-303558,4618958,,-98885,91800,-6764664,140680,-4023.0,-227.0,0,0.0,,-6712518,,,4349734,-2676232,0,-1311,-89046,0.0,0,32970,19795,-2040795,8708432,6667637,6667637,,-30300.0,,,-432.0,1600.0,,6757.0,-1550175.0,-57231.0,1975.0,154.0
2449,2014年01月01日至2014年06月30日,,1439807,1439807,,,2106168,3833,0,,67955,-42730,10865,-62875,1858,1070,-2112,47000,-19553,2111479,,,1787,-421499,-68441,34441,392432,-29146,-261088,-37170,-388684,,-1941,213921,-154775,27783,-61090,0,23993,-364691,1746788,3186595,48804,-297589,2937810,,-98885,81592,-4465875,74894,-4739.0,-223.0,0,0.0,,-4429706,,,1698932,-1892807,0,-1311,-62747,0.0,0,-257933,-16738,-1766567,8708432,6941865,6941865,,0.0,,,,1600.0,,6325.0,,-25715.0,1320.0,95.0
2449,2014年01月01日至2014年03月31日,,527640,527640,,,1057410,1784,0,,37318,-19510,5244,-19718,899,602,0,0,43446,1107475,,,2883,104346,-1433,-63066,237861,9371,-11271,20844,299535,,10610,-25964,-346378,6739,-3794,0,-358679,-59144,1048331,1575971,24832,-1144,1599659,,-24784,0,-1720713,32627,-5038.0,,7585,0.0,,-1709659,,,1124770,-1079740,0,-568,-34105,,0,10357,21665,-77978,8708432,8630454,8630454,,,,,,,,,,,664.0,108.0
2449,2013年度,,2319799,2319799,,,4645502,7055,50000,,158722,-82825,21656,43145,-8125,1300,-14404,50000,47783,4918570,,,128901,-158985,-389312,23086,-645938,54459,-74885,-40741,-1103415,,1467,81015,410875,18176,-32587,-7977,470969,-632446,4286124,6605923,81911,-225811,6462023,,-198647,805623,-4980534,102860,-418.0,-3965.0,42062,-1.0,,-4533973,,,4850015,-4948531,222,-1290,-148285,,12000,-1545609,68772,451213,8257219,8708432,8708432,,-14974.0,,,-1239.0,2001.0,-295813.0,5258.0,-1309740.0,0.0,2575.0,
2449,2013年01月01日至2013年12月31日,,2319799,2319799,,,4645502,7055,50000,0.0,158722,-82825,21656,43145,-8125,1300,-14404,50000,47783,4918570,,,128901,-158985,-389312,23086,-645938,54459,-74885,-40741,-1103415,,1467,81015,410875,18176,-32587,-7977,470969,-632446,4286124,6605923,81911,-225811,6462023,,-198647,805623,-4980534,102860,-418.0,-3965.0,42062,,,-4533973,,0.0,4850015,-4948531,222,-1290,-148285,,12000,-1545609,68772,451213,8257219,8708432,8708432,0.0,-14974.0,,-1.0,-1239.0,2001.0,-295813.0,5258.0,-1309740.0,0.0,2575.0,
2449,2013年01月01日至2013年09月30日,,1782242,1782242,,,3532867,5379,35000,0.0,120455,-61375,14624,17271,-8915,0,-13595,30000,12241,3682713,,,130010,-204425,-226043,-24067,-696272,25888,-5016,-15648,-1015573,,-2082,72657,469888,12653,-60327,2905,495694,-519879,3162834,4945076,61850,-224582,4782344,,-150000,704815,-4005903,98074,,-3965.0,42703,,1928.0,-3327125,,0.0,2849444,-3014006,2,-1290,-113011,-349.0,12000,-1576950,43268,-78463,8257219,8178756,8178756,0.0,-14974.0,-1041.0,-1.0,-1239.0,0.0,0.0,1239.0,-1309740.0,,,
2449,2013年01月01日至2013年06月30日,,1143992,1143992,,,2375265,3615,35000,0.0,82135,-33032,8959,-8555,-8728,18332,-11213,30000,47060,2538838,,,43897,-319150,-76687,-55580,-361899,16024,-45264,-13572,-812231,,-1268,32440,121382,8060,-19398,1651,142867,-669364,1869474,3013466,30599,-223408,2820657,,-150000,29932,-2668433,71881,,-1735.0,7121,,1277.0,-2725961,,0.0,1412394,-1525815,2,-720,-77473,-330.0,12000,-179942,56189,-29057,8257219,8228162,8228162,0.0,-14974.0,-1029.0,-1.0,,,,,,,,
2449,2013年01月01日至2013年03月31日,,453499,453499,,,1188313,1848,20000,0.0,41732,-13372,2520,-10001,-6832,18332,-5245,30000,54978,1322273,,,44085,8626,14081,-50835,150520,4544,36357,-1063,206315,,11570,15026,-351336,8318,52564,1249,-262609,-56294,1265979,1719478,13674,-1113,1732039,,-150000,14604,-1070174,22105,-1020.0,0.0,6495,-1.0,633.0,-1177358,,0.0,945400,-977063,100,-480,-38532,-204.0,6720,-64059,30218,520840,8257219,8778059,8778059,0.0,,,,,,,,,,,
2449,2012年01月01日至2012年12月31日,,1974635,1974635,,,5184904,8866,17000,-23483.0,187054,-61424,4581,-63507,-33957,1950,-424,16707,-33895,5202617,,,-25562,-24808,28735,14700,-96642,71255,30626,-23511,-25207,,1253,-113687,276229,7783,103905,-4218,271265,246058,5448675,7423310,56590,-114271,7365629,,-826256,241636,-3956557,209360,-1613.0,-2997.0,0,,,-4573595,,-60550.0,9663605,-9712172,0,-645795,-164716,,18000,-1680032,-44324,1067678,7189541,8257219,8257219,0.0,0.0,,1.0,-1755.0,2000.0,-242383.0,6256.0,-778404.0,-5556.0,2514.0,
2449,2012年01月01日至2012年09月30日,,1402328,1402328,,,3967780,6916,10000,-5924.0,147086,-48342,1412,-56050,-32306,1950,-362,5427,-51166,3944666,,,-13201,-567415,-81066,-36598,-240263,-12504,-4865,-14230,-970142,,-2480,19659,327515,8266,80238,-3295,429903,-540239,3404427,4806755,45889,-113318,4739326,,-726255,239987,-3220324,195147,,-3020.0,-61445,,1893.0,-3806850,,-60550.0,7215678,-7189846,0,-645795,-127249,-58.0,18000,-1568224,-41904,-677652,7189541,6511889,6511889,0.0,0.0,1293.0,1.0,-1755.0,2000.0,-242383.0,6256.0,-778404.0,,,
2449,2012年01月01日至2012年06月30日,,642425,642425,,,2699251,4770,10000,30182.0,103870,-32074,0,-45907,-29722,2234,-6202,0,3212,2739614,,,-5210,-342235,36097,22634,-271673,-27769,-7938,-10754,-606848,,-687,137810,189710,5071,35452,-2222,365134,-241714,2497900,3140325,27979,-112153,3056151,,-236257,234155,-1831024,199822,,-3082.0,6374,,1263.0,-1627456,,-790.0,4201520,-4739639,0,-645814,-89887,-72.0,0,-1274682,-14203,139810,7189541,7329351,7329351,0.0,0.0,1292.0,1.0,,,,,,,,
2449,2012年01月01日至2012年03月31日,,166085,166085,,,1376053,2465,0,8666.0,53167,-13700,0,-25931,-20173,0,-6025,0,16537,1391059,,,14769,50892,92397,-31647,-48786,-27912,30694,9526,89933,,20675,24460,-186517,2089,-5053,-1056,-145402,-55469,1335590,1501675,17610,-795,1518490,,0,4024,-457734,26298,187.0,-2906.0,10771,1.0,632.0,-418727,,-1530.0,2751315,-1926948,0,-273381,-46774,-163.0,0,502519,-24732,1577550,7189541,8767091,8767091,0.0,,,,,,,,,,,
