公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分待出售非流動資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 處分無活絡市場之債務工具投資,　　 取得以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 取得投資性不動產,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 非金融資產減損損失,　　　　　 預付費用（增加）減少,　　 取得無活絡市場之債務工具投資,　　 短期借款增加,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 其他金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）,　　 採用權益法之被投資公司減資退回股款,　　 存出保證金增加,　　 存出保證金減少,　　 應付短期票券減少,　　 停業單位稅前淨利（淨損）
2413,2015年01月01日至2015年09月30日,,190452,190452,,,121654,28709,3870,11926,27250,-1410,-12041.0,-575,2647,2686.0,-20941.0,0.0,163775.0,,,-10696,8236,-3104,-4658.0,-37621,-47843,,3401,-41797,-24601,-12652,0,-75649,-123492,40283,230735,4706,12041.0,-27621,-5230,214631,,30428.0,5067.0,-5000.0,-32555,2727,-6809,-1163.0,-46910.0,-54215,,-365561.0,19991.0,1968084,-1829293,343.0,-206436,-248,-46268,719127,672859,672859,,,,,,,,,,,,,,,,,,,
2413,2015年01月01日至2015年03月31日,,43126,43126,,,39477,9427,191,-3133,14157,-5435,,495,2650,2686.0,0.0,,60515.0,,,688,56476,-39154,,5755,14897,,454,-13466,-74507,-3575,0,-91094,-76197,-15682,27444,2827,,-14717,-227,15327,,0.0,,,-4541,3630,-1286,,-4581.0,-6778,,-142789.0,19994.0,200000,-192995,,-115790,-2705,-109946,719127,609181,609181,0.0,-8868.0,0.0,0.0,,,,,,,,,,,,,,,
2413,2014年度,,70170,70170,,,165109,34695,3258,-9995,47590,-3528,-4503.0,-983,3807,,-159557.0,,,,,-5868,102343,42543,,1774,170399,,-477,-1619,263533,-8752,423,253108,423507,545273,615443,276,4503.0,-49722,-23733,546767,,193839.0,,-7965.0,-84711,4250,-28507,-1535.0,-78172.0,55310,,,0.0,8724,-70000,,-425015,25118,202180,516947,719127,719127,15538.0,29607.0,,-363739.0,,30335.0,121766.0,0.0,0.0,-5067.0,58902.0,3789.0,0.0,0.0,487.0,0.0,,,
2413,2014年01月01日至2014年09月30日,,13972,13972,,,127472,25794,3850,-12022,37586,-3286,-3928.0,-714,3666,0.0,-153995.0,2280.0,26703.0,,,-11569,27954,85286,26269.0,3112,131052,,489,-55556,265706,14032,1164,225835,356887,383590,397562,3123,3928.0,-40035,-21889,342689,,186268.0,49084.0,0.0,-70367,4392,-26266,-251.0,-42692.0,100168,,-220130.0,0.0,9689,-70000,0.0,-280441,19522,181938,516947,698885,698885,,,,,,,,,,,,,,,,,,,
2413,2014年01月01日至2014年06月30日,,-53819,-53819,,,86679,16642,1745,-13661,25504,-1576,-979.0,87,3419,,-142973.0,,,,,-4516,-48051,113355,,-134056,-81680,,1607,-25493,212290,2315,1162,191881,110201,87368,33549,1395,979.0,-26721,-15170,-5968,,171461.0,,0.0,-52823,1760,-9589,,,142837,,,0.0,10652,-60000,,-53733,25708,108844,516947,625791,625791,2280.0,20068.0,,-4385.0,,,-22833.0,0.0,-28480.0,32139.0,,,0.0,0.0,,-111.0,,,
2413,2014年01月01日至2014年03月31日,,13359,13359,,,42589,9518,1507,-6095,11932,-573,,30,3447,0.0,-11556.0,,53079.0,,,-2697,26273,66538,,14826,106997,,2220,-77208,-23831,-3857,207,-102469,4528,57607,70966,403,,-12001,-3869,55499,,17431.0,,,-23880,772,-4185,,-2921.0,46119,,0.0,0.0,11686,-60000,,95392,7832,204842,516947,721789,721789,2280.0,2057.0,58902.0,143706.0,,,,,,,,,,,,,,,
2413,2013年度,,59021,59021,,,162793,42129,-1424,-5369,49629,-1693,-4367.0,-387,-237,,-31031.0,,,,,4843,-115281,-46076,,-4812,-101843,,492,55934,24079,15723,-24,96204,-5639,174750,233771,1651,4367.0,-48416,-11712,179661,,61347.0,,0.0,-271983,12832,-8263,0.0,-59069.0,-236590,,,-29993.0,1350000,-1426800,,48519,21839,13429,503518,516947,516947,-29654.0,68848.0,,155312.0,,0.0,180389.0,-9365.0,0.0,0.0,28546.0,0.0,0.0,0.0,0.0,0.0,,,
2413,2013年01月01日至2013年12月31日,,59021,59021,,,162793,42129,-1424,-5369,49629,-1693,-4367.0,-387,-237,,-31031.0,,,,,4843,-115281,-46076,,-4812,-162074,,492,55934,24079,15723,-24,96204,-65870,114519,173540,1651,4367.0,-48416,-11712,119430,,61347.0,,0.0,-271983,12832,-8263,,,-176359,,,-29993.0,1350000,-1426800,,48519,21839,13429,503518,516947,516947,-29654.0,68848.0,,155312.0,,,180389.0,-9365.0,-60231.0,28546.0,,,0.0,0.0,,1162.0,,,
2413,2013年01月01日至2013年09月30日,,8690,8690,,,118687,31486,2342,-2549,37961,-1132,-4367.0,-616,-113,,-9682.0,,,,,2752,-36990,-51880,,-1037,-64212,,1132,19374,-486,13409,-12,33417,-30795,111568,120258,1169,4367.0,-37920,-9739,78135,,30845.0,,,-228189,7388,-6504,0.0,,-254702,,0.0,,1350000,-1426800,,80829,28510,-67228,503518,436290,436290,-29654.0,67700.0,,157634.0,,,142363.0,-9365.0,-35392.0,-59498.0,0.0,,,,,,1256.0,-5.0,
2413,2013年01月01日至2013年06月30日,,13901,13901,,,76827,20967,-1925,-644,25033,-762,-2940.0,190,94,,0.0,,,,,-3522,9730,-10679,,-14807,9964,,1688,35406,3638,-1399,-1,39332,49296,166136,180037,723,745.0,-25159,-7480,148866,,0.0,,0.0,-191536,6472,-3845,,,-197581,,,4.0,0,-66800,,25103,25171,1559,503518,505077,505077,0.0,69966.0,,91899.0,,,116840.0,4258.0,-44982.0,-8229.0,,,0.0,0.0,,-443.0,,,
