公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 金融資產減損迴轉利益,　　　　 非金融資產減損迴轉利益,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 償還長期借款,　　 其他非流動負債減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 非金融資產減損損失,　　 退還（支付）之所得稅,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 取得待出售非流動資產,　　 其他非流動資產減少,　　 其他非流動負債增加,　　 非控制權益變動,　　 處分採用權益法之投資,　　 處分待出售非流動資產,　　 處分不動產、廠房及設備,　　 短期借款增加,　　 舉借長期借款,　　　　　 負債準備增加（減少）,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 其他投資活動,　　 其他借款增加,　　 發行特別股負債,　　 發放現金股利,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 短期借款減少,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 應付公司債匯率影響數,　　　　 未實現銷貨利益（損失）,　　　　 投資性不動產公允價值調整損失(利益),　　　　 其他項目,　　 發行公司債,　　　 收益費損項目,　　　　 已實現銷貨損失（利益）,　　　　 收益費損項目合計,　　 償還特別股負債,　　 取得無形資產,　　 其他借款減少
1314,2016年01月01日至2016年09月30日,,-1393657,-1393657,,,1289489,10830,165647,-108848,-445807,2962,-923.0,,,-136970.0,,,,2746.0,-892360,12741,-62408,337988,-108862,-1239243,-1949398,,720635,8339,-287161,65045,,,445520,-1503878,-807998,-2201655,110638,595638,-68942,-2208827,,0.0,-434000.0,-496880,-48401.0,-740174,,-2590000.0,0.0,2265570,-111943,-795374,8887290,8091916,8091916,0.0,-48868.0,,,-195557.0,,,104724.0,0.0,,,,7865448.0,4490000.0,-61338.0,-478482.0,,,,,,319895.0,-7334602.0,97150.0,-198000.0,501.0,,20531.0,,,-682.0,695880.0,0.0,-2387.0,-270000.0
1314,2016年01月01日至2016年06月30日,,-1394448,-1394448,,,851746,7649,107715,-78424,-269714,2962,-16.0,,,-41053.0,,,,2746.0,-395615,12772,-51526,411451,63237,-71745,-28680,,160382,11299,-238075,249107,,,163644,134964,773015,-621433,76268,595638,-43663,-637696,,0.0,-34000.0,-343273,-7457.0,-134715,,-1537500.0,-40542.0,846390,-45034,28945,8887290,8916235,8916235,,-48868.0,,,-180931.0,,,,0.0,,,,5207370.0,2410000.0,-19069.0,-164424.0,,,,,,0.0,-4912938.0,118914.0,-75240.0,443.0,,13751.0,,,-682.0,638051.0,0.0,-268.0,-280000.0
1314,2016年01月01日至2016年03月31日,,-711546,-711546,,,424706,3283,51227,-41635,-99698,1456,0.0,,,-1624.0,,,,2711.0,-113197,24316,-48315,36457,37593,-70659,-131094,,213765,6876,-382637,10667,,,-159117,-290211,34530,-677016,44137,365080,-18850,-651729,,,,-141090,-16613.0,207377,,-745000.0,-40560.0,857353,3937,416938,8887290,9304228,9304228,,,,,,,0.0,,,,,,2972462.0,1390000.0,-7788.0,0.0,,,-170000.0,,,0.0,-2549549.0,68655.0,-88440.0,567.0,,6926.0,,,-682.0,324741.0,,,
1314,2015年度,,142231,142231,,,1744307,14344,188782,-177269,-764950,4879,-5608.0,85718.0,0.0,,,,,-448635.0,728461,35368,-44486,159949,481982,221068,1133707,,-398079,-3069,180357,5567,,,-729104,404603,235823,378054,197036,546136,-66588,490046,,,-286000.0,-1054637,-497427.0,-1110204,,-2965000.0,,-823642,-81100,-1524900,10412190,8887290,8887290,118335.0,-18456.0,,,500.0,,,-8742.0,1823.0,,,3.0,,2860000.0,-513880.0,-403760.0,,,0.0,,,584981.0,-555214.0,-690505.0,160380.0,682.0,-872962.0,26018.0,0.0,,-931.0,-168780.0,-156509.0,,
1314,2015年01月01日至2015年09月30日,,175018,175018,,,1305761,9542,141628,-134287,-613651,2655,-5609.0,146768.0,,,,,,-447659.0,612693,30645,-77159,241470,398230,-152530,605690,,-299141,5336,40322,33469,,,-489823,115867,512420,687438,165910,544235,-51609,783283,,500.0,-286000.0,-627111,-259298.0,-446453,,-1965000.0,-4415.0,-1559383,13341,-1209212,10412190,9202978,9202978,735.0,-18456.0,,,,,,0.0,1823.0,,,,,1660000.0,-269809.0,-403760.0,,,0.0,,,584981.0,-1095282.0,-638863.0,163020.0,521.0,0.0,19264.0,,,-931.0,396553.0,-156509.0,,
1314,2015年01月01日至2015年06月30日,,549206,549206,,,867847,3833,96466,-92823,-394846,2655,-5609.0,0.0,-11527.0,-61000.0,,,,51668.0,190779,18062,-28523,283134,330416,-163508,682028,,384325,9315,-157026,-27072,,,70484,752512,653337,1202543,112747,544235,-38471,1258363,,500.0,-286000.0,-336510,-52037.0,51409,,-200000.0,-14227.0,-2133846,-102150,-926224,10412190,9485966,9485966,0.0,-18456.0,,,,,,,1823.0,,,,,0.0,-139058.0,-403760.0,,,0.0,,,584981.0,-1764933.0,-414070.0,-102300.0,539.0,0.0,12591.0,,,-931.0,-99175.0,-156509.0,,
1314,2015年01月01日至2015年03月31日,,192950,192950,,,433159,1907,51297,-47415,-208802,353,-1762.0,2300.0,,-44607.0,,,,51669.0,-378690,41904,-74411,138965,444623,-134137,89923,,-26822,13215,-220886,119120,,,-197581,-107658,-87267,105683,59869,287539,-21512,144040,,,,-162336,1595.0,-99531,,0.0,-2478.0,-1085057,-17666,-1058214,10412190,9353976,9353976,0.0,,,,,,,0.0,0.0,,,,,0.0,-82208.0,-403760.0,,,,,,177431.0,-1082579.0,-128446.0,-43560.0,546.0,,6352.0,,,-931.0,20391.0,,,
1314,2014年度,,352591,352591,,,2063849,7521,83211,-60826,-561268,5088,-61523.0,,,0.0,-517025.0,,,505171.0,-82085,27124,-54220,484249,-1032043,-393603,-545407,,-494757,-11946,-362885,-58309,,,-1091401,-1636808,-2153833,-1801242,64608,408463,-79750,-1850522,,,-30000.0,-1415905,-693.0,-1194265,,,0.0,5235621,34811,2225645,8186545,10412190,10412190,1268992.0,-34138.0,,,0.0,,,204091.0,26278.0,,0.0,0.0,0.0,1300000.0,-163504.0,-178234.0,0.0,,399213.0,0.0,0.0,22104.0,-821865.0,506814.0,47916.0,-931.0,-5172872.0,1357004.0,4127904.0,,,,,,
1314,2014年01月01日至2014年09月30日,,-934064,-934064,,,1479005,7556,56479,-41115,-417980,4520,,2406.0,0.0,0.0,1139593.0,,,0.0,-649090,25516,-104746,29786,-861940,-376537,-1937011,,376538,1582,-26098,29808,,,-104964,-2041975,-902382,-1836446,41632,422826,-58229,-1886136,,,0.0,-1068065,-246071.0,-1165223,,,,1442641,-14280,-1622998,8186545,6563547,6563547,48722.0,-33093.0,,,0.0,,,88179.0,26278.0,,,0.0,0.0,1800000.0,-486794.0,-273913.0,,,299386.0,,,,-771202.0,,,,,,,,,,,,
1314,2014年01月01日至2014年06月30日,,-688458,-688458,,,981580,5051,35836,-28978,-277439,3097,,94858.0,,,842276.0,,,,-714114,25477,1581,-340450,-290560,-124935,-1443001,,-548280,485,86304,39166,,,-795655,-2238656,-1396380,-2084838,33712,406015,-37987,-2116289,,,0.0,-589393,-237001.0,-613028,,,-5429.0,143811,-23454,-2608960,8186545,5577585,5577585,28271.0,-27176.0,,,0.0,,,0.0,26278.0,,,,,1000000.0,-373330.0,-192649.0,,,299386.0,,,0.0,-1176424.0,,,,,,,,,,,,
