公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分以成本衡量之金融資產,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 償還長期借款,　　 現金增資,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 其他應付款－關係人增加（減少）,　　 其他金融資產增加,　　 其他投資活動,　　 償還公司債,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分其他資產損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 未實現銷貨利益（損失）,　　　　 未實現外幣兌換損失（利益）,　　　　　 預付費用（增加）減少,　　 退還（支付）之所得稅,　　 處分備供出售金融資產,　　 取得採用權益法之投資,　　 存出保證金減少,　　 短期借款減少,　　 存入保證金增加,　　 其他應付款－關係人增加,　　　　　 持有供交易之金融負債增加（減少）,　　 取得無形資產,　　　 收益費損項目,　　　　 股份基礎給付酬勞成本,　　　　 收益費損項目合計,　　 存入保證金減少,　　 存出保證金增加,　　　　　 持有供交易之金融資產（增加）減少
3536,2016年01月01日至2016年09月30日,,-21719,-21719,,,49785,909,-420,7262,-253,912,,,,,,,11197,-12010,329,6559,-55,24593,-15993,,,16818,,,2662,0,4601,95302,,112259,129077,165284,143565,260,-7212,132548,,,,-26120,1227,,-20764,,,-2700,0.0,26859,-22353,116290,148485,264775,264775,6515.0,848.0,,,,,,-18935.0,,-3053.0,,-4065.0,,,3332.0,34028.0,,-4478.0,3179.0,-51.0,,0.0,36207.0,9.0,,2198.0
3536,2016年01月01日至2016年06月30日,,-22452,-22452,,,34392,612,-407,4641,-143,-88,,,,,,,-2654,31244,-30,7499,-49,-10059,2482,-129.0,,28304,,,10745,0,-7473,-626,,5689,33993,65277,42825,139,-2307,37805,,,,-18289,531,,-13763,,,-1800,0.0,33033,-11311,45764,148485,194249,194249,-1875.0,848.0,,,,,,-3998.0,,-3725.0,,-2852.0,,,3147.0,36792.0,,-1977.0,4918.0,,,0.0,31284.0,18.0,,
3536,2016年01月01日至2016年03月31日,,-5814,-5814,,,17354,310,-25,2330,-53,-368,,547.0,,,,,-4664,30518,213,13588,-2399,-15624,-1976,,,14477,,,13116,0,-2960,144,,20133,34610,55485,49671,51,-2017,46097,,,,-11096,372,,-9228,,54840.0,-900,0.0,52250,-4217,84902,148485,233387,233387,9833.0,,,,,,,,,780.0,,-1608.0,,,1496.0,,21.0,-1711.0,,,,0.0,20875.0,0.0,,-5179.0
3536,2015年度,,-64744,-64744,,,70368,1484,2332,13212,-328,-8399,,0.0,,,,,-4722,29201,3678,8389,6663,92606,-13694,,,119923,,,-56806,-46322,-10395,169,,-93777,26146,104556,39812,328,-13882,23203,,,,-34066,9659,,-24618,,,-3600,106570.0,65233,-6041,57777,90708,148485,148485,19577.0,-10.0,,,,,,14273.0,,-16612.0,0.0,-3055.0,,,-201.0,-46217.0,-3.0,8483.0,,0.0,,2080.0,78410.0,,,-2198.0
3536,2015年01月01日至2015年09月30日,,-51687,-51687,,,52374,1106,1563,10499,-172,-3940,,11055.0,,,,,6082,-11271,4065,9766,-5678,80405,-9022,,,65686,,0.0,-29093,-44257,-17497,212,,-78393,-12707,48510,-3177,175,-10902,-17552,,,,-20438,5195,,-17823,,,-2700,106570.0,100709,1581,66915,90708,157623,157623,12242.0,-10.0,,,,,,,,-13348.0,0.0,-3648.0,,,-2570.0,-12216.0,,9050.0,,0.0,,2080.0,61217.0,5.0,,-8661.0
3536,2015年01月01日至2015年06月30日,,-53900,-53900,,,35419,735,-111,7115,-115,-215,,14899.0,,,,,5942,21363,3914,12145,-3915,28520,-6903,,,61066,,0.0,-39219,-44257,-4532,-418,,-78791,-17725,38076,-15824,161,-7741,-24097,,,,-12162,467,,-11649,,1016.0,-1800,106570.0,105219,-6425,63048,90708,153756,153756,9635.0,-10.0,,,,,,,,-4006.0,0.0,-693.0,,,56.0,,,-563.0,,0.0,,2080.0,55801.0,-4.0,0.0,
3536,2015年01月01日至2015年03月31日,,-37757,-37757,,,17854,376,-111,3659,-48,3,,8574.0,,,,,337,21664,-81,18862,-361,-2415,-17303,,,20703,,0.0,-34934,-27473,485,-20,,-55650,-34947,-5397,-43154,46,-4199,-48071,,,,-6781,0,,-6706,,26132.0,-900,106570.0,130857,-5045,71035,90708,161743,161743,6292.0,0.0,,,,,,,,-2837.0,0.0,-764.0,,,75.0,0.0,0.0,-942.0,,,,2080.0,29550.0,-3.0,,
3536,2014年度,,-484831,-484831,,,123140,1480,-120,18035,-881,-3192,,397016.0,,540777.0,,,-4229,-12569,-1188,-5738,940,-25723,1784,0.0,,-42918,,,14098,6775,-43234,1346,,-3153,-46071,494706,9875,1152,-20037,-21246,,,0.0,-32535,4709,,57692,,,-3600,,-150832,17279,-97107,187815,90708,90708,17862.0,83374.0,,,,,,8170.0,0.0,-2871.0,3805.0,-12236.0,,,2257.0,-186085.0,11.0,38842.0,,-113.0,,,,,,
3536,2014年01月01日至2014年09月30日,,-473093,-473093,,,102608,1104,-186,14392,-703,-56,,394356.0,5271.0,513660.0,,,1303,-58679,-2205,-955,645,-15522,-65,,,-75529,,19530.0,16813,-24444,-40717,1956,,-9539,-85068,428592,-44501,977,-15548,-63685,,,0.0,-26861,145,,38891,,,-2700,,-45937,3381,-67350,187815,120465,120465,17323.0,63845.0,,,,,,,,-3126.0,-51.0,-4613.0,,,1875.0,-85919.0,1587.0,41095.0,,-113.0,,,,,,
3536,2014年01月01日至2014年06月30日,,-471522,-471522,,,82205,738,-187,9867,-479,-38,,397635.0,,487728.0,,,2168,-3594,1368,-29379,-3667,-11480,791,0.0,,-43827,,9701.0,-10169,-25172,-22140,12650,,-17487,-61314,426414,-45108,123,-7195,-54563,,,0.0,-17626,38,,-28267,,,-1800,,9598,-1690,-74922,187815,112893,112893,17643.0,-9893.0,,,,,,,0.0,-2013.0,-34.0,-2383.0,,,-673.0,7759.0,-1.0,3640.0,,-113.0,,,,,,
