公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 預付投資款減少,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 存入保證金增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 不動產、廠房及設備轉列費用數,　　　　　 遞延貸項增加（減少）,　　 存出保證金增加,　　 庫藏股票買回成本,　　　　 非金融資產減損損失,　　　　　 負債準備增加（減少）,　　 預付投資款增加,　　 預付設備款減少,　　 存入保證金減少,　　 發放現金股利,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 應收帳款－關係人（增加）減少,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　 非控制權益變動,　　　　 股利收入,　　 取得投資性不動產,　　　　 處分投資性不動產損失（利益）,　　 收取之股利,　　 處分以成本衡量之金融資產
2477,2016年01月01日至2016年09月30日,,305080,305080,,,112798,5758,-9735,2862,-27351,899,2898,,,,,-344,12173,150186,-52761,-2088,12603,31493,151346,,-4345,-89560,37019,6802,,-64879,86467,171295,476375,52920,-3551,-8149,520896,,,,-60953,0.0,828.0,-3958,-29063,-93641,,8019400,-7938800,,-182398,-88877,155980,1382583,1538563,1538563,0.0,-21309.0,,,,6548.0,,,-301.0,-262697.0,,84828.0,84.0,0.0,-34.0,0.0,-3301.0,-495.0,0.0,3301.0,0.0
2477,2016年01月01日至2016年06月30日,,175597,175597,,,77424,4182,-11179,1945,-18649,850,2605,,,,,-8845,11453,363852,-2588,5617,-51063,31493,349975,,-4655,-196646,3033,3360,,-213527,136448,193481,369078,45469,-2580,-5988,405979,,,,-30295,0.0,0.0,-2691,-36060,-70568,,4664000,-4650000,,13792,-35617,313586,1382583,1696169,1696169,0.0,-19081.0,-1027.0,,,486.0,,,-208.0,,,57033.0,56.0,0.0,-24.0,0.0,-145.0,-495.0,,,
2477,2016年01月01日至2016年03月31日,,84941,84941,,,39289,2037,-2028,1025,-10854,-116,71,,,,,-1493,12971,432589,15619,-2768,12255,31493,500562,,-581,-242181,-13888,-978,,-266894,233668,263092,348033,38089,-1619,-5291,379212,,,,-12401,,1036.0,-2065,-15935,-29365,,1028000,-1017000,,10928,-25245,335530,1382583,1718113,1718113,0.0,-12008.0,,,,2760.0,,,-72.0,,,29424.0,-104.0,0.0,-18.0,0.0,,,,,
2477,2015年01月01日至2015年09月30日,,251331,251331,,,133648,11043,6755,8035,-30478,1669,2371,,,,,8020,-13158,-270724,-51637,21234,56289,379549,129578,,951,188643,40339,-26053,,248014,377592,499805,751136,35511,-4398,-24881,759865,,,,-47341,157.0,2725.0,-750,-15045,-111387,,2413000,-2593000,,-372953,-67956,207569,965106,1172675,1172675,406.0,33641.0,,,,11109.0,,,-465.0,-238815.0,,122213.0,5.0,-825.0,209.0,46327.0,-2497.0,-60081.0,-8739.0,2497.0,8948.0
2477,2015年01月01日至2015年06月30日,,56310,56310,,,90314,7346,2192,6984,-24085,1067,2277,,,,,41975,8655,-28060,11894,32155,54524,434684,555883,,-1477,19322,652,-32481,,17995,573878,659981,716291,29573,-7197,-23409,715258,,,,-34159,157.0,2775.0,-750,-40120,-72097,,1673000,-1898000,,-179104,-108263,355794,965106,1320900,1320900,8.0,29566.0,0.0,,,3107.0,,,-431.0,,,86103.0,56.0,-825.0,131.0,46327.0,0.0,0.0,,,
2477,2015年01月01日至2015年03月31日,,40025,40025,,,45717,3651,-2093,6188,-16517,167,0,,,,,36001,14437,177284,53168,-10906,61299,408475,739814,,506,-130677,-18455,-34889,,-142621,597193,634315,674340,20160,-6325,-2786,685389,,,,-6485,,2770.0,0,-25327,-29042,,699000,-951000,,-208274,-71822,376251,965106,1341357,1341357,9.0,40286.0,,,,1375.0,,,-254.0,,,37122.0,56.0,-825.0,58.0,43980.0,,,,,
2477,2013年01月01日至2013年09月30日,,1619044,1619044,,,124799,9120,969,1552,-4318,-622,1253,-5562.0,145699.0,,,-131973,1045,-1580286,216479,-49648,-7616,-71719,-1623718,,-4039,-125897,-6335,-7505,-36.0,-48087,-1671805,-1526106,92938,4199,-1423,-7417,88297,,,,-115716,4536.0,,-13004,0,-229813,,1194000,-1050000,1262.0,1973,-795,-140338,474988,334650,334650,,43834.0,-267.0,0.0,18508.0,51891.0,-106662.0,1300.0,0.0,-143289.0,,,,,,,,,,,
2477,2013年01月01日至2013年06月30日,,-27209,-27209,,,81372,5672,-5098,1008,-2781,-410,-541,-2161.0,77061.0,,,42523,-14976,508538,-233787,-33615,-9844,31579,290418,,-4360,-222952,-52965,7967,-33.0,-233815,56603,133664,106455,2760,-993,-6868,101354,,73246.0,,-55131,2327.0,0.0,-1460,-22258,-3328,,620000,-630000,1064.0,-8936,31105,120195,474988,595183,595183,0.0,38528.0,-52.0,0.0,,,,,,,,,,,,,,,,,
2477,2013年01月01日至2013年03月31日,,7222,7222,,,39856,2813,-4743,490,-1332,-364,-454,-709.0,35557.0,,,34851,-15869,554285,-49750,-41526,29979,-31334,480636,,-3434,-406024,-21858,24364,-24.0,-406976,73660,109217,116439,1316,-476,-1275,116004,,73246.0,-12675.0,-20749,933.0,-34.0,-700,-14309,25712,,150000,-150000,118.0,118,24290,166124,474988,641112,641112,,,,,,,,,,,,,,,,,,,,,
2477,2012年01月01日至2012年09月30日,,130400,130400,,,107883,2502,1822,524,-5333,6252,39,-237.0,113841.0,,,-41490,7943,-78061,-148024,-2809,15478,160804,-86159,,-14558,79578,23671,9063,-8872.0,88882,2723,116564,246964,5349,-514,-10098,241701,,,,-184606,3501.0,,-706,-24873,-206853,,150000,0,0.0,121380,-38814,117414,454612,572026,572026,,0.0,-169.0,-28366.0,389.0,0.0,0.0,0.0,-254.0,0.0,,,,,,,,,,,
