公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分待出售非流動資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 買回應付公司債損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 對子公司之收購（扣除所取得之現金）,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 預收款項增加－處分資產,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產減少,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 發行公司債,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金減少,　　 現金增資,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存入保證金增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 存出保證金增加,　　 其他非流動資產減少,　　 發放現金股利,　　　　 其他項目,　　 處分持有至到期日金融資產,　　 其他投資活動,　　 短期借款減少,　　　　　 其他金融資產（增加）減少
5608,2015年01月01日至2015年09月30日,,53566,53566,,,1224505,764,-744,209871,-2422,0.0,-18666.0,-17396.0,1476,-475,0.0,1396913.0,,,-2554,-64084,-34304,-48834,-149776,,0.0,-27993,-8014,-72911,-657.0,-109575,-259351,1137562,1191128,2514,-221725,-45118,926799,,0.0,66063.0,-669255,40877.0,0.0,-803.0,-233.0,-59054.0,-1948113,-2570518,,60000.0,0.0,645000.0,0.0,3194933,-2626668,1622.0,0.0,270800.0,1545687,16984,-81048,1060030,978982,978982,,,,,,,,,,,,
5608,2015年01月01日至2015年06月30日,,39839,39839,,,808077,544,-273,138081,-1910,,-18508.0,-17219.0,-257,-152,,908383.0,,,-2824,-6747,-22155,-306,-32032,,,6614,-8217,-79062,-438.0,-81103,-113135,795248,835087,1864,-144392,-20579,671980,,,58928.0,-450339,40532.0,,3279.0,-233.0,-75648.0,-1938733,-2362214,,-20000.0,,645000.0,,2192063,-1306376,,,120100.0,1630787,-24070,-83517,1060030,976513,976513,0.0,,,,,,,,,,,
5608,2015年01月01日至2015年03月31日,,20519,20519,,,395978,273,-442,67508,-540,,,-17409.0,-156,19,,445231.0,,,2125,-8946,-18690,21861,-3650,,201.0,-56258,3654,-52610,-219.0,-105232,-108882,336349,356868,500,-69687,-24,287657,,,59578.0,-216099,,,3355.0,-234.0,-78091.0,-1307317,-1538808,,-120000.0,,645000.0,,1436582,-648345,0.0,,,1313237,-10043,52043,1060030,1112073,1112073,,,,,,,,,,,,
5608,2014年度,,291848,291848,,,1461981,1329,-4406,253135,-4924,0.0,-56862.0,-199035.0,566,4455,0.0,,,,12981,-25492,40,-28042,-40513,,-874.0,21694,22099,69211,,111519,71006,1527245,1819093,4963,-269954,-93040,1461062,,0.0,1447112.0,-982413,788101.0,,,-290.0,560736.0,-3501234,-1691065,,220000.0,100000.0,,0.0,2010000,-1724098,-37.0,0.0,165000.0,367515,39280,176792,883238,1060030,1060030,,,1456239.0,-611.0,-5025.0,1948.0,-403350.0,,,,,
5608,2014年01月01日至2014年09月30日,,185233,185233,,,1076460,1049,-2046,193325,-3782,0.0,-31175.0,-197866.0,579,-3658,0.0,1032886.0,,,11513,-1333,-14364,574,-3610,,43.0,42185,8344,48638,-442.0,98768,95158,1128044,1313277,3732,-203748,-47608,1065653,,0.0,1438612.0,-770643,19124.0,646848.0,6.0,-95.0,567552.0,-2877697,-976293,,0.0,100000.0,0.0,0.0,4312694,-4564909,-36.0,0.0,0.0,-152251,13316,-49575,883238,833663,833663,,,,,,,,,,,,
5608,2014年01月01日至2014年06月30日,,112865,112865,,,714140,762,-765,133087,-2936,,0.0,-198253.0,-146,4016,,649905.0,,,-1853,-13476,-38847,-21516,-75692,,,24287,-9196,147374,-275.0,162190,86498,736403,849268,2614,-128802,-47568,675512,,,1441429.0,-501460,0.0,,6.0,-95.0,330303.0,-1123119,147064,,72449.0,,0.0,,2887594,-3852081,,,0.0,-887546,953,-64017,883238,819221,819221,4492.0,,,,,,,,,,,
5608,2014年01月01日至2014年03月31日,,106080,106080,,,363971,366,-494,61479,-1334,,,-188209.0,-41,-1461,,234277.0,,,-94428,-15463,3890,21975,-84026,,346.0,-20169,-15850,73895,-109.0,38113,-45913,188364,294444,1330,-59991,-42,235741,,,1091234.0,-244862,,,0.0,-95.0,204388.0,-251636,799029,,16648.0,,0.0,,838773,-1849967,-37.0,,,-994583,21263,61450,883238,944688,944688,,,,,,,,,,,,
5608,2013年度,,424221,424221,,,1470768,1656,-407,234887,-5949,1461.0,-22964.0,0.0,-6883,1236,5112.0,,,,142037,4744,28655,21335,196771,,6192.0,-7037,18051,57102,,72853,269624,1948541,2372762,6217,-234872,-81228,2062879,,-240000.0,0.0,-489206,76004.0,,,0.0,122861.0,-1110646,-1635737,,426221.0,200000.0,,-463274.0,3074293,-4246929,-255.0,721500.0,165000.0,-526794,17558,-82094,965332,883238,883238,,,1678917.0,-1455.0,5250.0,0.0,-403350.0,,,,,
5608,2013年01月01日至2013年12月31日,,424221,424221,,,1470768,1656,-407,234887,-5949,1461.0,-22964.0,,-6883,1236,5112.0,,,,142037,4744,28655,21335,196771,,6192.0,-7037,18051,57102,,72853,269624,1948541,2372762,6217,-234872,-81228,2062879,,-240000.0,,-489206,76004.0,0.0,,,122861.0,-1110646,-1635737,,,200000.0,,-463274.0,3074293,-4246929,,721500.0,165000.0,-526794,17558,-82094,965332,883238,883238,-255.0,,1678917.0,-1455.0,5250.0,,-403350.0,0.0,0.0,0.0,426221.0,
5608,2013年01月01日至2013年09月30日,,256573,256573,,,1098234,1294,-43459,176686,-4516,1461.0,0.0,0.0,-6883,-45915,5112.0,,,,137475,527,8697,-30732,115967,,5430.0,-17265,53362,92462,,132741,248708,1430722,1687295,4726,-175028,-81163,1435830,,-240000.0,0.0,-106497,0.0,0.0,4250.0,0.0,554226.0,-1112329,-900350,,200000.0,198723.0,,-463274.0,1690580,-2795971,-256.0,721500.0,,-448698,6702,93484,965332,1058816,1058816,,,1182014.0,-1248.0,,,,,,,,
