公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 避險之衍生金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 遞延貸項增加（減少）,　　　　　 以成本衡量之金融負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息-營業活動,　　 收取之股利,　　 支付之利息,　　 支付之股利,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得持有至到期日金融資產,　　 取得以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產增加,　　 預付設備款增加,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　　 應收票據（增加）減少,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 短期借款減少,　　　　 股利收入,　　　　 處分採用權益法之投資損失（利益）,　　　　　 持有供交易之金融負債增加（減少）,　　 處分採用權益法之投資,　　 發放現金股利,　　 庫藏股票買回成本,　　　　 其他項目,　　 處分以成本衡量之金融資產,　　 取得採用權益法之投資,　　 庫藏股票處分,　　 處分持有至到期日金融資產,　　 其他非流動資產減少,　　 償還公司債,　　　　　 應付票據增加（減少）,　　 存入保證金減少,　　 非控制權益變動
3042,2016年01月01日至2016年09月30日,,818104,818104,,,700436,14234,-2143,-51393,21584,-12605,-3263,3772,-13010,20000,17358,690838,,,-66402,,104956,-1419,48746,-93,20341,-111071,4966,-9126,,207377,77,-58415,-1209,47483,-9702,,,,183193,174067,864905,1683009,,8792.0,-20511,,-144811,1517687,,,,-10000,0,0,0,-413393,10176,-144,0,,32825.0,-3922,-94428,15219,-1295292,,0.0,950000,-509375,0,-1203730,-117644,-1098979,2727944,1628965,1628965,,-9150.0,-2005050.0,1101323.0,-108844.0,-4132.0,0.0,-2590.0,0.0,-774393.0,0.0,,13010.0,,,50300.0,,-800000.0,172.0,-17451.0,56333.0
3042,2016年01月01日至2016年06月30日,,512406,512406,,,474805,9918,-9738,-38218,15351,-9461,-111,77,-13010,20000,2347,451960,,,-97147,,355451,-411,60958,-398,-37516,-82134,-21853,171195,,-57913,-372,-55328,-1067,12986,-6713,,,,-108557,62638,514598,1027004,,,-14559,,-81019,931426,,,,-10000,0,0,0,-208817,10402,-235,0,,32825.0,-3031,-53931,13328,-947243,,,552483,-368750,0,-641782,-56023,-713622,2727944,2014322,2014322,,-5755.0,-1437284.0,646190.0,-64633.0,,,-161.0,,,,,13010.0,,,50300.0,,-800000.0,11.0,-17215.0,56333.0
3042,2016年01月01日至2016年03月31日,,256887,256887,,,240599,5079,-2559,-20289,9049,-6370,892,1642,0,10000,12810,250853,,,-175760,,412296,-835,54363,-61,-152503,-5873,-238,145307,,-49574,-281,-78698,32,8937,-3270,,,,-122854,22453,273306,530193,,,-7817,,-14811,507565,,,,0,0,0,0,-71713,722,-84,0,32825.0,,-331,0,10897,-688003,,110035.0,550000,-353124,-697,-493786,-15663,-689887,2727944,2038057,2038057,,13918.0,-1076532.0,365913.0,,,,,,,,,,,,50300.0,0.0,-800000.0,,,
3042,2015年度,,1087610,1087610,,,977476,18684,8723,-52314,43324,-33527,-9815,12245,-3286,10210,12125,981539,,,213877,,36461,1971,-35323,-18,111567,-4869,47263,367572,,42823,1182,16894,225,-20867,-12133,,,,12824,380396,1361935,2449545,,6618.0,-26285,,-172192,2251068,,,,-130819,154104,-50280,-50000,-388953,3462,0,5941,0.0,20419.0,-19663,-33224,31813,-600791,,,1150000,-928125,24402,-701503,10766,959540,1768404,2727944,2727944,,-3357.0,-1272720.0,1116410.0,-173302.0,-1118.0,-1628.0,-15300.0,6101.0,-774393.0,-806.0,440.0,0.0,0.0,721.0,,,,,,
3042,2015年01月01日至2015年09月30日,,796083,796083,,,732502,13394,-908,-37898,32150,-24439,-8061,-5588,-2279,10210,11807,718144,,,235993,,-71832,2253,11457,-56,5336,-20468,30636,205019,,99733,532,-91314,-990,5512,-9756,,,,-10117,194902,913046,1709129,,6618.0,-14965,,-154413,1539751,,,,-130819,97788,-50280,-50000,-361885,14431,0,7957,0.0,53244.0,-3147,0,22466,-759221,,156572.0,1100000,-794854,23946,-289535,25437,516432,1768404,2284836,2284836,,11700.0,-1243690.0,871995.0,,-1118.0,-1628.0,-13834.0,6101.0,-774393.0,-806.0,,,,,,,,,,
3042,2015年01月01日至2015年06月30日,,460265,460265,,,482052,8894,-2245,-34241,21189,-16752,-4930,-6446,-1254,0,0,446267,,,353023,,283798,-607,13828,-69,-22060,-12387,12807,617873,,18935,204,-79175,-911,-18216,-6537,,,,-85700,532173,978440,1438705,,,-14965,,-98987,1324753,,,,-130819,21254,-50280,-50000,-265062,14387,0,8112,0.0,53244.0,-1100,-8546,15784,-630162,,0.0,700000,-700000,31883,-861,-21923,671807,1768404,2440211,2440211,,-10460.0,-391684.0,154548.0,-32744.0,,,,,,,,,,,,,,,,
3042,2015年01月01日至2015年03月31日,,243611,243611,,,239750,4630,-1136,-17349,10917,-7095,-2520,-5772,-1254,0,12390,232561,,,223018,-12621.0,233619,998,14875,-200,-128837,-9367,24560,346045,,62768,132,-121154,347,-973,-3299,0.0,0.0,0.0,-62179,283866,516427,760038,0.0,0.0,-14965,0.0,-21041,724032,,-309834.0,156123.0,-130819,21254,-50280,-50000,-92728,13317,0,9756,53244.0,0.0,1326,-31992,6582,-404051,,30394.0,200000,-150000,26493,106887,-22208,404660,1768404,2173064,2173064,0.0,,,,,,,,,,,,,,,,,,,,
3042,2014年度,,1145755,1145755,,,926535,21874,1306,-37489,46989,-21850,-19304,-3611,27324,47569,20528,1012351,,,-334988,,-283424,2561,23535,76,-24521,-8750,-12587,-660650,,181504,144,11023,112,15481,-8098,,,,200166,-460484,551867,1697622,,18160.0,-29248,,-134111,1534263,,,,-89617,122468,0,0,-474248,34967,-7577,0,-28801.0,0.0,-97338,-38621,20456,-802874,,,450000,-576773,1448,-886796,94275,-61132,1829536,1768404,1768404,,-22552.0,-4366187.0,4089723.0,-80006.0,-1118.0,-6621.0,0.0,70824.0,-681465.0,0.0,10219.0,7917.0,-65000.0,0.0,,,,,,
3042,2014年01月01日至2014年09月30日,,822642,822642,,,692238,17972,2195,-14586,35243,-17543,-16327,45,-1163,28269,11324,736549,,,-237689,,-222202,-5001,6476,-294,-96068,-18015,-16035,-618935,,315379,-134,-69853,-733,-1416,-3847,,,,222067,-396868,339681,1162323,,1118.0,-23131,,-107764,1031428,,,,-89617,27611,0,0,-324651,34398,-93,0,-152153.0,0.0,-87536,-57858,16491,-1222499,,-142806.0,586890,-400000,623,-636758,36251,-791578,1829536,1037958,1037958,,-30107.0,-1547189.0,956980.0,,-1118.0,0.0,-17329.0,0.0,-681465.0,0.0,,,,,,,,,,
3042,2014年01月01日至2014年06月30日,,517828,517828,,,462338,13316,1472,-20601,23487,-9096,-11027,-181,-1163,1936,7228,467709,,,-237659,,38713,-3749,10276,0,-94022,-47272,-29288,-405989,,174784,-106,-73243,-858,-4538,-3847,,,,92192,-313797,153912,671740,,,-14429,,-79356,577955,,,,-89617,27610,0,0,-164668,33884,-101,0,-197405.0,0.0,-2939,-80021,7824,-453998,,100035.0,134393,-337500,663,-102409,-7086,14462,1829536,1843998,1843998,,-42988.0,-833469.0,844904.0,0.0,,,,,,,,,,,,,,,,
