公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 預付設備款減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 存入保證金增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 其他營業負債增加（減少）,　　 存入保證金減少,　　　　 股利收入,　　 收取之股利,　　 退還（支付）之所得稅,　　　　　 預收款項增加（減少）,　　 取得無活絡市場之債券投資,　　 取得採用權益法之投資,　　 舉借長期借款,　　 發放現金股利,　　 其他籌資活動,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 非金融資產減損損失,　　 取得以成本衡量之金融資產,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應付建造合約款增加（減少）,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 避險之衍生金融資產（增加）減少,　　　　　 淨確定福利負債增加(減少),　　 處分無活絡市場之債務工具投資,　　　　　 應付帳款－關係人增加（減少）
1519,2016年01月01日至2016年09月30日,,295630,295630,,,58963,5355,3897,-4359,21088,-1452,-87396,1678,3109,416,,,,15842,6955,456012,150989,59803,-4954,-99882,594283,,-267,-479016,-80290,1746,,-597557,-3274,44814,340444,1452,-21365,277944,,,-27734,122793,-1128,-2277,-6791,87964,,-173180,3254.0,-326561,-11734,27613,74523,102136,102136,,,-2600.0,2600.0,-45187.0,8076.0,,,0.0,-156635.0,,49389.0,,,9518.0,6713.0,,48088.0,,-56945.0,3101.0,2426.0
1519,2016年01月01日至2016年06月30日,,153501,153501,,,39437,3602,3897,-10048,14652,-1249,65,1801,4507,247,,,,15842,-4454,212000,191373,3154,-14711,2357,414027,,-267,-365326,-52358,25067,,-375126,38901,125952,279453,1249,-15073,242951,,,-20121,488,-1168,-1971,-3985,-23656,,-174964,3735.0,-171229,-5857,42209,74523,116732,116732,,,,,-22678.0,-1594.0,,,,,,30140.0,,,8466.0,23111.0,,87051.0,0.0,-3759.0,3101.0,
1519,2016年01月01日至2016年03月31日,,-37328,-37328,,,19763,1826,1286,-10563,7395,-343,139,0,13018,127,,,,15842,3101,217678,165236,-400245,7703,7323,16786,,-42,-189,-47362,15182,,-193578,-176792,-121189,-158517,343,-7823,-166017,,,-17315,189,-244,-1326,738,-14857,,206555,,216115,11158,46399,74523,120922,120922,-46.0,9560.0,,,-20.0,10664.0,,,,,,22955.0,,,,-170282.0,,55603.0,148.0,-1503.0,3101.0,
1519,2015年01月01日至2015年09月30日,,214651,214651,,,60038,4857,493,-23174,14236,-1063,-7938,6938,11291,591,,,,2651,-1212,-149629,-361803,-826939,5633,-3744,-1282311,,0,399021,-24440,-47635,,645901,-636410,-543112,-328461,1063,-18807,-425437,,,-35092,17683,-354,-11040,179,-28624,,150742,-1724.0,142383,-3967,-315645,406531,90886,90886,,,0.0,0.0,-79232.0,-29823.0,,,150000.0,-156635.0,,27029.0,,,52732.0,348560.0,,93298.0,,218.0,0.0,0.0
1519,2015年01月01日至2015年06月30日,,159236,159236,,,40126,3013,-832,2357,9466,-570,-230,3569,1004,385,,,,2651,7050,-64239,-222519,-322155,7566,34146,-512717,,0,440066,-73086,-51086,,400634,-112083,-34149,125087,570,-13451,54107,,,-28556,1238,-3091,-8933,1000,-38342,,-194196,-1722.0,-195918,-17287,-197440,406531,209091,209091,,,,,-58099.0,66935.0,,,,,,19646.0,,,44315.0,17635.0,,77934.0,468.0,170.0,0.0,
1519,2015年01月01日至2015年03月31日,,14993,14993,,,19958,1309,-1872,-11606,5251,-307,0,2,2915,195,,,,10410,-351,-133693,-36228,-57114,13525,19999,-183452,,0,-23357,-46522,-62753,,11100,-172352,-147667,-132674,307,-5374,-147671,,,-13493,0,3411,-6614,683,-16013,,-94743,,-96464,-10220,-270368,406531,136163,136163,0.0,-1721.0,,,-9930.0,25651.0,,,,,,8840.0,,,,117921.0,,24685.0,0.0,160.0,0.0,
1519,2014年度,,325660,325660,,,85703,3946,7029,-2650,17851,-1353,-573,-8786,-3014,754,121673.0,,,14,14479,-482033,-189032,30321,-3855,17340,-686309,,-6739,185748,74791,20693,1237.0,266438,-419871,-298198,27462,1353,-17353,-8999,,0.0,-49433,1971,-762,-9662,1728,-567803,,50935,-1032.0,473444,6841,-96517,503048,406531,406531,-23293.0,,-1150.0,1150.0,-21611.0,22334.0,-4565.0,-480080.0,507080.0,-83539.0,0.0,23916.0,,-27000.0,-73543.0,-8333.0,,,,,,
1519,2014年01月01日至2014年09月30日,,147338,147338,,,65249,2811,-815,2524,12762,-1021,-971,-15159,-3014,558,76452.0,,,15,-14438,-320968,-13204,-187592,6404,34608,-495175,,-6739,-53076,16745,13560,940.0,39461,-455714,-379262,-231924,1021,-13044,-271542,,0.0,-81314,1565,1695,-5820,752,-251322,,49239,-1033.0,132867,800,-389197,503048,113851,113851,-23282.0,,-1150.0,1150.0,-28745.0,91313.0,,-141200.0,168200.0,-83539.0,0.0,14678.0,,-27000.0,,,,,,,,
1519,2014年01月01日至2014年06月30日,,71642,71642,,,43144,1759,-1641,202,8625,-745,-865,-15040,3698,373,47897.0,,,218,-23574,-21580,-11445,-345087,-4213,42378,-363303,,-6739,119917,-16308,-64102,639.0,10129,-353174,-305277,-233635,745,-7275,-250635,,0.0,-62501,2132,2154,-4154,2240,-201329,,89752,21.0,230973,-154,-221145,503048,281903,281903,-23278.0,,,,-10470.0,,,-141200.0,141200.0,,,8387.0,,,,,,,,,,
1519,2014年01月01日至2014年03月31日,,53967,53967,,,21594,840,-2310,-3875,3897,-287,-2,0,1136,188,23179.0,,,15,-20886,-58893,-8626,-191245,25098,25773,-228764,,-5843,-39199,18945,-32217,318.0,-57996,-286760,-263581,-209614,287,-3591,-214440,,0.0,-7890,5,-323,-2725,-273,-11206,,44056,21.0,44077,1714,-179855,503048,323193,323193,,,,,-1522.0,,,,,,,1812.0,186.0,,,,,,,,,
1519,2013年度,,144353,144353,,,89404,2801,5351,-15,17923,-1854,371,-13535,-1537,733,97892.0,,,898,23847,252419,123112,168583,-42779,-2578,524226,,-8700,-108799,12895,32662,748.0,115563,639789,737681,882034,1854,-18603,856416,,-3525.0,-27988,70,-3152,-3992,-2591,-126108,,-341139,3197.0,-318486,3849,415671,87377,503048,503048,-23207.0,,-1750.0,1750.0,-10619.0,192723.0,-210.0,-84720.0,84720.0,-39159.0,-26105.0,0.0,,0.0,724.0,17241.0,,,,,,
1519,2013年01月01日至2013年12月31日,,144353,144353,,,89404,2801,5351,-15,17923,-1854,371,-13535,-1537,733,99642.0,,,898,23847,253143,123112,168583,-42779,-2578,524226,,-8700,-108799,12895,49903,748.0,115563,639789,739431,883784,1854,-18603,856416,,-3525.0,-27988,70,-3152,-3992,-2591,-126108,,-341139,3197.0,-318486,3849,415671,87377,503048,503048,-23207.0,,,,-10619.0,192723.0,-210.0,-84720.0,84720.0,-39159.0,-26105.0,,,,,,,,,,,
1519,2013年01月01日至2013年09月30日,,109965,109965,,,67355,2059,2781,1612,13923,-520,266,-9015,-1993,550,75268.0,,,898,27478,100545,30137,-1349,-20753,6230,143186,,-1428,-104051,-89278,-32787,562.0,-250188,-107002,-31734,78231,520,-14581,58400,,-3525.0,-23942,0,-8702,-2578,-2966,-41713,,6537,3197.0,9734,1604,28025,87377,115402,115402,-23206.0,,-1750.0,1750.0,-7520.0,,,,,,,,,,,,,,,,,
1519,2013年01月01日至2013年06月30日,,40625,40625,,,45061,1328,2150,-989,9355,-449,257,-6579,403,362,50899.0,,,898,7071,268368,41663,106123,-6780,4126,421469,,-1927,-41669,-58083,-69589,374.0,-194101,227368,278267,318892,449,-10409,308932,,-3525.0,-12473,0,-8517,-2289,-1660,-28464,,-317226,,-317226,1080,-35678,87377,51699,51699,-23207.0,0.0,,,,,,,,,,,,,,,,,,,,
1519,2013年01月01日至2013年03月31日,,15958,15958,,,22722,637,-2762,17,4889,-83,194,-265,8514,179,34042.0,,,864,19753,58218,52434,-58979,-20098,-8668,43524,,432,-122382,-55341,-6067,202.0,-183156,-139632,-105590,-89632,83,-6077,-95626,,-3525.0,-5975,0,-673,-422,-1143,-11738,,82459,0.0,82459,1136,-23769,87377,63608,63608,,,,,,,,,,,,,,,,,,,,,,
1519,2012年01月01日至2012年12月31日,,95387,95387,,,94392,2427,-906,-898,26332,-482,-155,-381,-5632,706,115403.0,,,4411,69197,208030,213935,-174836,-5610,53702,368829,,404,-172633,-16867,-25272,5067.0,-337920,30909,146312,241699,482,-27068,192082,,0.0,-18884,1161,-95,-3902,563,-22429,,-10453,-659.0,-141641,-2750,25262,62115,87377,87377,-23289.0,,,,-23031.0,-105330.0,-1272.0,0.0,0.0,-130529.0,0.0,,,,,,,,,,,
1519,2012年01月01日至2012年09月30日,,-65052,-65052,,,71664,1673,180,-112,20094,-363,-328,2400,-7897,537,87848.0,,,4411,61039,101312,97347,-299556,-22066,31093,-26420,,1823,50394,-140152,82482,1000.0,-27726,-54146,33702,-31350,363,-21429,-52416,,0.0,-15721,1097,-22,-2931,641,-16936,,62120,-659.0,61461,-5724,-13615,62115,48500,48500,-23273.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
1519,2012年01月01日至2012年06月30日,,-101382,-101382,,,48283,1117,-289,-834,13801,-278,-355,-7974,-12409,358,41420.0,,,4411,83597,169269,41844,-250405,-17722,67787,98781,,-2159,64804,-196375,80933,607.0,-75463,23318,64738,-36644,278,-15682,-52048,,0.0,-10800,1097,113,-2127,64,-11653,,90951,,90417,-1978,24738,62115,86853,86853,-23273.0,-534.0,,,,,,,,,,,,,,,,,,,,
1519,2012年01月01日至2012年03月31日,,-76145,-76145,,,24360,534,-2030,-1159,6910,-183,-423,-855,-8713,179,18620.0,,,4411,78586,380827,-6,-311802,1672,10728,164416,,-14946,8110,-195978,11663,290.0,-190861,-26445,-7825,-83970,183,-8303,-92090,,0.0,-7176,1097,116,-1519,201,-7281,,128934,406.0,129340,-583,29386,62115,91501,91501,,,,,,,,,,,,,,,,,,,,,,
