公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 採用權益法之被投資公司減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 呆帳費用提列（轉列收入）數,　　　　 股利收入,　　 備供出售金融資產減資退回股款,　　 舉借長期借款,　　 短期借款減少,　　 發放現金股利,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　 處分採用權益法之投資,　　 取得無形資產,　　 償還長期借款,　　　　 金融資產減損損失,　　　 收益費損項目,　　　　 收益費損項目合計,　　 庫藏股票處分,　　 處分備供出售金融資產,　　 以成本衡量之金融資產減資退回股款
1441,2016年01月01日至2016年09月30日,,-162527,-162527,,,43371,3171,6150,33084,-863,-11077,0,-10686.0,17149,0.0,,,,6479,11190,-10550,2841,148211,-6103,8404,160472,,-6940,220,14142,-1647,-30171,-24396,136076,214589,52062,863,17856.0,-32016,0,38765,,0.0,-548019,0.0,-2058,-364625,,240492,,453743,-36246,91637,87458,179095,179095,-162.0,-7314.0,3809.0,465000.0,,0.0,5690.0,,181753.0,-214.0,-251749.0,0.0,,78513.0,0.0,0.0,104.0
1441,2016年01月01日至2016年06月30日,,-94232,-94232,,,28938,2109,2333,20782,-740,-9651,0,-10686.0,2671,,,,,6960,8118,2072,-7535,96064,6336,15177,127192,,-128,-17872,19912,-1716,-28886,-28690,98502,134969,40737,740,15430.0,-20249,0,36658,,0.0,-170299,,-101227,-86178,,-81765,,140240,-4367,86353,87458,173811,173811,-91.0,-4888.0,3809.0,465000.0,,,5690.0,,181753.0,-214.0,-242995.0,,,36467.0,,,
1441,2016年01月01日至2016年03月31日,,-26237,-26237,,,14544,1058,3182,10717,-214,-3994,0,-10686.0,2036,,,,,2400,12327,-27726,-1720,44455,24312,12137,66185,,6625,-579,-11687,-703,-2183,-8527,57658,75124,48887,214,,-10318,0,38783,,,-15102,,-77139,89298,,-15603,,50339,-7662,170758,87458,258216,258216,823.0,,,300000.0,,,,,181753.0,-214.0,-234058.0,,,17466.0,,,
1441,2015年度,,-87468,-87468,,,55771,4008,2502,34617,-273,-35894,3,-290.0,-2256,0.0,,,,-5495,-3301,21247,1580,-89842,-13968,-15249,-105028,,-9118,-4668,6097,-15598,-9731,-33018,-138046,-87717,-175185,273,32522.0,-34982,-5,-177377,,0.0,-64901,0.0,-43669,-77926,,179857,,236102,13342,-5859,93317,87458,87458,-140.0,-7719.0,5440.0,942003.0,,0.0,,,,-4706.0,-885758.0,0.0,,50329.0,0.0,29910.0,
1441,2015年01月01日至2015年09月30日,,-62782,-62782,,,41417,2879,1509,25533,-190,-19782,3,-290.0,-1989,,,,,-5863,2587,-14060,3266,9000,10795,-886,4839,,-3126,1071,17019,-16767,-7442,-9245,-4406,37025,-25757,190,32522.0,-25818,-17,-18880,,,-20797,0.0,-19926,-9873,,0,,39683,12580,23510,93317,116827,116827,60.0,-7719.0,5440.0,128000.0,-3583.0,,,,,-4500.0,-84734.0,,,41431.0,,29910.0,
1441,2015年01月01日至2015年06月30日,,-45318,-45318,,,27528,1869,2307,16825,-143,-10174,3,,5339,,,,,-6524,-6690,6261,-12585,-70448,13014,-3892,-80864,,-6801,5493,13955,-16435,-5078,-8866,-89730,-51298,-96616,143,29654.0,-17058,-11,-83888,,,-12639,0.0,-3021,-11065,,39512,,131466,-5550,30963,93317,124280,124280,-271.0,-4851.0,4595.0,91954.0,,,,,,,,,,38432.0,,,
1441,2015年01月01日至2015年03月31日,,-34667,-34667,,,13808,943,-124,8322,-58,3133,3,0.0,4467,0.0,,,,1134,-3176,-8156,-5732,-4949,8629,21,-12229,,1172,31177,3122,-5663,-2569,27239,15010,46017,11350,58,0.0,-8381,-1,3026,,0.0,-9456,0.0,-1264,-10720,,129954,,129954,-2431,119829,93317,213146,213146,513.0,0.0,,0.0,,0.0,,,,,,,,31007.0,0.0,,
1441,2014年度,,-195915,-195915,,,40874,1299,2919,28329,-392,-39878,-324,,-5549,0.0,38254.0,,,0,8629,-42785,20627,-67502,-12146,1691,-91486,,13385,7166,-13052,20697,-10430,17766,-73720,-35466,-231381,392,25171.0,-27865,-17,-233700,,0.0,-249045,333.0,-4270,-258444,,206768,0.0,396687,1322,-94135,187452,93317,93317,16194.0,-7457.0,2896.0,189919.0,,0.0,,0.0,,-8358.0,,2239.0,,,,,
1441,2014年01月01日至2014年09月30日,,-108667,-108667,,,26227,36,4582,20417,-292,-31622,-324,0.0,-3187,0.0,8946.0,,,0,3650,-4648,16619,-83742,-26266,1504,-92883,,5686,6502,-5664,21317,-7739,20102,-72781,-63835,-172502,292,25171.0,-19905,-12,-166956,,0.0,-242174,333.0,-6696,-245641,,137725,0.0,381380,2750,-28467,187452,158985,158985,566.0,-7457.0,2896.0,243655.0,0.0,0.0,,,,,,,,,,,
1441,2014年01月01日至2014年06月30日,,-47473,-47473,,,13232,24,1960,13297,-234,-23470,-324,0.0,-3187,0.0,-3589.0,,,0,-2120,30524,15134,-179315,-7231,1621,-141387,,8600,-12935,-8653,11694,-5124,-6418,-147805,-151394,-198867,234,22680.0,-12860,-12,-188825,,0.0,-211121,333.0,-3469,-214257,,90345,0.0,332184,5364,-65534,187452,121918,121918,79.0,-4966.0,0.0,241839.0,,0.0,,,,,,,,,,,
