公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 因合併產生之現金流入,　　 其他金融資產減少,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 應付租賃款減少,　　 現金增資,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他應付款－關係人增加,　　　　　 其他金融負債增加（減少）,　　 其他非流動資產增加,　　 短期借款減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 對子公司之收購（扣除所取得之現金）,　　 其他應收款－關係人增加,　　 其他金融資產增加,　　 其他應付款－關係人減少,　　 發放現金股利
2236,2015年01月01日至2015年09月30日,,78004,78004,,,40488,-1327.0,1244,12746,7483.0,0,-198,60436.0,,,110085,-3085,0,21493,7763,136256,,-1415.0,-96940,0,-14263,-1297,-10812,5226,90,-119411,16845,77281,155285,-12746,-35579,106960,,-15154,1780,0.0,11787.0,16046.0,14459,,-106585,4716,-9104,-11639,137700.0,0.0,15088,-5576,130931,160327,291258,291258,,,,,,,,,,,
2236,2015年01月01日至2015年06月30日,,31027,31027,,,30131,-181.0,1223,9111,4988.0,0,-142,45130.0,,,138120,7233,0,25990,8468,179811,,-1394.0,-107982,0,-11366,-1570,-11187,2638,-106,-130967,48844,93974,125001,-9426,-19340,96235,,-6778,1182,0.0,20395.0,13064.0,27863,,-63795,4865,-6388,-10511,137700.0,,61871,-46651,139318,160327,299645,299645,0.0,,,,,,,,,,
2236,2015年01月01日至2015年03月31日,,18005,18005,,,13659,,1223,4610,2589.0,0,-144,21937.0,,,129241,3624,0,2581,3741,139187,,,-48335,0,-10850,-498,-11855,-782,-72,-73786,65401,87338,105343,-4632,-6120,94591,,-8174,543,,21425.0,18200.0,31994,,0,4924,-3222,-5210,,,-27702,-42223,56660,160327,216987,216987,0.0,-1394.0,0.0,-24194.0,,,,,,,
2236,2014年度,,158296,158296,,,57602,-445.0,2370,21658,8753.0,-92,-759,,,,-180651,-18315,210,-44843,-16090,-259689,,,89597,-1998,7647,2759,-15646,16234,-3101,95492,-164197,-75110,83186,-21582,-41667,19937,,-115120,4511,3040.0,,,-193304,,89356,16745,-51176,-12694,60000.0,,82162,25440,-65765,226092,160327,160327,,,-16409.0,,,89087.0,0.0,5033.0,-74359.0,0.0,-20069.0
2236,2014年01月01日至2014年09月30日,,118070,118070,,,35853,0.0,-2193,13922,6164.0,-92,-242,53412.0,,,-85657,-13847,5243,-13806,-8546,-116613,,646.0,11817,-1998,18309,4237,-23775,11361,25,20622,-95991,-42579,75491,-13256,-38263,23972,,-75371,2895,3040.0,-10770.0,3139.0,-77067,,70685,0,-35601,-9011,60000.0,13712.0,99785,9458,56148,226092,282240,282240,,,,,,,,,,,
2236,2014年01月01日至2014年06月30日,,60893,60893,,,24333,0.0,1493,8900,3575.0,-92,-29,38180.0,,,-113625,-8407,5243,-68155,-10806,-195750,,-1855.0,74681,-1998,16065,2804,10974,8675,16,109362,-86388,-48208,12685,-8330,-30407,-26052,,-57512,2057,3040.0,-24438.0,2109.0,-74744,,54916,0,-3850,-6369,60000.0,,115214,-2406,12012,226092,238104,238104,10517.0,,,,,,,,,,
2236,2014年01月01日至2014年03月31日,,37071,37071,,,9849,,1720,4152,863.0,-1097,-29,15458.0,,,-67141,-14133,109,-13797,-1942,-96904,,,4717,-1473,20063,1432,-9216,5787,14,21127,-75777,-60319,-23248,-4034,-19050,-46332,,-17693,707,,90.0,0.0,-20182,,33726,0,-2237,-2154,,,34669,17663,-14182,226092,211910,211910,5334.0,-197.0,-3286.0,0.0,,,,,,,
2236,2013年度,,308535,308535,,,37799,918.0,1842,17463,0.0,1318,-142247,,,,-200559,7835,59,-46193,4976,-233882,,,63799,1335,-8950,4129,21890,14873,-1031,96045,-137837,-220744,87791,-15774,-29537,42480,,-95286,236191,0.0,,,108321,,-43071,0,-33459,-30292,0.0,,-120199,45173,75775,150317,226092,226092,,,-1066.0,,,-82907.0,0.0,-5033.0,-26485.0,-13377.0,0.0
2236,2013年01月01日至2013年12月31日,,308535,308535,,,37799,918.0,1842,17463,,1318,-142247,,,,-200559,7835,59,-46193,4976,-233882,,,63799,1335,-8950,4129,21890,14873,-1031,96045,-137837,-220744,87791,-15774,-29537,42480,,-95286,236191,,,,108321,,-43071,0,-33459,-30292,0.0,,-120199,45173,75775,150317,226092,226092,,,-1066.0,,,-82907.0,,-5033.0,-26485.0,-13377.0,0.0
2236,2012年01月01日至2012年12月31日,,96007,96007,,,33919,9174.0,0,17567,,4056,-11198,,,,-18463,-2619,10,19254,4832,3014,,,-4278,578,9707,940,-5850,15356,1493,17946,20960,74478,170485,-15376,-46239,108870,,-36534,33313,,,,-56962,,46827,30137,-53295,-25922,0.0,,3814,-15024,40698,109619,150317,150317,,,-30700.0,,,53518.0,,0.0,-23041.0,6067.0,0.0
