公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 備供出售金融資產之淨損失（利益）,　　　　 以成本衡量之金融資產及負債之淨損失（利益）,　　　　 無活絡市場之債務工具投資損益之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 各項保險負債淨變動,　　　　 具金融商品性質之保險契約準備淨變動,　　　　 外匯價格變動準備淨變動,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產及設備損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 其他應收款（增加）減少,　　　　　 透過損益按公允價值衡量之金融資產（增加）減少,　　　　　 再保險合約資產（增加）減少,　　　　　 其他資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 其他應付款增加（減少）,　　　　　 員工福利負債準備增加（減少）,　　　　　 其他負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之現金流量－直接法,　　 營業活動之收現類別,　　　 營業活動之收現類別合計,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 無活絡市場之債務工具投資到期還本,　　 取得持有至到期日金融資產,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 取得採用權益法之投資,　　 取得不動產及設備,　　 存出保證金增加,　　 取得無形資產,　　 放款增加,　　 取得投資性不動產,　　 其他金融資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 現金增資,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 附買回票券及債券負債增加,　　　　 持有至到期日金融資產之淨損失（利益）,　　　　 其他各項負債準備淨變動,　　　　 其他項目,　　　　　 預收款項增加（減少）,　　 支付之股利,　　 處分持有至到期日金融資產,　　 以成本衡量之金融資產減資退回股款,　　 處分不動產及設備,　　 存出保證金減少,　　 處分無形資產,　　 放款減少,　　 處分投資性不動產,　　 其他金融資產增加,　　 其他資產增加,　　 其他資產減少,　　　 不影響現金流量之收益費損項目,　　　　 無活絡市場之債券投資損益之淨損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 無活絡市場之債務商品投資到期還本,　　 發行公司債,　　 償還特別股負債,　　　　 金融資產重分類淨損失（利益）,　　 持有至到期日金融資產到期還本,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　 股利收入
2867,2015年01月01日至2015年09月30日,,4521822,4521822,,,217874,78316,31071,8626623,-4098289,-1312,-797075.0,239130,-16671066,49339347,20737,732956,0.0,-43095,0.0,-12096530,25578687.0,,,-977241,-6225288,892556,-91611,-6401584,,-8230298,11054,1806506,-6412738,-12814322,12764365,17286187,11201970,1929024.0,-250386,41284,,,30208079,30208079,,-97271358,118356659,-95379627.0,9324380.0,49876624.0,-25924210,-230000.0,4976.0,-1350000.0,-447428,-899861,-71255.0,-4560769.0,-203867,5400000,-43375736,,0.0,-2340,-405737.0,0.0,57.0,-408020,-13575677,63726010,50150333,50150333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2867,2015年01月01日至2015年06月30日,,3456089,3456089,,,144855,53029,34055,-4496552,-3613457,-1312,-797075.0,161381,-10750849,26591526,20737,-142056,0.0,-49980,0.0,9269769,16424071.0,,,-4442278,-3406355,831922,-71366,-7088077,,-8664229,6356,-7755552,-16413425,-23501502,-7077431,-3621342,6584892,444989.0,-31733,-170744,,,3206062,3206062,,-63177684,91835470,-69893279.0,9324380.0,34270506.0,-21270632,-180000.0,4976.0,-1350000.0,-212752,-626429,-70173.0,-3950317.0,-203867,0,-25499801,,0.0,-793,,0.0,,649551,-21644188,63726010,42081822,42081822,650344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2867,2015年01月01日至2015年03月31日,,1401768,1401768,,,72364,12512,14751,-2622652,-1496445,-1312,-782432.0,81600,-5284518,7615070,20746,55996,0.0,-32897,0.0,5451958,3099751.0,,,-1076340,-3936988,564791,-248314,-4696851,,-6866382,7826,-5778815,-12637371,-17334222,-14234471,-12832703,3224829,66369.0,-9222,-102908,,,-9653635,-9653635,,-42865366,32768945,-40224325.0,8654867.0,22097312.0,-7658169,0.0,4976.0,-1350000.0,-97620,-580475,-15005.0,-1588762.0,0,0,-30853622,,0.0,-152,,0.0,,3600376,-36906881,63726010,26819129,26819129,3600528.0,0.0,-4990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
2867,2014年度,,2308990,2308990,,,268944,81083,59967,11352054,-5822786,12822,,251904,-19506049,74883682,79627,211671,9000.0,-110834,22.0,-15268706,,,,1972608,-4760987,4903,-220204,-3003680,,6712241,13109,4275297,11000647,7996967,54021213,56330203,13755832,1865886.0,-231941,-317289,,,71402691,71402691,,-168907405,160391622,,,,0,-198000.0,78785.0,,-1501919,-148529,-67744.0,-6865010.0,-4080819,2500000,-75932937,,67989.0,0,,1008000.0,44.0,5069027,538781,63187229,63726010,63726010,,0.0,23627.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,-501782.0,46024246.0,-108047291.0,8178424.0,42734949.0,5000000.0,-1007006.0,,,,
2867,2014年01月01日至2014年09月30日,,2460744,2460744,,,197003,62603,39660,3562596,-5101822,-1480,-187225.0,218477,-13762555,69933541,79678,26914,9000.0,-85790,11.0,-3873319,51117292.0,,,877176,-2821072,107301,-274846,-2111441,,1533914,9704,-1079797,463821,-1647620,49469672,51930416,9743248,1622557.0,-292780,-223242,,,62780199,62780199,,-137600350,124389303,-66041090.0,5153877.0,14352010.0,0,-198000.0,52107.0,0.0,-1019254,-219956,-59752.0,-4481585.0,-4080818,2500000,-67253508,,68034.0,0,0.0,1008000.0,0.0,1076034,-3397275,63187229,59789954,59789954,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2867,2014年01月01日至2014年06月30日,,1058086,1058086,,,128530,42130,24788,1482187,-3218034,0,-187225.0,163147,-8866626,44905218,79914,-61445,9000.0,-74773,11.0,-148539,34278283.0,,,2168026,-2423664,91331,-287309,-451616,,602557,7568,-2562385,-1952260,-2403876,31874407,32932493,5520668,346651.0,-81345,-167447,,,38551020,38551020,,-89171751,89354146,-25332140.0,7099257.0,8247130.0,0,0.0,0.0,0.0,-835795,-189404,-57236.0,-2716997.0,-4080818,2500000,-15183608,,66724.0,0,,1008000.0,,1074724,24442136,63187229,87629365,87629365,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2867,2014年01月01日至2014年03月31日,,-523589,-523589,,,62566,7840,7569,3559759,-1067490,0,-8102.0,93392,-4662930,27937233,80054,36733,0.0,-36132,11.0,-4579027,21431476.0,,,381659,-1290619,-104472,-62963,-1076395,,409027,4648,-169996,243679,-832716,20598760,20075171,3276253,61646.0,-65128,-43845,,,23304097,23304097,,-44242767,33612178,-9118166.0,5478163.0,0.0,0,0.0,0.0,0.0,-744157,-200928,-10260.0,-786283.0,-169209,2000000,-14181429,,7188.0,0,,0.0,,7188,9129856,63187229,72317085,72317085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
2867,2013年度,,2290459,2290459,,,211249,81287,132330,3778905,-4687879,6365,,364100,-12143051,102797372,78182,196419,0.0,-92111,-870764.0,-5491912,,,,-5854755,-1589277,1917,-29941,-7472056,,-33210,18735,-560936,-575411,-8047467,76153757,78444216,15204596,1251875.0,-337017,-110669,,,94453001,94453001,,-191455256,209430848,,,,0,-209177.0,216763.0,,-2102395,-217657,-61277.0,-7576107.0,-6908965,0,-104923937,,200620.0,0,,0.0,0.0,200620,-10270316,73457545,63187229,63187229,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2746819.0,-1300000.0,0.0,0.0,,-159268.0,84201224.0,-136481187.0,28993654.0,0.0,0.0,0.0,,,,
2867,2013年01月01日至2013年12月31日,,2290459,2290459,,,211249,81287,132330,3778905,-4687879,6365,,364100,-12143051,102797372,78182,196419,0.0,-92111,-870764.0,-5491912,,,,-5854755,-1589277,1917,-29941,-7472056,,-33210,18735,669486,-575411,-8047467,76153757,78444216,15204596,1251875.0,-337017,-110669,,,94453001,94453001,,-191455256,209430848,,,,0,-209177.0,216763.0,,-2102395,-217657,-61277.0,-7576107.0,-6908965,11900000,-104923937,,200620.0,0,,0.0,,200620,-10270316,73457545,63187229,63187229,,0.0,,0.0,-1230422.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2746819.0,-13200000.0,0.0,,,-159268.0,84201224.0,-136481187.0,28993654.0,,,,,,,
2867,2013年01月01日至2013年09月30日,,2188216,2188216,,,154919,65624,4243,2178766,-4822046,0,,271443,-9075981,72498881,77803,13138,0.0,-59662,100.0,-3172713,,,,-5321271,-1670106,35054,-232781,-7189104,,-318453,15235,-1506391,-1809609,-8998713,49026387,51214603,11005907,1134070.0,-292976,43966,,,63105570,63105570,,-156268855,166676980,,,,0,-152747.0,0.0,,-1744370,0,-53468.0,-5828157.0,0,700000,-73013333,,6649.0,0,,0.0,,6649,-9901114,73457545,63556431,63556431,,0.0,,0.0,0.0,0.0,0.0,138588.0,0.0,20066.0,0.0,0.0,0.0,0.0,0.0,0.0,,-109415.0,58025100.0,-100762218.0,6798966.0,17461882.0,,,,,,
2867,2013年01月01日至2013年06月30日,,1470358,1470358,,,101967,45119,445,3198879,-3423154,1838,,72323,-7235419,48169055,79126,9722,0.0,-37874,89.0,-5877071,,,,-1466211,-1789917,6636,-37972,-3287464,,985178,11381,531822,1528381,-1759083,33264439,34734797,5875663,110298.0,-17605,-215299,,,40487854,40487854,,-95305522,109330314,,,,0,0.0,1023.0,,-663019,0,-49481.0,-4043840.0,0,0,-31653501,,2769.0,0,,0.0,,2769,8837122,73457545,82294667,82294667,,0.0,,0.0,0.0,0.0,0.0,37197.0,0.0,35994.0,0.0,0.0,0.0,-2700000.0,0.0,0.0,,-81523.0,35023522.0,-56020316.0,1114149.0,16610000.0,,,,,,
2867,2013年01月01日至2013年03月31日,,276792,276792,,,50807,4694,8066,3313385,-1454112,0,,37014,-3732937,29419775,79332,-39733,0.0,-23514,88.0,-5456871,,,,-479745,-949390,123188,-67509,-1373456,,-272702,8744,297440,33482,-1339974,20825848,21102640,3513992,25002.0,-35833,-142234,,,24463567,24463567,,-44065599,40584759,,,,0,0.0,0.0,,-26482,0,-36.0,-1660045.0,0,0,-26741178,,0.0,-333,,0.0,,-333,-2277944,73457545,71179601,71179601,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9809.0,0.0,0.0,0.0,-3800000.0,0.0,0.0,,-40172.0,22165822.0,-31199498.0,13415914.0,,,,,,,
2867,2012年01月01日至2012年12月31日,,1546369,1546369,,,203938,84678,-74829,-1515415,-1035681,-2916,,442696,-12062189,75911563,74034,56339,5028.0,-183166,-793265.0,4553499,,,,-2754118,2710630,47612,55788,59912,,1312692,23225,-2922703,-720904,-660992,64129442,65675811,12529115,1104505.0,-719320,-178943,,,78411168,78411168,,-112764155,79046730,,,,-3551939,-99000.0,23382.0,,-476724,-1210285,-68153.0,-3379012.0,-2440733,30950000,-53235235,,0.0,-3114,,1251379.0,,1248265,26424198,47033347,73457545,73457545,,-737833.0,,0.0,865882.0,0.0,55655381.0,0.0,1082307.0,0.0,0.0,0.0,1455477.0,-31200000.0,-14751.0,,,-136047.0,64790434.0,-84163663.0,17919903.0,,,,,,,
2867,2012年01月01日至2012年09月30日,,2311637,2311637,,,153763,67973,-61827,-786883,-1628389,0,,351236,-8924272,48691475,75215,-106715,1075.0,-164136,-2085695.0,3077064,,,,-3595197,1114590,195365,-5217,-2290459,,258898,17842,-2753258,-3202550,-5493009,32292995,34604632,9593288,1025755.0,-215978,-96264,,,44911433,44911433,,-77555439,51135121,,,,-3371000,0.0,1800.0,,-27003,-1105819,-49568.0,-1715468.0,-2435822,26200000,-34905876,,0.0,-876,,900185.0,,899309,10904866,47033347,57938213,57938213,,-737833.0,,0.0,-726032.0,,48662227.0,0.0,2374726.0,0.0,0.0,0.0,1455477.0,-31200000.0,,,,-136047.0,37786004.0,-58225714.0,10950606.0,0.0,,,0.0,0.0,0.0,
2867,2012年01月01日至2012年06月30日,,439584,439584,,,102335,46836,4020,19288,-822322,0,,263539,-6414361,29583310,77086,-34135,,-30892,0.0,649107,,,,-262619,3269939,158031,1070,3166421,,-507681,9423,-522294,-1010505,2155916,24491418,24931002,6166087,195103.0,-155931,-136766,,,30999495,30999495,,-41211085,38823381,,,,-1443140,0.0,0.0,,-9206,0,-47050.0,-879589.0,-2418118,0,-13640040,,1750.0,0,,,,1750,17361205,47033347,64394552,64394552,,-737833.0,,-87081.0,10047.0,,9900000.0,1800.0,,20299700.0,0.0,0.0,,-26450000.0,,,,-136047.0,22335502.0,-44519511.0,4448484.0,2326407.0,,,,27537887.0,0.0,-147348.0
2867,2012年01月01日至2012年03月31日,,-247968,-247968,,,50462,4650,-538,-1522227,-425418,0,,174578,-3086873,16396925,79762,-80374,,-33814,,2425594,,,,-133437,1472361,195513,-18809,1515628,,-889495,3613,-1545525,-2431407,-915779,12677378,12429410,3476678,,-102464,-84299,,,15719325,15719325,,-24639495,15743792,,,,-217239,,,,-1696,-696811,,,-2383164,8050000,-24125037,,,245,,,,245,-8405467,47033347,38627880,38627880,,-311590.0,,-72658.0,,,5950000.0,,,,-1250.0,11476.0,,-10700000.0,,,,-5322.0,13593157.0,-34187463.0,1173870.0,,,,,17772943.0,0.0,
