公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分無形資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 其他應收款增加,　　 取得無形資產,　　 處分無形資產,　　 取得投資性不動產,　　 其他金融資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 其他借款增加,　　 其他借款減少,　　 存入保證金增加,　　 存入保證金減少,　　 其他應付款－關係人增加,　　 其他應付款－關係人減少,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 應付短期票券增加,　　 應付短期票券減少,　　　 不影響現金流量之收益費損項目,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 備供出售金融資產減資退回股款,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 採用權益法之被投資公司減資退回股款,　　 預收款項增加－處分資產,　　 其他金融資產減少,　　　　 金融資產減損損失,　　 其他籌資活動
2388,2015年01月01日至2015年09月30日,,1294996,1294996,,,129113,147345,60552,-7752,-2964.0,-2082338,-6957,-873088.0,-223.0,0.0,1812,-2634500.0,,,508713,2014,33534,90353,-12443,127323,0,15247,764741,,0,551,-105487,-37,-221072,9841,130597,352.0,-8628,-193883,570858,-2063642,-768646,7810,2964.0,-61116,-17974,-836962,,0,510.0,-132279.0,81662.0,1060.0,0.0,0.0,5191.0,-78207,9008,-7943,4415,0.0,-35755,0.0,0.0,0.0,-152338,,250000.0,350000,-238619,0.0,-40000.0,1749.0,-1477,32281.0,0.0,0.0,353934,2643,-632723,1863275,1230552,1230552,,,,,,,,,,,,,,
2388,2015年01月01日至2015年06月30日,,-428718,-428718,,,84849,81604,39976,-6328,-576.0,106649,-5791,-871704.0,-223.0,,1207,-570337.0,,,451630,-2544,74808,97328,-14283,74340,0,-19776,661503,,132,1274,-83462,112,-202032,651,83261,210.0,-9062,-208916,452587,-117750,-546468,6545,576.0,-41219,-7826,-588392,,0,510.0,-120590.0,56761.0,1060.0,0.0,0.0,5191.0,-59000,7825,-6923,4415,,-28584,0.0,0.0,0.0,-139335,,,350000,-155321,,,1749.0,-1477,,-20903.0,,174048,3253,-550426,1863275,1312849,1312849,0.0,0.0,,,,,,,,,,,,
2388,2015年01月01日至2015年03月31日,,-360562,-360562,,,43972,41189,19598,-3676,,-9654,2,,,,609,92040.0,,,25334,27,58749,64756,-37413,48929,0,-7073,153309,,1020,-334,3888,544,-317000,3590,70437,41.0,-2088,-239902,-86593,5447,-355115,3589,,-19395,-619,-371540,,0,,-7977.0,52107.0,,0.0,,5191.0,-33328,1862,0,4414,,-17513,0.0,0.0,,4756,,,200000,-61017,,0.0,,-1427,-9261.0,,,128295,2292,-236197,1863275,1627078,1627078,,,,,,,,,,,,,,
2388,2014年度,,-1510453,-1510453,,,170527,192277,83278,-24399,-1772.0,701737,-78038,-66809.0,-111303.0,,2324,,,,-307030,2590,198798,113303,-5131,374793,-659,12937,389601,,0,891,31901,-5,-4995,-14877,-77915,,1083746,1037102,1426703,2303617,793164,24469,1772.0,-75945,-136926,606534,,0,71064.0,,,0.0,-1388066.0,0.0,-2424.0,-153640,221929,-7048,9954,,-42220,489290.0,-80.0,0.0,-873468,,,2210000,-2250548,4492789.0,-4500000.0,1382.0,-1540,326303.0,,0.0,278386,-32714,-21262,1884537,1863275,1863275,,,,9092.0,876914.0,18356.0,1442.0,-311614.0,237945.0,0.0,0.0,0.0,,
2388,2014年01月01日至2014年09月30日,,-816515,-816515,,,132146,144981,62484,-18631,-860.0,558363,-82951,-66809.0,-59128.0,-21388.0,1733,649940.0,,,-238819,-4059,141737,183976,-34528,164190,0,-52325,160172,,0,2288,31984,299,-291257,-15898,111107,-1694.0,1044253,881082,1041254,1691194,874679,860,18902.0,-57434,-91598,745409,,0,71064.0,-206796.0,123209.0,0.0,-1388066.0,0.0,-5484.0,-99489,219114,-6717,8927,0.0,-59333,489290.0,-80.0,0.0,-854361,,0.0,1580000,-1552366,4464610.0,-4500000.0,14.0,-1525,0.0,-123605.0,0.0,-132872,-7210,-249034,1884537,1635503,1635503,,,,,,,,,,,,,,
2388,2014年01月01日至2014年06月30日,,-456346,-456346,,,90578,98459,41729,-14284,-648.0,449457,2393,-66858.0,-28549.0,,1158,573435.0,,,-267378,2925,12781,147638,-50970,165455,0,-22948,-12497,,0,765,105504,-45,-165234,-14255,7061,-1247.0,1019277,951826,939329,1512764,1056418,14592,648.0,-39229,-86141,946288,,0,0.0,-144974.0,120109.0,0.0,-1388066.0,0.0,0.0,-53655,3180,-5809,6078,,-20478,489285.0,-80.0,0.0,-994410,,,540000,-660410,,,0.0,-1529,,-42873.0,,-248549,17061,-279610,1884537,1604927,1604927,3116263.0,-3200000.0,,,,,,,,,,,,
2388,2014年01月01日至2014年03月31日,,-405517,-405517,,,45643,47422,19750,-6217,,322004,1594,,,,587,430783.0,,,-360906,706,161846,-491643,-22425,40969,0,-11924,-683377,,0,3637,88865,-123,-365915,-1873,801401,-776.0,1042115,1567331,883954,1314737,909220,6055,,-22058,-73492,819725,,0,,-57197.0,59682.0,,-1093906.0,,0.0,-23073,2054,-5623,4922,,-14180,405817.0,-80.0,,-721584,,,200000,-353440,,-120000.0,,-1548,11405.0,,,-263583,21712,-143730,1884537,1740807,1740807,,,,,,,,,,,,,,
2388,2013年度,,-1126484,-1126484,,,177354,183507,72630,-13689,-11332.0,-48855,6421,-508841.0,-949166.0,,2285,,,,668238,-2012,-237407,-188061,5262,-137582,-1016,-83535,23887,,-885,-1753,-85967,126,111616,-25460,204399,,-8134,190422,214309,-875377,-2001861,14085,11332.0,-70963,-14109,-2061516,,-445,0.0,,,0.0,-588143.0,7269.0,0.0,-89616,2482,-110179,10446,,-417563,0.0,0.0,0.0,-275540,,,5100922,-3628124,2995865.0,-2500000.0,1389.0,-1339,511156.0,,-27603.0,2452266,-21110,94100,1790437,1884537,1884537,,,,0.0,-1089686.0,-3520.0,0.0,-525625.0,808176.0,205625.0,332033.0,90000.0,,
2388,2013年01月01日至2013年12月31日,,-1126484,-1126484,,,177354,183507,72630,-13689,-11332.0,-48855,6421,-508841.0,-949166.0,,2285,,,,668238,-2012,-237407,-188061,5262,-137582,-1016,-83535,23887,,-885,-1753,-85967,126,111616,-25460,204399,,-8134,190422,214309,-875377,-2001861,14085,11332.0,-70963,-14109,-2061516,,-445,0.0,,,0.0,-588143.0,7269.0,,-89616,2482,-110179,10446,,-417563,,0.0,0.0,-275540,,,5100922,-3628124,,,1389.0,-1339,511156.0,,-27603.0,2452266,-21110,94100,1790437,1884537,1884537,2995865.0,-2500000.0,,0.0,-1089686.0,-3520.0,,-525625.0,808176.0,205625.0,332033.0,90000.0,,
2388,2013年01月01日至2013年09月30日,,-1134113,-1134113,,,135455,133753,49243,-10589,-11169.0,-325312,5112,0.0,-949154.0,0.0,1712,,,,696242,-1852,-117673,-805076,-11989,-367748,-1732,-86452,-696280,,-885,8,274866,130,-225004,-31996,46592,,-9367,53547,-642733,-1613682,-2747795,10699,9801.0,-46512,-8579,-2782386,,-445,0.0,,,0.0,0.0,7269.0,0.0,-58969,2934,-1990,8843,-136022.0,-427924,0.0,0.0,-90000.0,-507812,,197680.0,4500000,-2536242,1498209.0,-1000000.0,50.0,-1338,,0.0,-27592.0,2630767,-26203,-685634,1790437,1104803,1104803,0.0,0.0,,,-970949.0,-797.0,,-356876.0,545368.0,,,,0.0,-27592.0
