公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得無活絡市場之債券投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 其他金融資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金減少,　　 取得無形資產,　　 短期借款增加,　　 發放現金股利,　　 處分無活絡市場之債券投資,　　　　 股份基礎給付酬勞成本,　　　　 非金融資產減損損失,　　　　　 持有供交易之金融資產（增加）減少,　　 取得以成本衡量之金融資產,　　 現金增資,　　　 收益費損項目,　　　　 收益費損項目合計,　　 取得無活絡市場之債務工具投資,　　 其他金融資產減少,　　 存入保證金增加,　　 處分無活絡市場之債務工具投資,　　 非控制權益變動,　　　　 金融資產減損損失,　　　　 不動產、廠房及設備轉列費用數,　　 存入保證金減少
3167,2016年01月01日至2016年09月30日,,157009,157009,,,28367,280,-56319,847,13861,-19527,1051,13.0,,,,-7919,-73473,-8968,-6152,-154556,-45698,-5013,-301779,,-349,202563,38114,-19455,-3045,-14556,1766,205038,-96741,-124477,32532,8478,-14246,-26259,505,,4493.0,,-9653,,-343,,-275132,,,50000,-136614,85696,-62819,-251750,1019283,767533,767533,,-108.0,289815.0,-119968.0,,,,,,,,-27736.0,-269521.0,0.0,6344.0,0.0,-3881.0,,3691.0,
3167,2016年01月01日至2016年06月30日,,117468,117468,,,20196,185,-40080,0,9274,-13595,-23,0.0,,,,39754,-46542,-10371,-2236,-29456,-9098,-5126,-63075,,-349,117528,21282,-16653,2407,-10723,749,114241,51166,31345,148813,5169,-9729,-21022,123231,,,,-9629,166.0,-165,0.0,-174531,,0.0,-90798,50000,149157,-31495,66362,1019283,1085645,1085645,0.0,-108.0,190030.0,,,,,,,,,-19821.0,-164795.0,,0.0,,,648.0,3574.0,-75.0
3167,2016年01月01日至2016年03月31日,,48072,48072,,,11260,90,-23008,0,4389,-6435,0,,,,,28817,-19634,10919,-4557,-22577,-4990,-1917,-13939,,-84,41581,7097,-30127,1769,15948,822,37006,23067,13030,61102,2947,-4277,10563,70335,,,,-728,0.0,0,0.0,-161397,,111458.0,0,-45816,65630,-5458,-30890,1019283,988393,988393,-172.0,-108.0,0.0,,,,,,,,,-10037.0,-160389.0,0.0,-12.0,,,,3667.0,
3167,2015年度,,231680,231680,,,43207,519,71237,0,19152,-42859,0,-17987.0,,,,-48241,302705,6418,8692,58656,-6995,2902,324137,,-158,-117355,5534,-10508,-13266,-129702,-110,-265565,58572,138352,370032,23618,-18705,-41431,333514,,0.0,,-51722,0.0,0,507.0,-46237,,,550000,-322890,26580,-8549,305308,713975,1019283,1019283,268.0,-220.0,-93086.0,-109062.0,,0.0,0.0,0.0,0.0,0.0,,79780.0,,,2498.0,4930.0,-880.0,6511.0,,
3167,2015年01月01日至2015年09月30日,,273058,273058,,,31653,402,30086,-4439,14348,-34885,0,-17966.0,,,,-11139,63409,-5416,15817,32158,2688,2673,100190,,-506,-98688,6142,-18627,-9107,-151796,-183,-272765,-172575,-153376,119682,21134,-14414,-41213,85189,,0.0,,-48215,0.0,-732,,-43615,,,350000,-162788,49389,22444,113407,713975,827382,827382,,-220.0,-30469.0,-109062.0,,,,,,,,19199.0,0.0,507.0,2588.0,5045.0,-880.0,,,
3167,2015年01月01日至2015年06月30日,,154776,154776,,,20117,265,26919,-381,9191,-24708,0,-10779.0,,,,-484,-1351,-79,497,-44038,-10389,-1115,-56959,,-507,72606,-1916,-16670,-2302,-117155,300,-65644,-122603,-101979,52797,17151,-9086,-27528,33334,,0.0,,-23477,0.0,0,507.0,-23138,,0.0,350000,-85414,140250,-23449,126997,713975,840972,840972,52.0,-220.0,-126810.0,0.0,,,,,,,,20624.0,0.0,,2474.0,,,,,
3167,2015年01月01日至2015年03月31日,,45372,45372,,,8813,128,23446,0,4709,-13458,0,,,,,1202,21330,12504,-2406,-21432,-9954,-1755,-511,,-3,-2970,8424,-34889,3433,-51916,-547,-78468,-78979,-55341,-9969,13201,-4732,-1696,-3196,,,,-1352,0.0,0,0.0,-1499,,-100262.0,330000,-33540,198720,-4772,189253,713975,903228,903228,70.0,-220.0,0.0,,,,,,,,,23638.0,0.0,3.0,2522.0,,,,0.0,
3167,2014年度,,306950,306950,,,29864,1275,195905,-483,13101,-39592,-29280,34.0,170824.0,,,5731,-422772,-4299,-16784,135216,3989,2850,-286178,,444,95789,-7815,-13633,-14529,-167629,545,-106828,-393006,-222182,84768,49831,-13215,-28582,92802,,4580.0,,-14421,4997.0,0,-507.0,-8344,,,20000,-121384,-44218,27908,68148,645827,713975,713975,961.0,-430.0,195657.0,-138491.0,4476.0,0.0,0.0,9891.0,-8000.0,0.0,,,,,,,,,,
3167,2014年01月01日至2014年09月30日,,226880,226880,,,20101,977,119760,-437,10383,-29060,-30787,-75.0,90862.0,,,5891,-277170,10483,-7561,8205,-4288,2666,-261774,,-63,116761,-3020,-39278,-11437,-111503,554,-47986,-309760,-218898,7982,30692,-9960,-24806,3908,,4580.0,-94.0,-9977,6309.0,1265,,2083,,,0,-90621,-33992,3419,-24582,645827,621245,621245,,0.0,195120.0,-138491.0,0.0,,,,,,,,,,,,,,,
3167,2014年01月01日至2014年06月30日,,178161,178161,,,13145,678,55414,-306,6566,-19439,-31429,0.0,24629.0,,,-11054,-131473,8468,-14493,-57543,-10367,1556,-214906,,-45,170775,6143,-29232,2442,-107866,179,42396,-172510,-147881,30280,22311,-6398,-16741,29452,,0.0,-10.0,-6419,6315.0,0,,533,,0.0,0,-60414,-17512,-18012,-5539,645827,640288,640288,647.0,0.0,42902.0,0.0,,,,,,,,,,,,,,,,
