公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 利息費用,　　　　 利息收入,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 其他金融資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 其他項目,　　 取得以成本衡量之金融資產,　　 短期借款減少,　　 舉借長期借款,　　　　 呆帳費用提列（轉列收入）數,　　　　　 應收帳款－關係人（增加）減少,　　 以成本衡量之金融資產減資退回股款,　　 發放現金股利,　　　　 攤銷費用,　　　　　 預付款項（增加）減少,　　 處分不動產、廠房及設備,　　 其他非流動資產增加,　　 非控制權益變動,　　 其他非流動資產減少,　　 其他非流動負債增加,　　 其他金融資產減少,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　 取得採用權益法之投資,　　　 收益費損項目,　　　　 收益費損項目合計,　　 償還長期借款,　　 現金增資,　　　　　 應收票據－關係人（增加）減少
3312,2016年01月01日至2016年09月30日,,71903,71903,,,2269,12415,-883,,,,14536,610602,47404.0,58488,0.0,-44303,,732425,,-325212,-293052,-32588,-2568,0,-653420,79005,178557,250460,883,-12415,-1731,237197,,-1546,,,4389,,,-325536,-79162,-163112,770277,607165,607165,1791.0,,,-385811.0,0.0,80181.0,77002.0,0.0,,,,129.0,0.0,-34725.0,5806.0,,,3779.0,,,99552.0,-25000.0,120000.0,-31304.0
3312,2016年01月01日至2016年06月30日,,44812,44812,,,1688,8266,-593,,,,11680,559354,41737.0,143489,0.0,-23826,,777070,,-327888,-328753,-21225,4694,0,-673172,103898,181591,226403,593,-8266,-7079,211651,,-191,,,5101,,,-302375,-31020,-116643,770277,653634,653634,1816.0,,,-357780.0,,64437.0,44636.0,,,,,131.0,5161.0,-39595.0,,,,2079.0,,,77693.0,-25000.0,120000.0,
3312,2016年01月01日至2016年03月31日,,7368,7368,,,1084,5074,-227,,,,-12810,575977,27740.0,220227,,16137,,866136,,-139076,-456177,-28442,2724,0,-620971,245165,246244,253612,227,-5074,-157,248608,,-166,,,4760,,-285283.0,-324387,-31310,-102329,770277,667948,667948,1834.0,,,,,-7529.0,38865.0,,,,,132.0,4794.0,-39104.0,,,,843.0,,,1079.0,,,
3312,2015年度,,-437862,-437862,,,6764,35288,-1347,,,,12307,1262207,-24515.0,597596,,42372,,1874343,,-689276,160639,3944,-1565,-372,-526630,1347713,1839658,1401796,1347,-35288,-54529,1313326,,-2802,,,-3745,,-1106907.0,-1195066,55608,170123,600154,770277,770277,3191.0,,,,-50000.0,447443.0,-15624.0,1464.0,,,,721.0,-3128.0,-38159.0,,,,606.0,0.0,,491945.0,,,
3312,2015年01月01日至2015年09月30日,,-183405,-183405,,,5318,29177,-990,,,,3510,584262,11318.0,633365,0.0,1039,,1227395,,-489688,-166291,-13721,1353,-2,-668349,559046,820668,637263,990,-29177,-37022,572054,,-2665,,,-5988,,-547547.0,-473812,63885,156139,600154,756293,756293,53.0,,,,0.0,228405.0,-6099.0,1464.0,,,,134.0,-4921.0,98735.0,,,,-341.0,,,261622.0,-25000.0,,
3312,2015年01月01日至2015年06月30日,,-113357,-113357,,,3572,19779,-714,,,,7295,508207,-774.0,-332328,-14204.0,22487,,169872,,92173,-166082,-23640,-4033,-2,-101584,68288,257772,144415,714,-19779,-13680,111670,,-1983,,,-5432,,-17286.0,-42286,-31651,32301,600154,632455,632455,15.0,,,,-25000.0,166603.0,-20811.0,,,,,113.0,-3562.0,0.0,,,,229.0,,,189484.0,,,
3312,2015年01月01日至2015年03月31日,,-37166,-37166,,,1847,10249,-311,,,,-60475,243806,-1041.0,-160140,,-2902,,-1088,,399560,-234529,-30891,3549,-2,137687,136599,236930,199764,311,-10249,0,189826,,-339,,,-1643,,-98092.0,-98092,-12775,77316,600154,677470,677470,,,,,0.0,87732.0,-20336.0,,,,,,,,-1304.0,0.0,,814.0,,,100331.0,,,
3312,2014年度,,130383,130383,,,6615,33023,-4972,87435.0,,,38769,-1434455,-28964.0,-161222,,-81961,,-1653615,,-50255,33563,-3126,3043,-1058,-17833,-1671448,-1584013,-1453630,4972,-33023,-62502,-1544183,,-4360,,,-27085,,1177137.0,1297558,81994,-191716,791870,600154,600154,0.0,,0.0,,25000.0,52247.0,14218.0,1083.0,,,,0.0,2192.0,95421.0,,,,522.0,-26000.0,,,,,
3312,2014年01月01日至2014年09月30日,,78872,78872,,,4855,23958,-4498,24315.0,,,34318,-926606,-35796.0,-730161,,-61364,,-1749562,,535264,117064,-4888,13205,662,661307,-1088255,-1063940,-985068,4498,-23958,-8718,-1013246,,-4360,,,-1919,,623455.0,768876,22537,-223752,791870,568118,568118,0.0,,0.0,,50000.0,,-11278.0,1083.0,,,-18675.0,,1358.0,95421.0,,,0.0,,,,,,,
3312,2014年01月01日至2014年06月30日,,-12027,-12027,,,3155,16085,-4208,15032.0,,,47970,-194969,-24542.0,-882666,,-34349,,-1079541,,49233,173785,-18540,8424,662,213564,-865977,-850945,-862972,4208,-16085,-8050,-882899,,-4360,,,-2444,,582119.0,767540,-505,-118308,791870,673562,673562,0.0,,0.0,,90000.0,,15389.0,,,,-6374.0,,1916.0,95421.0,,,0.0,,,,,,,
