公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 預付設備款增加,　　 其他預付款項減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 現金增資,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 其他應收款－關係人減少,　　 其他預付款項增加
6451,2015年01月01日至2015年09月30日,,904097,904097,,,346662,1722,1808.0,-16524,-27317,306351.0,,,-930096.0,42085,-13,78,0.0,55634,-33124,962,-864474,,-193475,961,-10056,-26,-31435,-234031,-1098505,-792154,111943,5862,-2285.0,-145890,-30370,,-169101.0,-402823,28201,59,-1219,-3603.0,561.0,-547925,,407805.0,-1104450.0,43.0,0,-790851.0,1588977,101524,67122,-409649,3668818,3259169,3259169,,,,,
6451,2015年01月01日至2015年06月30日,,512043,512043,,,225707,1160,1086.0,-10962,-13009,203982.0,,,-353346.0,218070,0,-32,0.0,91529,65425,418,22064,,-263780,111,-50596,917,-36219,-349567,-327503,-123521,388522,8883,-1878.0,-125790,269737,,-158760.0,-311718,13890,83,-1215,-1219.0,,-458939,,-984450.0,,,-37,,1588977,604490,-43155,372133,3668818,4040951,4040951,,,,,
6451,2015年01月01日至2015年03月31日,,313079,313079,,,111096,532,1025.0,-3283,888,110258.0,,,-50959.0,63263,0,32,,71326,132891,585,217138,,-164048,34,-43384,-522,-35222,-243142,-26004,84254,397333,3103,-1816.0,-30293,368327,,,-211546,0,0,-1031,,471.0,-212507,,,-1044450.0,,-4,,1588977,544523,-6059,694284,3668818,4363102,4363102,-401.0,,,,
6451,2014年度,,942209,942209,,,363224,1155,3308.0,-30763,-3674,,,,,-450728,268,323,0.0,-268526,-149916,18094,-850485,,402506,-660,93251,-18071,41689,518715,-331770,1480,943689,31163,-2517.0,-170852,801483,,,-586704,6859,748,-4807,0.0,0.0,-583934,,1044450.0,,0.0,-2598,-1143478.0,307706,206080,127329,550958,3117860,3668818,3668818,0.0,,333250.0,0.0,-30.0
6451,2014年01月01日至2014年09月30日,,727423,727423,,,261769,770,988.0,-25203,-3651,234673.0,,,-396432.0,-584371,263,-4851,-1457.0,-323715,-109546,14732,-1405377,,505086,-692,52869,72214,7435,636912,-768465,-533792,193631,22219,-302.0,-114993,100555,,0.0,-388222,6817,776,-1682,0.0,1100.0,-381211,,912600.0,0.0,0.0,-2675,-1143478.0,307706,74153,17436,-189067,3117860,2928793,2928793,,,,,
6451,2014年01月01日至2014年06月30日,,451383,451383,,,169739,483,0.0,-14260,-117,155845.0,,,0.0,-172558,268,309,-82.0,-84488,2142,19069,-235340,,110498,-743,-8776,-1911,12840,111908,-123432,32413,483796,12509,0.0,-100861,395444,,0.0,-178489,194,9,-759,0.0,,-179045,,0.0,,,-2770,,307706,304936,-93237,428098,3117860,3545958,3545958,,,,,
6451,2014年01月01日至2014年03月31日,,188887,188887,,,85828,238,0.0,-2233,0,83833.0,,,0.0,54602,262,169,,34173,17240,14887,121333,,-103766,-716,16462,-6339,11625,-82734,38599,122432,311319,2238,0.0,-52501,261056,,,-48672,2919,22,-189,,901.0,-45019,,,0.0,,-57,,307706,307649,-9314,514372,3117860,3632232,3632232,0.0,,,,
6451,2013年度,,1136377,1136377,,,310473,532,0.0,-11547,-1916,,,,,5830,13688,253,1570.0,-7152,-3863,-19862,-9536,,37899,-25687,102947,-128819,-14742,-28402,-37938,259604,1395981,13740,0.0,-397940,1011781,,,-362390,5071,0,-2177,-40668.0,0.0,-402786,,0.0,,5406.0,0,-2508443.0,568072,-1934965,191905,-1134065,4251925,3117860,3117860,-592.0,,297542.0,0.0,-2030.0
6451,2013年01月01日至2013年12月31日,,1136377,1136377,,,310473,532,,-11547,-1916,,,,,5830,13688,253,1570.0,-7152,-3863,-19862,-9536,,37899,-25687,102947,-128819,-14742,-28402,-37938,259604,1395981,13740,,-397940,1011781,,,-362390,5071,0,-2177,-40668.0,0.0,-402786,,,,0.0,5406,-2508443.0,568072,-1934965,191905,-1134065,4251925,3117860,3117860,-592.0,,297542.0,0.0,-2030.0
6451,2013年01月01日至2013年09月30日,,791019,791019,,,231241,343,0.0,-8587,-1911,,,,0.0,-128918,12684,3572,-570.0,-62989,-21669,-2173,-200063,,15322,-26440,141206,109624,-3548,236164,36101,257187,1048206,8587,0.0,-346758,710035,,,-257473,5059,0,-167,,0.0,-306631,,0.0,,27.0,0,-2283677.0,0,-2283650,102910,-1777336,4251925,2474589,2474589,-91.0,,221086.0,,-53959.0
6451,2012年01月01日至2012年12月31日,,1125533,1125533,,,348312,442,,-43544,-4213,,,,,242832,25492,270,-1570.0,200589,7502,2185,477300,,-218235,8629,13472,62690,13054,-120390,356910,657907,1783440,40870,,-232986,1591324,,,-64300,10834,240,0,-1971.0,3589.0,2091762,,,,-50.0,0,-294019.0,0,-294069,-210393,3178624,1073301,4251925,4251925,0.0,,300997.0,2143370.0,0.0
