公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 其他應收款增加,　　 取得無形資產,　　 其他金融資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 非金融資產減損損失,　　　　　 預付費用（增加）減少,　　　　 處分投資損失（利益）,　　 收取之股利,　　 處分採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）,　　 其他投資活動,　　 停業單位稅前淨利（淨損）,　　　　　 負債準備增加（減少）,　　 其他金融資產增加,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 處分子公司,　　 短期借款增加,　　　　 利息費用,　　　　 其他項目,　　 支付之利息,　　 其他非流動資產增加,　　　　 股利收入,　　　　 處分其他資產損失（利益）,　　　　 金融資產減損損失,　　 庫藏股票買回成本,　　　　 股份基礎給付酬勞成本,　　 取得以成本衡量之金融資產,　　 處分待出售非流動資產
2430,2016年01月01日至2016年09月30日,,496078,496078,,,119046,4649,7624,-554,-9241,6265,20922,,,,,8495,-2094,10462,-79319,292567,-27085.0,-2980,200046,,79189,14861,-33972,-2749,-19747,17256,,-6333,34796,234842,432996,929074,8557,-33376,903870,,-67375.0,-290671,60545,,8730.0,,-4020,113100.0,-188444,,0,-2611.0,-200956.0,0.0,-248274,11356,478508,1309269,1787777,1787777,44585.0,,,0.0,,0.0,,0.0,-10485.0,0.0,,198154.0,-3224.0,0.0,0.0,385.0,,-385.0,0.0,0.0,1710.0,,-44707.0,2763.0,-15000.0,6247.0
2430,2016年01月01日至2016年06月30日,,362309,362309,,,80749,3141,3389,-157,-6674,3941,28666,,,,,8121,-2458,556,3476,5109,-26837.0,-2273,-14306,,63574,570791,-25102,-31872,-24213,10081,,1131,556844,542538,703622,1065931,5325,-21953,1048980,,-67375.0,-176544,2483,5921.0,,,-3000,95619.0,-152798,,0,-8940.0,-200956.0,,-254603,-2912,638667,1309269,1947936,1947936,44585.0,,,,,0.0,,0.0,-5313.0,0.0,,161084.0,-2233.0,0.0,0.0,323.0,,-323.0,0.0,,1710.0,,-44707.0,1411.0,-15000.0,5098.0
2430,2016年01月01日至2016年03月31日,,202744,202744,,,42785,1913,-1622,-19,-3476,371,20539,,,,,2020,-113,27351,-5654,332802,-120210.0,-786,235410,,-1660,137056,-32343,-80469,-27242,3358,,882,-3641,231769,338556,541300,2348,-189,543458,,-67375.0,-83611,278,,549.0,,0,,-150283,,0,-7576.0,0.0,0.0,-52283,-2571,338321,1309269,1647590,1647590,44585.0,,,,,0.0,,0.0,-2012.0,-124.0,,106787.0,-1211.0,0.0,0.0,1.0,,-1.0,0.0,,1710.0,,-44707.0,,,
2430,2015年度,,327277,319740,,,212898,9985,7177,-741,-11050,12884,55065,,,,,-4028,4231,5301,-26271,-40521,21541.0,-6687,-46434,,-18190,-270018,5556,-102604,34152,-15097,,-36609,-396298,-442732,-50997,268743,10204,-62486,221924,,,-310977,13124,,16450.0,,-3906,32234.0,-117860,,12095,0.0,-66985.0,28182.0,-26708,-2025,75331,1233938,1309269,1309269,87996.0,,,5681.0,,-1237.0,0.0,-7537.0,9875.0,0.0,,391735.0,-3363.0,137242.0,,218.0,,-218.0,-790.0,-1569.0,3572.0,15300.0,,,,
2430,2015年01月01日至2015年09月30日,,291547,284010,,,166816,7694,5515,37,-9262,9226,11095,,,,,2017,3727,-62205,-127221,262921,12521.0,-5733,86027,,-19869,-467424,-32770,-51751,-49483,6951,,-42016,-666244,-580217,-335910,-51900,8635,-62248,-100040,,,-243340,13205,0.0,8580.0,,-7111,0.0,-110972,,8172,0.0,-66985.0,28182.0,-29331,-740,-241083,1233938,992855,992855,25041.0,,,5681.0,,-1237.0,,-7537.0,-6746.0,-17660.0,,244307.0,-3136.0,137242.0,1300.0,208.0,29506.0,-208.0,-651.0,-1569.0,,,,,,
2430,2015年01月01日至2015年06月30日,,154456,146919,,,117676,5071,6747,-69,-6089,5651,6384,,,,,765,3374,9575,1129,12571,-16122.0,-5037,6255,,-18784,245923,-17320,-60527,65000,-7636,,-35895,165821,172076,408419,555338,5410,-57376,503336,,,-164335,75,0.0,6362.0,,-6811,0.0,-91766,,7878,0.0,0.0,0.0,31778,-2573,440775,1233938,1674713,1674713,25041.0,,,,,-1237.0,,-7537.0,-2905.0,-62501.0,,236343.0,-2035.0,137242.0,23900.0,84.0,75847.0,-36.0,-561.0,,,,,,,
2430,2015年01月01日至2015年03月31日,,178967,171430,,,63255,2472,8754,-429,-3149,1852,2641,,,,,765,3740,19675,2689,297927,-100515.0,-4748,219533,,-15054,-515849,-36995,-124575,-44199,-302,,-28722,-766642,-547109,-471713,-300283,2700,-343,-297926,,,-88643,53,0.0,1569.0,,-5524,0.0,36704,,6677,0.0,,0.0,9777,1826,-249619,1233938,984319,984319,,,,,,-1237.0,,-7537.0,,-6756.0,,75396.0,-946.0,137242.0,3100.0,,,,,,,,,,,
2430,2014年度,,494305,89652,,,269548,18147,-1843,-883,-24826,-2207,41006,,490745.0,,,5496,-8118,119879,22078,293350,-15966.0,-13517,403202,,9192,-309191,-6432,19027,-53579,-21300,-4485.0,-25237,-393951,9251,499996,589648,25479,-163021,454504,,0.0,-1746054,16349,1220.0,,,-15547,,-1969071,,-830,,-334926.0,27500.0,-308256,2894,-1819929,3053867,1233938,1233938,191803.0,,0.0,2398.0,0.0,0.0,-166042.0,-404653.0,-1946.0,-58997.0,,,,,,,,,,,,,,,,
2430,2014年01月01日至2014年09月30日,,328957,328957,,,203033,14016,1590,-605,-18983,-3986,1314,,209639.0,,,4671,6918,126119,-71660,599414,-26745.0,-1482,637235,,7364,-440109,-4189,-29705,-34043,-1291,-3416.0,-20709,-526098,111137,320776,649733,18829,-162922,508038,,0.0,-318137,20716,-4940.0,0.0,,-14918,46487.0,-271566,,0,-4207.0,-334926.0,27500.0,-311633,1496,-73665,3053867,2980202,2980202,13260.0,,0.0,2398.0,0.0,0.0,-774.0,,,,,,,,,,,,,,,,,,,
2430,2014年01月01日至2014年06月30日,,238582,238582,,,137422,9676,2346,-576,-12734,-3860,-2089,,143445.0,,,8500,6427,51713,-20525,241879,,-1196,270969,,1613,-606328,7633,-89726,-39660,-7793,-2293.0,-13630,-750184,-479215,-335770,-97188,12817,-98246,-182617,,0.0,-141877,14966,-1804.0,,,-7150,29645.0,-106220,,0,-4493.0,-334926.0,17600.0,-321819,723,-609933,3053867,2443934,2443934,13260.0,-15829.0,,,,,,,,,,,,,,,,,,,,,,,,
2430,2014年01月01日至2014年03月31日,,193628,193628,,,69156,2540,690,-515,-6644,-1790,594,0.0,64031.0,,,6758,4847,19788,-21953,183936,-128015.0,-839,64522,,1916,-792158,-26238,-157030,-112372,-602,-1185.0,-6481,-1094150,-1029628,-965597,-771969,6918,-902,-765953,,0.0,-83878,94,-1686.0,0.0,0.0,-6960,15669.0,-76761,,0,-808.0,0.0,17600.0,16792,4133,-821789,3053867,2232078,2232078,,,,,,,,,,,,,,,,,,,,,,,,,,
2430,2013年度,,739200,614889,,,270686,8941,-5962,-1326,-27517,15133,61192,,323069.0,,,-239,2626,309155,52564,19043,25414.0,-6425,402138,,-15286,-121369,-141126,-30470,9976,-34158,-4780.0,-41636,-381759,20379,343448,958337,28087,-142773,843651,,-106680.0,-256405,30510,5747.0,,,-8852,,-305004,,1584,,-334926.0,34361.0,-298981,-11557,228109,2825758,3053867,3053867,23737.0,,-21815.0,0.0,174.0,42510.0,0.0,-124311.0,-2910.0,-12008.0,,,,,,,,,,,,,,,,
2430,2013年01月01日至2013年09月30日,,542107,542107,,,194114,6756,8414,-1792,-20917,15256,15227,,191087.0,,,1165,8298,256257,-20093,407816,-13008.0,-4596,635839,,-25413,-463736,-177715,77457,-97581,-65198,-3706.0,-34825,-790717,-154878,36209,578316,22107,-141805,458618,,-106680.0,-187251,7379,0.0,1774.0,,-4370,41535.0,-205961,,1702,0.0,-334926.0,34361.0,-298863,-6332,-52538,2825758,2773220,2773220,-4156.0,,-21815.0,0.0,174.0,42510.0,-1032.0,,,,,,,,,,,,,,,,,,,
2430,2013年01月01日至2013年06月30日,,356439,356439,,,132990,4692,-3972,608,-12994,4477,1547,,127348.0,,,-2643,-44,110577,29016,244226,,-8606,308223,,66814,57298,-105131,9397,-23814,-411,-2561.0,-18207,-16615,291608,418956,775395,12462,-83180,704677,,-21000.0,-68684,7747,-2452.0,,,-3131,17558.0,-69962,,7355,0.0,-334926.0,19401.0,-308170,1168,327713,2825758,3153471,3153471,0.0,-64303.0,,,,,,,,,,,,,,,,,,,,,,,,
2430,2013年01月01日至2013年03月31日,,244538,244538,,,66906,2577,-5623,671,-6490,36,1095,-265.0,58907.0,,,-6653,1078,170525,11691,127732,-155153.0,-3514,145706,,12807,83162,-179897,-82479,-130849,-35,5137.0,-9060,-301214,-155508,-96601,147937,7406,2606,157949,,-21000.0,-11122,0,0.0,1207.0,0.0,-3085,4435.0,-29565,,4273,0.0,0.0,15000.0,19273,1422,149079,2825758,2974837,2974837,,,,,,,,,,,,,,,,,,,,,,,,,,
