公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資性不動產損失（利益）,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 支付之股利,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 處分投資性不動產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 處分備供出售金融資產,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 其他營業資產（增加）減少,　　　　　 應計退休金負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　 處分不動產、廠房及設備,　　 庫藏股票買回成本,　　 其他非流動資產增加,　　 其他符合國際會計準則第七號現金及約當現金定義之項目
2534,2015年01月01日至2015年09月30日,,355159,355159,,,8660,366,169172,-1492,-34217.0,3155,35.0,0.0,-4731.0,0.0,140948.0,,,7560,-757,-8,-10083.0,-1748717,-67454,-31537,525871,-1325125,,116527,15972.0,8779,300429,-16898,1561,302682,409,-1435.0,728026,-597099,-456151,-100992,1492,45110.0,-167905,-235637.0,-20933,-478865,,-966,-15884,-453,9471.0,-7832,,6645000,-7194000,1853000,3292600,-4121600,10,475010,-11687,318789,307102,307102,,,,,,,,,,,
2534,2015年01月01日至2015年06月30日,,430483,430483,,,5779,242,111910,-1353,,-16,35.0,,-4731.0,0.0,111866.0,,,5580,2853,-619,-10091.0,-952097,-40474,-31605,349328,-677125,,-50407,15528.0,-180,363930,-16898,1523,101585,1836,-949.0,415968,-261157,-149291,281192,1353,10892.0,-115504,0.0,-20964,156969,,-966,-15941,-453,,-7889,,4298000,-4298000,1171000,2638400,-3917400,10,-107990,41090,318789,359879,359879,9471.0,,,,,,,,,,
2534,2015年01月01日至2015年03月31日,,-42701,-42701,,,2897,118,55522,-815,,-828,32.0,,-4731.0,,52195.0,,,5270,9472,-1073,146.0,-606769,-17845,539,134541,-475719,,-91681,-6293.0,4212,129781,-26567,171,338989,6564,-496.0,354680,-121039,-68844,-111545,296,,-57295,,-4646,-173190,,-966,-28,-453,,8024,,2008000,-1960000,621000,2169200,-2663200,10,175010,9844,318789,328633,328633,9471.0,,,,,,,,,,
2534,2014年度,,-162541,-162541,,,11204,345,178581,-2965,-17625.0,-2746,0.0,-25698.0,,3952.0,,,,-8180,-3431,59,-934.0,-1459484,-165405,-11259,393548,-1254821,,78772,30818.0,-338,73496,19205,450,748889,8752,,956969,-297852,-152804,-315345,2965,22774.0,-178413,-589093.0,-63233,-1120345,,-3304,-17697,-12,30284.0,9271,,12387900,-12940650,780000,13483100,-12579200,984,1132134,21060,297729,318789,318789,,,0.0,145048.0,265.0,-3075.0,0.0,0.0,0.0,,
2534,2014年01月01日至2014年09月30日,,-271967,-271967,,,8364,259,120144,-2481,-17615.0,-3209,0.0,-25698.0,0.0,3826.0,83590.0,,,-1710,-10443,-20,-148.0,-1205016,-133255,-15519,119470,-1246641,,-18168,-5895.0,96669,28630,8558,166,635766,1213,-1363.0,745576,-501065,-417475,-689442,1578,17615.0,-123118,-589093.0,-797,-1383257,,-2163,-17758,-12,30284.0,10351,,9027900,-9531750,319000,9483900,-8000000,984,1300034,-72872,297729,224857,224857,,,,,,,,,,,
2534,2014年01月01日至2014年06月30日,,-211688,-211688,,,5547,172,75607,-1456,,-17,0.0,,0.0,3826.0,83679.0,,,400,-9004,-274,0.0,-648436,-167980,-26790,52327,-799757,,-31692,30701.0,-178,4339,-6310,0,395291,640,-910.0,391881,-407876,-324197,-535885,1456,0.0,-79239,0.0,-363,-614031,,-2163,-17216,-12,,-19391,,5178900,-5192500,412000,3830000,-3686000,980,543380,-90042,297729,207687,207687,0.0,,,,,,,,,,
2534,2014年01月01日至2014年03月31日,,-116976,-116976,,,2744,86,38334,-911,,-415,0.0,,0.0,,39838.0,,,-2010,7724,-1408,0.0,-298277,-92010,-8707,-152202,-546890,,-33976,9233.0,13985,-9288,-7362,0,347832,3487,-483.0,323428,-223462,-183624,-300600,911,,-39897,,-229,-339815,,-38,-8712,-12,,-8762,,2390000,-2321250,283000,1935000,-1985000,1000,302750,-45827,297729,251902,251902,0.0,,,,,,,,,,
2534,2013年度,,-99074,-99074,,,11638,173,139330,-1863,-16618.0,-3069,18.0,-337275.0,,0.0,,,,3140,-146144,9,0.0,-697358,-66233,-1346214,748,-2252052,,-2002,18467.0,-93941,39950,-7984,1210,1986430,-1443,,1939051,-313001,-520667,-619741,1863,24144.0,-144589,-589091.0,-40565,-1367979,,-863,-204200,-1021,425757.0,219673,,17058000,-17012250,1015000,8315000,-8190000,-743,1185007,36701,261028,297729,297729,,,0.0,-207666.0,0.0,-1636.0,0.0,0.0,0.0,,
2534,2013年01月01日至2013年12月31日,,-99074,-99074,,,11638,173,139330,-1863,-16618.0,-3069,18.0,-337275.0,,0.0,,,,3140,-146144,9,,-697358,-66233,748,-1346214,-2252052,,-2002,18467.0,-93941,39950,-7984,1210,1986430,-1443,,1939051,-313001,-520667,-619741,1863,24144.0,-144589,-589091.0,-40565,-1367979,,-863,-204200,-1021,425757.0,219673,,17058000,-17012250,1015000,8315000,-8190000,-743,1185007,36701,261028,297729,297729,,,0.0,-207666.0,,-1636.0,,0.0,0.0,0.0,
2534,2013年01月01日至2013年09月30日,,-585870,-585870,,,8800,101,102108,-1371,-16618.0,-2068,0.0,,,0.0,,,,530,610,-92,0.0,-572769,-25559,-57,-1209266,-1806603,,-35058,0.0,-79336,55593,-15346,-61,2450119,-919,,2373840,567237,658189,72319,624,16618.0,-104289,-589091.0,-38835,-642654,,-600,-204200,-790,0.0,-205590,,13534000,-14041000,776920,6460000,-5933500,37,796457,-51787,261028,209241,209241,,,,90952.0,,-1152.0,,,0.0,0.0,0.0
