公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分投資損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 取得以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得不動產、廠房及設備,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 其他非流動負債增加,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　 處分採用權益法之投資,　　 取得無形資產,　　 收取之股利,　　 預付投資款增加,　　 存出保證金增加,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　 呆帳費用提列（轉列收入）數,　　　　 金融資產減損損失,　　　　　 其他流動資產（增加）減少,　　 其他非流動負債減少,　　　　 攤銷費用,　　　　 非金融資產減損損失,　　 採用權益法之被投資公司減資退回股款,　　 存出保證金減少,　　 取得採用權益法之投資,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 應付短期票券增加,　　 處分不動產、廠房及設備,　　 短期借款增加,　　 應付短期票券減少,　　 舉借長期借款
1308,2016年01月01日至2016年09月30日,,525562,525562,,,112427,-4099,11479,-8629,-68827,11262.0,-3923.0,1628,,,,-1327704,-29,-94460,77822,-730,35173,6192,-95914,-1399650,,808,8474,6638,3399,,-252,,18021,-1381629,-1417662,-892100,8065,-10963,-98077,-993075,,-11812.0,13165.0,,,,17886.0,-317219,-264376,,-1068,-295896.0,3343036,-19344,2066241,330356,2396597,2396597,-88723.0,34.0,,0.0,128848.0,-95196.0,,,,,,,1338.0,,0.0,-60.0,,,-36033.0,-1046.0,0.0,,450000.0,12.0,740000.0,,2450000.0
1308,2016年01月01日至2016年06月30日,,359565,359565,,,45281,2848,1900,-5991,-46133,11262.0,-5435.0,658,,,,-1470540,737,-46140,23051,40326,-78128,72215,-3236,-1461721,,67680,6348,91514,-17626,,3297,,150151,-1311570,-1354973,-995408,5774,-1612,-52522,-1043768,,-11812.0,13165.0,,,,,-233137,-231844,,-979,,3639021,-3312,2360097,330356,2690453,2690453,-48731.0,46.0,,0.0,,,-60.0,,,,-6.0,,892.0,,,,,,-43403.0,-1062.0,0.0,,450000.0,,1290000.0,,1900000.0
1308,2016年01月01日至2016年03月31日,,115717,115717,,,22659,-1241,563,-578,-15210,11262.0,,6897,,,,-147040,737,-160749,46812,203,-47881,147752,2456,-157689,,39009,2466,-58225,-9242,,4667,,-22910,-180599,-161033,-45316,302,-208,-322,-45544,,-1993.0,13165.0,,,,,-29785,-18673,,-542,0.0,149503,-3840,81446,330356,411802,411802,,46.0,,,,,-60.0,,,,21.0,,446.0,-5278.0,,0.0,,,19566.0,-1585.0,0.0,,,,,-249955.0,400000.0
1308,2015年度,,627018,627018,,,93532,14302,2029,-9960,-29711,0.0,,-1381,,,,338419,-547,-64029,-59229,26470,-5009,79635,27151,342861,,16975,4552,-49484,-53090,,3234,,-81181,261680,247578,874596,10394,-1984,-101495,781511,,0.0,0.0,,,0.0,1349.0,-1801830,-1695795,,3301,-140906.0,322350,8200,-583734,914090,330356,330356,-81154.0,-6511.0,,-1745.0,93382.0,,834.0,,,0.0,0.0,,1466.0,3286.0,5364.0,,0.0,,-14102.0,-3368.0,,0.0,249955.0,6851.0,210000.0,,
1308,2015年01月01日至2015年09月30日,,478459,478459,,,70361,19500,1711,-7885,-18989,,-880.0,-6296,,,,379918,-488,-132482,7693,25564,22387,37598,24507,364697,,-55127,8515,-64062,-52966,0.0,15019,,-151809,212888,183765,662224,8296,-1093,-99801,569626,,0.0,,,,0.0,1349.0,-1474134,-1371794,,3304,-137858.0,215370,7256,-579542,914090,334548,334548,-81154.0,-6511.0,,-1745.0,93382.0,0.0,,,,,,,1020.0,,4467.0,792.0,,,-29123.0,-3188.0,-2756.0,0.0,349924.0,6851.0,,,
1308,2015年01月01日至2015年06月30日,,362256,362256,,,47216,-21227,398,-7315,-26329,,-1915.0,29,,,,248940,-1104,-102375,34360,26590,28045,1805,12932,249193,,102719,9453,-100412,-29068,0.0,45647,,25799,274992,227438,589694,7466,-375,-58269,538516,,,,,,0.0,0.0,-1323268,-1343857,,3151,,503013,-4417,-306745,914090,607345,607345,-38985.0,,,-2863.0,,0.0,792.0,,,,,,574.0,,,,,,-47554.0,-2540.0,-18518.0,0.0,499862.0,,,,
1308,2015年01月01日至2015年03月31日,,141255,141255,,,23591,-12904,61,-1615,-7014,,,-593,,,,-2229,-78,-32139,-25363,26610,29227,144852,13305,154185,,-31538,8163,-104147,-50643,,2640,,-177880,-23695,-21505,119750,1778,-49,-433,121046,,,,,,,,-492693,-525111,,-12,0.0,-12,-1905,-405982,914090,508108,508108,,,,,,,0.0,,,,,,207.0,457.0,,381.0,,,2190.0,-2355.0,-32799.0,0.0,,,,,
1308,2014年度,,583913,583913,,,89935,12648,101,-16162,-10664,-13276.0,3471.0,-648,-16344.0,,,1158191,122,101975,84305,-26011,-26219,-271914,-37056,981093,,-89104,2361,73341,64179,0.0,3117,-3783.0,50111,1031204,1014860,1598773,16253,-56,-65393,1549577,,-118611.0,4062.0,0.0,49895.0,-200000.0,6899.0,-1151759,-1344307,,567,-467884.0,-467317,9027,-253020,1167110,914090,914090,-85645.0,59.0,0.0,0.0,123065.0,,-156.0,,,3006.0,-2300.0,0.0,831.0,,7500.0,,-65202.0,,,,,,,,,,
1308,2014年01月01日至2014年09月30日,,484086,484086,,,66817,14066,34,-12821,-18161,-14887.0,1136.0,-2016,-50795.0,,,649866,-283,-37573,36855,-170,-40719,-65570,-15460,524646,,-47482,25794,80935,67400,1399.0,6235,-3460.0,130821,655467,604672,1088758,12978,0,-64835,1036901,,-55936.0,0.0,,49895.0,-200000.0,6899.0,-749626,-882744,,38,-466437.0,-466399,2942,-309300,1167110,857810,857810,-85645.0,59.0,0.0,0.0,123066.0,-65202.0,,,,,-2300.0,,623.0,,7500.0,660.0,,,,,,,,,,,
1308,2014年01月01日至2014年06月30日,,314150,314150,,,44503,19894,23,-10055,-9403,-4060.0,1078.0,290,-11439.0,,,297525,312,20354,-62637,-688,-2184,-28524,5377,229535,,-59433,18531,-165063,202172,678.0,-3161,-2611.0,-8887,220648,209209,523359,10125,0,-34745,498739,,,0.0,0.0,49895.0,-200000.0,1499.0,-534808,-749343,,2,0.0,2,237,-250365,1167110,916745,916745,-54125.0,,0.0,0.0,,-65202.0,-727.0,,,,,,416.0,,,,,,,,,,,,,,
