公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分投資損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他應收款－關係人增加,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他應收款－關係人減少,　　 短期借款增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 應收款項增加,　　 員工執行認股權,　　　　　 應收票據（增加）減少,　　 其他應付款－關係人增加
8046,2015年01月01日至2015年09月30日,,1191197,1191197,,,1976785,1810,-4080,9657,-58153,-30436.0,0,-43656,631,6032.0,-330070,-36215.0,-298531,0,1193774.0,,,951896.0,84664,169882,-75306,1131136,,-126853,-69937,30077,20674.0,-146039,985097,2178871,3370068,64154,40601.0,-8302,-172347,3294174,,0.0,3568394,-1295271,54568,-423341.0,0.0,5914.0,1910264,,-185002,951327.0,-543838.0,-4447,-839967.0,-621927,165816,4748327,4952303,9700630,9700630,,,,,,,,,
8046,2015年01月01日至2015年06月30日,,692179,692179,,,1329580,1207,-4080,6580,-37484,,0,-32403,-3533,,-325238,-35667.0,-43913,0,855049.0,,,430888.0,219430,158667,-97200,711785,,-283593,13757,44576,13160.0,-212100,499685,1354734,2046913,46548,,-6570,-158524,1928367,,,2764722,-666699,53972,0.0,0.0,10838.0,2482594,,-205606,499094.0,-271372.0,-832,,21284,-62737,4369508,4952303,9321811,9321811,319761.0,,,,,,,,
8046,2015年01月01日至2015年03月31日,,649034,649034,,,674804,603,0,3517,-18576,,0,-1411,-20850,,-323113,-594.0,378,0,314758.0,,,283294.0,162140,-89678,-99963,255793,,33438,-429620,7622,7527.0,-381033,-125240,189518,838552,24834,,-3131,-6783,853472,,,2264685,-233477,26808,0.0,,5493.0,2689634,,-59415,188407.0,-271372.0,-3572,,-145952,-56644,3340510,4952303,8292813,8292813,626125.0,0.0,,,,,,,
8046,2014年度,,1997437,1997437,,,2894470,6695,-4211,27425,-85105,-51900.0,6401,-11381,3010,,-1102200,,-250225,76743,,,,638995.0,-220738,-104788,65012,378481,,-307356,359177,34676,,113068,491549,2001271,3998708,78556,81796.0,-26180,-162650,3970230,,-4900000.0,4836050,-1096504,15004,-1444885.0,-19521.0,0.0,-2609856,,-342492,101369.0,0.0,-19798,,-260921,199158,1298611,3653692,4952303,4952303,,0.0,,1509722.0,26571.0,,,,
8046,2014年01月01日至2014年09月30日,,1664783,1664783,,,2200630,5022,6106,20982,-63490,-51900.0,6401,-27704,239,0.0,-859580,0.0,-105679,-41089,1089938.0,,,-516504.0,-61461,-320590,-83352,-981907,,-25385,209131,54298,27546.0,265590,-716317,373621,2038404,63040,81796.0,-20293,-50452,2112495,,-300000.0,3528861,-881467,4029,-1498817.0,-8696.0,0.0,843910,,-216198,480727.0,-534555.0,-12613,0.0,-282639,44350,2718116,3653692,6371808,6371808,,,,,,,,,
8046,2014年01月01日至2014年06月30日,,1114188,1114188,,,1497692,3348,6106,15885,-39343,,6401,-19154,76,,-738947,0.0,47885,-41138,738811.0,,,-655675.0,-147217,-50033,35801,-817124,,309307,302521,55830,15595.0,683253,-133871,604940,1719128,33729,,-13086,-51979,1687792,,,3025006,-487996,2981,-1480121.0,-1861.0,0.0,1058009,,-82294,240405.0,-267219.0,-5163,,-114271,-14409,2617121,3653692,6270813,6270813,0.0,,,,,,,,
8046,2014年01月01日至2014年03月31日,,31202,31202,,,746885,1674,-4174,6571,-17353,,6401,-10992,527,,-21408,0.0,-82478,4963,630616.0,,,519999.0,-10256,116102,70121,695966,,-142405,-51957,11069,10742.0,-172551,523415,1154031,1185233,19935,,-5653,-42552,1156963,,,1532527,-196241,2486,-104860.0,,2300.0,1236212,,-369070,0.0,-261236.0,-4413,,-332925,39903,2100153,3653692,5753845,5753845,0.0,301794.0,,,,,,,
8046,2013年度,,-751897,-751897,,,2999930,6695,16397,22660,-51452,-17828.0,64998,-33715,11009,,-20055,,-99933,-46984,,,,-1505377.0,187208,394606,41163,-882400,,214845,-298219,-39325,,-113492,-995892,1855830,1103933,46717,20937.0,-21413,-111379,1038795,,-300000.0,1752993,-1867529,4395,-589455.0,0.0,3819.0,-995777,,0,0.0,-345885.0,-4759,,-324399,-21649,-303030,3956722,3653692,3653692,,26245.0,,2851722.0,9207.0,,,,
8046,2013年01月01日至2013年12月31日,,-751897,-751897,,,2999930,6695,16397,22660,-51452,-17828.0,64998,-33715,11009,,-20055,,-99933,-46984,,,,-1505377.0,187208,394606,41163,-882400,,214845,-298219,-39325,,-113492,-995892,1855830,1103933,46717,20937.0,-21413,-111379,1038795,,-300000.0,1752993,-1867529,4395,-589455.0,0.0,3819.0,-995777,,0,,-345885.0,-4759,0.0,-324399,-21649,-303030,3956722,3653692,3653692,0.0,26245.0,,2851722.0,9207.0,,0.0,,
8046,2013年01月01日至2013年09月30日,,-663920,-663920,,,2251603,5022,18804,19588,-38910,-17828.0,57578,-25040,-285,,-9183,,43297,-45344,,,,-1841749.0,134932,-17593,109047,-1615363,,588725,-360569,-12071,,223385,-1391978,867324,203404,39855,20937.0,-20027,-58717,185452,,-300000.0,944290,-1255603,1327,,,4970.0,-1184122,,-200047,,-691182.0,-24583,,-915812,-6628,-1921110,3956722,2035612,2035612,,,,2259302.0,7300.0,-579106.0,,,
8046,2013年01月01日至2013年06月30日,,-654766,-654766,,,1510317,3348,6600,14973,-25659,,-11845,-12489,-399,,-4280,,-79038,-9184,,,,-643554.0,174590,89980,98990,-279994,,305056,-159084,-28418,,120125,-159869,1232475,577709,20514,,-13898,-60938,523387,,-300000.0,344280,-801367,919,,0.0,3736.0,-1337403,,-18071,45752.0,0.0,-21479,,6202,95776,-712038,3956722,3244684,3244684,,,,1392344.0,2571.0,-584971.0,,,
8046,2013年01月01日至2013年03月31日,,-448717,-448717,,,775204,1674,-6450,6443,-11004,,-7118,-11604,-650,,-2331,,-72461,2339,,,,616047.0,-16435,217947,140250,957809,,-201154,-533670,-45350,,-775688,182121,856163,407446,11029,,-5654,-41125,371696,,,200000,-418449,715,-571849.0,,2312.0,-787271,,0,34166.0,0.0,-28401,,107011,80390,-228174,3956722,3728548,3728548,,101246.0,,674042.0,4486.0,,,,
