公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 應付公司債匯率影響數,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得持有至到期日金融資產,　　 取得採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 取得投資性不動產,　　 其他金融資產增加,　　 其他非流動資產增加,　　 預付設備款增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金減少,　　 現金增資,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分持有至到期日金融資產,　　 取得待出售非流動資產,　　 收取之股利,　　 短期借款增加,　　 存入保證金增加,　　　　 處分無形資產損失（利益）,　　 存出保證金增加,　　 其他金融資產減少,　　 庫藏股票買回成本,　　　　 未實現外幣兌換損失（利益）,　　　　 買回應付公司債損失（利益）,　　 發放現金股利,　　 取得子公司股權,　　 處分子公司股權（未喪失控制力）,　　 其他籌資活動,　　　　 呆帳費用提列（轉列收入）數,　　 存出保證金減少,　　 其他應收款增加,　　 處分投資性不動產,　　 應付短期票券增加,　　 償還公司債,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 取得以成本衡量之金融資產,　　 預付投資款增加,　　 發行公司債,　　 處分採用權益法之投資,　　 採用權益法之被投資公司減資退回股款,　　　　 金融資產減損損失,　　　　 股利收入,　　　　 處分待出售非流動資產損失（利益）,　　 處分待出售非流動資產,　　 應付短期票券減少,　　　　 處分其他資產損失（利益）,　　 其他非流動資產減少
2601,2016年01月01日至2016年09月30日,,-701929,-701929,,,741385,27277,431312,298170,-53276,,1290,66325,-46171,165141.0,106203,,,,830215,-303044,-86435,108015,-216515,332236,,,-1674390,-71144,-70917,,-1816451,-1484215,217498,-484431,58921,-301724,-339644,-1031679,,-12967,-4021834,4067859,-6613,0.0,-10265.0,,-1037117,156124,-119866,-64.0,-158376.0,0,-128984.0,,-560480,,-3236420,3597225,-2282332,,,49209.0,246845,-356792,-1702106,6581879,4879773,4879773,29337.0,6759.0,,35199.0,2796191.0,205788.0,,0.0,,-358569.0,,-4166.0,,46529.0,-16563.0,,6481.0,606479.0,,,0.0,-552201.0,,1701713.0,0.0,-188019.0,0.0,0.0,0.0,0.0,,-34904.0,-7402.0,251998.0,-2012.0,4048.0,5069.0
2601,2016年01月01日至2016年06月30日,,-257391,-257391,,,511239,19523,351391,207491,-40046,,-468,10909,-34248,,71698,,,,5482,-323412,-83184,36594,-44600,-409120,,,-1178539,-250887,-69615,,-1499041,-1908161,-832197,-1089588,42816,-210931,-274221,-1514465,,0,-2966549,3000649,-6687,0.0,-10265.0,,-926170,82778,-118292,-64.0,-101883.0,-9130,-29368.0,,-1026019,,-2186064,2881143,-1333658,,,,1622001,-192793,-1111276,6581879,5470603,5470603,16534.0,6835.0,,17459.0,2426061.0,123477.0,,-26999.0,,-201908.0,,-903.0,,28970.0,0.0,90000.0,4239.0,,,,,-204038.0,,1075964.0,0.0,-190147.0,,0.0,,0.0,,-17459.0,-7402.0,252739.0,-1982.0,,
2601,2015年度,,-851841,-851841,,,1017141,41419,942696,324405,-164238,0.0,-55682,5101,-144826,836007.0,57254,,,,-1983809,-261229,-313152,-53639,-162197,-2774026,,,-716353,-11230,-205646,,-933401,-3707427,-733453,-1585294,162286,-277513,-482275,-2027664,,-273343,-4811681,4913801,0,-290118.0,,,-1464096,310,-86670,-582.0,-776276.0,-48307,,0.0,-2320606,,-2435418,5470038,-5822512,,,,3731087,-113512,-730695,7312574,6581879,6581879,564723.0,286771.0,,155132.0,3773586.0,171344.0,,-415964.0,,-19156.0,,0.0,-378788.0,107048.0,-124703.0,,138601.0,,0.0,-427801.0,11996.0,0.0,,2973974.0,-172.0,,-1020615.0,2977652.0,1274.0,1527968.0,,-23904.0,,,,,
2601,2015年01月01日至2015年09月30日,,-607556,-607556,,,755041,29906,1321744,226257,-174763,0.0,-52886,7995,-76351,0.0,41826,,,,-1444816,-344400,-49188,29608,-36624,-1845420,,,-2143725,-60256,-307865,,-2511634,-4357054,-2275761,-2883317,179617,-211873,-390739,-3306312,,-270513,-3994415,4069684,0,-199097.0,,,-1354299,0,-186,-61.0,-728153.0,-505,-286983.0,,-1638156,,-3356575,1576515,-3061053,,,,3098302,16319,-1829847,7312574,5482727,5482727,558878.0,283803.0,,131228.0,5153317.0,114735.0,,-280275.0,,-19156.0,0.0,,-286067.0,-38028.0,2616.0,,,,,,11998.0,,,2081293.0,212.0,-77521.0,-1018983.0,3000000.0,1274.0,1527968.0,2524.0,,,,,,
2601,2015年01月01日至2015年06月30日,,762755,762755,,,499749,20835,93666,139124,-80431,0.0,-51279,4250,-61685,1179.0,29763,,,,-1125944,-125019,29032,27210,-115620,-1310341,,0.0,-1298771,153445,-218615,,-1363686,-2674027,-2078856,-1316101,81778,-140938,-442693,-1817954,,-286155,-2737635,2799231,0,-199097.0,0.0,0.0,-960787,22,-185,,-251572.0,-394,-283584.0,,-1139871,,-1485569,950677,-2764926,,,,2022159,-164035,-1099701,7312574,6212873,6212873,618508.0,0.0,,108255.0,2278347.0,45849.0,,-400984.0,,,,,,-2219.0,,,,,,,,,,595171.0,255.0,-77521.0,,3000000.0,0.0,532027.0,,,,,,,
2601,2015年01月01日至2015年03月31日,,511651,511651,,,250883,10560,4935,69175,-35015,0.0,-22036,2500,-35009,,16210,,,,-852065,25380,1745,-32693,-40532,-898165,,0.0,-726960,-67045,-220653,,-1014531,-1912696,-1650493,-1138842,34281,-66369,-139246,-1310176,,-209892,-1982510,2017474,0,,,,-839414,0,-185,,-162957.0,-220,-134060.0,,-1616890,,-1001436,1409908,-1462261,,,,1707504,-218378,-1437940,7312574,5874634,5874634,153748.0,0.0,0.0,3850.0,1762935.0,577.0,,,,,,,,-2219.0,,,,,,,,,,262203.0,127.0,-77521.0,-385203.0,1000000.0,,,,,,,,,
2601,2014年度,,1045186,1045186,,,960303,63500,567053,236804,-133531,1750.0,-82232,12383,-123614,49197.0,167479,1721271.0,,,-299897,-403101,-2077,28964,0,-676111,,0.0,-628893,76051,52096,-6657.0,-507403,-1183514,537757,1582943,129080,-224440,-513597,973986,,-976703,-4399592,4519168,-97442,-98756.0,0.0,0.0,-1910913,168734,-13864,-689.0,-1274726.0,-58289,-181512.0,-148134.0,-3844867,,-571342,4041789,-2310230,,0.0,,2276297,366300,-228284,7540858,7312574,7312574,636931.0,645633.0,,56433.0,1447990.0,58789.0,0.0,-661768.0,,0.0,,-3033.0,-282436.0,-72614.0,70856.0,,5212.0,0.0,-49378.0,0.0,0.0,-106505.0,,,,,,,,,,,,,,,
2601,2014年01月01日至2014年09月30日,,861308,861308,,,710585,45614,148050,166081,-112747,1750.0,-57244,668,-80692,49197.0,133411,1030184.0,,,254937,-381928,10550,169725,-394003,-340719,,,-2319363,-198869,145790,562.0,-2371880,-2712599,-1682415,-821107,108064,-155885,-385834,-1254762,,-325309,-18987690,19064413,-96818,0.0,,0.0,-1885697,1031,-1945,-623.0,,-31712,-279888.0,0.0,-2973710,,-6121242,6182677,-3465185,,0.0,0.0,2540694,51507,-1636271,7540858,5904587,5904587,306321.0,189434.0,,52535.0,5855228.0,67537.0,0.0,-639357.0,-338405.0,0.0,25511.0,0.0,0.0,-49049.0,70728.0,0.0,,,,,,,,,,,,,,,,,,,,,
2601,2014年01月01日至2014年06月30日,,1015715,1015715,,,465792,27789,-207666,108031,-79036,-210.0,-38385,523,-56541,49197.0,101980,371474.0,,,120392,-166379,22074,44983,-217401,-196331,,112.0,-1697839,-373344,26616,358.0,-2044097,-2240428,-1868954,-853239,79036,-104775,-301903,-1180881,,-225206,-12287493,12340135,-97018,0.0,-1150.0,51097.0,-104223,982,-199,,-367664.0,-13032,-449496.0,,-1535867,,-2980899,2704670,-1912346,0.0,0.0,,1304439,-51370,-1463679,7540858,6077179,6077179,121493.0,153789.0,,48768.0,3447727.0,45287.0,0.0,-706650.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2601,2014年01月01日至2014年03月31日,,591486,591486,,,235163,14242,-104842,50552,-20840,1925.0,-19779,524,-29916,0.0,48836,175865.0,,,-10056,-48403,6407,-24189,-60027,-136268,,112.0,-1415860,-110781,-24773,168.0,-1551134,-1687402,-1511537,-920051,20840,-49260,-154333,-1102804,,-168481,-6366730,6394720,-63501,0.0,,0.0,-57258,112,0,0.0,-839694.0,-11850,0.0,,-986685,,-1471218,733400,-811774,,0.0,0.0,-1691,76191,-2014989,7540858,5525869,5525869,97075.0,90589.0,-65378.0,3711.0,1507677.0,40224.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
