公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 取得無形資產,　　 其他金融資產增加,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他預付款項增加,　　 存入保證金減少,　　　　 股利收入,　　　　　 應計退休金負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　 處分不動產、廠房及設備,　　 收取之股利,　　 應付短期票券減少,　　 發放現金股利,　　 非控制權益變動,　　 其他投資活動,　　 取得投資性不動產,　　　　 利息費用,　　　　 利息收入,　　　 收益費損項目,　　　　 收益費損項目合計,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　　 淨確定福利負債增加(減少),　　　　　 應付建造合約款增加（減少）,　　 其他金融資產減少
2545,2016年01月01日至2016年09月30日,,2733124,2733124,,,11502,36532,10234,-1201.0,,,,,-14156,64210,0,-33634,2555,58423,-1811,5682527,328037,-23919,73547,6135779,,-67462,265746,140906,-9400.0,-2091826,-42229,-1802747,4333032,4589053,7322177,-49702,7272475,,-240,-178,89892,2160,-294534,,1247000,-8755027,-60000.0,83000.0,-87650,4056.0,-347238,-8309141,-1331200,1671796,340596,340596,,,-11350.0,,,1325.0,11350.0,,-393282.0,,-133556.0,-265287.0,212464.0,-2160.0,,256021.0,,-171.0,1689.0,
2545,2016年01月01日至2016年06月30日,,2489037,2489037,,,7286,24360,19873,7.0,,,,,-14156,66963,0,-133629,2556,42634,89,5619835,331970,-9779,78473,5984956,,-12448,254731,99519,-5070.0,-1815269,-41587,-1520239,4464717,4679270,7168307,-37327,7130980,,-229,-177,11559,2023,-169243,,1086000,-8207848,0.0,26000.0,-25071,7102.0,-263013,-7376830,-415093,1671796,1256703,1256703,,,,,,,,,,,-82352.0,-100067.0,165050.0,-2023.0,,214553.0,0.0,-115.0,,
2545,2016年01月01日至2016年03月31日,,456528,456528,,,2996,12180,8419,5.0,,,,,-4154,73503,0,-1503086,2555,38097,87,-938821,17815,-7482,2378,-2319108,,115427,254054,22408,,646935,7507,1046274,-1272834,-1166641,-710113,-30,-710143,,-61,-125,-99,1078,-90839,,1247000,-1454165,,26000.0,-12520,112.0,-122727,-316300,-1117282,1671796,554514,554514,,,,,,,,,,,-42144.0,-49488.0,83671.0,-1078.0,,106193.0,0.0,-57.0,,
2545,2015年度,,125199,125199,,,11932,48834,42758,60.0,,,,,34992,-52007,152382,390789,23093,-32204,12,-2993726,-153875,652,32160,-2597732,,-279449,66802,-26870,9400.0,301298,44937,113669,-2484063,-2158258,-2033059,-48763,-2081822,,-4366,-286,18807,16762,-374438,,5938200,-2673545,3000.0,500000.0,-49785,2292.0,-504453,1904770,-551490,2223286,1671796,1671796,,0.0,-13168.0,,,4.0,13168.0,,-1310939.0,,-191330.0,-227197.0,252151.0,-16762.0,,325805.0,,-2449.0,,
2545,2015年01月01日至2015年09月30日,,-124976,-124976,,,8862,831,32129,60.0,,,,,34992,17595,125451,402180,25648,6456,-1306,-2488312,-138375,-15708,-100084,-2131463,,-154709,-93566,47295,0.0,325184,60533,250852,-1880611,-1682796,-1807772,-36439,-1844211,,-2703,-285,18300,12254,-234100,,3990000,-1431689,23000.0,500000.0,-37298,2116.0,-359481,1375709,-702602,2223286,1520684,1520684,,,-13165.0,,,,13165.0,,-1310939.0,,-141789.0,-133042.0,181352.0,-12254.0,,197815.0,,-898.0,67013.0,0.0
2545,2015年01月01日至2015年06月30日,,-66372,-66372,,,5910,565,-11457,41.0,,,,,81170,21116,42118,349596,25649,7670,101,-1545566,-80251,1177,-15228,-1112448,,20532,-96152,7611,,220186,-3513,148664,-963784,-856746,-923118,-21632,-944750,,-1617,-285,-6108,10082,-123081,,1816000,-1179149,23000.0,,-24844,345.0,-238180,397172,-670659,2223286,1552627,1552627,,,,,,,,,,,-95382.0,-29771.0,122061.0,-10082.0,,107038.0,0.0,0.0,,
2545,2015年01月01日至2015年03月31日,,25193,25193,,,2928,296,-10298,41.0,,,,,-94952,-5626,40000,392888,0,5569,100,-709691,-44418,4714,26691,-384725,,-136881,-196510,6579,0.0,205350,-15664,-137126,-521851,-471581,-446388,-1217,-447605,,-15,0,-3772,4983,-56825,,874000,-652303,0.0,,-12411,,-116869,93006,-411424,2223286,1811862,1811862,,589.0,,,,,,,,,-47927.0,-10094.0,62286.0,-4983.0,,50270.0,0.0,,,
2545,2014年度,,1915456,1915456,,,11638,49298,16948,11.0,,279736.0,,,-98878,4182,19484,-408689,99952,-28514,252,-2813912,-67693,-14521,678282,-2630055,,536084,210079,14960,-456.0,972910,21826,1755527,-874528,-594792,1320664,-257549,1063115,,-1768,-148,-27300,50697,-212431,,4245720,-3824305,570000.0,0.0,-44774,2010.0,-451716,-814004,36680,2186606,2223286,2223286,0.0,0.0,-9849.0,124.0,,0.0,9849.0,0.0,-1310939.0,0.0,-186597.0,-57164.0,262387.0,-50697.0,,,,,,
2545,2014年01月01日至2014年09月30日,,1135143,1135143,,,8718,37042,21772,3.0,,222044.0,,,-219697,-8838,-46719,-1551,99952,-462,349,-1924495,-54869,-25111,566222,-1615219,,236367,-89332,94881,-456.0,876884,671,1119015,-496204,-274160,860983,-247208,613775,,-1176,-148,-29233,28891,-191746,,3409820,-2466735,520000.0,0.0,-29539,2456.0,-329391,-204328,217701,2186606,2404307,2404307,,0.0,-9751.0,0.0,,,9751.0,0.0,-1310939.0,0.0,-138784.0,-61047.0,193151.0,-28891.0,,,,,,
2545,2014年01月01日至2014年06月30日,,640654,640654,,,5784,24781,21660,3.0,,154824.0,,,-84153,6928,-60934,-20,58593,8655,-3756,-1240676,-43293,-23801,516941,-865516,,116097,-5478,52721,-456.0,492055,218143,873082,7566,162390,803044,-212352,590692,,-844,-148,-22926,24140,-116166,,1351200,-1938898,450000.0,0.0,-17693,1636.0,-215997,-369752,104774,2186606,2291380,2291380,,0.0,,,,,,0.0,,,-92125.0,-24263.0,102596.0,,,,,,,
