公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他非流動資產增加,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 員工執行認股權,　　 支付之利息,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 金融資產重分類淨損失（利益）,　　　　 股份基礎給付酬勞成本,　　　　 金融資產減損損失,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應付票據－關係人增加（減少）,　　 退還（支付）之所得稅,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得以成本衡量之金融資產,　　 因合併產生之現金流入,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 其他金融負債增加（減少）,　　 處分以成本衡量之金融資產,　　 預付投資款增加,　　 其他金融資產增加,　　 其他投資活動,　　 短期借款減少,　　 償還長期借款,　　 存入保證金增加,　　 其他籌資活動,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　 取得備供出售金融資產,　　 取得採用權益法之投資,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 長期應收租賃款減少,　　 其他非流動資產減少,　　 收取之股利,　　 發行公司債,　　 存入保證金減少,　　 現金增資,　　　　 不動產、廠房及設備轉列費用數,　　　　　 遞延貸項增加（減少）,　　 對子公司之收購（扣除所取得之現金）,　　 處分子公司,　　　　 處分待出售非流動資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 未實現銷貨利益（損失）,　　　　　 其他應收款－關係人（增加）減少,　　 處分待出售非流動資產,　　 發放現金股利,　　　　 已實現銷貨損失（利益）,　　 處分備供出售金融資產,　　 發行特別股負債,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　 處分其他資產損失（利益）,　　 取得無活絡市場之債務工具投資,　　 應付短期票券增加,　　 預付投資款減少,　　 其他金融資產減少,　　 取得按攤銷後成本衡量之金融資產
3576,2016年01月01日至2016年09月30日,,-2696525,-2696525,,,1481973,2940,161581,-6388,278888,-118978,-4990,137071.0,628765,-24398,-123985.0,,,,1914747,-39406,-1291922,-335478,52181,296598,,-1082599,179743.0,-155098,44145.0,-52700,42956,-1023553,-726955,1751120,-945405,-973478,,-2105662,-45925,,-1174,116753,-302559,,15018611,2658730,0,-149755,17539,2888251,-57446,1554768,8498752,10053520,10053520,,57398.0,0.0,191651.0,,-28073.0,0.0,0.0,,0.0,,,67208.0,1044224.0,494000.0,-15783184.0,-1744472.0,2609.0,0.0,,17249.0,,-55395.0,,64823.0,86248.0,32341.0,,0.0,-2045.0,2870218.0,5460.0,,0.0,0.0,8023.0,-22476.0,0.0,-195175.0,0.0,0.0,-58.0,0.0,,,2478075.0,,,,0.0,,
3576,2016年01月01日至2016年06月30日,,-820891,-820891,,,1010103,1961,110890,7474,152900,-77318,-5870,96972.0,312816,-83979,-121546.0,,,,1315195,-24432,-1998783,-216360,65325,-955147,,-422035,104.0,-180134,34726.0,-73295,-18499,-672730,-1627877,-159922,-980813,-1006709,,-1378652,-35337,,-687,71999,211213,,11184217,1942958,0,-100063,17539,2835343,-34879,2004968,8498752,10503720,10503720,0.0,53559.0,0.0,57138.0,,-25896.0,,,,,,,,914224.0,494000.0,-11455039.0,-1724882.0,2644.0,,,16780.0,,-56651.0,,59568.0,49578.0,24963.0,,,-2061.0,2870218.0,3123.0,-13597.0,0.0,0.0,8018.0,-22476.0,4548.0,-153230.0,,,,0.0,,,1467955.0,,,99812.0,68208.0,,0.0
3576,2016年01月01日至2016年03月31日,,104297,104297,,,519289,980,49775,-5347,79002,-33387,20772,,97400,-58452,-119061.0,,,,178797,-29993,-977300,-238093,69996,-936217,,74227,200.0,-107659,21630.0,-45080,69458,12776,-923441,-346884,-242587,-244856,,-514158,-2655,0.0,-519,30782,-390113,,5684163,0,0,-50660,17539,-255831,-24234,-915034,8498752,7583718,7583718,,47602.0,,100374.0,,-2269.0,,,,,,,,-385684.0,345800.0,-6108951.0,-366453.0,1874.0,566657.0,,,,-6119.0,,57942.0,23028.0,7006.0,,,0.0,,460.0,,,,,-8335.0,-14141.0,-39998.0,,,0.0,0.0,,,576557.0,,,,3720.0,50744.0,
3576,2015年度,,-1552955,-1552955,,,2064426,3953,311901,-9225,262442,-100230,8064,61789.0,-35544,20023,,,,,212001,7630,-1818299,-114068,1147156,-526677,,397157,,-92144,66398.0,-155598,24024,155467,-371210,2318063,765108,771269,,-2078842,-260840,-519.0,-96313,100593,-3461546,,18596916,1323056,2750,-174580,191369,2417992,49260,-223025,8721777,8498752,8498752,,49777.0,98826.0,-134994.0,-84370.0,6161.0,0.0,-8850.0,0.0,0.0,,,-70022.0,-695688.0,,-15387775.0,-2002149.0,0.0,-9221.0,-3680.0,-15.0,,0.0,15.0,143345.0,71761.0,24916.0,3680.0,0.0,-1015.0,0.0,29.0,,-308505.0,0.0,-801.0,955.0,,173897.0,20870.0,-171271.0,-42335.0,2956.0,0.0,,2689273.0,-1082.0,-310103.0,49912.0,,,
3576,2015年01月01日至2015年09月30日,,-1657545,-1657545,,,1549716,2947,311141,-12754,185471,-75308,4281,21256.0,-12515,-47096,-1082.0,,,,-270205,-25114,-1936720,-116867,1048088,-986856,,257749,-84667.0,-190719,44076.0,69755,3292,99486,-887370,1157975,-499570,-492671,,-1091073,-1106550,,-17298,75455,-871263,,13270307,100000,2750,-127459,187261,1804755,68872,509693,8721777,9231470,9231470,,39714.0,98826.0,92636.0,,6899.0,0.0,0.0,,0.0,,,-39754.0,196983.0,,-10385958.0,-1070532.0,0.0,0.0,,111.0,,0.0,,1019063.0,58047.0,19351.0,,0.0,-343.0,,29.0,,-9314.0,0.0,2387.0,955.0,-22734.0,221326.0,20871.0,-171271.0,,2956.0,,,2045345.0,,,,,,
3576,2015年01月01日至2015年06月30日,,-1282018,-1282018,,,1037405,1958,174543,-19913,123127,-44287,2807,13837.0,22161,-15687,-1082.0,,,,-7775,-31874,-560541,48841,1027568,794761,,269044,-3597.0,-237319,21904.0,20334,12687,72036,866797,2167406,885388,883746,,-1048458,-39943,,-14555,43915,-757118,,6683828,100000,0,-83139,193985,187984,-46609,268003,8721777,8989780,8989780,0.0,24690.0,0.0,176169.0,0.0,-1642.0,,,,,,,,68019.0,,-5989363.0,-716301.0,0.0,,,,,,,175006.0,52217.0,13039.0,,,-1026.0,,29.0,-11017.0,-9314.0,0.0,2387.0,955.0,,142373.0,,,-22321.0,2956.0,,,1300609.0,,,,,,
3576,2015年01月01日至2015年03月31日,,-497004,-497004,,,516518,963,-19,-34372,62211,-12866,525,,67204,30022,,,,,548295,18667,-610732,-41751,80488,-112873,,-103910,-1066.0,-257190,9486.0,-161160,-1149,-514989,-627862,17464,-479540,-478823,,-314718,-38826,0.0,-4519,12865,-267007,,3276871,100000,0,-35564,175418,131363,-31999,-646466,8721777,8075311,8075311,,14244.0,,17248.0,,717.0,,,,,,,,-8418.0,,-3071805.0,-312534.0,0.0,,,,,,,56288.0,23759.0,3606.0,,,-1023.0,,29.0,,,,,955.0,,-125088.0,,,-88.0,2956.0,,,645326.0,,,,,,
3576,2014年度,,221989,221989,,,2010938,47688,-52,14620,245238,-115444,42694,69338.0,7999,-10100,,2148340.0,,,-685135,-274915,-564812,115492,-31291,-1990290,,-888913,,-80067,62402.0,479525,219,-118315,-2108605,39735,261724,253028,,-2123341,-229182,-77.0,-10841,115446,-1887586,,15688300,560605,0,-204992,105624,3967290,16433,2349165,6372612,8721777,8721777,,80394.0,0.0,130346.0,308519.0,-8696.0,0.0,-42500.0,0.0,0.0,,,,-485484.0,,-15492318.0,-2142579.0,49.0,,0.0,0.0,,-104024.0,,13649.0,75046.0,41280.0,0.0,3496104.0,,1722500.0,22470.0,,-11995.0,451742.0,-73933.0,14072.0,,-679975.0,410000.0,-236003.0,-207582.0,12695.0,470000.0,,,,,,,,
3576,2014年01月01日至2014年09月30日,,599260,599260,,,1494232,45327,267,-558,176284,-99963,27036,29918.0,80482,11959,,1560912.0,,,-1097159,-246006,-922501,-19987,-53326,-2713089,,-785224,,-167249,48135.0,242247,23595,-325559,-3038648,-1477736,-878476,-885768,,-2126714,-96113,,-19657,100009,-1677729,,13029238,824686,0,-159959,242171,3656832,-1955,1091380,6372612,7463992,7463992,,50096.0,0.0,-123867.0,312937.0,-7292.0,0.0,-42500.0,,0.0,,,,-67222.0,,-12483581.0,-1055873.0,49.0,0.0,,,,-7305.0,,13624.0,65066.0,40222.0,,3496104.0,0.0,,18189.0,,-11995.0,64856.0,-73933.0,-26181.0,-172243.0,-250243.0,410000.0,-236003.0,,,,,,,,,,,
3576,2014年01月01日至2014年06月30日,,762266,762266,,,986659,45370,235,-2647,106920,-58402,6,0.0,15212,-11328,,1104885.0,,,-913210,-4168,-999798,-68963,-194560,-2020216,,180927,,-201191,32052.0,-4931,56296,100308,-1919908,-815023,-52757,-60005,,-1461136,-42723,,-18338,57737,-1086041,,8501678,209620,0,-81298,242171,1725429,-2570,576813,6372612,6949425,6949425,-28582.0,33445.0,0.0,160483.0,21559.0,-7248.0,0.0,0.0,,,,,,324236.0,,-6381519.0,-765247.0,24.0,,,,,,,10002.0,38865.0,30295.0,,,,,17997.0,15596.0,-11995.0,-12984.0,,,,,,,,,,,,,,,,,
