公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 存出保證金減少,　　 其他非流動資產增加,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 短期借款減少,　　 非控制權益變動,　　　　　 預付款項（增加）減少,　　　　　 其他營業負債增加（減少）,　　 收取之股利,　　 發放現金股利,　　 存入保證金增加,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 應付短期票券增加
3550,2016年01月01日至2016年09月30日,,118358,118358,,,66911,3219,9502,-16913,1908,9690,16598,5811.0,28431,538,,,,24821,151228,0.0,4037,11861,1190,200882,,0,-33043,-16627,,-49471,151411,277106,395464,-10186,-61550,323728,,-45427,9104.0,-2414,17892,-19780,,-9615,800000,-800000,,-53691,-178750,71507,1300003,1371510,1371510,1065.0,,,0.0,7745.0,-937.0,,-85000.0,924.0,,125695.0,1136.0,40000.0
3550,2016年01月01日至2016年06月30日,,74285,74285,,,44880,2049,6427,-12475,1646,6305,16598,,14118,365,,,,-4947,210210,0.0,1563,33505,1188,241933,,0,-30842,-23747,,-51062,190871,270784,345069,-7259,-42011,295799,,-34934,6971.0,-1192,14941,-13819,,-69615,800000,-800000,,-68474,-97195,116311,1300003,1416314,1416314,395.0,,,,414.0,2782.0,,,1141.0,,79913.0,745.0,
3550,2016年01月01日至2016年03月31日,,11127,11127,,,22799,1059,3157,-4859,604,-39,16598,,13419,185,,,,16168,187706,0.0,-1700,6953,-1969,200605,,0,-52635,-35397,,-87678,112927,165850,176977,-2734,-20537,153706,,-23564,,-1022,7710,-9673,,-492,400000,-400000,,692,-41926,102799,1300003,1402802,1402802,138.0,7065.0,,,-6553.0,0.0,,,1184.0,,52923.0,354.0,
3550,2015年度,,141523,141523,,,96626,4076,14678,-20329,2711,16721,16349,,-58778,742,,,,35060,99017,339.0,5501,43076,3234,178570,,-7683,-13953,-8715,,-30817,147753,220549,362072,-14077,-59913,288082,,-54759,15360.0,-2028,15722,-14139,,122124,1647798,-1823391,-377.0,-153060,24113,144996,1155007,1300003,1300003,11566.0,0.0,0.0,-14214.0,-7657.0,-2059.0,0.0,-85000.0,0.0,,72796.0,1593.0,
3550,2015年01月01日至2015年09月30日,,109734,109734,,,73691,3099,11076,-15030,2192,11066,2912,,-67237,556,,,,43342,178573,339.0,2779,13522,-373,238980,,-7683,-16161,-45149,,-70620,168360,190685,300419,-10563,-43467,246389,,-52170,16020.0,-1836,9284,-18068,,219437,1247798,-1423391,,-46446,41510,223385,1155007,1378392,1378392,10634.0,,,-5174.0,798.0,-2823.0,0.0,-85000.0,-116.0,,22325.0,1196.0,
3550,2015年01月01日至2015年06月30日,,48590,48590,,,49950,2221,7288,-9526,2817,6304,2912,,2815,370,,,,20087,186619,249.0,6017,-26123,779,187640,,-7683,-11307,-51829,,-68614,119026,184177,232767,-6822,-27793,198152,,-41221,16615.0,-1381,6063,-9522,,207365,0,-164368,,42997,-44991,186636,1155007,1341643,1341643,10402.0,0.0,,,12.0,1407.0,,,0.0,,65151.0,798.0,
3550,2015年01月01日至2015年03月31日,,17050,17050,,,25731,1106,3643,-4306,1116,4105,0,0.0,-128,187,,,,-35211,187022,339.0,77,-38237,-506,103234,,-5264,34983,-40595,,-10202,93032,124486,141536,-3406,-11297,126833,,-19469,,-287,4813,-6029,,115301,0,-171105,,-55804,-31487,33513,1155007,1188520,1188520,9964.0,-1050.0,,,-10250.0,275.0,,,0.0,,31454.0,399.0,
3550,2014年度,,178731,178731,,,106797,4321,18620,-17325,-2344,11276,0,0.0,-9502,718,112561.0,,,-6515,209624,-339.0,-3025,34794,-703,236973,,-602,-176338,51294,14797.0,-110096,126877,239438,418169,-20614,-61038,336517,,-73566,,-5461,18104,-55381,,-45249,24288,0,0.0,-105471,65815,241480,913527,1155007,1155007,5739.0,-1912.0,,0.0,3137.0,753.0,1715.0,-85000.0,490.0,,,,
3550,2014年01月01日至2014年09月30日,,137083,137083,,,80076,3131,13548,-12163,-7,4392,0,0.0,342,535,89854.0,,,-5962,82709,,3612,-18439,0,61433,,1500,-121733,-8838,10635.0,-119288,-57855,31999,169082,-15173,-48263,105646,,-61779,,-2434,10409,-40244,,10753,77586,0,0.0,3829,8986,78217,913527,991744,991744,4978.0,6867.0,,0.0,-487.0,-852.0,1715.0,-85000.0,490.0,,,,
3550,2014年01月01日至2014年06月30日,,80224,80224,,,53781,2153,9845,-9282,1655,1679,0,0.0,2229,358,62418.0,,,-22620,14057,,-2035,398,-14767,-24967,,980,-64954,-1420,7080.0,-55070,-80037,-17619,62605,-9704,-32713,20188,,-41916,3718.0,-818,10358,-53051,,-67120,70254,0,0.0,3624,-8505,-37744,913527,875783,875783,2595.0,-26988.0,,0.0,,3244.0,,,490.0,,,,
