公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 其他非流動資產增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他非流動資產減少,　　 收取之股利,　 籌資活動之現金流量,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　　　　 其他項目,　　 對子公司之收購（扣除所取得之現金）,　　 處分以成本衡量之金融資產,　　 現金增資,　　 員工執行認股權,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　 處分採用權益法之投資,　　 預付設備款增加,　　 短期借款增加,　　 取得子公司股權,　　 處分子公司股權（未喪失控制力）,　　 取得無活絡市場之債券投資,　　　 收益費損項目,　　　　 收益費損項目合計,　　 取得按攤銷後成本衡量之金融資產,　　 處分無活絡市場之債務工具投資,　　 短期借款減少,　　　　 利息費用,　　　　　 預付款項（增加）減少,　　 支付之利息,　　 庫藏股票買回成本,　　 取得無活絡市場之債務工具投資,　　 處分子公司,　　 非控制權益變動,　　 支付之股利
4144,2016年01月01日至2016年09月30日,,394828,394828,,,9802,42483,975,,-9805,1177,0,,,,-16974,-106503,11162,30747,,-146359,,-6318,55590,2086,51358,-95001,-42916,351912,9805,-141858,186126,,0.0,0.0,-14847.0,0.0,-18216,0.0,4955,-369254,-64644,-168627,437796,269169,269169,-4817.0,2626.0,73.0,125.0,-313.0,634.0,4817.0,,-117331.0,79145.0,,-281735.0,,,740.0,-1521.0,,0.0,0.0,195736.0,,,,,52085.0,,0.0,,9571.0,-63270.0,-9571.0,0.0,-64674.0,,,-24162.0
4144,2016年01月01日至2016年06月30日,,273218,273218,,,6381,28813,483,,-6457,801,0,,,,-12593,-74380,6750,21045,,-196683,,27712,33049,1913,62674,-134009,-98468,174750,6457,-92361,82763,,0.0,0.0,-15331.0,0.0,-12629,0.0,3374,-13857,-37591,76312,437796,514108,514108,-3428.0,2845.0,20.0,101.0,-323.0,345.0,3428.0,,,44997.0,,,,,740.0,-1619.0,,0.0,0.0,44257.0,,,,,35541.0,,7178.0,0.0,6083.0,-135886.0,-6083.0,0.0,,,,
4144,2016年01月01日至2016年03月31日,,141005,141005,,,3077,14541,343,,-3348,399,0,,,,-44987,-10129,54708,27980,-87259.0,-61290,,13217,13444,5472,32133,-29157,-8734,132271,3348,-52070,80893,,,0.0,,,-2806,,1703,-462,-6340,96089,437796,533885,533885,0.0,2755.0,0.0,,0.0,91.0,0.0,,,21998.0,,,,,740.0,-1603.0,,,,21258.0,,,,,20423.0,,0.0,0.0,2656.0,,-2656.0,,550.0,,,
4144,2015年度,,550318,550318,,,10574,57962,7911,,-13793,2291,-49601,,,,16806,-125006,-83441,25903,,-180108,,-42308,-19873,-600,-62781,-242889,-261490,288828,13793,-154395,144397,,-20464.0,100415.0,-39813.0,0.0,-59213,,16866,-219510,-26209,-167927,605723,437796,437796,-44551.0,6787.0,-10.0,2226.0,-1288.0,-6897.0,44551.0,,-310469.0,-66605.0,,-160856.0,,0.0,0.0,-362.0,,0.0,0.0,317678.0,0.0,0.0,,,-18601.0,,,,3829.0,-14008.0,-3829.0,-66332.0,-98768.0,3731.0,-7482.0,
4144,2015年01月01日至2015年09月30日,,470213,470213,,,7286,43315,8152,,-10180,1730,-49735,,,,7607,-267516,8132,77785,,-195386,,-37107,12237,-2621,-27491,-222877,-250498,219715,10180,-117378,110050,,-21220.0,104127.0,-41285.0,0.0,-43364,0.0,11666,27400,18761,-124178,605723,481545,481545,-36147.0,5515.0,-24.0,2406.0,-1335.0,0.0,36147.0,,-281034.0,-280389.0,,-31592.0,,,,-50.0,-2407.0,0.0,-13832.0,66977.0,0.0,0.0,,,-27621.0,,25682.0,,2467.0,-18937.0,-2467.0,-66332.0,,,,
4144,2015年01月01日至2015年06月30日,,324784,324784,,,4530,28773,3377,,-9573,1323,-49610,,,,-4775,-167055,-25251,71279,,-237359,,5823,19050,-1657,23216,-214143,-266622,58162,9573,-78493,-12278,,-20347.0,99840.0,0.0,0.0,-22415,,7958,119416,-28599,-39418,605723,566305,566305,-36056.0,3443.0,-206.0,297.0,-379.0,0.0,36056.0,,0.0,-117957.0,,,,,,87.0,-2431.0,0.0,-7276.0,,0.0,0.0,,,-52479.0,,25682.0,-51625.0,1520.0,-109213.0,-1520.0,-66332.0,,,,
4144,2015年01月01日至2015年03月31日,,166350,166350,,,2159,14504,608,,-3777,658,-22389,,,,-3645,-89704,-3675,65889,-2467.0,-33534,,4067,-5627,-2014,-3574,-37108,-78483,87867,3777,-26455,65189,,50496.0,,,0.0,-6560,,4015,108786,-9618,129773,605723,735496,735496,-35538.0,2376.0,24.0,,-385.0,,35538.0,,,-34584.0,,,,0.0,,39.0,29.0,0.0,,,,,,,-41375.0,0.0,25682.0,-34584.0,,,,,,,,
4144,2014年度,,596907,596907,,,6737,40401,2155,,-16392,8410,-219745,-167045.0,,,-31069,-154891,-88092,-80566,155987.0,-201854,,38303,-60246,-1862,-23805,-225659,-392704,204203,16392,-110446,110149,,-15722.0,311450.0,-327706.0,-10787.0,-195195,,19864,-498491,50405,-324381,930104,605723,605723,-258.0,11676.0,-29.0,1241.0,-1143.0,460.0,258.0,,-294517.0,13556.0,,-256153.0,,0.0,2180.0,-3223.0,,1035.0,-411.0,261393.0,-5500.0,50000.0,-25682.0,,,,,,,,,,,,,
4144,2014年01月01日至2014年09月30日,,472864,472864,,,4112,27365,303,,-12547,1977,-181029,-148281.0,,,-38338,-112923,-121376,-16959,151320.0,-138224,,20755,-75195,6825,-47615,-185839,-334120,138744,12547,-83669,67622,,-15206.0,241982.0,-316944.0,-10313.0,-182034,357.0,15511,-520136,3328,-396382,930104,533722,533722,0.0,11538.0,,38.0,-378.0,,0.0,,-294517.0,52804.0,,-253668.0,,,,52.0,,1000.0,-481.0,302821.0,-5500.0,50000.0,,,,,,,,,,,,,,
4144,2014年01月01日至2014年06月30日,,346250,346250,,,1672,17124,266,,-8933,1512,-162813,,,,-27125,-111289,-114180,7111,,-140752,,8743,-36939,3981,-24215,-164967,-306473,39777,8933,-46293,2417,,-2795.0,208366.0,-241905.0,-10000.0,-1577,,10231,-212719,-33220,-217848,930104,712256,712256,0.0,9666.0,0.0,0.0,-108.0,216.0,0.0,,-18826.0,25674.0,,,,,,52.0,0.0,1000.0,-176147.0,,-5500.0,50000.0,,,-141506.0,,0.0,0.0,0.0,104679.0,0.0,0.0,,,,
