公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他金融資產增加,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 其他非流動負債增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 取得無形資產,　　 短期借款增加,　　　　 股利收入,　　 收取之股利,　　 其他金融資產減少,　　 其他應付款－關係人增加,　　 發放現金股利,　　 員工執行認股權,　　　 收益費損項目,　　　　 收益費損項目合計,　　 其他應付款－關係人減少
3501,2015年01月01日至2015年06月30日,,410123,410123,,,63086,8378,2425,1082,1549,-8464,0,-173657,0,-17457,,,,0,3454,93162,78638,2837,39243,-6522,210812,,294,-85372,-2093,-53113,-4880,-326,-145490,65322,-57736,352387,8464,-1536,-70326,288989,,-321374,310518,-336023.0,140956,-205923,,-1010000,-383,47130,-46463,83733,1117947,1201680,1201680,0.0,1060000.0,,,,,,,,-123058.0,-2487.0
3501,2015年01月01日至2015年03月31日,,161237,161237,,,30035,4487,-3033,54,741,-4587,0,241,0,-16374,,,,0,8087,146259,64616,3033,-45090,4847,181752,,-615,-137650,-2667,-69657,4900,411,-205278,-23526,-11962,149275,4587,-771,-10065,143026,,-241719,0,-114444.0,104042,-252121,,-250000,-61,-61,16272,-92884,1117947,1025063,1025063,,250000.0,,,,,,,,11564.0,
3501,2014年度,,595692,595692,,,106340,18139,4033,931,2334,-24169,5901,2786,-1102,30529,145702.0,,,4633,-57136,-237687,-85888,2122,-163569,9621,-527904,,-1491,170390,-5970,44664,535,1551,209679,-318225,-172523,423169,24169,-2376,-106491,338491,,-272579,976,141144.0,-125150,-269175,,-953300,220,-94755,16051,-9388,1127335,1117947,1117947,-13566.0,1140000.0,-20.0,20.0,,1384.0,-340935.0,57876.0,,,
3501,2014年01月01日至2014年09月30日,,386471,386471,,,76750,13556,-69,1015,1591,-16870,4427,2542,-1102,6718,88538.0,,,4633,-41919,-119771,-11102,2442,-190419,-11874,-368010,,-1022,49521,-3416,25874,987,1251,73195,-294815,-206277,180194,16870,-1537,-99433,96114,,-197219,970,,-131778,-307205,,-280840,130,-151525,66648,-295968,1127335,831367,831367,-12867.0,470000.0,-20.0,20.0,33689.0,120.0,-340935.0,0.0,,,
3501,2014年01月01日至2014年06月30日,,231749,231749,,,53371,9194,-2760,787,1351,-13861,2952,585,-1102,2400,52917.0,,,4633,-33656,-42809,85762,9544,-112032,-1080,-89638,,-2623,79569,-4394,-4089,-2000,834,67297,-22341,30576,262325,13861,-1175,-57560,217451,,-83687,973,70908.0,-28497,-52600,,-59740,21,-9719,-46541,108591,1127335,1235926,1235926,-12297.0,50000.0,,,,,,,,,
3501,2014年01月01日至2014年03月31日,,107808,107808,,,27253,2285,-1258,665,502,-7823,1476,263,-1102,6616,28877.0,,,4633,-44598,30612,132658,10703,-30891,-9323,93794,,-508,17285,-6111,-32376,12957,418,-8335,85459,114336,222144,7823,-499,-3330,226138,,-54188,987,-57076.0,-19203,-129480,,0,-31,-31,-18559,78068,1127335,1205403,1205403,,,,,,,,,,,
3501,2013年度,,615970,615970,,,114092,7318,-3545,1272,5242,-30636,12452,1047,0,4371,111474.0,,,-3530,-26798,180881,-42146,-343,-203824,4473,-91287,,6,-78171,318,27112,-1385,1487,-50633,-141920,-30446,585524,30636,-5479,-104793,506027,,-138333,500,170936.0,-9080,24023,,-275880,602,-504575,53115,78590,1048745,1127335,1127335,0.0,59620.0,-139.0,139.0,,-2598.0,-355929.0,69610.0,,,
3501,2013年01月01日至2013年09月30日,,506007,506007,,,87168,12128,-1822,2021,4036,-19719,9640,795,0,4364,98547.0,,,-3530,-20932,85953,27798,-12008,-251695,-28969,-203383,,1800,-65756,-465,27628,12210,1047,-23536,-226919,-128372,377635,19719,-4084,-98837,294497,,-91036,0,,-19497,226677,,-275880,3000,-285020,22332,258486,1048745,1307231,1307231,0.0,286560.0,-64.0,64.0,337210.0,-3309.0,-355929.0,60538.0,,,
3501,2013年01月01日至2013年06月30日,,365711,365711,,,55790,7777,1277,738,2563,-8082,6828,795,0,6494,74180.0,,,-3530,-30502,113521,17835,-7196,-170933,-13748,-94553,,-1300,59042,-1995,199,18800,608,75354,-19199,54981,420692,8082,-2572,-56180,370022,,-84632,0,335636.0,-16564,234440,,-275880,2950,-32930,69569,641101,1048745,1689846,1689846,0.0,240000.0,,,,,,,,,
3501,2013年01月01日至2013年03月31日,,183799,183799,,,26719,4238,-6295,690,1143,-3053,3414,950,0,-2557,25249.0,,,0,-16336,201491,69988,6971,-70331,-25954,165829,,-1728,-19349,1435,-27866,4757,3025,-39726,126103,151352,335151,3053,-1157,-13767,323280,,-50106,2092,339886.0,-9830,282042,,-37360,0,-37360,35002,602964,1048745,1651709,1651709,,,,,,,,,,,
