公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 持有至到期日金融資產到期還本,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 其他非流動負債減少,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 非金融資產減損迴轉利益,　　 其他金融資產減少,　　 短期借款增加,　　 應付短期票券減少,　　 其他非流動負債增加,　　　 不影響現金流量之收益費損項目,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 投資性不動產公允價值調整損失(利益),　　　　 不影響現金流量之收益費損項目合計,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 取得以成本衡量之金融資產,　　 對子公司之收購（扣除所取得之現金）,　　 發行公司債,　　 處分無活絡市場之債券投資,　　 處分以成本衡量之金融資產,　　　　 處分無形資產損失（利益）,　　　　　 其他應收款－關係人（增加）減少,　　　　　 其他應付款－關係人增加（減少）
4904,2015年01月01日至2015年09月30日,,11353723,11353723,,,6323449,2122611,208875,339996,-52624,-1335.0,235159,641578,-66814,0,-55700.0,-28787,9666408.0,,,-17868,-67572,92250,571512,-48629,33870,563563,,13205,-683647,-413399,7459,-115586,-282235,-6841.0,-1481044,-917481,8748927,20102650,57841,5927.0,-161822,-3481902,16522694,,-166350,597301,746019.0,0.0,0.0,-106000.0,-8661168,23619,-211150,208843,-606183,-2158967.0,-10334036,,6329508.0,5289638,9300000.0,-3350000,114851,-148237,-16545.0,-12296653.0,-16265.0,5206297,-701,11394254,3853038,15247292,15247292,,,,,,,,,,,,,,,,,,,,
4904,2015年01月01日至2015年06月30日,,7460713,7460713,,,4124411,1354581,139613,242675,-35699,,168912,470223,-34413,0,-45506.0,-180,6384617.0,,,-5342,-52085,74992,-27130,51025,81590,123050,,-5105,-583305,-601711,13433,-84714,-173624,-4615.0,-1439641,-1316591,5068026,12528739,40114,,-138992,-2567309,9862552,,0,56700,80719.0,,,-106000.0,-6377427,20848,-163278,162080,-419501,-94282.0,-6840141,,266322.0,110047,9300000.0,0,74229,-98338,-7291.0,,,9644969,-2044,12665336,3853038,16518374,16518374,,,,,,,,,,,,,,,,,,,,
4904,2015年01月01日至2015年03月31日,,3635023,3635023,,,2001368,585182,71917,152782,-16179,,96874,110212,-6700,0,,-13575,2948613.0,,,18674,182355,45948,-62323,-92962,58630,150322,,17461,-262693,-773880,10836,-33825,-257169,793.0,-1298477,-1148155,1800458,5435481,13679,,-57896,-1140249,4251015,,0,56700,-462940.0,,,,-3042533,8601,-94898,94370,-195426,,-3634824,,0.0,0,1280000.0,0,42000,-52089,0.0,,,1323536,-879,1938848,3853038,5791886,5791886,-33268.0,1302.0,320913.0,-269943.0,2655.0,,,,,,,,,,,,,,,
4904,2014年度,,13984823,13984823,,,8618768,1928341,263366,345337,-74150,-1662.0,167598,859935,-26511,1385,-925.0,-18745,,,,-21895,-504522,66409,1172147,-216849,-33075,462215,,4031,63334,1067294,40278,306342,-63866,,1408286,1870501,13884978,27869801,63335,5850.0,-323123,-2030975,25584888,,-60000,166200,,100000.0,8348.0,-360000.0,-12406322,96417,-295658,261068,-766192,-184085.0,-14678287,,,10074,9290000.0,-5289483,188177,-234566,,-12317065.0,31972.0,-9878090,3362,1031873,2821165,3853038,3853038,,,-1446127.0,,-111072.0,,0.0,-48260.0,12014477.0,0.0,-9127.0,-1088063.0,-150000.0,0.0,0.0,,,,,
4904,2014年01月01日至2014年09月30日,,11484024,11484024,,,6549639,1333661,245389,254933,-56697,-639.0,107420,656099,-26511,1385,19537.0,-1605,9082611.0,,,-26453,-236834,135619,1443345,-488899,-38531,788247,,25799,419867,746058,24655,69365,-235385,-6090.0,1044269,1832516,10915127,22399151,49113,4826.0,-94577,-2029246,20329267,,-60000,166200,-820827.0,100000.0,8348.0,-360000.0,-9143085,51030,-212066,190560,-489115,-108421.0,-10677376,,384478.0,1059715,9290000.0,-3289483,114555,-151979,-60920.0,-12315034.0,42740.0,-4925928,259,4726222,2821165,7547387,7547387,,,,,,,,,,,,,,,,,,,,
4904,2014年01月01日至2014年06月30日,,8012722,8012722,,,4428390,806055,148625,167828,-36939,,87465,444911,-24877,1385,10059.0,-5735,6027167.0,,,-13589,-154160,157583,1468608,-212846,-62579,1183017,,28708,-486463,160053,11101,-22949,-22219,-981.0,-332750,850267,6877434,14890156,30518,,-82151,-1019940,13818583,,-10000,166200,-614163.0,,,-360000.0,-5996752,27071,-164346,149585,-319803,-92923.0,-7215131,,-1106351.0,109980,9290000.0,-99483,55389,-83169,-41040.0,,,8125326,-2828,14725950,2821165,17547115,17547115,,,,,,,,,,,,,,,,,,,,
4904,2014年01月01日至2014年03月31日,,3806265,3806265,,,2212330,382874,79746,83829,-14034,,38507,240947,-447,1385,,-8600,2986139.0,,,-4331,363842,164576,1282665,-212341,-53681,1540730,,31817,-633475,-440038,9141,88621,10273,-1916.0,-935577,605153,3591292,7397557,9227,,-9001,-735,7397048,,-10000,85031,-347239.0,,,,-3029814,4506,-78565,62238,-166530,,-3474002,,-1288041.0,149927,1000000.0,-5596,26594,-47200,-21160.0,,,-185476,-408,3737162,2821165,6558327,6558327,-30398.0,6371.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
4904,2013年度,,14554390,14554390,,,8592300,1527870,165665,118018,-165105,-7273.0,128365,1310909,-224103,102,224001.0,-18535,,,,13786,12928,-141521,-1958845,-108014,34341,-1938637,,-21720,-1342208,1168702,17440,-285958,-46294,,-523613,-2462250,9137682,23692072,174641,10067.0,-48814,-1926126,21901840,,-663928,2501734,,100000.0,0.0,-172765.0,-9802919,32869,-278901,211387,-32024895,-107383.0,-40426621,,,319806,0.0,-9315,137904,-181993,,-11501151.0,35039.0,9533991,1417,-8989373,11810538,2821165,2821165,,,864732.0,,-95210.0,,11608.0,-63890.0,11599932.0,208688.0,-13575.0,-129062.0,-50000.0,-42758.0,19964179.0,,,,,
4904,2013年01月01日至2013年12月31日,,14488219,14488219,,,8600351,1527870,165665,118018,-165105,-7273.0,128365,1310909,-224103,102,224001.0,-18535,,,,13786,12928,-141521,-1958845,-108014,34341,-1938637,,-21720,-1342208,1168702,17440,-285958,-46294,,-523613,-2462250,9203853,23692072,174641,10067.0,-48814,-1926126,21901840,,-663928,2501734,,100000.0,,-172765.0,-9802919,32869,-278901,211387,-32024895,-107383.0,-40426621,,,319806,,-9315,137904,-181993,,-11501151.0,35039.0,9533991,1417,-8989373,11810538,2821165,2821165,-5770.0,,864732.0,,-95210.0,,11608.0,,11666103.0,208688.0,-13575.0,-129062.0,-50000.0,-42758.0,19964179.0,0.0,,,,
4904,2013年01月01日至2013年09月30日,,11202314,11202314,,,6435752,1145893,165283,58294,-129716,-4861.0,72009,963192,-143123,102,83499.0,-24520,,,,23039,69633,-193402,-786117,-186847,-8327,-951636,,-16994,-2146910,660315,15577,-242390,-88097,,-1829303,-2780939,5850859,17053173,129976,7655.0,-26227,-1913313,15251264,,-653928,1302755,,100000.0,0.0,-172765.0,-7185304,28744,-1164233,131614,-457206,-96554.0,-7778473,,,729616,0.0,-9315,105065,-141733,-74211.0,-11497795.0,29439.0,-1218567,-618,6253606,11810538,18064144,18064144,,,4649610.0,,,,9994.0,,8631798.0,130385.0,-10804.0,0.0,-50000.0,-42758.0,4990757.0,481162.0,,,,
