公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 取得無活絡市場之債券投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 預付設備款增加,　　 預付設備款減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 償還長期借款,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存入保證金減少,　　 非控制權益變動,　　　　 處分其他資產損失（利益）,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　　　 股利收入,　　　　 其他項目,　　　　　 應收票據（增加）減少,　　　　　 負債準備增加（減少）,　　 取得備供出售金融資產,　　 處分無活絡市場之債券投資,　　 處分子公司,　　 其他非流動資產減少,　　 其他預付款項減少,　　 收取之股利,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 存入保證金增加,　　 存出保證金增加,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 對子公司之收購（扣除所取得之現金）,　　　　 處分投資損失（利益）,　　　　　 其他營業負債增加（減少）,　　 處分備供出售金融資產,　　　 收益費損項目,　　　　 收益費損項目合計,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 取得透過其他綜合損益按公允價值衡量之金融資產
2443,2015年01月01日至2015年06月30日,,-138478,-138478,,,36860,506,0,2630,412,-11466,-252,,0.0,-4795,,,,-8439,-11256,-35758,,-194292,-258240,,1335,-1290,-13380,-4582,-17917,-276157,-246597,-385075,11466,-412,-44237,-418258,,0.0,,-10394,524,,-161.0,-110854.0,,-132886,,,-5069,-7924,-18337,-577405,1412194,834789,834789,,-2855.0,,308766.0,,5665.0,-8495.0,,,,,0.0,,,-320505.0,,-1696.0,,,,,,,29560.0,,1434.0,0.0
2443,2015年01月01日至2015年03月31日,,-78350,-78350,,,18372,253,215,876,214,-6105,-252,0.0,,-14175,,,,-2368,-4957,-82315,,-222953,-314679,,3697,-4257,-19642,-933,-21135,-335814,-333581,-411931,6105,-214,-2618,-408658,,,,-8145,524,0.0,-31.0,-45752.0,0.0,-101374,,,-2535,-4955,8485,-506502,1412194,905692,905692,,-2420.0,,,,2835.0,-2086.0,,,,,0.0,,,-48664.0,0.0,-186.0,,,,,,,2233.0,0.0,880.0,
2443,2014年度,,-12974,-12974,,,69472,476,16198,4843,412,-41513,-40584,0.0,-379.0,3146,14513.0,,,9324,186697,-91366,,13792,118447,,-463,-5038,-145199,59609,-127391,-8944,5569,-7405,41513,-412,-68486,-34790,,,0.0,-105061,240364,,-80.0,0.0,84159.0,-2167,,-20000.0,-3380,-149329,73537,-112749,1524943,1412194,1412194,0.0,-125949.0,0.0,0.0,-1633.0,4077.0,0.0,0.0,-26000.0,26218.0,0.0,37039.0,0.0,1633.0,-190593.0,,-960.0,,-94888.0,-2.0,-36300.0,26002.0,,,,,
2443,2014年01月01日至2014年09月30日,,-1297,-1297,,,50155,1642,1690,7857,181,-30595,-39720,,-377.0,8148,-1019.0,,,1289,186442,-61876,,-217758,-91903,,4049,-8862,-142998,45333,-102478,-194381,-195400,-196697,30595,-181,-65447,-231730,,,0.0,-92738,240355,0.0,-59.0,0.0,117050.0,204710,,-20000.0,-845,-149882,25877,-151025,1524943,1373918,1373918,0.0,-129037.0,0.0,0.0,,,,,,33785.0,,37039.0,,,-35421.0,,-413.0,,-94888.0,,,,,,,,
2443,2014年01月01日至2014年06月30日,,-17340,-17340,,,31474,216,2206,2979,53,-19043,-62,0.0,-378.0,6021,23752.0,,,-18766,186084,-4516,,-17605,145405,,4998,1756,-7074,-3827,-4147,141258,165010,147670,19043,-53,-17758,148902,,,0.0,-3264,62,0.0,0.0,-41229.0,0.0,-9909,,,0,-132224,8921,15690,1524943,1540633,1540633,,-132224.0,,,,286.0,208.0,,,34735.0,,37039.0,,,-35421.0,,-1831.0,0.0,,,,,,,,,
2443,2014年01月01日至2014年03月31日,,-8231,-8231,,,15825,168,2202,459,0,-8767,-53,170.0,,9138,19142.0,,,-359,187349,50,,-5143,181897,,4816,-3380,-28975,59,-27480,154417,173559,165328,8767,0,0,174095,,,-1125.0,-2654,53,427.0,,0.0,1979.0,298,,0.0,0,8096,13018,195507,1524943,1720450,1720450,,6096.0,,,,,,,,,,37039.0,,,-35421.0,2000.0,,,,,,,,,,,
2443,2013年度,,782018,782018,,,83159,546,357,-360,5378,-14995,-746046,0.0,-3966.0,2678,-853136.0,,,42702,-2862,10165,,-39156,10544,,-81,580,-18686,2300,-134367,-123823,-976959,-194941,14995,-5378,-951,-186275,,,0.0,-73852,793772,,-187.0,-2042.0,0.0,729777,,0.0,-58500,-44623,19994,518873,1006070,1524943,1524943,-10.0,13887.0,0.0,2092.0,-265.0,-179622.0,-305.0,-118480.0,-338.0,14831.0,0.0,-4289.0,0.0,265.0,0.0,,-475.0,,0.0,0.0,0.0,0.0,,,,,
2443,2013年01月01日至2013年12月31日,,782018,782018,,,83159,972,357,-360,5378,-14995,-746046,0.0,-3966.0,2678,-853136.0,,,42702,-2862,10165,,-39156,10544,,-81,580,-18686,2300,-134367,-123823,-976959,-194941,14995,-5378,-951,-186275,,,0.0,-73852,793772,-475.0,-187.0,-2042.0,,729777,,0.0,-58500,-44623,19994,518873,1006070,1524943,1524943,-10.0,13887.0,0.0,2092.0,-265.0,-180048.0,-305.0,-118480.0,-338.0,14831.0,0.0,-4289.0,0.0,265.0,,,,,,,,,,,,,
2443,2013年01月01日至2013年09月30日,,-41098,-41098,,,60142,1189,352,-360,2382,-5187,-59598,,-529.0,2678,21295.0,,,-22046,-22788,-16791,,-55558,-117183,,4014,10097,-49349,268467,233229,116046,137341,96243,5187,-2382,-1088,97960,,,-38363.0,-47714,59786,1450.0,-414.0,-7507.0,,-30670,,0.0,-15000,-7968,17812,77134,1006070,1083204,1083204,-10.0,7042.0,20226.0,2092.0,,,,,,,,,,,,,,,,,,,,,,,
2443,2013年01月01日至2013年06月30日,,-52055,-52055,,,44191,934,-9047,0,2382,-5187,-15337,190.0,0.0,2678,20804.0,,,6098,-18592,-13092,,-87156,-112742,,647,8796,-6455,-1251,1737,-111005,-90201,-142256,5187,-2382,-99,-139550,,0.0,-144096.0,-2879,15716,1268.0,-414.0,,50.0,-130355,,0.0,-9000,-3326,29383,-243848,1006070,762222,762222,0.0,5674.0,,,,,,,,,,,,,,,,,,,,,,,,,
