公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 預付投資款增加,　　 取得不動產、廠房及設備,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 支付之利息,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　 取得採用權益法之投資,　　 現金增資,　　 取得無形資產,　　　　 非金融資產減損損失,　　 取得待出售非流動資產,　　 處分不動產、廠房及設備,　　　　 處分待出售非流動資產損失（利益）,　　 處分待出售非流動資產,　　 取得子公司股權,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 應付款項增加,　　 其他籌資活動,　　 其他應付款－關係人增加,　　 其他應付款－關係人減少
3519,2016年01月01日至2016年09月30日,,-438192,-438192,,,960759,3292,,187541,-1924,0,-1116,,0,,,,,92920,193871,34498,210721,16875,-7016,707250,1249119,,-18728,-436852,137880,3245,29885,,-32941,-316738,932381,2085238,1647046,1938,8127,1657111,,,,,,-389851,-416082,,9235801,-10620633,,,380000,-1017660,-181247,,-2433739,-42451,-1235161,1635716,400555,400555,0.0,,0.0,-628.0,,,42662.0,4305.0,119957.0,,,1152857.0,773.0,-761179.0,572957.0,,,0.0,-230000.0
3519,2016年01月01日至2016年06月30日,,542131,542131,,,636019,2202,,131535,-1619,0,-931,,0,,,,,-2893,-50986,13230,21341,-74711,-4649,541885,443217,,-38225,-707423,-271799,2194,11730,,-32316,-1035345,-592128,179383,721514,1618,128,723260,,,,,,-116491,-68609,,7344877,-8407268,,,380000,-741620,-127515,,-1781526,-35467,-1162342,1635716,473374,473374,0.0,,0.0,-378.0,,,1041.0,4305.0,119957.0,,,771511.0,494.0,-373798.0,301060.0,,,0.0,-230000.0
3519,2016年01月01日至2016年03月31日,,375785,375785,,,315674,1108,,69087,-922,0,0,,0,,,,,107015,-118828,-10667,-13446,-62482,-5252,250352,146692,,-42930,-208705,-165772,1459,87210,,-31837,-360354,-213662,175590,551375,921,0,552296,,,,,,-48043,86705,,2859177,-3781651,,,0,-90384,-66396,,-1309254,6918,-663335,1635716,972381,972381,0.0,,,-300.0,,,,4305.0,119957.0,,,389252.0,221.0,-80265.0,95356.0,,-230000.0,,
3519,2015年度,,-1563035,-1563035,,,1587522,4265,2639.0,273136,-4317,1664,6,,-12989,10946.0,,,,-123800,1456107,-139089,653267,-92780,-95,479697,2233307,,20319,143500,260872,5833,24350,,-9321,446626,2679933,4551856,2988821,4497,1312,2994630,,,,,,-186894,-271295,,13708528,-13933102,0.0,0.0,557030,-2715401,-273620,0.0,-1826549,-18259,878527,757189,1635716,1635716,9051.0,,600016.0,-1143.0,0.0,,52.0,0.0,0.0,0.0,,1871923.0,1073.0,-443506.0,360196.0,230000.0,,,
3519,2015年01月01日至2015年09月30日,,-1521068,-1521068,,,1198434,3180,,205714,-3736,1664,-16,,-1445,,,,,-142494,915112,-109357,306230,74231,1131,178986,1223839,,3396,230082,475171,4445,-40125,,8899,682271,1906110,3316109,1795041,3908,1362,1800311,,,,,,-155847,-203405,,10160115,-10597754,0.0,0.0,66750,-1905694,-206145,,-1882712,-37960,-323766,757189,433423,433423,6204.0,,600016.0,-1143.0,,,52.0,0.0,0.0,0.0,,1409999.0,403.0,-399408.0,352941.0,,,,
3519,2015年01月01日至2015年06月30日,,-960131,-960131,,,802381,2093,,139498,-2841,1664,-16,,-1445,,,,,-78403,1406486,-117130,285178,157963,1235,121847,1777176,,-19184,84348,299301,874,-51091,,11055,325569,2102745,3040688,2080557,3028,1362,2084947,,,,,,-43193,-62258,,6658451,-7824317,0.0,0.0,66750,-1275610,-139816,,-1914526,-18400,89763,757189,846952,846952,-3391.0,,600016.0,-1076.0,,,52.0,0.0,0.0,0.0,,937943.0,266.0,-221717.0,203676.0,,,,
3519,2015年01月01日至2015年03月31日,,-413191,-413191,,,405344,1017,,76222,-2160,1664,21,,-1445,,,,,-14530,859497,-58073,135971,215268,1378,-17671,1121840,,-7944,143767,269471,5509,-1304,,14575,424207,1546047,2029921,1616730,2118,970,1619818,,,,,,-6488,-58555,,3458184,-4122659,0.0,0.0,1750,-461450,-74045,,-1198220,-97545,265498,757189,1022687,1022687,3211.0,,0.0,-796.0,,,,0.0,0.0,,,483874.0,133.0,-173659.0,122388.0,,,,
3519,2014年度,,-2085746,-2085746,,,1619314,3839,-2639.0,277106,-3048,23025,0,0.0,-989,,2227348.0,,,22291,-793871,885,-667008,-441793,-3381,422071,-1460806,,23527,87154,5385,4640,-164486,709.0,-13566,-56637,-1517443,709905,-1375841,2857,-6007,-1378991,,0.0,-212180.0,408410.0,0.0,-112221,200820,,15549229,-15092603,1197043.0,-1745485.0,1598100,-1400065,-274707,0.0,920029,31589,-226553,983742,757189,757189,6992.0,0.0,950060.0,-4922.0,314350.0,0.0,3.0,-10602.0,121730.0,138457.0,,,,,,,,,
3519,2014年01月01日至2014年09月30日,,-1012276,-1012276,,,1219594,2771,,186004,-2450,23680,-1,0.0,-989,,1425280.0,,,21285,-540896,-118193,-1026269,-255204,-6606,133285,-1792598,,22102,-23933,22459,3561,-130279,236.0,-29526,-135380,-1927978,-502698,-1514974,2289,-31992,-1544677,,0.0,-146613.0,364740.0,,-105407,231825,,12178806,-11734462,1204515.0,-1752957.0,1501743,-1131758,-181251,0.0,1173153,-8628,-148327,983742,835415,835415,7273.0,0.0,950060.0,-2627.0,,,2.0,-10602.0,121730.0,138457.0,,,,,,,,,
3519,2014年01月01日至2014年06月30日,,-356048,-356048,,,809462,1758,,111922,-1798,7436,0,0.0,-159,,919823.0,,,10165,-135779,23014,-917987,-264449,-3711,175961,-1112786,,2495,-180387,-175761,2129,-98885,110.0,-49430,-499729,-1612515,-692692,-1048740,1787,-33478,-1080431,,0.0,-58494.0,339491.0,0.0,-78553,323182,,8622342,-8949937,1204515.0,-1752957.0,1448367,-861815,-110386,0.0,688646,-3075,-71678,983742,912064,912064,1804.0,0.0,950060.0,-992.0,,,,-10602.0,121730.0,138457.0,,,,,,,,,
