公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　　 持有供交易之金融資產（增加）減少,　　 退還（支付）之所得稅,　　　　 股利收入,　　 預付設備款增加,　　 收取之股利,　　 短期借款增加,　　 發放現金股利,　　 非控制權益變動,　　　　 除列按攤銷後成本衡量金融資產淨損失（利益）,　　 以成本衡量之金融資產減資退回股款,　　 取得投資性不動產,　　 預付設備款減少,　　　　 非金融資產減損損失,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 其他金融資產增加,　　 其他金融資產減少
2433,2016年01月01日至2016年09月30日,,413903,413903,,,904797,669,18297,17071,-241,84295,0.0,,,,,3479,0,-60149,-7571,-2311,-180858,-62321,-1959,-311690,,-6129,78570,5107,19021,,95392,-216298,669371,1083274,241,-17787,999371,,,0.0,-1190566,161670,0.0,456.0,-654,-480336,,-13479,0.0,-100013.0,0.0,,76808.0,,-513521,-665,4849,105798,110647,110647,0.0,0.0,-66357.0,-139219.0,,139219.0,,-476837.0,0.0,0.0,0.0,-51.0,0.0,,,885669.0,-1177.0,,409590.0
2433,2016年01月01日至2016年06月30日,,193979,193979,,,599629,436,11397,12239,-200,55762,0.0,,,,,4160,0,-74170,-16545,-8021,-135163,-38014,13074,-254679,,-3751,15804,-14825,7340,,4097,-250582,428681,622660,200,-12349,571457,,,0.0,-751206,108430,0.0,298.0,-384,-330223,,0,0.0,-309801.0,0.0,,53941.0,,-204479,-1860,34895,105798,140693,140693,0.0,0.0,-39054.0,,-96900.0,,51381.0,,0.0,0.0,0.0,-51.0,0.0,,,679263.0,-471.0,,409590.0
2433,2016年01月01日至2016年03月31日,,105828,105828,,,298471,214,5605,5778,-169,26903,,,,,,6982,0,-47533,-14265,2770,-83696,-9894,18481,-127155,,4909,40918,-27929,-939,,17178,-109977,226825,332653,169,-5390,323844,,,,-367521,49001,-494.0,,-384,90141,,-154180,119941.0,,,0.0,26849.0,,-7390,-6009,400586,105798,506384,506384,0.0,0.0,-3588.0,,,,,,0.0,,,-51.0,0.0,,,336802.0,219.0,,409590.0
2433,2015年度,,615330,615330,,,1101644,711,12278,26462,-1561,40143,-56792.0,,,,,-3720,22234,-48787,6063,-1124,-339133,-61468,9342,-416589,,6677,888,6845,14081,,3709,-412880,578027,1193357,1561,-26833,1085688,,-654.0,129014.0,-1421518,232845,-4457.0,,-473,-1212165,,-328657,309920.0,,250000.0,,63233.0,,132409,-85,5847,99951,105798,105798,-4.0,4.0,-82397.0,-131921.0,130694.0,131921.0,0.0,-462387.0,300300.0,-53.0,53.0,0.0,,,,990907.0,-24782.0,-409590.0,
2433,2015年01月01日至2015年09月30日,,502297,502297,,,811072,517,4603,19440,-1488,22896,-45992.0,,,,,-10111,3354,-85800,-15041,-2983,-254234,-53861,7609,-411063,,3467,10387,-9979,16252,,-1531,-412594,266476,768773,1488,-20097,667829,,0.0,104212.0,-991518,152453,-3188.0,,-473,-475846,,-440216,499754.0,0.0,250000.0,,38420.0,,185871,13323,391177,99951,491128,491128,-4.0,4.0,-82335.0,-131921.0,,131921.0,0.0,-462387.0,300300.0,-53.0,53.0,0.0,130694.0,,,679070.0,-21658.0,,
2433,2015年01月01日至2015年06月30日,,275146,275146,,,530259,333,2773,12329,-1436,14736,-45992.0,,,,,-1824,11326,-68190,-11886,-44,-126919,-26193,6295,-217431,,-2896,24202,-9163,10580,,634,-216797,296148,571294,1436,-12771,509168,,0.0,104212.0,-657462,106680,-3902.0,,-213,-319938,,-491755,250000.0,0.0,250000.0,,8110.0,,316655,-3329,502556,99951,602507,602507,-4.0,4.0,-50791.0,,0.0,,,,300300.0,-53.0,53.0,0.0,130694.0,,,512945.0,-22089.0,,
2433,2015年01月01日至2015年03月31日,,118643,118643,,,261680,165,1086,5914,-33,6978,,,,,,3778,-428,-42872,-14282,-2610,-75731,-8916,10280,-130777,,-14243,36337,-30378,-189,,-31007,-161784,114002,232645,33,-6088,218026,,0.0,,-319019,70533,-2513.0,,-213,-120518,,-156249,349928.0,,0.0,-250000.0,2364.0,,246343,-327,343524,99951,443475,443475,-4.0,4.0,-8564.0,,0.0,,,,300300.0,,,,130694.0,,,275786.0,-22534.0,,
2433,2014年度,,577154,577154,,,934215,792,3968,17285,-100,29411,-74270.0,,767737.0,,,-1783,16091,-40023,-8416,9267,-331511,-68485,8152,-416708,,1674,-39248,-6433,-551,695.0,-43863,-460571,307166,884320,100,-16462,787893,,-450662.0,140278.0,-1191233,148384,-3363.0,0.0,-63,-1364001,,0,199998.0,0.0,250000.0,0.0,3628.0,0.0,547377,32,-28699,128650,99951,99951,0.0,0.0,-80065.0,-139411.0,-130694.0,139411.0,524231.0,-577984.0,147504.0,-4153.0,4616.0,-20675.0,,0.0,,,,,
2433,2014年01月01日至2014年09月30日,,476053,476053,,,683693,604,4742,11727,-79,22966,-69315.0,0.0,510774.0,,,-3646,7191,-72357,3664,11927,-221636,-55463,9222,-321098,,135,49992,-22551,4765,513.0,32854,-288244,222530,698583,79,-11694,606997,,-310399.0,121443.0,-906679,104901,-911.0,0.0,-32,-849680,,0,,-49847.0,600000.0,,5486.0,0.0,203960,14,-38709,128650,89941,89941,0.0,0.0,-79971.0,-139411.0,0.0,139411.0,78801.0,-577984.0,147504.0,-4153.0,4616.0,-20559.0,18529.0,,,,,,
2433,2014年01月01日至2014年06月30日,,243409,243409,,,446598,408,3021,6967,-48,16356,-64921.0,0.0,404228.0,,,-5506,4820,-62056,-31695,4967,-148724,-35234,6044,-267384,,-6144,-243,-20585,190,335.0,-26447,-293831,110397,353806,48,-7244,296155,,-226725.0,105427.0,-584201,66150,-222.0,0.0,-32,-666062,,-47335,,-99831.0,400000.0,0.0,5295.0,0.0,405633,-87,35639,128650,164289,164289,0.0,0.0,-50455.0,,-10516.0,,,,147504.0,-4153.0,4616.0,-20559.0,,,,,,,
