公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 應付公司債匯率影響數,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資性不動產損失（利益）,　　　　 處分投資損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 遞延貸項增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 處分投資性不動產,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 發行公司債,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金減少,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金增加,　　　 不影響現金流量之收益費損項目,　　　　 買回應付公司債損失（利益）,　　　　 逾期未領股利及董監酬勞轉列其他收入,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 存入保證金增加,　　 預付設備款增加,　　　　　 持有供交易之金融負債增加（減少）,　　 預付投資款減少,　　　　 其他項目,　　 預付設備款減少
1802,2015年01月01日至2015年09月30日,,-3684872,-3684872,,,4394269,4915,-37430.0,643514,-73396,-13997.0,118238,244097,9079,0.0,0,5289289.0,,,-15478.0,334298,-481311,922338,-543540,109946,40117,8256,-526355,-151729,,657980,633605,627469,-172841,176512,-23049.0,-29056,0,1870620,1718891,7008180,3323308,73541,13997.0,-667065,-103928,2639853,,0,0.0,-2105273,12780,57584,-72516.0,0.0,-29852.0,-2137277,,0.0,-1373573.0,1700000.0,0.0,0.0,3236940,-7182818,-181323.0,-2798.0,78966.0,-3724606,-21910,-3243940,6510559,3266619,3266619,,,,,,,,,,,,
1802,2015年01月01日至2015年06月30日,,-2092678,-2092678,,,2887462,3377,-31326.0,422729,-47195,,-74643,204873,640,,0,3365917.0,,,-39813.0,434981,116663,946095,-558526,96111,-10572,-73694,-513931,397314,,418338,146411,-267504,-9815,41464,-21334.0,-19076,1831,290315,687629,4053546,1960868,47219,,-471942,-96526,1439619,,0,0.0,-1361437,10591,0,-55942.0,,-24385.0,-1464130,,,-333708.0,1600000.0,0.0,,1400000,-5516971,-181401.0,-4369.0,78966.0,-2957483,105534,-2876460,6510559,3634099,3634099,-32957.0,,,,,,,,,,,
1802,2015年01月01日至2015年03月31日,,-1350186,-1350186,,,1449245,1723,-43858.0,213408,-24858,,-32919,221345,-2043,,0,1782043.0,,,,558918,43102,408289,-718098,-379520,38827,-28798,-3708,-80988,,417776,265529,26057,38506,39613,-19573.0,-10820,0,757088,676100,2458143,1107957,24715,,-221612,-51601,859459,,0,0.0,-1057233,4123,57495,,,0.0,-995615,,,-945768.0,600000.0,0.0,,0,-1862354,-181631.0,-14.0,48625.0,-2341142,104085,-2373213,6510559,4137346,4137346,,,,,,,,,,,,
1802,2014年度,,-166381,-166381,,,5276723,9890,-85584.0,754423,-87605,-9661.0,190945,1170515,119602,-4090563.0,-147755,,,,,113964,-1422079,497808,1174682,-165168,-29409,-132985,-14200,22613,,56404,1669360,-790745,51689,-14035,,161373,-297,1127874,1150487,4250239,4083858,87460,9661.0,-574405,-109424,3497150,,90689,-39433.0,-7185461,46353,0,-1814.0,4198537.0,-3594.0,-2904211,,1615323.0,,600000.0,2982226.0,-8047614.0,10232147,-5848845,,-238484.0,97638.0,1431523,-452538,1571924,4938635,6510559,6510559,-9488.0,,0.0,-1178.0,3099752.0,-5875.0,39132.0,,,,,
1802,2014年01月01日至2014年09月30日,,-812074,-812074,,,3960634,7865,-120887.0,732989,-61330,-9661.0,74047,1035524,-4831,-2122247.0,-147755,3344348.0,,,0.0,486002,-1618142,-89430,748223,-302031,-18267,-105530,528695,-370480,,468608,802268,-123035,78628,-18147,-5229.0,85167,7169,1295429,924949,4269297,3457223,61330,9661.0,-559355,-85971,2882888,,90689,-39434.0,-5876223,42964,40715,-1803.0,2207824.0,119004.0,-3416264,,1119573.0,0.0,600000.0,2982226.0,-8047614.0,12228219,-7512777,-136137.0,-238252.0,72638.0,1067876,-99607,434893,4938635,5373528,5373528,,,,,,,,,,,,
1802,2014年01月01日至2014年06月30日,,-1925435,-1925435,,,2583107,5408,-126012.0,502065,-46618,,-9184,795980,-2454,,-147755,3554537.0,,,0.0,841780,-1023186,-7983,183051,-164885,11725,-17193,536299,359608,,754144,408390,-138263,-111979,-6042,-3508.0,-10480,7032,899294,1258902,4813439,2888004,45336,,-346934,-68907,2517499,,90689,-39434.0,-4321310,18388,41551,-1339.0,,123223.0,-4088232,,,-715131.0,0.0,2982226.0,,2113285,-712395,-122427.0,-1240.0,0.0,3544318,42484,2016069,4938635,6954704,6954704,0.0,,,,,,,,,,,
1802,2014年01月01日至2014年03月31日,,-1453153,-1453153,,,1305704,2714,19743.0,235752,-21751,,205639,429775,-1842,,-133474,2042260.0,,,,515045,-276394,-47440,-984277,-352468,8550,-4910,-16246,-1158140,,356582,486907,26714,200522,-2854,776.0,-10211,7,1058443,-99697,1942563,489410,20085,,-158914,-38584,311997,,15761,-39434.0,-1696958,10038,42563,,,130434.0,-1537596,,,-635662.0,0.0,2982226.0,,2113285,-204012,-122627.0,-767.0,0.0,4132443,-83524,2823320,4938635,7761955,7761955,,,,,,,,,,,,
1802,2013年度,,-420815,-420815,,,5717680,8396,-29745.0,666587,-89944,-10463.0,217893,346152,13,0.0,-25269,,,,,-1274405,-705662,-938530,-925001,-1399702,-14703,19631,-1035030,-6273402,,94451,176869,795662,383313,-29764,,447560,-1,1868826,-4404576,2417114,1996299,90260,10463.0,-343567,-92351,1661104,,125944,0.0,-9958164,30957,22164,-4412.0,0.0,-110297.0,-9893808,,428221.0,,0.0,0.0,-941679.0,9657204,-2619145,,-236794.0,24500.0,6338287,-214791,-2109208,7047843,4938635,4938635,0.0,,20390.0,0.0,6821690.0,736.0,25980.0,,,,,
1802,2013年01月01日至2013年12月31日,,-420815,-420815,,,5717680,8396,,666587,-89944,-10463.0,217893,346152,13,,-25269,,,,,-1274405,-705662,-938530,-925001,-1399702,-14703,19631,-1035030,-6273402,,94451,176869,795662,383313,-29764,,447560,-1,1839081,-4434321,2417114,1996299,90260,10463.0,-343567,-92351,1661104,,125944,0.0,-9958164,30957,22164,-4412.0,,-110297.0,-9893808,,428221.0,,0.0,,-941679.0,9657204,-2619145,0.0,-236794.0,24500.0,6338287,-214791,-2109208,7047843,4938635,4938635,,,20390.0,,6851435.0,736.0,25980.0,,-29745.0,0.0,,
1802,2013年01月01日至2013年09月30日,,-2331763,-2331763,,,4097049,6685,-29656.0,545983,-72236,-10463.0,156395,271418,-2326,0.0,0,,,,,-790073,-441398,52418,-1814375,-1345206,-5270,-90565,-1410,-4435879,,335311,1398843,984819,534890,126974,,302326,-298,3684966,-750913,4211936,1880173,72552,10463.0,-293796,-91318,1578074,,0,0.0,-7605220,26453,47600,-10417.0,0.0,-107521.0,-7649105,,0.0,-1499686.0,0.0,0.0,0.0,8521033,-1840098,-97104.0,-234945.0,24500.0,4873700,-114378,-1311709,7047843,5736134,5736134,,,,,4962849.0,2101.0,,,,,,
1802,2013年01月01日至2013年06月30日,,-1925144,-1925144,,,2616339,4327,-30545.0,356381,-50658,,278453,220603,-2564,,0,,,,,-200374,-292120,70504,-865426,-976651,-6014,-94560,-1255,-2365896,,92454,-187904,924092,241389,120980,,303565,-298,1495678,-870218,2522118,596974,50974,,-188541,-89770,369637,,0,0.0,-4904709,15544,50028,-9250.0,,-94990.0,-5159312,,,-1369915.0,,0.0,,7122260,-1621429,-97103.0,-50.0,24500.0,4058263,-144327,-875739,7047843,6172104,6172104,,,,,3392336.0,1400.0,,-215935.0,,,,
1802,2013年01月01日至2013年03月31日,,-1032202,-1032202,,,1263768,2082,-24271.0,162049,-36516,,225186,105718,-548,,0,,,,,109346,-478837,56954,-456024,-809938,-5664,-48680,-406,-1633249,,17203,552542,-392590,165219,67247,,242058,-298,652077,-981172,716296,-315906,36832,,-117455,-92956,-489485,,0,0.0,-2007859,11262,52308,-996.0,,0.0,-1945285,,,-933196.0,,0.0,,3103850,-318226,-96853.0,0.0,,1755575,-76987,-756182,7047843,6291661,6291661,,,,,1697468.0,696.0,,,,,,
