公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分無活絡市場之債券投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 其他應收款增加,　　 其他金融資產增加,　　 預付設備款增加,　　 其他預付款項增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 其他應付款－關係人增加,　　 其他應付款－關係人減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 利息收入,　　 其他應收款減少,　　 發行公司債,　　 取得無活絡市場之債券投資,　　 短期借款減少,　　 現金增資,　　 合併發行新股追溯調整,　　　 收益費損項目,　　　　 收益費損項目合計,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 其他金融資產減少
1262,2016年01月01日至2016年09月30日,,1532822,1532822,,,374271,74,,5617,,0.0,,4211,,,,,-139805,-112,-41650,5029,-457.0,-176995,,-19564,-1166,-14472,4557,-30645,-207640,157872,1690694,13816,-5845,-223435,1475230,,,-261903,,-72,,-102167.0,-343455,,-707597,,,,-152263,,,0.0,-177814,-60730,529089,1049969,1579058,1579058,-18661.0,,,,-25551.0,,,,365512.0,-1254958.0,1254958.0,
1262,2016年01月01日至2016年06月30日,,1005594,1005594,,,250586,50,,4376,,,,2858,,,,,-104831,-65,-34287,-107142,-844.0,-247169,,-36078,-1482,-2992,3576,-36976,-284145,-38687,966907,12694,-4608,-141511,833482,,,-121950,,-57,,,-198800,,-305181,,,,-152263,,,,-177814,-38741,311746,1049969,1361715,1361715,-12412.0,,,,-25551.0,,,,245458.0,-1254958.0,1254958.0,15626.0
1262,2016年01月01日至2016年03月31日,,463963,463963,,,125676,1470,,3081,,,,0,,,,,70519,-88,-45144,-25330,-744.0,-787,,-13672,12038,-29295,1909,-29020,-29807,94039,558002,1344,-3283,-74755,481308,,,-76532,,-3,,-1313.0,-48958,,-126806,,,,-152263,,,,-153271,-19061,182170,1049969,1232139,1232139,-6381.0,,,,-1008.0,,,,123846.0,,,
1262,2015年度,,1836564,1836564,,,384760,5905,,41433,,2934.0,,3094,,,,,54350,8437,57599,108493,,228879,,-32186,2319,59153,854,30140,259019,659619,2496183,39419,-42765,-133334,2359503,,,-731642,0.0,-12,,11372.0,-1001567,,-1721849,,,,-611620,,,-371250.0,-1022889,-36471,-421706,1471675,1049969,1049969,-37526.0,,,,-40019.0,0.0,,,400600.0,-2548415.0,2548415.0,
1262,2015年01月01日至2015年09月30日,,1358616,1358616,,,273990,4425,,34711,,2922.0,,2809,,,,,52788,-809,-9425,38841,-513.0,80882,,-8520,7173,21680,-134,20199,101081,390180,1748796,22619,-35521,-62631,1673263,,,-499184,0.0,3,,4152.0,-899837,,-1394866,,,,-279805,,,-371250.0,-607964,-9504,-339071,1471675,1132604,1132604,-29758.0,,,,43091.0,0.0,,,289099.0,,,
1262,2015年01月01日至2015年06月30日,,881276,881276,,,171428,2947,,26336,,0.0,,2523,,,,,35818,-587,-33739,17619,-624.0,18487,,-21475,-84,3167,-1414,-19806,-1319,181502,1062778,21042,-27111,0,1056709,,,-179517,,-16,,3878.0,-815826,,-991481,,,,-279805,,,,-322542,-33693,-291007,1471675,1180668,1180668,-20413.0,,,,-42737.0,0.0,,,182821.0,,,
1262,2015年01月01日至2015年03月31日,,412547,412547,,,73872,1488,,15352,,0.0,,1605,,,,,193222,-514,-28479,-4723,-672.0,158834,,-91522,189,-10181,2683,-98831,60003,141503,554050,1559,-15599,0,540010,,,-171944,,-13,,30422.0,-668668,,-810203,,,,-51363,,,,-46253,-19423,-335869,1471675,1135806,1135806,-10817.0,,,,5110.0,0.0,,,81500.0,,,
1262,2014年度,,1810392,1810392,,,265387,5717,0.0,69168,,932.0,0.0,6168,334358.0,,,0.0,-70816,10398,-20029,-95595,0.0,-176042,,110262,2504,-23636,-130,89000,-87042,247316,2057708,9598,-69701,-405917,1591688,,,-1362142,88.0,426,,-19435.0,-511481,,-3126004,,,,-394707,,0.0,-337500.0,1227621,96988,-209707,1681382,1471675,1471675,-13014.0,,0.0,-1233460.0,75828.0,1884000.0,0.0,,,,,
1262,2014年01月01日至2014年09月30日,,1356629,1356629,,,194482,4261,0.0,53936,,323.0,0.0,4597,250964.0,,,0.0,-82215,10472,-55677,-76916,-5200.0,-209536,,-49773,1797,-45564,-2628,-96168,-305704,-54740,1301889,7489,-54210,-285572,969596,,,-1195642,88.0,400,,6177.0,-471140,,-1660117,,,,-196727,,0.0,-337500.0,1457501,-559,766421,1681382,2447803,2447803,-6635.0,,0.0,,107728.0,1884000.0,0.0,,,,,
1262,2014年01月01日至2014年06月30日,,904560,904560,,,128137,2849,0.0,37068,,411.0,0.0,3074,167121.0,,,0.0,-32124,11704,-47846,-143289,-1386.0,-212941,,-214616,1017,-55177,-2641,-271417,-484358,-317237,587323,5164,-37389,-173145,381953,,,-882140,,416,,57797.0,-307988,,-1131915,,,,-196727,,0.0,,1698445,-61838,886645,1681382,2568027,2568027,-4418.0,,0.0,0.0,11172.0,1884000.0,0.0,,,,,
