公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付建造合約款（增加）減少,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得避險之衍生金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 應付款項減少,　　 應付租賃款減少,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 股利收入,　　　　 處分投資損失（利益）,　　 處分以成本衡量之金融資產,　　 處分避險之衍生金融資產,　　 其他投資活動,　　 應付短期票券增加,　　 應付租賃款增加,　　 發放現金股利,　　　　 金融資產減損損失,　　　　 金融資產減損迴轉利益,　　 以成本衡量之金融資產減資退回股款,　　 處分子公司,　　 短期借款減少,　　 原始認列時指定為透過損益按公允價值衡量之金融負債增加,　　　　　 應付建造合約款增加（減少）,　　 存出保證金減少,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　 呆帳費用提列（轉列收入）數,　　 取得採用權益法之投資,　　 其他非流動資產增加,　　 收取之股利,　　 存入保證金減少,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 其他非流動資產減少,　　　　　 應付票據增加（減少）,　　 處分備供出售金融資產,　　 其他應收款減少,　　 庫藏股票買回成本,　　 備供出售金融資產減資退回股款,　　 取得以成本衡量之金融資產,　　 其他應收款增加,　　 處分投資性不動產
3703,2016年01月01日至2016年09月30日,,-38358,-38358,,,541491,18748,,113430,-17633,9917,-26656,-267918,,,,-135006,432828,-708415,1055,-973270,95589,-259991,,-1547210,,-34157.0,,-306847,-16822,60799,-51881,,-389979,-1937189,-1745254,-1783612,15706,-256313,-112965,-2137184,,,-763980.0,-174374,43293,-120224,-37270,535567,,15362300.0,-3608000.0,7270000,-6949834.0,,,,161700.0,1685076,-54591,28868,2423182,2452050,2452050,-179444.0,0.0,,833791.0,,4208000.0,,-411608.0,0.0,0.0,,,-13996900.0,,-38209.0,,,0.0,-245000.0,-60043.0,179444.0,-2613.0,,191935.0,-2862.0,,,0.0,1312767.0,-347969.0,,-393200.0,-39637.0,
3703,2016年01月01日至2016年06月30日,,-289414,-289414,,,292634,12499,,74397,-10647,789,-7853,-231798,,,,-57788,-101575,-215877,64220,-861886,84582,-204633,,-1292957,,315681.0,,-522474,-14065,280975,-9544,,741278,-551679,-497013,-786427,9040,-178311,-69150,-1024848,,,-598716.0,-168629,21525,-78044,-41521,643118,,10006900.0,-1476000.0,3850000,-4389917.0,7034.0,,,,575048,-29145,164173,2423182,2587355,2587355,-75355.0,0.0,,664518.0,,2008000.0,,,,,,,-9083000.0,,691934.0,,,,,-28874.0,36769.0,0.0,,54666.0,-1229.0,,,0.0,1312767.0,-347969.0,,-393200.0,-83477.0,
3703,2016年01月01日至2016年03月31日,,311,311,,,216714,6249,,35513,-4693,-6257,-7979,248,,,,-105412,-235100,-344128,31226,-455250,94709,-91983,,-1105938,,320194.0,,-369152,-14297,9873,17237,,265643,-840295,-600500,-600189,3239,-85483,-27802,-710235,,,-439820.0,-152709,8358,-38048,-27997,762951,,2748900.0,-700000.0,2050000,-2075667.0,2520.0,,,,82284,-18472,116528,2423182,2539710,2539710,,,,459738.0,,910000.0,,,,,,,-2505500.0,,301788.0,,,,,0.0,,0.0,,239795.0,0.0,33863.0,,,1312766.0,-347969.0,,-393200.0,,
3703,2015年度,,686186,686186,,,318386,17649,0.0,206699,-21075,252522,-15333,-1690011,,,,-63113,-441457,1066748,-31148,-3384990,-359743,-160065,,-3373768,,1122617.0,,-113551,-16786,794131,-19452,,1679051,-1694717,-2729066,-2042880,16749,-367074,-165702,-2558907,,,-977989.0,-204729,17115,-179445,-238818,2450731,,23305547.0,-6350000.0,9396217,-9760834.0,,,,0.0,934516,15084,841424,1581758,2423182,2423182,-88199.0,-8576.0,,815155.0,,6350000.0,,0.0,0.0,,0.0,,-21684796.0,,-74226.0,,0.0,-6411.0,0.0,-235263.0,88199.0,-9794.0,,-1034349.0,-13682.0,,,14330.0,,-311824.0,3384315.0,-500.0,-49246.0,17607.0
3703,2015年01月01日至2015年09月30日,,380726,380726,,,187824,13236,0.0,159472,-137212,17193,-9372,6857,,,,-46131,213395,-725828,-191678,-2930871,-483898,-270606,,-4435617,,189978.0,,-157830,-9636,671340,50340,,555946,-3879671,-3590446,-3209720,207632,-281022,-145569,-3428679,,,-295642.0,-155251,16955,-78530,-158477,2799953,,18523038.0,-6050000.0,6978666,-7048167.0,0.0,,,0.0,1084093,19350,474717,1581758,2056475,2056475,-88196.0,-1943.0,,108457.0,,6020000.0,,0.0,1065272.0,-917495.0,,,-17279649.0,,-188467.0,,0.0,-6411.0,0.0,-229783.0,88196.0,-7280.0,,289225.0,221.0,,,3398645.0,105383.0,-52515.0,,,,
3703,2015年01月01日至2015年06月30日,,510444,510444,,,128362,8825,0.0,106124,-11348,-10829,-9374,4704,,,,-20287,116848,-256134,58881,344409,-224429,-240346,0.0,-221058,,,,-280016,-4779,-2515543,52700,,-3066062,-3287120,-3160795,-2650351,9438,-184263,-110024,-2935200,,,-18292.0,-130412,16086,-42824,-33379,-244869,,15035410.0,-4550000.0,6149412,-6354917.0,0.0,,,0.0,3261956,-29436,52451,1581758,1634209,1634209,-88196.0,-1943.0,,7124.0,,5050000.0,,,,,,,-12062897.0,,-343654.0,,,,,-145698.0,88196.0,-5052.0,,126325.0,-4417.0,,29647.0,14330.0,,,,,,
3703,2015年01月01日至2015年03月31日,,528283,528283,,,76237,4412,0.0,49630,-5605,-8352,-35,-9838,,,,21139,-63328,-317328,55575,808721,-128935,-251234,,124610,,-148502.0,,-224780,-2201,-2792343,13836,,-3020396,-2895786,-2789337,-2261054,5497,-87811,-97149,-2440517,,,,-115849,632,-21428,-3259,-208035,,7671212.0,-2050000.0,2296750,-3100792.0,0.0,,,0.0,2491555,-10276,-167273,1581758,1414485,1414485,,,,7124.0,,2750000.0,,,,,,,-5069400.0,,141010.0,,,,,-75255.0,,-6215.0,,106449.0,-7416.0,0.0,,,,,,,,
3703,2014年度,,-825208,-825208,,,341519,14668,55.0,227597,-32883,202937,-21714,12076,3057481.0,,,9167,577711,-530124,-81608,885015,86377,814751,738.0,1762027,,29788.0,,81114,-13732,1258970,13801,2294.0,1513420,3275447,6332928,5507720,36001,-352698,-120811,5070212,,-7367.0,,-498372,26001,-75751,-183487,-750131,,,-1450000.0,805291,,0.0,,,-126966.0,-4645238,15953,-309204,1444219,1135015,1135015,-88196.0,-302.0,,66920.0,,0.0,,-420579.0,2259009.0,0.0,14500.0,,-3447656.0,,141185.0,,0.0,142715.0,-6298.0,-174473.0,88196.0,-5328.0,,,,,,,,,,,,
3703,2014年01月01日至2014年09月30日,,1280091,1280091,,,201449,11001,55.0,177499,-18738,-73769,-15250,4972,287219.0,,,90071,589607,-895398,53216,515591,111362,45744,-128860.0,381333,,-264261.0,,-166551,-4713,1605120,-43319,-852.0,1253794,1635127,1922346,3202437,18738,-177499,-175877,2867799,,0.0,,-369932,21806,-59231,-14307,-378705,,15472738.0,-8200000.0,5876000,-4801529.0,3428.0,0.0,,-126978.0,-3293507,-23310,-827723,1444219,616496,616496,,,,42959.0,,6750000.0,0.0,-420579.0,,,,,-17846587.0,,128370.0,,0.0,,,,,,,,,,,,,,,,,
3703,2014年01月01日至2014年06月30日,,952013,952013,,,136922,7334,55.0,134377,-12193,47987,-4713,-6029,215544.0,,,-86745,944690,-716787,104686,320639,-17808,57851,-50509.0,556017,,-99352.0,,-36817,-4015,1491164,-1862,-3949.0,1421690,1977707,2193251,3145264,14498,-179623,-162560,2817579,,,,-192309,7392,-37939,-31928,-207991,,10573558.0,-6200000.0,2963000,-2399917.0,1642.0,,,-126865.0,-2990182,-17235,-397829,1444219,1046390,1046390,-88196.0,,,46504.0,,4700000.0,,0.0,,,,,-12501600.0,,76521.0,289.0,,,,,,,,,,,,,,,,,,
