公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產增加,　　 其他金融資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 庫藏股票買回成本,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 退還（支付）之所得稅,　　 存出保證金增加,　　 其他非流動資產減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 其他非流動資產增加,　　 處分採用權益法之投資,　　 支付之股利
6243,2015年01月01日至2015年09月30日,,-101561,-101561,,,6713,4680,-103,0,-2267,0,1518,1516,12057.0,,,-123391,179255,21509,-1770,75603,,-27059,473,-274.0,-5246,-32106,43497,55554,-46007,2290,0.0,0,-43717,,-332377,297901,-8688,0.0,8.0,-1698,-11.0,0,-44865,,0.0,0.0,135.0,0,135,-88447,392632,304185,304185,,,,,,,,,
6243,2015年01月01日至2015年06月30日,,-99128,-99128,,,4377,3241,-130,0,-1914,0,1040,-1733,4881.0,,,-91216,181686,12290,4473,107233,,-37314,-2243,-181.0,-3282,-43020,64213,69094,-30034,1936,0.0,0,-28098,,-190336,218318,-6951,,13.0,-1698,-5.0,0,19341,,0.0,0.0,135.0,0,135,-8622,392632,384010,384010,0.0,0.0,0.0,,,,,,
6243,2015年01月01日至2015年03月31日,,-48946,-48946,,,2150,1663,-55,0,-1528,0,516,619,3365.0,,,17559,22394,7910,3333,51196,,-53841,-1494,-90.0,-3826,-59251,-8055,-4690,-53636,1550,0.0,0,-52086,,-159472,122855,-8337,,,0,-5.0,0,-44950,,,0.0,,0,0,-97036,392632,295596,295596,0.0,9.0,,,,,,,
6243,2014年01月01日至2014年09月30日,,-73323,-73323,,,5369,7539,-4881,237,-1910,-40,1625,5422,13361.0,,,311,13188,-24151,3160,-7492,,24854,-1007,-289.0,-1510,22048,14556,27917,-45406,2002,40.0,-237,-43601,,-462125,250241,-3227,0.0,-17.0,-6928,-35199.0,0,-257255,,60050.0,-40765.0,22581.0,0,41866,-258990,598282,339292,339292,,,,,,,,,
6243,2014年01月01日至2014年06月30日,,-52748,-52748,,,3655,5526,-1016,106,-1364,-40,1206,15549,23622.0,,,-3843,15641,-6353,10282,15727,,6377,-1674,-193.0,-2703,1807,17534,41156,-11592,1443,40.0,-106,-10215,,-393990,148132,0,,344.0,-3658,-35194.0,0,-284366,,29765.0,-3000.0,22581.0,-184,49162,-245419,598282,352863,352863,0.0,0.0,0.0,,,,,,
6243,2014年01月01日至2014年03月31日,,-8221,-8221,,,1979,2758,11,50,-580,-40,734,836,5748.0,,,-25145,38046,-4483,-3972,4446,,-6089,-842,-98.0,-3546,-10575,-6129,-381,-8602,639,40.0,-50,-7973,,-294523,83933,0,,,-3657,-5.0,3,-213882,,,-500.0,,0,-500,-222355,598282,375927,375927,0.0,367.0,,,,,,,
6243,2013年01月01日至2013年12月31日,,-70845,-70845,,,9136,10183,2518,211,-2958,-544,-2734,52263,,,,19138,-6270,31551,3645,48064,,-17914,-6450,,444,-24222,23842,91917,21072,2233,544.0,-211,23638,,-324877,274654,-3693,224.0,789.0,-12678,-13724.0,698,-78607,,1000.0,,-27062.0,-475,-26537,-81506,679788,598282,598282,0.0,,,,68075.0,-302.0,,0.0,
6243,2013年01月01日至2013年09月30日,,-44708,-44708,,,6411,8151,1236,158,-2281,-482,1982,20930,,,,-3194,25788,14629,-3791,33432,,-10662,-7270,,-4372,-21978,11454,47559,2851,2397,,-158,5572,,-224691,199317,-2494,219.0,497.0,-10739,0.0,2077,-35814,,2000.0,,-27062.0,-475,-25537,-55779,679788,624009,624009,,,,,36105.0,326.0,0.0,,482.0
6243,2013年01月01日至2013年06月30日,,-27552,-27552,,,4232,5422,1203,100,-1545,-62,1420,13214,,,,18898,26554,17157,-4847,57762,,-10391,-2211,,1691,-10693,47069,71053,43501,1512,62.0,-100,44830,,-191127,87125,-1728,,0.0,-4837,-297.0,1087,-107929,,2000.0,,-27062.0,-475,-25537,-88636,679788,591152,591152,-145.0,-5.0,,,23984.0,218.0,1853.0,,
6243,2013年01月01日至2013年03月31日,,-9902,-9902,,,2498,5077,1518,48,-714,-62,718,4609,,,,18390,24124,2227,-955,43786,,-10279,-3011,,182,-12999,30787,44479,34577,660,62.0,-48,35180,,-162112,10124,-114,,,-2005,0.0,1087,-156743,,,0.0,,-475,-475,-122038,679788,557750,557750,-71.0,-5.0,-3718.0,,13692.0,109.0,0.0,,
6243,2012年01月01日至2012年12月31日,,-128457,-128457,,,11422,5465,2576,113,-3195,-486,8087,47560,,,,-4824,-25223,16185,3152,-10710,,-6753,-5571,,-15483,-28989,-39699,31843,-96614,3264,486.0,-113,-97803,,-287763,345684,-5741,0.0,593.0,-10498,-30011.0,19151,49548,,10000.0,,0.0,8528,18528,-29727,709515,679788,679788,-4826.0,,,,71542.0,-1182.0,,18133.0,
6243,2012年01月01日至2012年09月30日,,-65961,-65961,,,8726,3317,1464,72,-2555,-486,5017,26731,,,,-18451,-45993,-18250,-5697,-88391,,9615,-120,,-9014,259,-88132,-45846,-111807,2666,,-59,-108714,,-277974,271048,-2001,0.0,283.0,-10066,-1075.0,0,-21845,,8000.0,,0.0,9210,17210,-113349,709515,596166,596166,,,,,42286.0,-222.0,-2060.0,,486.0
6243,2012年01月01日至2012年06月30日,,-41095,-41095,,,5882,7840,1313,41,-1735,-55,3591,11549,,,,-38002,-24197,-32671,-2751,-97621,,67264,5938,,-6923,66137,-31484,-3058,-44153,1842,55.0,-33,-42549,,-215983,167863,-2879,,280.0,-4046,-1041.0,-6,-57045,,5000.0,,0.0,9210,14210,-85384,709515,624131,624131,-260.0,0.0,,,28426.0,-142.0,-1233.0,,
6243,2012年01月01日至2012年03月31日,,-18115,-18115,,,3044,3946,1253,5,-921,-55,1402,1957,,,,-29045,9303,-1049,-830,-21621,,26850,-2858,,-4588,19344,-2277,8354,-9761,1053,55.0,-5,-8840,,-61000,60211,-1173,,,0,,-1023,-7650,,,,,9212,9212,-7278,715591,708313,708313,-182.0,312.0,-4977.0,,10631.0,-60.0,,,
