公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 保證責任準備淨變動,　　　　 處分及報廢不動產及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 存放央行及拆借金融同業（增加）減少,　　　　　 透過損益按公允價值衡量之金融資產（增加）減少,　　　　　 應收款項（增加）減少,　　　　　 貼現及放款（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 央行及銀行同業存款增加（減少）,　　　　　 透過損益按公允價值衡量之金融負債增加（減少）,　　　　　 附買回票券及債券負債增加（減少）,　　　　　 應付款項增加（減少）,　　　　　 存款及匯款增加（減少）,　　　　　 其他金融負債增加（減少）,　　　　　 員工福利負債準備增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 取得持有至到期日金融資產,　　 處分持有至到期日金融資產,　　 持有至到期日金融資產到期還本,　　 取得不動產及設備,　　 取得無形資產,　　 其他金融資產增加,　　 其他資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 存入保證金增加,　　 其他負債增加,　　 其他負債減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 符合國際會計準則第七號現金及約當現金定義之存放央行及拆借銀行同業,　　 符合國際會計準則第七號現金及約當現金定義之附賣回票券及債券投資,　　　　 股利收入,　　 收取之股利,　　 其他資產減少,　　 存入保證金減少,　　 無活絡市場之債務商品投資到期還本,　　 以成本衡量之金融資產減資退回股款,　　 發行金融債券,　　 發放現金股利,　　 處分不動產及設備,　　　　　 備供出售金融資產（增加）減少,　　　　　 持有至到期日金融資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　 其他金融資產減少,　　 取得以成本衡量之金融資產,　　　　 非金融資產減損迴轉利益,　　　 收益費損項目,　　　　 收益費損項目合計
2836,2015年01月01日至2015年06月30日,,348530,348530,,,30472,10383,239816,-87192,1144820,-2375747,0,,-30460,15591,,,,-478503,4526431,-56921,5234054,89830,,-559528,,-14494,-265584,-6688057,-2008,9061,-7520610,-7430780,-8535924,-8187394,2341122,-1180381,-27143,-7045887,,,,,,,,,-21645,-20750,-4143,-30789,-77327,,0.0,,-14862,-16867,-23834,-7163915,33768670,26604755,3111857,11883201,11609697,-52827.0,7909.0,,-2005.0,,,0.0,,,-3617208.0,-5034882.0,-483141.0,0.0,,,,-1105144.0
2836,2015年01月01日至2015年03月31日,,184110,184110,,,15354,5049,110422,-63328,564751,-1173546,0,0.0,-25635,7881,,,,-458981,670607,-126823,3827775,361939,,-597644,,-2939,85554,-1770389,-362,7429,-2278351,-1916412,-2475464,-2291354,1157399,-594011,-12164,-1740130,,,,,,,,,-15885,-18930,-13113,-54367,-102295,,0.0,0.0,-5834,-8668,-23950,-1875043,33768670,31893627,3157572,14090237,14645818,,,,-2834.0,,,0.0,,,-2700951.0,-463658.0,-386030.0,0.0,,,,-559052.0
2836,2014年度,,511330,511330,,,57670,17119,840932,123596,2145799,-4613680,29000,0.0,-113001,101904,-1652396.0,,,76702,-9491273,-106659,-5450740,-24359143,,-5505536,,-6898,111253,38237507,39705,45469,32921500,8562357,6909961,7421291,4622776,-2127081,-48831,9919692,,0.0,0.0,0.0,,0.0,0.0,0.0,-101892,-37759,-5373,-12786,-200810,,5436.0,0.0,-390,990625,21592,10731099,23037571,33768670,4107916,16275436,13385318,-51537.0,51537.0,,,0.0,0.0,1000000.0,-14421.0,0.0,-6843505.0,-2746339.0,202671.0,0.0,-43000.0,-190198.0,,
2836,2014年01月01日至2014年09月30日,,375621,375621,,,42629,12315,623409,38455,1574486,-3408977,11000,1.0,-109888,33842,-1238646.0,,,976986,-4335469,-126853,-3362833,-15008957,,-5520813,,-6971,597355,28856010,56767,31599,24013947,9004990,7766344,8141965,3407499,-1556982,-35806,10012345,,0.0,0.0,,,0.0,0.0,0.0,-83083,-5713,0,-38251,-156733,,8684.0,0.0,-758,207926,2007,10065545,23037571,33103116,4236785,16178169,12688162,-55918.0,55669.0,,0.0,0.0,0.0,200000.0,0.0,,-6121219.0,-2248081.0,208512.0,13314.0,-43000.0,,,
2836,2014年01月01日至2014年06月30日,,247181,247181,,,28742,8822,480319,-53657,1028080,-2229649,10000,0.0,-28086,25705,-781433.0,,,1024057,-1567013,-533047,-1867068,-6058815,,-3762441,,-7044,-34103,17809492,56876,19735,14082515,8023700,7242267,7489448,2244832,-1047403,-20879,8676978,,,,,,,,,-61598,-2768,0,-41336,-98396,,2441.0,0.0,-317,202124,-5404,8775302,23037571,31812873,4169126,19275609,8368138,-51709.0,10980.0,0.0,0.0,,,200000.0,,,-1580475.0,-1642582.0,107313.0,7306.0,,,,
2836,2014年01月01日至2014年03月31日,,155990,155990,,,14894,4314,171658,-2971,498581,-1091311,5000,0.0,-20115,9552,-410398.0,,,953695,-636725,-125348,8227976,6791755,,-2223294,,72,-462297,2964553,-7400,5813,277447,7069202,6658804,6814794,1072051,-513872,-9868,7363105,,,,,,,,,-54305,-500,0,-32282,-78424,,570.0,2996.0,0,1203566,-1308,8486939,24310989,32797928,4377069,20303139,8117720,,,,,,,1200000.0,,,-877236.0,-758017.0,7410.0,8663.0,,,,
2836,2013年度,,479119,479119,,,56085,18990,539667,-55854,1890012,-4159339,36300,1.0,-58914,27937,-1741212.0,,,675077,-70117,129534,-16743186,-16226167,,3088986,,-895,-1177782,9234465,-13413,32117,11163478,-5062689,-6803901,-6324782,4187992,-1909363,-35365,-4045421,,0.0,0.0,0.0,,0.0,0.0,0.0,-39393,-8141,0,-3608,1894,,2289.0,0.0,-38477,1949673,9475,-2084379,25121950,23037571,3329141,16247872,3460558,-36097.0,36097.0,,,26251.0,25000.0,2000000.0,-14139.0,0.0,-195887.0,0.0,-21588.0,1785.0,0.0,0.0,,
2836,2013年01月01日至2013年12月31日,,479119,479119,,,56085,18990,539667,-55854,1890012,-4159339,36300,1.0,-58914,27937,-1741212.0,,,641988,-70117,129534,-16743186,-16041781,,3088986,,-895,-1177782,9234465,-13413,32117,11163478,-4878303,-6619515,-6140396,4187992,-1909363,-35365,-3861035,,-20833324.0,20637437.0,-21588.0,,0.0,0.0,0.0,-39393,-8141,1785,-3608,-215581,,2289.0,0.0,-38477,1949673,9475,-2117468,26428457,24310989,3329141,17521290,3460558,-36097.0,36097.0,,,26251.0,25000.0,2000000.0,-14139.0,0.0,,,,,,,,
2836,2013年01月01日至2013年09月30日,,356933,356933,,,42385,14564,451801,-62907,1397236,-3077080,33300,1.0,-51953,18570,-1274023.0,,,-512395,-317578,30921,-9824946,-10623998,,-83676,1333.0,-1027,-367884,6192847,-9333,17919,5750179,-4873819,-6147842,-5790909,3113006,-1388961,-26931,-4053385,,-17318229.0,18208131.0,,,0.0,0.0,0.0,-33814,-8141,-7934,-36818,840277,,0.0,0.0,-32967,1951940,-4778,-1265946,26428457,25162511,3541790,14910931,6709790,-39940.0,40410.0,,-954.0,12082.0,25000.0,2000000.0,-14139.0,,,,,,,,,
2836,2013年01月01日至2013年06月30日,,234326,234326,,,28191,9651,326800,-14227,915245,-2012304,16300,1.0,-56283,18570,-804153.0,,,-157089,201703,-129648,-5979080,-6064114,,439920,1087.0,-1076,-717343,2081368,-6502,10035,1807489,-4256625,-5060778,-4826452,2030810,-981798,-10209,-3778652,,-13092585.0,14910273.0,-11905.0,1933.0,0.0,0.0,0.0,-28506,-7844,-7222,-7256,1756888,,,0.0,-18773,-19297,9863,-2031198,26428457,24397259,4491232,17112247,2793780,-36097.0,8997.0,0.0,-524.0,,,,,,,,,,,,,
