公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他金融負債增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 取得投資性不動產,　　 收取之股利,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券減少,　　 舉借長期借款,　　 存入保證金增加,　　 非控制權益變動,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 其他營業負債增加（減少）,　　 短期借款增加,　　 發放現金股利,　　　　 除列按攤銷後成本衡量金融資產淨損失（利益）,　　 發行公司債,　　 償還長期借款,　　　　 處分投資性不動產損失（利益）,　　　　 金融資產減損損失,　　 處分採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）,　　 存出保證金減少,　　 處分投資性不動產,　　　　　 負債準備增加（減少）,　　　　 處分採用權益法之投資損失（利益）,　　 取得無活絡市場之債務工具投資,　　 處分子公司,　　 處分無形資產
1609,2016年01月01日至2016年09月30日,,80589,80589,,,208183,4012,31,27127,127665,-29234,-90415,-22413,1422,43985,-258364,5697,,,107299,33021,16102,,-77070,174790,254142,,21293,-97812,-3519,2455.0,2665,,-69172,184970,190667,271256,29457,-125683,-34852,140178,,-2436,71596,-101876,8081,-10956.0,-296850,34631,-49612.0,-275,-282,90415,5424,-418673,,,78137,1173201,10749,-4758,-12628,27457,-103406,-354444,3000770,2646326,2646326,,-25450.0,0.0,796.0,,-1191794.0,,,17144.0,,,,5746.0,-7098.0,-184940.0,1199.0,64.0
1609,2016年01月01日至2016年06月30日,,-85523,-85523,,,140092,2964,11168,27895,83466,-21200,-5438,-9839,488,29722,-247118,12200,,,49135,-131017,-320940,-75472.0,24539,114769,-338986,,21208,-59781,15888,2398.0,-9035,,-27159,-366145,-353945,-439468,16433,-84085,-29122,-536242,,-2436,64250,-63378,6542,-10956.0,-184875,27123,-56575.0,-275,-212,13839,1792,-205161,,,118972,836483,4228,-3458,-7438,724565,-60297,-77135,3000770,2923635,2923635,0.0,505132.0,0.0,,,-729354.0,,,,,,,2163.0,,,,
1609,2016年01月01日至2016年03月31日,,-159229,-159229,,,67310,1385,1307,61763,40823,-5370,-90,-3452,-866,36108,-216856,-17938,,,322516,-2282,-211486,-88598.0,-119436,73824,-25462,,68542,-4360,26206,0.0,49900,0.0,140288,114826,96888,-62341,1954,-39794,-5151,-105332,,-2436,33088,-40408,6069,-10956.0,-141155,26272,-58475.0,-160,-105,90,1334,-186842,,114004.0,12137,572319,19930,0,-7438,348783,-47629,8980,3000770,3009750,3009750,,,,,,-362169.0,,,,,,,,,,,
1609,2015年度,,-585497,-585497,,,294190,8749,-2548,36000,154572,-30514,-127411,-16168,-1172,-11851,27586,440882,,,244540,97236,153707,283933.0,58458,118701,956575,,22786,2744,4105,,1961,,55048,1011623,1452505,867008,28900,-152071,-46460,697377,,-75745,129957,-346213,92548,-6276.0,-313786,19204,,-1005,-11301,127411,-2487,-372628,,,-117978,1470709,9479,-47075,6619,-877127,-26657,-579035,3579805,3000770,3000770,23452.0,-295076.0,0.0,,0.0,-1903805.0,0.0,109449.0,0.0,0.0,15065.0,0.0,,,,,
1609,2015年01月01日至2015年09月30日,,-535939,-535939,,,220682,7060,2457,150132,127004,-27721,-114956,-15659,-265,-21787,-9557,323320,,,-260884,120836,124656,,236255,109298,330161,,14339,-31803,109763,-9076.0,24,,83247,413408,736728,200789,27434,-122984,-31417,73822,,-74891,129186,-259477,98905,-6276.0,-198766,9505,-29855.0,-811,-11724,111494,1405,-231305,,,-88000,1280026,20317,-47709,2431,-113426,8154,-262755,3579805,3317050,3317050,,307405.0,0.0,5930.0,0.0,-1587896.0,,,,,,,,,,,
1609,2015年01月01日至2015年06月30日,,-281487,-281487,,,148778,4693,2161,-2632,80051,-18036,-9024,-861,-282,-37538,-30664,136646,,,198977,81987,-110364,232633.0,-97424,-14578,291231,,38305,10803,101412,-9703.0,-10284,,130533,421764,558410,276923,17988,-78492,-26873,189546,,-75745,134036,-167780,83629,,-112472,6191,-32952.0,-811,-11618,15956,-3878,-165444,,,0,-377858,29316,-45009,-439,-560367,-8177,-544442,3713711,3169269,3169269,0.0,-166377.0,0.0,,,,,,,,,,,,,,
1609,2015年01月01日至2015年03月31日,,-136032,-136032,,,74797,2669,2257,-40216,37623,-5986,-431,4516,-225,-16396,-10927,47681,,,81710,-28809,292701,26116.0,-6409,-6144,359165,,-42437,-21727,88181,-18563.0,12854,0.0,18308,377473,425154,289122,5871,-33615,-4290,257088,,-33915,43227,-65830,0,-6276.0,-27440,5873,-34304.0,-710,-105,431,-2038,-121087,,-231852.0,0,-266197,18143,0,681,-479225,10902,-332322,3713711,3381389,3381389,,,,,,,,,,,,,,,,,
1609,2014年度,,67358,67358,,,302336,10568,84,-48033,140864,-39380,-85114,-11815,-2736,-104692,42194,86543,,,18038,-14091,-383813,-100674.0,-140657,218985,-402212,,-92440,-54364,51436,,22470,,-91231,-493443,-406900,-339542,39806,-145805,-14705,-460246,,-85969,336686,-597959,67044,-79683.0,-330010,19937,,-4333,-423,85114,-912,-402858,,,-69894,1719375,12136,-2322,19665,1504785,43643,685324,2894481,3579805,3579805,-18333.0,508353.0,-116036.0,,500000.0,-1066492.0,-124638.0,6905.0,0.0,0.0,1539.0,186111.0,,,,,
1609,2014年01月01日至2014年09月30日,,19476,19476,,,221993,12804,0,-54001,103099,-24629,-81352,-15506,-148,-91578,4721,75403,,,62945,-43718,-112664,,-134518,-60633,-288588,,-171828,-112436,80971,-8717.0,30115,,-181895,-470483,-395080,-375604,24569,-102046,-14705,-467786,,-17294,112564,-184859,52606,-53159.0,-145195,5432,-16861.0,-1874,-318,81352,-1397,-169003,,,-49735,1387845,13660,-19964,-26,852825,256,216292,2894481,3110773,3110773,,201126.0,-116037.0,0.0,500000.0,-1064044.0,,,,,,,,,,,
1609,2014年01月01日至2014年06月30日,,2856,2856,,,142286,8329,-2920,-85550,69260,-13690,-14358,-11114,-1408,-60044,8080,38871,,,195254,-38794,-296171,0.0,164103,30304,54696,,-120044,44941,83455,-5811.0,-2795,,-254,54442,93313,96169,13883,-69623,-8304,32125,,-17294,48664,-126197,51920,,-128058,4797,-16039.0,-519,0,16354,-25891,-192263,,,-178878,418103,17861,-25917,-35,251323,52199,143384,2894481,3037865,3037865,0.0,136226.0,-116037.0,,,,,,,,,,,,,,
1609,2014年01月01日至2014年03月31日,,-52892,-52892,,,73555,4982,0,-2243,33723,-7560,-9381,-8413,-330,-8604,21114,96843,,,304996,-34089,-155710,0.0,129829,-29942,215084,,-33833,-226433,0,-2905.0,116350,-3750.0,-150571,64513,161356,108464,15994,-33723,-6481,84254,,0,12039,-60600,41101,0.0,-74923,696,-26616.0,-451,0,0,-345,-109099,,-48218.0,-85735,285822,8351,0,155,160375,46797,182327,2894481,3076808,3076808,,,,,,,,,,,,,,,,,
