公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現銷貨利益（損失）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之股利,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得以成本衡量之金融資產,　　 取得採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 存入保證金增加,　　 存入保證金減少,　　 員工執行認股權,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　 其他項目
5203,2015年度,,692303,692303,,,21766,31,-756,-27501,-4332.0,9405,134595.0,122.0,98.0,0.0,38794.0,172222.0,,,-79540,-262,30206,13550,-6136.0,145,12697,4466.0,-24874,,-181.0,-39897,-44638,473.0,44999,4094,159,-34991,-59865,112357,804660,28156,785.0,-701765.0,-150794,-18958,,0.0,-458846.0,0.0,-102.0,-32263,0.0,210,0.0,-491001,,1857.0,0.0,49264.0,-292931.0,-241810.0,29993,-721776,4061178,3339402,3339402,,,,
5203,2015年01月01日至2015年09月30日,,486337,486337,,,16207,31,-624,-21954,-4332.0,3444,70059.0,0.0,98.0,,42644.0,105573.0,,,100459,-6223,84353,-10069,-12017.0,-429,14776,4466.0,175316,,-181.0,-13967,-39815,1993.0,38271,-14170,60,-27809,147507,253080,739417,22663,785.0,-701765.0,-129703,-68603,,,-458846.0,0.0,-102.0,-27483,,198,,-486233,,1303.0,,46247.0,-184401.0,-136851.0,56232,-635455,4061178,3425723,3425723,0.0,,,
5203,2015年01月01日至2015年06月30日,,279472,279472,,,10807,31,-472,-15553,,790,12259.0,0.0,,,30965.0,38827.0,,,100459,3237,87840,13121,-6971.0,1805,10210,4466.0,214167,,-181.0,-19098,-87728,,6241,-30951,-38,-131755,82412,121239,400711,15986,,,-53070,363627,,,-458846.0,0.0,,-20809,,72,,-479583,,208.0,,17427.0,,17635.0,-39407,-137728,4061178,3923450,3923450,0.0,,,
5203,2015年01月01日至2015年03月31日,,126182,126182,,,5350,23,-277,-8478,,395,,0.0,,,,-2987.0,,,100427,1577,36275,10193,,1180,7804,3906.0,161362,,-181.0,-14332,-27038,,4399,-20484,39,-57597,103765,100778,226960,8685,,,-37043,198602,,,,,,-727,,58,,-669,,-868.0,,1875.0,,1007.0,-21269,177671,4061178,4238849,4238849,0.0,,,
5203,2014年度,,883612,883612,,,19992,113,-893,-44605,0.0,4554,0.0,-49.0,0.0,25163.0,0.0,4275.0,,,-35017,-5914,106754,10550,0.0,1248,-7432,16788.0,86977,,181.0,-22467,13360,0.0,65735,358,6452,63619,150596,154871,1038483,44903,0.0,-701022.0,-258877,123487,,-33765.0,0.0,-22824.0,0.0,-109274,881.0,673,10000.0,-154309,,0.0,-274.0,4245.0,0.0,3971.0,21461,-5390,4066568,4061178,4061178,,,,
5203,2014年01月01日至2014年09月30日,,611684,611684,,,14895,89,-695,-35592,0.0,3406,0.0,111.0,0.0,,0.0,-17786.0,,,33983,-11652,151824,13834,0.0,-1134,-3405,23988.0,207438,,0.0,-58597,-20096,0.0,33518,-17221,61,-62335,145103,127317,739001,35933,0.0,-701022.0,-226921,-153009,,,0.0,-22824.0,0.0,-4495,,400,,-26919,,359.0,,1569.0,0.0,1928.0,3867,-174133,4066568,3892435,3892435,0.0,,,
5203,2014年01月01日至2014年06月30日,,376124,376124,,,9796,66,-436,-23804,,2311,0.0,111.0,,,0.0,-11956.0,,,3921,-5006,126246,12678,0.0,442,-2479,19040.0,154842,,0.0,-27976,-51540,,19742,-39397,41,-99130,55712,43756,419880,23501,,,-141711,301670,,,0.0,-22824.0,,-2836,,128,,-25532,,0.0,,753.0,,753.0,68,276959,4066568,4343527,4343527,0.0,,,
5203,2014年01月01日至2014年03月31日,,209137,209137,,,4965,42,-236,-10010,,1514,,111.0,,,,-3614.0,,,33920,72408,-8065,-5217,,569,3692,0.0,97307,,0.0,-36869,-44450,,17803,-27475,20,-90971,6336,2722,211859,9407,,,-52974,168292,,,,,,-374,,-9,,-383,,0.0,,250.0,,250.0,22253,190412,4066568,4256980,4256980,0.0,,,
5203,2013年度,,991855,991855,,,20403,286,-4413,-20225,,15224,,4.0,,0.0,,,,,804048,-645,24105,-8051,,-468,-25873,-21252.0,771864,,0.0,-123336,-16558,,8197,75329,-403,-56771,715093,726372,1718227,18980,,-660455.0,-144268,932484,,0.0,,0.0,,-5363,0.0,533,0.0,-4830,,462.0,,7766.0,,8228.0,7427,943309,3123259,4066568,4066568,,,11279.0,
5203,2013年01月01日至2013年12月31日,,991855,991855,,,20403,286,-4413,-20225,,15224,,4.0,,,,,,,804048,-645,24105,-8051,,-468,-25873,-21252.0,771864,,,-123336,-16558,,8197,75329,-403,-56771,715093,726372,1718227,18980,,-660455.0,-144268,932484,,,,,,-5363,,533,,-4830,,462.0,,7766.0,,8228.0,7427,943309,3123259,4066568,4066568,,,11279.0,
