公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他非流動資產增加,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 取得子公司股權,　　 支付之利息,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　　　 非金融資產減損損失,　　　　　 應收建造合約款（增加）減少,　　　　　 應付建造合約款增加（減少）,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 取得投資性不動產
1809,2015年01月01日至2015年09月30日,,71927,71927,,,86492,219,5837,3446,9466,-25774,0,-45,-292,0.0,983.0,80332.0,,,496,94738,86709,-10226,-2990,-90492,78235,,51388,-58262,-27024,2782,1547.0,-29569,48666,128998,200925,-21982,178943,,-3343,0.0,0.0,-46304,0.0,-4283.0,-5135,25774,-33291,,-35947,20003,100000.0,-72517,3000.0,-94910.0,-20313.0,-9466,-18593.0,-128743,59108,76017,685304,761321,761321,,,,,,,,
1809,2015年01月01日至2015年06月30日,,46248,46248,,,56178,139,6158,1710,5587,-16996,0,365,-292,0.0,-1737.0,51112.0,,,497,103395,99948,-6665,-14990,17114,199299,,39431,-47239,5312,-6634,870.0,-8260,191039,242151,288399,-9855,278544,,-3343,0.0,0.0,-30438,0.0,-4283.0,-4062,9019,-33107,,-13660,-29978,,-56603,,,-20313.0,-6670,-18593.0,-145817,-63439,36181,685304,721485,721485,,,,,,,,
1809,2015年01月01日至2015年03月31日,,24424,24424,,,27059,61,2283,-580,3481,-8357,0,26,0,,-2901.0,21072.0,,,-148,74830,23817,-4035,8484,11292,114240,,-36366,-28700,-14990,-1912,432.0,-81536,32704,53776,78200,-1716,76484,,-3343,,,-2536,,-4283.0,-7765,1564,-16363,,22354,-29978,,-15650,,,-20313.0,-4547,,-48134,-26764,-14777,685304,670527,670527,,,,,,,,
1809,2014年度,,222228,222228,,,136212,506,9368,-1763,12008,-28708,3843,7420,2877,7937.0,15447.0,,,,-5388,7038,-85347,26906,192587,-185039,-49243,,-22519,-33135,-1212,-13959,,-65684,-114927,50220,272448,-57855,214593,,-27,1057.0,58590.0,-87363,22669.0,0.0,-4244,28708,19390,,89907,-100657,100000.0,-193212,,-66437.0,,-10480,-18621.0,-199500,68518,103001,582303,685304,685304,,165147.0,5141.0,,,,,
1809,2014年01月01日至2014年09月30日,,190652,190652,,,94499,368,-945,-1846,10299,-21233,3553,324,3261,2450.0,5195.0,95925.0,,,-5749,-6352,-163383,14595,174279,26863,40253,,49907,-56768,28412,-5692,1676.0,17535,57788,153713,344365,-38363,306002,,-27,1057.0,58856.0,-71169,200.0,0.0,-11607,16259,-6431,,155889,-49984,0.0,-128699,0.0,-66437.0,0.0,-11371,-18621.0,-119223,7123,187471,582303,769774,769774,,,,,,,,
1809,2014年01月01日至2014年06月30日,,103207,103207,,,63112,267,2124,-3136,7868,-14382,3553,300,2937,2450.0,20067.0,85160.0,,,-9354,34385,-101996,16371,115832,12924,68162,,-4717,-27161,32878,-12382,1141.0,-10241,57921,143081,246288,-20839,225449,,-27,1057.0,58856.0,-61258,200.0,0.0,-16484,8453,-9203,,39760,-50000,,-102259,,,0.0,-7003,-18621.0,-138123,-45499,32624,582303,614927,614927,,,,,,,,
1809,2014年01月01日至2014年03月31日,,23774,23774,,,32087,168,1815,-2667,4514,-9619,1916,43,223,,18469.0,46949.0,,,412,54140,-30040,20256,128708,82492,255968,,-53150,-48467,10611,-4007,558.0,-94455,161513,208462,232236,-5844,226392,,-27,,,-44009,,0.0,-410,2402,-42044,,80170,-30000,,-32132,,,0.0,-4063,,13975,26,198349,582303,780652,780652,,,,,,,,
1809,2013年度,,203141,203141,,,119975,513,-1639,-3894,12407,-20743,9460,9965,2246,10226.0,-15364.0,,,,2133,66130,-115286,3010,78937,-544014,-509090,,-122152,82058,-12398,21966,,-28300,-537390,-414238,-211097,-42186,-253283,,0,0.0,0.0,-59580,1500.0,-377.0,12706,20743,-25008,,-21972,30000,27780.0,-166911,,-56946.0,,-12617,-17937.0,-218603,106926,-389968,972271,582303,582303,,123152.0,2226.0,,,,,
1809,2013年01月01日至2013年12月31日,,203141,203141,,,119975,513,-1639,-3894,12407,-20743,9460,9965,2246,10226.0,0.0,,,,2133,66130,-115286,3010,78937,-534039,-499115,,-122152,82058,-12398,21966,,-28300,-527415,-404263,-201122,-42186,-243308,,0,0.0,,-59580,1500.0,-377.0,2731,20743,-34983,,-21972,30000,27780.0,-166911,,-56946.0,,-12617,-17937.0,-218603,106926,-389968,972271,582303,582303,,123152.0,2226.0,-15364.0,,,,0.0
1809,2013年01月01日至2013年09月30日,,152770,152770,,,93637,481,-651,-2588,9386,-14558,5194,9810,1898,0.0,,,,,650,94124,-111875,-6417,159198,-526986,-391489,,-100087,105056,19204,11564,,52890,-338599,-255356,-102586,-31918,-134504,,0,0.0,0.0,-39084,1308.0,-222.0,-27107,14558,-50547,,14074,-49947,,-83600,,-56946.0,,-9017,-17937.0,-203373,75604,-312820,972271,659451,659451,,83243.0,1727.0,-19366.0,-183.0,15426.0,,
1809,2013年01月01日至2013年06月30日,,53759,53759,,,62520,314,660,-2746,6338,-8374,3048,9730,1800,0.0,-549.0,,,,611,75893,-140140,2185,161707,-232132,-132059,,-127154,79443,3933,7470,,-26905,-158964,-86223,-32464,-23445,-55909,,0,0.0,0.0,-28509,1173.0,,3474,8374,-15488,,-26162,-10000,,-54100,,,,-6628,-17937.0,-114827,90648,-95576,972271,876695,876695,,72741.0,1189.0,0.0,-183.0,8214.0,0.0,
1809,2013年01月01日至2013年03月31日,,-19361,-19361,,,31044,153,2736,-2880,3316,-3083,2025,833,1739,,13997.0,,,,51,88849,-55609,1546,170875,12057,217301,,-149674,-8119,-14056,16106,,-151104,66197,116077,96716,-7018,89698,,0,,,-17598,,,-30253,3083,-44768,,-42052,20000,,-22000,,,,-2916,,-46968,65251,63213,972271,1035484,1035484,,49880.0,753.0,,-468.0,3886.0,0.0,
1809,2012年01月01日至2012年12月31日,,208020,208020,,,131649,1242,6281,-1125,13828,-7834,6258,9840,-362,0.0,4288.0,,,,789,81276,20219,-29972,276099,21839,370250,,4414,-76169,-35144,13899,,-90048,280202,444267,652287,-79156,573131,,-5142,311.0,,-162363,2497.0,-2171.0,10590,7834,-148569,,-108161,20000,293224.0,-207136,,-94910.0,,-13043,-24856.0,-134882,-100328,189352,782919,972271,972271,,164065.0,2952.0,0.0,,,,-125.0
1809,2012年01月01日至2012年09月30日,,196292,196292,,,98803,0,1284,-2399,10157,-5203,3531,9502,-523,,-9618.0,,,,600,79730,-193476,-6393,202181,-93085,-10443,,2841,-3897,-10703,20318,,10763,320,105854,302146,-55482,246664,,-5142,311.0,,-173004,10908.0,0.0,19858,5203,-141866,,28690,69942,147590.0,-165381,,-94910.0,,-8326,-24856.0,-47251,-86078,-28531,782919,754388,754388,,105534.0,2204.0,,,,,
1809,2012年01月01日至2012年06月30日,,106284,106284,,,64480,0,4390,-2054,6714,-4422,1460,9488,-497,,-5719.0,,,,451,123395,-209282,2357,137906,-86388,-31561,,-58220,74395,-4807,7452,,22928,-8633,65207,171491,-36192,135299,,-5142,311.0,,-120672,2204.0,,25557,4422,-93320,,52580,10000,148799.0,-111882,,,,-7281,-24856.0,67360,-86448,22891,782919,805810,805810,,73840.0,4108.0,,,,,
