公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 預付投資款增加,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 處分投資性不動產,　　 長期應收租賃款增加,　　 其他金融資產增加,　　 其他非流動資產增加,　　 其他預付款項增加,　　 收取之利息,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 償還長期借款,　　 附買回票券及債券負債減少,　　 其他非流動負債減少,　　 支付之利息,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分投資性不動產損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　 處分以成本衡量之金融資產,　　 其他應收款－關係人增加,　　 舉借長期借款,　　 應付租賃款減少,　　 發放現金股利,　　 取得子公司股權,　　　　 股利收入,　　　　　 其他應收款（增加）減少,　　　　　 預收款項增加（減少）,　　 取得以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得投資性不動產,　　 應付短期票券增加,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 其他營業資產（增加）減少,　　　　　 淨確定福利負債增加(減少),　　 長期應收租賃款減少,　　 其他金融資產減少,　　 短期借款增加,　　　　 金融資產減損迴轉利益
1101,2016年01月01日至2016年09月30日,,7771113,7771113,,,5011938,306348,-15715,1440271,-223690,-658759,-12669,-389,25613.0,115056,179515,,,,-124,1798555,778603,188322,25416,504935,-387024,-149470,,2744717,,-229504,-20181.0,-225951,-12174,,60278,2804995,8171384,15942497,-2034155,13908342,,-366113,60752.0,,,,0,-2107382,37110,-78224,,495719.0,1055482.0,-376050,-59777,263213,1317391,253704,,-481803.0,-26678560,1518880.0,-140255,-1334903,0.0,-24880050,-1029985,-11747989,38977360,27229371,27229371,,0.0,,0.0,,12179630.0,,-7210982.0,-2732057.0,-801130.0,-14496.0,645007.0,-1.0,11584.0,,,,5366389.0,,-96919.0,,,,
1101,2016年01月01日至2016年06月30日,,3746045,3746045,,,3388639,214984,-250,970881,-147960,-372932,-13747,-179,-2639.0,329632,120182,,,,0,2374061,437649,108392,27575,549382,291921,-31354,,3782541,,-190420,-22504.0,-376596,9165,,-786301,2996240,7236075,10982120,-1210623,9771497,,-35449,19450.0,,,,0,-1958027,33636,-79557,,128505.0,-105945.0,-293920,-47335,182799,430043,-1714216,,-6420829.0,-17697169,-307883.0,-119111,-898132,,-20330993,-520891,-12794603,38977360,26182757,26182757,,0.0,,,,7367522.0,,-2255391.0,,-246776.0,24915.0,-160553.0,,11584.0,,,,4239835.0,,-45393.0,,,,
1101,2016年01月01日至2016年03月31日,,277847,277847,,,1723452,106797,-140,504825,-78488,-149029,13374,-20,,-194138,60540,,,,0,3781418,1117979,18463,17438,382448,-378464,-193058,,4835876,,-1032112,,-366913,-42039,,-1397749,3438127,5402545,5680392,-72134,5608258,,-25290,9291.0,,,,0,-1499102,3685,-313,,,,-363711,-3493,98829,135290,-2382291,,,-10939153,1748419.0,-43441,-443144,,-10249223,-207064,-7230320,38977360,31747040,31747040,,0.0,-22755.0,,,1386489.0,,,,,89652.0,54125.0,,,,,,1964418.0,,-10810.0,-160457.0,-577020.0,-1958393.0,
1101,2015年度,,8666015,8666015,,,7021678,397480,1114,1873739,-430757,-737161,34307,-499,13105.0,994811,240781,,,,30438,5888746,1884936,-643176,846460,2495379,1028566,122942,,12285188,,-2619517,-81560.0,-1415824,-105817,,-4188850,8096338,16324916,24990931,-3227539,21763392,,-10087,14842.0,,,0.0,-6721329,-2726976,98761,-379647,,726368.0,-691123.0,208091,-125947,406803,1357381,-7833403,,-3539971.0,-22574692,-210728.0,-324608,-1708559,6022723.0,-5046590,-420081,8463318,30514042,38977360,38977360,,51296.0,-87164.0,0.0,,29252473.0,,-11963228.0,0.0,-958117.0,630897.0,70644.0,-1.0,9461.0,0.0,,,8228578.0,,-36776.0,,,,-186035.0
1101,2015年01月01日至2015年09月30日,,5883687,5883687,,,5226388,293414,68561,1383484,-325186,-631435,9425,-515,-76841.0,492040,177978,,,,30439,5899295,2186463,-624931,827551,2245254,429732,-89434,,11565929,,-2673762,-91791.0,-1102995,-87639,,-3588057,7977872,13882056,19765743,-3024620,16741123,,-87,10000.0,,,,-6359253,-1537825,28799,-375917,,601233.0,-2134608.0,45877,-125352,311629,1071469,-8454575,,3586367.0,-21009502,-239220.0,-341230,-1251317,6022411.0,-3543764,674552,5417336,30514042,35931378,35931378,,51296.0,,9461.0,,21577453.0,,-11888726.0,0.0,-764425.0,661560.0,385980.0,-1.0,,0.0,,,5904184.0,,-17850.0,,,,
1101,2015年01月01日至2015年06月30日,,4712376,4712376,,,3402086,182325,-18,900633,-215208,-409761,6995,-514,-91298.0,-63353,114318,,,,30514,4973268,551445,-543758,1530449,1391767,623389,-21271,,8911657,,-660600,-38745.0,-2853785,-61177,,-3654999,5256658,8710721,13423097,-2194380,11228717,,0,0.0,,,,-3791183,-977713,26711,-371254,,319701.0,-2052938.0,64835,-82523,207404,445070,-6211890,,-1427659.0,-14381360,-726955.0,-256772,-791549,0.0,1179341,-861576,5334592,30514042,35848634,35848634,,51296.0,,0.0,,21356262.0,,-2592626.0,0.0,-423438.0,375854.0,-17840.0,,,,,,3454063.0,,-22852.0,,,,
1101,2015年01月01日至2015年03月31日,,1469867,1469867,,,1711428,92691,74,482383,-126367,-181127,5362,-438,,-116556,55093,,,,30417,3826186,1219119,-360075,657261,679041,-261314,-127419,-743988.0,5288183,,-420251,-20629.0,-1264695,-51552,,-1879193,3408990,5309946,6779813,-1125661,5654152,,0,,,,,-594733,-818460,754,-213360,,,,-68146,-34405,100140,24620,-1500087,,,-9803366,-245853.0,-3924,-427626,0.0,-3244859,-17032,892174,30514042,31406216,31406216,,51290.0,-72877.0,,,5134654.0,,,0.0,,370995.0,-113323.0,,,,,,1900956.0,-2040.0,-8743.0,100480.0,3023.0,2101256.0,
1101,2014年度,,21198720,21198720,,,6331499,345401,-34634,1907215,-309383,-1250088,-148162,-130,11461.0,165809,212131,6711645.0,,,52761,-327064,371274,13032,-1507176,-1195821,851554,34898,82247.0,-1163819,,-1403142,11604.0,-1176176,-223147,-116139.0,-2693072,-3856891,2854754,24053474,-4066554,19986920,,-15000,17001.0,0.0,0.0,-2120380.0,0,-3701188,320043,-1379,0.0,596158.0,-31724.0,52986,-151652,329504,1574022,-3098012,,3825866.0,-39756097,1268225.0,-52231,-1810314,3050.0,-11730774,-355157,4802977,25711065,30514042,30514042,0.0,0.0,313340.0,140.0,,36204200.0,,-11411828.0,-1645.0,-832814.0,460476.0,213928.0,-1.0,33696.0,-238.0,,,,,,,,,
1101,2014年01月01日至2014年09月30日,,15933466,15933466,,,4755689,251738,-13519,1427905,-204319,-997683,-132244,-71,300397.0,36131,161727,4764197.0,,,53509,-714501,-555544,12526,204180,-1116556,209302,-61893,762092.0,-1129349,,-115435,-9937.0,-1371614,-153068,-110536.0,-939843,-2069192,2695005,18628471,-3578105,15050366,,-15000,10001.0,0.0,0.0,0.0,0,-2316699,264992,-1370,,518482.0,-20046.0,24196,-148966,220223,1220093,-222322,,8908871.0,-25262611,1822324.0,72982,-1359396,3452.0,-12569253,-52692,2206099,25711065,27917164,27917164,,0.0,,22010.0,,14630231.0,,-11383461.0,-1645.0,-821554.0,77536.0,820747.0,0.0,,-238.0,,,,,,,,,
1101,2014年01月01日至2014年06月30日,,9837043,9837043,,,3168197,166765,-13015,952623,-127643,-637230,-133998,-96,321756.0,122566,92930,3912855.0,,,52714,714325,-16543,30180,135855,-1136429,401595,-37370,762242.0,928314,,380860,652.0,-1251966,-202673,-69039.0,-892159,36155,3949010,13786053,-2437648,11348405,,-15000,5000.0,0.0,0.0,0.0,0,-1405642,264489,-1370,,272390.0,-19479.0,310710,-149370,136582,124517,-455303,,436458.0,-15505844,238779.0,11272,-898639,2880.0,-6965315,-461600,3466187,25711065,29177252,29177252,,0.0,,21870.0,,11430901.0,,-2679477.0,-1645.0,,21745.0,250007.0,,,,,,,,,,,,
